sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,6206549,0.0,-0.021082407341609172,-0.3625365284625437,-0.9896010261953233,12.08305463880613,7.2980916875001896,0.7111845296272552,no_tremor
1,6206558,0.009,-0.020185136813145266,-0.364142050051445,-0.9890925670419396,12.32302505557095,7.396326239997074,0.0939038067376222,no_tremor
2,6206588,0.039,-0.018919884395767625,-0.3663691161201162,-0.9883367869743183,12.531198439007522,7.451796020233141,-0.4895838840374141,no_tremor
3,6206603,0.054,-0.01724398091817577,-0.3692705536698395,-0.9872797406392256,12.701147628121477,7.459468145492036,-1.0331623238876395,no_tremor
4,6206613,0.064,-0.01518043014082927,-0.37278373300466977,-0.9859024811918273,12.826224446194658,7.414319857183529,-1.5306815899064172,no_tremor
5,6206617,0.068,-0.012791455059045163,-0.3767824701595092,-0.984211190158905,12.899604577411578,7.311383475157154,-1.976005198656199,no_tremor
6,6206632,0.083,-0.010151318735026473,-0.38112640429336025,-0.9822234807356169,12.91433758048226,7.145793793916091,-2.3630593209943176,no_tremor
7,6206636,0.087,-0.007330640452686719,-0.3856878355713728,-0.9799590922950561,12.863401903165384,6.912837640065971,-2.6858837476581288,no_tremor
8,6206641,0.092,-0.004390624227529188,-0.3903604379552938,-0.9774355284930724,12.739764699609792,6.608005264150564,-2.938684265698093,no_tremor
9,6206646,0.097,-0.0013827889991226729,-0.3950584379790876,-0.9746669111312151,12.536446192960726,6.227043190645583,-3.1158860881902126,no_tremor
10,6206651,0.102,0.0016491479961995186,-0.3997123781584947,-0.9716643825317193,12.246588265792143,5.766008104845322,-3.2121879639999613,no_tremor
11,6206660,0.111,0.00466700221594476,-0.4042645365139324,-0.9684370354608123,11.863526897948802,5.221321316755916,-3.2226165804319584,no_tremor
12,6206665,0.116,0.007636173740018747,-0.40866514130844545,-0.9649928825454608,11.38086800365727,4.589823308570306,-3.1425808591039566,no_tremor
13,6206670,0.121,0.010524195333968448,-0.4128695965918687,-0.9613396833313582,10.792566146653293,3.8688278425453513,-2.967925733995065,no_tremor
14,6206675,0.126,0.013299739447365042,-0.4168365887717478,-0.9574855906800547,10.093005534286647,3.056175079498308,-2.6949849896011617,no_tremor
15,6206680,0.131,0.015931987004070676,-0.4205268635310434,-0.9534396334367148,9.277082611468957,2.150283133624668,-2.320632725789001,no_tremor
16,6206715,0.166,0.018390261495624786,-0.4239024804530996,-0.9492120668517912,8.340289496161107,1.1501974652271123,-1.8423330043403432,no_tremor
17,6206725,0.176,0.020643850900856964,-0.4269263966535836,-0.9448146207776884,7.278797422660414,0.05563748757861095,-1.2581872208331244,no_tremor
18,6206734,0.185,0.022661960631502266,-0.42956227326974183,-0.9402606693789736,6.089539289441192,-1.1329602637187035,-0.566978734529228,no_tremor
19,6206739,0.19,0.024413757751748175,-0.4317744321528778,-0.9355653394728696,4.770290346813103,-2.414403080511297,0.2317857218441651,no_tremor
20,6206744,0.195,0.025868479329287444,-0.43352791420355574,-0.9307455691295514,3.31974600751636,-3.7867078603777253,1.1378383406691328,no_tremor
21,6206748,0.199,0.026995586601054954,-0.434788607295677,-0.9258201240647199,1.7375957200684689,-5.247072439627186,2.1501167427928123,no_tremor
