sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,6355236,0.0,-0.02730637218035254,-0.2745730454139157,-1.0196544742427385,16.318631481453885,-4.0977050780134165,-3.1298385687133345,tremor
1,6355241,0.005,-0.03383370126668944,-0.2755176476376431,-1.0145450754509748,13.422363767000483,-2.316935841210126,-2.585403669319439,tremor
2,6355251,0.015,-0.04242165705414437,-0.2767479317839374,-1.0076183178429279,10.671961596417574,-0.9777820816344736,-1.9762935692256436,tremor
3,6355276,0.04,-0.05299528972516432,-0.2782441167311443,-0.9988016562221413,8.0735554024858,-0.08145636798131142,-1.3015564704425817,tremor
4,6355295,0.059,-0.06504176358841313,-0.27992271384647127,-0.9883752614510564,5.632212905981956,0.37389514301811666,-0.5605626722756448,tremor
5,6355305,0.069,-0.07787768373725544,-0.2816766321390334,-0.9767875428142101,3.351916952965128,0.3931563404502048,0.2469871559532426,tremor
6,6355310,0.074,-0.09085708311330057,-0.28340554088464603,-0.9644961313369399,1.2355515522680751,-0.015817210599080575,1.1210557989173227,tremor
7,6355341,0.105,-0.1034631852383838,-0.28502877773250856,-0.9518890450298927,-0.7151040789073709,-0.8422767929929774,2.061265322988121,tremor
8,6355351,0.115,-0.11532215917707717,-0.28648681819440547,-0.9392648178397301,-2.499373694734287,-2.0726772324992755,3.0668948020580915,tremor
9,6355370,0.134,-0.12618251020997942,-0.28773785326134105,-0.9268412714955765,-4.11767468129376,-3.6907898604430245,4.13687986199064,tremor
10,6355414,0.178,-0.1358864042567933,-0.2887533348234639,-0.9147730453933548,-5.57150143358442,-5.677830280020721,5.269814046801522,tremor
11,6355419,0.183,-0.1443441286189751,-0.289514091269389,-0.9031686167947004,-6.8634016021988575,-8.012600324491588,6.463952147253085,tremor
12,6355429,0.193,-0.1515146664503032,-0.2900074103576229,-0.8921037950945084,-7.996945212758517,-10.671644684201281,7.717215784422892,tremor
13,6355438,0.202,-0.15739199177845486,-0.29022500445633115,-0.8816314615580974,-8.976686472306534,-13.629423601185461,9.02720163133286,tremor
14,6355466,0.23,-0.1619957459535441,-0.29016164569517366,-0.8717882562126508,-9.808117921037683,-16.858503364558803,10.3911926139031,tremor
15,6355471,0.235,-0.16536496936273554,-0.2898142678662343,-0.8625990478492706,-10.497616561211762,-20.329765885495956,11.806172238730388,tremor
16,6355475,0.239,-0.167553852301813,-0.2891813786486159,-0.85407988873378,-11.052381768171928,-24.012637473378234,13.268841897494166,tremor
17,6355494,0.258,-0.16862877448468963,-0.2882626727086426,-0.8462399713149541,-11.480365158636399,-27.8753353663156,14.775640685849362,tremor
18,6355499,0.263,-0.16866614697281193,-0.28705877310262445,-0.8390829441426769,-11.790193079186261,-31.885128967257614,16.322767032141883,tremor
19,6355504,0.268,-0.1677507454157816,-0.28557105460081517,-0.8326078242127025,-11.991082861628994,-36.00861147311989,17.90620130595454,tremor
20,6355509,0.273,-0.16597434178009654,-0.28380152017723265,-0.8268096590683469,-12.092754356543235,-40.21197695429273,19.521728582458035,tremor
21,6355543,0.307,-0.16343451824267016,-0.2817527133080951,-0.8216800356418343,-12.105338431518462,-44.4612980743404,21.164960863320253,tremor
22,6355547,0.311,-0.16023359432945924,-0.27942765578731077,-0.8172074959930729,-12.039284086511238,-48.72280043119145,22.831358258875024,tremor
23,6355552,0.316,-0.15647762634709492,-0.2768298048896227,-0.8133778965990677,-11.905265599583998,-52.96313065944125,24.51624886087029,tremor
24,6355589,0.353,-0.15227545377026852,-0.2739630258653375,-0.8101747332135961,-11.71409069347656,-57.14961659408804,26.2148472205888,tremor
25,6355599,0.363,-0.14773777560771326,-0.27083157663450663,-0.8075794444407312,-11.476610188388289,-61.25051862450036,27.92227144848279,tremor
26,6355604,0.368,-0.14297624449631804,-0.267440101725769,-0.8055717018521498,-11.203629147349195,-65.23527163866405,29.633558955794005,tremor
27,6355608,0.372,-0.1381025698412694,-0.26379363246375614,-0.8041296911835586,-10.905819307773383,-69.07471663782485,31.343680797483213,tremor
28,6355613,0.377,-0.13322762513802355,-0.25989759050962885,-0.8032303868749998,-10.59363268604323,-72.74132038376311,33.04755451110086,tremor
29,6355618,0.382,-0.12846055904555,-0.2557577922546737,-0.802849820461524,-10.277216544854166,-76.20938064876636,34.740055331095185,tremor
30,6355623,0.387,-0.12390791443732693,-0.25138045221457483,-0.8029633419031339,-9.966330274091275,-79.45521404087735,36.416025708635765,tremor
31,6355628,0.392,-0.11967276386830031,-0.246772184336692,-0.8035458718499056,-9.670265052865444,-82.45732309005666,38.07028316877061,tremor
32,6355633,0.397,-0.11585387308660922,-0.24194000087939038,-0.8045721420871224,-9.397767390114922,-85.19653931268058,39.697626665058515,tremor
33,6355638,0.402,-0.11254490604516627,-0.23689130915141435,-0.8060169210069814,-9.15696776451638,-87.65613930163809,41.29284172239044,tremor
34,6355643,0.407,-0.10983368521594779,-0.23163390684575363,-0.8078552209066473,-8.95531558899351,-89.82193149657414,42.85070476980824,tremor
35,6355653,0.417,-0.10780151993990418,-0.2261759769296072,-0.8100624842013714,-8.799521609537733,-91.68231214379664,44.36598714209841,tremor
36,6355657,0.421,-0.10652261324605988,-0.22052608304477184,-0.8126147462332363,-8.695508623462267,-93.22829000696419,45.83345926735575,tremor
37,6355662,0.426,-0.10606355433829862,-0.21469316613218606,-0.8154887731984024,-8.648371084036166,-94.45348056432783,47.24789555966765,tremor
38,6355687,0.451,-0.10648290016219479,-0.20868654253680383,-0.8186621747335394,-8.662343762358216,-95.35407162941985,48.604080503632424,tremor
39,6355719,0.483,-0.10783084559370683,-0.20251590321768773,-0.8221134917892645,-8.740779195357815,-95.92876341622055,49.89681634767177,tremor
40,6355724,0.488,-0.1101489784027082,-0.19619131297989603,-0.8258222614222136,-8.886133239109643,-96.1786868133407,51.12093270719249,tremor
41,6355729,0.493,-0.11347011287985914,-0.18972320802652864,-0.8297690608668072,-9.099957793847919,-96.10730378888456,52.271298214887175,tremor
42,6355744,0.508,-0.11781819539308103,-0.18312238979937018,-0.8339355335428623,-9.38289977421929,-95.72029334370248,53.34283417167363,tremor
43,6355754,0.518,-0.12320827623382102,-0.1764000131644261,-0.8383043994832404,-9.734705656689874,-95.02542549940121,54.33053000234438,tremor
44,6355758,0.522,-0.12964654440788437,-0.1695675674835811,-0.8428594521538736,-10.154231316273744,-94.03242487633557,55.22946024801582,tremor
45,6355763,0.527,-0.13713042460553135,-0.1626368498383684,-0.847585543011648,-10.63945720512294,-92.75282484998685,56.03480283576537,tremor
46,6355783,0.547,-0.1456487375278696,-0.15561993043385008,-0.8524685546231242,-11.18750912193408,-91.1998132086806,56.74185842511854,tremor
47,6355793,0.557,-0.1551819254779565,-0.1485291108512369,-0.8574953628829401,-11.794684846468247,-89.38807057859096,57.346070703530295,tremor
48,6355803,0.567,-0.16570234458040867,-0.1413768762573789,-0.8626537888474837,-12.456486785722422,-87.33360339238281,57.843047556828616,tremor
49,6355808,0.572,-0.17717462355727653,-0.13417584290599233,-0.867932540866476,-13.167660538780767,-85.05357355562174,58.22858305046533,tremor
50,6355845,0.609,-0.18955608730550053,-0.1269387023190779,-0.8733211479253862,-13.92223901309328,-82.56612693374404,58.49868009924756,tremor
51,6355864,0.628,-0.20279724225804258,-0.11967816350441345,-0.878809885262766,-14.713591533074498,-79.89022219204823,58.64957356194701,tremor
52,6355874,0.638,-0.21684232010138496,-0.11240689456947536,-0.8843896932867233,-15.53447738264891,-77.04546045713322,58.677753297107955,tremor
53,6355879,0.643,-0.23162987685607356,-0.10513746524434424,-0.8900520905462053,-16.377103443467472,-74.05191507548717,58.57998653639936,tremor
54,6355889,0.653,-0.24709344509496792,-0.09788229215072959,-0.8957890810748611,-17.23318594046318,-70.92995988556974,58.35333886221595,tremor
55,6355898,0.662,-0.26316223740339983,-0.09065358906047233,-0.9015930559532636,-18.0940166343861,-67.70009422460859,57.99519315203008,tremor
56,6355908,0.672,-0.2797618984606292,-0.08346332472123708,-0.9074566885829475,-18.950533984292107,-64.38276341548757,57.50326604009771,tremor
57,6355917,0.681,-0.2968153011616191,-0.07632319095038739,-0.9133728230534397,-19.79339978727745,-60.998174569020144,56.87562168914768,tremor
58,6355922,0.686,-0.3142433792412254,-0.06924458352172569,-0.9193343551757847,-20.613081580494217,-57.56610896693602,56.11068291538181,tremor
59,6355927,0.691,-0.33196598539661215,-0.06223859785778538,-0.925334106256623,-21.399940679129003,-54.10573381316584,55.20723994288034,tremor
60,6355932,0.696,-0.34990276047734836,-0.05531604070446917,-0.9313646904412374,-22.144325165665542,-50.63541749619302,54.16445726039852,tremor
61,6355963,0.727,-0.3679739963973763,-0.04848745786050492,-0.9374183773640259,-22.83666651104561,-47.17255347474734,52.98187919630374,tremor
