sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,6696296,0.0,-0.3983519854336985,-0.4617640470246716,-0.8268206433936892,-2.156863233387906,6.1282969428671885,7.060169289236385,no_tremor
1,6696301,0.005,-0.40191485973663854,-0.4626462761369916,-0.8256718019464566,-2.5488323714632872,5.212862421362707,4.818419142008633,no_tremor
2,6696306,0.01,-0.4068868568200488,-0.4638247442351368,-0.8240644756815567,-3.0083166542622117,4.195514904269278,2.37850094242897,no_tremor
3,6696311,0.015,-0.4134104325948261,-0.465297349468336,-0.8219514381138224,-3.5381576187599713,3.0730360426590555,-0.2646292813337341,no_tremor
4,6696316,0.02,-0.4213755470389236,-0.4669990814900012,-0.8193682499176894,-4.140906929105696,1.8426567661779432,-3.115123297677716,no_tremor
5,6696321,0.025,-0.430530758189627,-0.4688362675308256,-0.8163978480704067,-4.818790404837712,0.5021068514270611,-6.176151416194944,no_tremor
6,6696340,0.044,-0.4405910803680648,-0.4707150145736041,-0.8131355960398813,-5.573672835231982,-0.9503367092534272,-9.449816557806594,no_tremor
7,6696345,0.049,-0.4512975033920471,-0.4725548330484804,-0.8096697200477079,-6.407023958617513,-2.5158030849516826,-12.937072753353775,no_tremor
8,6696355,0.059,-0.4624369510655997,-0.4742917123833582,-0.806074533035896,-7.319885997759048,-4.194783278486773,-16.63764916621205,no_tremor
9,6696391,0.095,-0.4738411305894573,-0.47587624144078994,-0.8024105636552533,-8.312843150236155,-5.987088644576885,-20.549980707825977,no_tremor
10,6696400,0.104,-0.48537762698796416,-0.477270333782676,-0.7987272720207514,-9.385993435409329,-7.89181280609724,-24.671146268585932,no_tremor
11,6696410,0.114,-0.49694003606335135,-0.47844416692691555,-0.7950661307410397,-10.538923296435097,-9.907297520697522,-28.996815521967385,no_tremor
12,6696415,0.119,-0.5084397086183827,-0.47937382694448577,-0.7914632157248812,-11.770685346121711,-12.031103046142844,-33.5212051809928,no_tremor
13,6696424,0.128,-0.519799635864941,-0.4800396652984521,-0.7879511193122288,-13.079779628258795,-14.259983542599747,-38.2370454963242,no_tremor
14,6696429,0.133,-0.5309502272663312,-0.4804252216420104,-0.7845602567208593,-14.464138740828473,-16.589868031833866,-43.135557685883796,no_tremor
15,6696444,0.148,-0.5418265385765598,-0.4805165512243608,-0.7813197037937336,-15.92111713456592,-19.01584740526494,-48.2064428760353,no_tremor
16,6696453,0.157,-0.5523665371046288,-0.4803018248063378,-0.778257697172748,-17.447484860655393,-21.532167933782656,-53.437883013242526,no_tremor
17,6696458,0.162,-0.5625100815158451,-0.479771104694572,-0.7754019002672141,-19.039425995709955,-24.132231681826237,-58.816554073825614,no_tremor
18,6696463,0.167,-0.5721983834009864,-0.47891623042587295,-0.7727795100830028,-20.692541920759055,-26.80860416691802,-64.32765176120881,no_tremor
19,6696472,0.176,-0.5813737895150762,-0.4777307696255063,-0.7704172572257828,-22.401859573433722,-29.553029533391022,-69.95492973866033,no_tremor
20,6696477,0.181,-0.5899797755985565,-0.4762100047543744,-0.76834133482016,-24.161844728846738,-32.35645342326304,-75.68075030321965,no_tremor
21,6696482,0.186,-0.5979610786441026,-0.4743509366269151,-0.7665772806221248,-25.966420296213933,-35.20905362470308,-81.48614726428454,no_tremor
22,6696487,0.191,-0.6052639186422815,-0.47215229228839495,-0.7651498289046041,-27.808989548063494,-38.100278457130095,-87.35090064923027,no_tremor
23,6696514,0.218,-0.6118362768281537,-0.4696145292569765,-0.7640827436202531,-29.682464130066148,-41.01889271299997,-93.25362271921888,no_tremor
24,6696528,0.232,-0.6176282079363301,-0.46673983107334177,-0.7633986410322614,-31.579296634358478,-43.953030827472624,-99.1718546423922,no_tremor
25,6696533,0.237,-0.622592170830754,-0.4635320910952488,-0.7631188078436454,-33.49151746041841,-46.89025680601197,-105.08217304572135,no_tremor
26,6696538,0.242,-0.6266833663772359,-0.4599968828674198,-0.7632630194291112,-35.41077563897277,-49.81763033090247,-110.96030556411046,no_tremor
27,6696543,0.247,-0.629860074403738,-0.4561414163979782,-0.7638493618014175,-37.328383258384875,-52.721778406768976,-116.78125443544872,no_tremor
28,6696547,0.251,-0.6320839835740787,-0.4519744804086796,-0.7648940602490174,-39.235363107487174,-55.588971887301774,-122.51942714835208,no_tremor
29,6696572,0.276,-0.6333205093171711,-0.44750637117839676,-0.7664113170579728,-41.122499129604336,-58.40520622976816,-128.14877312011632,no_tremor
30,6696577,0.281,-0.6335390958230525,-0.44274880902090236,-0.7684131603182187,-42.98038926711701,-61.15628583111034,-133.64292535500468,no_tremor
