sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,6694235,0.0,-0.30877350564105893,-0.4434367750870719,-0.8738900313883533,1.6227506241875747,4.687894871310126,11.70104650099273,no_tremor
1,6694240,0.005,-0.3093581897950908,-0.4436660119686062,-0.8736486698066372,1.7475242779716997,5.231945266663688,12.31284068814487,no_tremor
2,6694245,0.01,-0.310296843852062,-0.44400562872016036,-0.8732557991721439,1.8515687403529604,5.740378941784681,12.852064216006749,no_tremor
3,6694255,0.02,-0.3117009038770519,-0.44447745464006366,-0.8726627199081893,1.9314513810730551,6.2054142190340364,13.306798724399064,no_tremor
4,6694265,0.03,-0.31364201281379317,-0.4450860410067681,-0.8718381167859258,1.9836413283416259,6.619034420579651,13.664839065729295,no_tremor
5,6694270,0.035,-0.31615438051452904,-0.44582334535343976,-0.8707677221981049,2.0045315491990765,6.973036354044299,13.9137690752444,no_tremor
6,6694300,0.065,-0.31924815812420965,-0.4466752397634847,-0.8694487852343504,1.9904631787449854,7.259083185031819,14.041044010041341,no_tremor
7,6694314,0.079,-0.3229215463278483,-0.44762596483633765,-0.8678847811405247,1.937752024471819,7.468761503695206,14.034079357717753,no_tremor
8,6694319,0.084,-0.3271682303227186,-0.4486602521281045,-0.8660820306310807,1.8427171426975197,7.593642350149507,13.880345633410101,no_tremor
9,6694324,0.089,-0.3319807693389791,-0.449763927285894,-0.8640480674063601,1.7017113540610396,7.6253459177431875,13.567468700220255,no_tremor
10,6694328,0.093,-0.33735151882520753,-0.4509237830359603,-0.8617911072049961,1.5111535346433245,7.555609604358799,13.083335063693301,no_tremor
11,6694333,0.098,-0.3432723535144411,-0.45212720650458815,-0.8593200703066675,1.2675624886869126,7.376359032485067,12.416201506741288,no_tremor
12,6694338,0.103,-0.34973394415533754,-0.45336179273152544,-0.8566448217788122,0.9675921782232817,7.079781611465023,11.55480834762018,no_tremor
13,6694348,0.113,-0.35672496084361,-0.45461503070573805,-0.8537764579320362,0.6080680542193636,6.658402171603365,10.488495520959837,no_tremor
14,6694357,0.122,-0.36423135851518196,-0.45587407986287487,-0.8507275641704043,0.18602420323527913,6.10516015998916,9.207320601717246,no_tremor
15,6694362,0.127,-0.3722357931109113,-0.45712562855095495,-0.8475124184029906,-0.30125900651200244,5.413487850910705,7.702177816123035,no_tremor
16,6694367,0.132,-0.3807171709105496,-0.45835581888405175,-0.8441471360418082,-0.8562171245498656,4.5773889874411715,5.964917014418163,no_tremor
17,6694371,0.136,-0.38965031738259365,-0.4595502229383514,-0.8406497608715628,-1.4809640343633261,3.5915172332207286,3.9884615194306345,no_tremor
18,6694382,0.147,-0.3990057488529186,-0.4606938580779366,-0.8370403081831517,-2.17725498098019,2.451253774291963,1.766923713945752,no_tremor
19,6694391,0.156,-0.4087495322084126,-0.4617712321999121,-0.833340766218532,-2.9464506234557812,1.1527833712889661,-0.7042828114006096,no_tremor
20,6694396,0.161,-0.41884322107900224,-0.4627664121626996,-0.8295750608782786,-3.789482539747979,-0.30683187543379636,-3.4283357592794137,no_tremor
