sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,6955831,0.0,-0.19484367405108988,-0.252985082782082,-0.9958233591607352,2.4911463717105753,9.61961098814362,-1.0367413276213073,tremor
1,6955836,0.005,-0.1943820656765712,-0.25316338403606725,-0.9963205501026094,2.903982379854324,9.687368133760872,-0.40854845920126687,tremor
2,6955841,0.01,-0.1937770420293589,-0.25340607988594815,-0.9970192254991135,3.3517889886196612,9.641140275547205,0.23676700068548479,tremor
3,6955851,0.02,-0.19304109941406658,-0.2537169509465507,-0.9979395763487257,3.8329560082121907,9.472263002292745,0.8956445287697448,tremor
4,6955856,0.025,-0.19222253791369845,-0.2540879875403424,-0.9990638404732597,4.345457208945502,9.172448074511461,1.5641509450121875,tremor
5,6955860,0.029,-0.19138590157401847,-0.25450569178462573,-1.000351346846369,4.886839927073289,8.733875274225111,2.237984216144466,tremor
6,6955865,0.034,-0.1905961720392751,-0.2549565130062765,-1.0017539451118913,5.454217930048747,8.149285651704025,2.912480432122376,tremor
7,6955870,0.039,-0.1899113690009268,-0.2554295375033904,-1.0032249242238174,6.044267830343478,7.412075374302207,3.5826241050832643,tremor
8,6955875,0.044,-0.18938099852142648,-0.25591715923006014,-1.004722318262494,6.653229317896668,6.516389334575201,4.243061914740371,tremor
9,6955880,0.049,-0.1890471762887211,-0.2564147680083289,-1.0062091012740497,7.276909457814955,5.457213630376806,4.888119996244039,tremor
10,6955889,0.058,-0.18894644718318826,-0.2569201345936896,-1.0076521707220558,7.9106912729843595,4.2304659873801205,5.511824837124479,tremor
11,6955914,0.083,-0.1891114266798183,-0.2574328090653339,-1.0090211220340486,8.549546801411251,2.83308315431062,6.107927818796737,tremor
12,6955919,0.088,-0.18957201055625977,-0.25795363552374123,-1.0102872146103912,9.188054785451419,1.263104263849643,6.669933404597153,tremor
13,6955924,0.093,-0.1903561628973542,-0.2584843909481407,-1.0114226281229128,9.82042311411111,-0.4802508811998316,7.191130940110105,tremor
14,6955929,0.098,-0.19149037217917106,-0.2590275243651842,-1.0123999874269445,10.440516099635293,-2.3965096647988884,7.664629993188864,tremor
15,6955933,0.102,-0.19299986994822302,-0.2595859679505562,-1.013192100404917,11.04188662534757,-4.483881746209367,8.083399121505996,tremor
16,6955938,0.107,-0.19490868820802765,-0.26016299631869927,-1.0137718534131384,11.617813153146303,-6.739202478849122,8.440307914952415,tremor
17,6955943,0.112,-0.1972396106407425,-0.26076211658775633,-1.014112219744844,12.161341525985558,-9.157885755567394,8.728172118499188,tremor
18,6955948,0.117,-0.2000140556268721,-0.261386977307362,-1.0141863481814917,12.665331443113214,-11.733887359398555,8.939801599198542,tremor
19,6955952,0.121,-0.20325191661569517,-0.26204128846922153,-1.0139677082760552,13.122507424764814,-14.459679866759583,9.068050881891892,tremor
20,6955957,0.126,-0.20697137696358187,-0.262728747724993,-1.013430276036157,13.525514019985676,-17.326240104604963,9.105871944846479,tremor
21,6955962,0.131,-0.21118871082419363,-0.26345296990962297,-1.0125487485267182,13.86697494767295,-20.323050107325695,9.046368938417201,tremor
22,6955967,0.136,-0.2159180781259275,-0.26421741828647244,-1.0112987791328247,14.139555797695353,-23.438112454612778,8.882854463401753,tremor
23,6955971,0.14,-0.22117131942973167,-0.2650253368039365,-1.0096572272950326,14.33602985642484,-26.657980796440743,8.608907018656364,tremor
24,6955981,0.15,-0.2269577550560796,-0.2658796832299904,-1.00760241782012,14.449346559288957,-29.96780628265181,8.218429200573615,tremor
25,6955986,0.155,-0.2332839919916297,-0.26678306341097047,-1.005114405644117,14.472702012446984,-33.351400508932116,7.705706212045576,tremor
26,6955991,0.16,-0.24015374153183983,-0.26773766714948555,-1.0021752423629902,14.399610967386291,-36.791315463810896,7.065464216034076,tremor
27,6955995,0.164,-0.24756765025774471,-0.26874520635601395,-0.998769241072294,14.22397957711231,-40.268940807588734,6.292928048280311,tremor
28,6956000,0.169,-0.25552314670371457,-0.2698068562266862,-0.9948832361523281,13.940178211094958,-43.764618630636434,5.3838777853235165,tremor
29,6956010,0.179,-0.2640143058983888,-0.270923200253541,-0.9905068346546555,13.543113558422075,-47.257775625557336,4.334703649804025,tremor
30,6956036,0.205,-0.2730317338208107,-0.2720941798946066,-0.985632655926639,13.028299205560842,-50.72707236779392,3.142458727070505,tremor
31,6956041,0.21,-0.2825624736871517,-0.2733190497271217,-0.9802565560798427,12.391923838701508,-54.15056913569382,1.8049089655595831,tremor
32,6956046,0.215,-0.29258993585833476,-0.2745963388837735,-0.97437783388709,11.630916193401129,-57.50590741793217,0.3205799359614097,tremor
