sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,10026184,0.0,0.016641897585696116,0.021234336250852207,-1.0614019484757393,1.6723992357841684,1.0877763249254675,-1.67399559623632,no_tremor
1,10026189,0.005,0.016955103984973387,0.021176186285831636,-1.0612688204726577,1.6094577086189248,1.0563202987096978,-1.623097318281107,no_tremor
2,10026194,0.01,0.017383318645303666,0.021095876972071416,-1.0610864119682248,1.5460011509274596,1.0240809097732713,-1.5715136036619517,no_tremor
3,10026204,0.02,0.01793300888328512,0.02099165066815429,-1.0608516792270348,1.482204730878086,0.9911604146306516,-1.519330713434932,no_tremor
4,10026208,0.024,0.01858861978432216,0.020865843571565262,-1.0605709294095886,1.4182475228852995,0.957664845933611,-1.4666381871952612,no_tremor
5,10026213,0.029,0.01932349175727307,0.020722958620892063,-1.0602552361088353,1.3543115490989044,0.9237032378232248,-1.4135287894840276,no_tremor
6,10026218,0.034,0.020109618177666388,0.02056787547274939,-1.0599163109022314,1.2905807671388436,0.8893868676656631,-1.3600984164890513,no_tremor
7,10026223,0.039,0.02092266828375621,0.020404896484429974,-1.059564364385581,1.2272400072686884,0.8548285208961809,-1.3064459563881654,no_tremor
8,10026228,0.044,0.02174341163156853,0.020237450416386294,-1.0592074891368466,1.164473863954686,0.8201417814851824,-1.252673098976283,no_tremor
9,10026237,0.053,0.02255733904238558,0.020068136040938024,-1.0588518097930981,1.1024655485225845,0.785440349078215,-1.1988840928774964,no_tremor
10,10026262,0.078,0.023353693371990888,0.01989888388525467,-1.0585018868741864,1.0413957109969358,0.7508373850369007,-1.145185452067367,no_tremor
11,10026267,0.083,0.024124491893514125,0.019731126704900147,-1.0581611268114557,0.9814412401400185,0.7164448921201338,-1.0916856169486635,no_tremor
12,10026272,0.088,0.024863739930454924,0.019565939252092546,-1.0578321124002725,0.9227740516278244,0.6823731345665525,-1.0384945774519494,no_tremor
