sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,10325543,0.0,-0.5387867447962494,-0.1693390196541385,0.7729891266118919,-1.3835598472998099,16.702164507625106,-1.0920871806187669,tremor
1,10325557,0.014,-0.5370467087321398,-0.16874362031831833,0.7726021037241713,-1.09931937676454,13.71206253199268,-1.0220191902475009,tremor
2,10325562,0.019,-0.5347159113172364,-0.16794280715057266,0.7720733322294042,-0.8269440352923472,10.809412195957474,-0.9492347153296885,tremor
3,10325572,0.029,-0.5317895659052627,-0.16693252941191333,0.7713951742095162,-0.5671656452177259,8.004466057772412,-0.8738014277035069,tremor
4,10325581,0.038,-0.5283831416660085,-0.16574977322274728,0.7705873052324649,-0.3206285615980849,5.306748139659907,-0.7958273590074069,tremor
5,10325601,0.058,-0.5246659197117595,-0.16445024387643803,0.7696831863863898,-0.08788762981254486,2.724991243432384,-0.7154635336375527,tremor
6,10325625,0.082,-0.5208059029636882,-0.16308963480819,0.7687179905264131,0.13059294899077548,0.26708452413010647,-0.6329059919482278,tremor
7,10325630,0.087,-0.5169435593719499,-0.16171458639373698,0.7677223954795702,0.3344398712823384,-2.0599680640699924,-0.5483971133867761,tremor
8,10325635,0.092,-0.513186048526349,-0.16036060329762894,0.7667208296959089,0.5233701262911117,-4.250077913321375,-0.46222615505724124,tremor
9,10325640,0.097,-0.5096110572062214,-0.1590532732718333,0.7657319450432395,0.697189551518114,-6.298090068845955,-0.3747289334708601,tremor
10,10325655,0.112,-0.5062733366059596,-0.15781044121723434,0.7647698140172573,0.8557905649219694,-8.199789423477123,-0.2862865972180931,tremor
11,10325660,0.117,-0.5032108243571557,-0.1566442688116101,0.7638451313478414,0.9991490923390505,-9.951894746994402,-0.19732346499067868,tremor
12,10325665,0.122,-0.5004494021570984,-0.15556284667521114,0.7629661731692752,1.127320718812786,-11.552040795839591,-0.10830393482036145,tremor
13,10325674,0.131,-0.4980062774821724,-0.15457134778199652,0.7621394833885545,1.2404361143129152,-12.99874914556303,-0.01972850422850005,tremor
14,10325679,0.136,-0.49589227326186575,-0.15367281409638014,0.7613703323623398,1.33869582020946,-14.291388891428818,0.06787102633226944,tremor
15,10325689,0.146,-0.4941133373745867,-0.15286867989197844,0.7606630065456015,1.4223645319298697,-15.430128951027424,0.15393706750368352,tremor
16,10325709,0.166,-0.4926715261700335,-0.15215911678505237,0.7600209795616342,1.4917650717301199,-16.41588433055486,0.23789235581974386,tremor
17,10325723,0.18,-0.49156564622735494,-0.15154326237204,0.7594470022233899,1.5472723071809666,-17.250259315159774,0.3191465447600952,tremor
18,10325750,0.207,-0.4907916799174295,-0.1510193747640749,0.7589431374546316,1.589307324450574,-17.935490997258967,0.39710314717696876,tremor
19,10325759,0.216,-0.490343077284178,-0.15058494083370755,0.7585107573362118,1.6183321908430124,-18.474396677606464,0.4711667090340925,tremor
20,10325779,0.236,-0.49021096725299607,-0.15023675601163927,0.7581505135774164,1.6348456121004822,-18.870328251296524,0.5407501011810146,tremor
21,10325784,0.241,-0.49038432192758796,-0.1499709869206402,0.7578622890937092,1.639379688476526,-19.127135635253552,0.6052818179678247,tremor
22,10325789,0.246,-0.49085009577091065,-0.14978322402802194,0.7576451364964336,1.6324978091457258,-19.249139774826844,0.664213160523952,tremor
23,10325799,0.256,-0.4915933543960596,-0.1496685290520252,0.7574972086134018,1.6147935373174167,-19.24111417159335,0.7170251551301959,tremor
24,10325808,0.265,-0.49259740368742194,-0.14962148047129292,0.757415686157273,1.5868901765190948,-19.10827258453021,0.7632350214518361,tremor
25,10325813,0.27,-0.4938439276780783,-0.14963621971819693,0.7573967079201288,1.5494406046487,-18.856259779120457,0.8024019814701124,tremor
26,10325828,0.285,-0.49531314206156607,-0.14970650016945922,0.7574353090661142,1.5031269310679725,-18.491141980241196,0.834132210111139,tremor
27,10325832,0.289,-0.4969839687553059,-0.14982574065747895,0.757525372972834,1.448659574924436,-18.019393985956004,0.8580827822934998,tremor
28,10325837,0.294,-0.4988342351642594,-0.14998708476253234,0.7576596014910993,1.3867754696076804,-17.44788061503356,0.8739645569366801,tremor
29,10325874,0.331,-0.5008408995741974,-0.15018346652783662,0.7578295074315482,1.3182352471048588,-16.783831130941557,0.881544031147724,tremor
30,10325884,0.341,-0.5029803015398484,-0.15040768246712397,0.758025431661033,1.243819416964491,-16.034806329489037,0.8806442730501718,tremor
31,10325889,0.346,-0.5052284335727826,-0.1506524689158733,0.758236585646748,1.1643236914595412,-15.208658907927065,0.871145087146272,tremor
32,10325928,0.385,-0.5075612283849672,-0.15091058311226727,0.7584511189433019,1.0805536890751835,-14.313488359724934,0.8529825848251916,tremor
33,10325943,0.4,-0.5099548548354979,-0.15117488606921253,0.7586562102435026,0.9933192613463796,-13.357591826981217,0.8261483368735738,tremor
34,10325947,0.404,-0.5123860156596921,-0.1514384253583807,0.7588381802852537,0.9034286462058123,-12.34941207905273,0.7906882798223475,tremor
35,10325952,0.409,-0.5148322407847294,-0.1516945162477971,0.7589826249994764,0.8116825758748815,-11.2974831869386,0.7467015238542111,tremor
36,10325962,0.419,-0.5172721711749513,-0.15193682003168676,0.759074567571764,0.7188683785029524,-10.210373733234388,0.6943391567975535,tremor
37,10325967,0.424,-0.5196858293929177,-0.15215941873844285,0.7590986283592801,0.6257540304457083,-9.09662677304338,0.6338030646405042,tremor
38,10325971,0.428,-0.5220548742105672,-0.15235688565935762,0.7590392117002842,0.533082061384563,-7.964695437719881,0.5653447176477846,tremor
39,10325998,0.455,-0.5243628375142694,-0.1525243513100695,0.7588807084799032,0.44156320287742595,-6.822873157188347,0.4892638256678767,tremor
40,10326007,0.464,-0.5265953422846746,-0.1526575645188206,0.7586077128234728,0.3518697078440802,-5.679217974083359,0.4059067582361084,tremor
41,10326012,0.469,-0.5287403004759423,-0.15275294830926692,0.7582052504867296,0.2646283503452661,-4.5414712523784155,0.31566465104981545,tremor
42,10326032,0.489,-0.5307880891045069,-0.15280765007724775,0.7576590154830433,0.18041323004150503,-3.416972105002602,0.21897116266077554,tremor
43,10326036,0.493,-0.5327317018555435,-0.15281958524379222,0.7569556103854449,0.0997386311666444,-2.3125699132897832,0.1162998807397695,tremor
44,10326041,0.498,-0.5345668722878384,-0.15278747316505836,0.7560827847609437,0.02305228921390084,-1.2345382134148342,0.0081613924468124,tremor
45,10326051,0.508,-0.5362921636639001,-0.15271086372851092,0.755029665525253,-0.04927052898832746,-0.1884938325799652,-0.10489996659053481,tremor
46,10326056,0.513,-0.5379090199238676,-0.15259015290683503,0.7537869727751416,-0.11693173327805673,0.8206746114021418,-0.2223096688536373,tremor
47,10326070,0.527,-0.5394217725559128,-0.1524265856599647,0.7523472148989626,-0.17971356192532126,1.788864888719755,-0.3434668269707042,tremor
48,10326075,0.532,-0.5408375990901944,-0.15222224497320888,0.75070485744312,-0.2374799153880804,2.712802577834191,-0.4677482462552944,tremor
49,10326085,0.542,-0.5421664305294628,-0.1519800264359427,0.7488564612468762,-0.29017571045234636,3.5900631629207322,-0.5945126200001433,tremor
50,10326090,0.547,-0.5434208070479448,-0.15170359850335755,0.7468007866617838,-0.3378242092298083,4.419073431408648,-0.7231047836931105,tremor
51,10326094,0.551,-0.544615683552867,-0.15139734933289511,0.7445388621481136,-0.38052240876926735,5.1990922079888655,-0.8528599643662876,tremor
52,10326131,0.588,-0.5457681890313743,-0.15106632175300444,0.7420740170819792,-0.41843471708165203,5.930171954807629,-0.9831080077410188,tremor
53,10326141,0.598,-0.5468973458175943,-0.1507161384443353,0.7394118800878181,-0.4517852740537172,6.613104146726122,-1.1131776271779152,tremor
54,10326151,0.608,-0.5480237567705989,-0.1503529197575127,0.736560345462386,-0.4808493722378473,7.249352339218757,-1.2424007700171604,tremor
55,10326160,0.617,-0.5491692695373082,-0.14998319673067517,0.7335295110701604,-0.5059444585199953,7.840977216527978,-1.3701172092295768,tremor
56,10326165,0.622,-0.5503566273073351,-0.1496138217868104,0.7303315913098228,-0.5274211369279569,8.390557539049944,-1.4956794283781685,tremor
57,10326170,0.627,-0.5516091146957037,-0.14925187929527933,0.7269808083922715,-0.545654465357061,8.901109986481107,-1.6184577932107345,tremor
58,10326175,0.632,-0.5529502058390593,-0.14890459771913733,0.7234932644298028,-0.5610356886344795,9.376009751766743,-1.7378459287981411,tremor
59,10326180,0.637,-0.5544032198363689,-0.1485792645103301,0.7198867959815682,-0.5739644157532273,9.818912641174135,-1.853266173045136,tremor
60,10326185,0.642,-0.5559909866692154,-0.14828314433647677,0.7161808119551487,-0.5848411496618118,10.233678496893711,-1.9641749597710843,tremor
61,10326213,0.67,-0.5577355249805275,-0.1480234007007894,0.7123961152699456,-0.5940600201557603,10.624295031329913,-2.0700679852288975,tremor
62,10326218,0.675,-0.5596577317901134,-0.1478070206249542,0.7085547085300331,-0.6020015588042764,10.994800718561116,-2.1704850148760855,tremor
63,10326250,0.707,-0.5617770835714506,-0.1476407418836298,0.7046795841910296,-0.609025396628619,11.349205359839859,-2.2650141834550914,tremor
64,10326255,0.712,-0.5641113482514881,-0.14753098237623974,0.7007945003612588,-0.6154628626346363,11.6914074494378,-2.3532956335595343,tremor
65,10326259,0.716,-0.5666763086101418,-0.14748377159342657,0.696923744382903,-0.6216095965466497,12.025108474895687,-2.435024335658404,tremor
66,10326264,0.721,-0.5694854989924666,-0.14750468466585298,0.6930918874978027,-0.6277184229950776,12.353725535647984,-2.509951945763447,tremor
67,10326269,0.726,-0.5725499587987762,-0.14759877999175616,0.6893235349608082,-0.6339928287069442,12.680304835751864,-2.5778875921702036,tremor
68,10326279,0.736,-0.5758780075350702,-0.147770541783923,0.6856430767293901,-0.6405814232294473,13.007439493482115,-2.63869754249827,tremor
69,10326284,0.741,-0.579475047097925,-0.14802382900210598,0.6820744442492568,-0.6475737512545278,13.337195632755076,-2.6923037817323996,tremor
70,10326289,0.746,-0.5833433973641332,-0.14836183205393927,0.6786408788554471,-0.6549977691125628,13.671050838707144,-2.7386816161911374,tremor
71,10326298,0.755,-0.5874821710292433,-0.14878703839189983,0.6753647169157859,-0.6628192073483314,14.009848739184733,-2.7778564861796653,tremor
72,10326303,0.76,-0.5918871929782168,-0.1493012077483618,0.6722671960660425,-0.670942926728146,14.3537727245661,-2.8099002037198435,tremor
73,10326313,0.77,-0.5965509682801967,-0.14990535728098534,0.669368285755044,-0.6792162506415002,14.70234071192616,-2.834926823972753,tremor
