sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,10300158,0.0,-0.37757500286323326,-0.14816603027397718,0.8451525512296524,7.13087134307389,-87.51371544390483,3.7285855381921085,tremor
1,10300169,0.011,-0.37963527932702257,-0.14793027728623537,0.842018400015069,6.81613071254279,-83.1334373274643,3.3268182085775586,tremor
2,10300181,0.023,-0.3825246700319526,-0.14763038070625026,0.8379224908827204,6.475772302896166,-78.51450918169783,2.941423087163703,tremor
3,10300192,0.034,-0.38632757372232085,-0.14727401654994593,0.8329109905455225,6.112379961773504,-73.68832960233325,2.5732137981725836,tremor
4,10300203,0.045,-0.3909767991169828,-0.14688298885942294,0.8272333007616177,5.728589189425543,-68.68678983206739,2.222898714658335,tremor
5,10300214,0.056,-0.39631771812059563,-0.1464826399781829,0.8212116345206605,5.327054048748956,-63.54189848686591,1.8910794058516596,tremor
6,10300226,0.068,-0.4021726639424101,-0.14609461917498245,0.8151426745924986,4.910415957259856,-58.28542388103026,1.578249606613807,tremor
7,10300237,0.079,-0.4083777515122477,-0.14573432141700599,0.8092561961932598,4.4812749912137235,-52.948560651489075,1.2847946481633907,tremor
8,10300248,0.09,-0.41479635575042695,-0.14541112164865683,0.803710858883117,4.042164319160845,-47.56162716474302,1.010991303857648,tremor
9,10300281,0.123,-0.4213197859039474,-0.14512966199697905,0.7986058105396351,3.5955283558157562,-42.15379978733153,0.7570080240419284,tremor
10,10300292,0.134,-0.42786301405814897,-0.1448912468112792,0.7939955635700028,3.143705171779643,-36.75288940067443,0.5229055603558166,tremor
11,10300303,0.145,-0.4343595456350774,-0.14469499382780776,0.7899029609548378,2.688913587407915,-31.385164395231367,0.30863801050521916,tremor
12,10300315,0.157,-0.44075702975901376,-0.14453868275090176,0.7863289636623354,2.2332451962322946,-26.075222655221562,0.11405434733014064,tremor
13,10300326,0.168,-0.44701397728716247,-0.14441934816692406,0.7832595499078882,1.7786612992826365,-20.845912739952063,-0.0610994686122518,tremor
14,10300360,0.202,-0.453097472602169,-0.14433368408047376,0.7806704256572423,1.3269944144482348,-15.718301776430467,-0.21717765645721882,tremor
15,10300371,0.213,-0.45898163691488564,-0.14427831802483967,0.7785302125635906,0.8799537113963983,-10.71168486396497,-0.3546308956845028,tremor
16,10300416,0.258,-0.46464661048773687,-0.14424999725796372,0.7768026265199292,0.4391334759063815,-5.8436285055592565,-0.4740015454390091,tremor
17,10300428,0.27,-0.4700778708261743,-0.14424571596485627,0.7754480072984096,0.006023569553904649,-1.1300391367124067,-0.5759176527991505,tremor
18,10300439,0.281,-0.4752657553182232,-0.14426280232599425,0.7744244402839128,-0.41797917840322923,3.4147525832731973,-0.6610856566442189,tremor
19,10300450,0.292,-0.48020509842828885,-0.14429897743944944,0.7736886264469809,-0.8315596629610017,7.777900530686609,-0.730281773936279,tremor
20,10300473,0.315,-0.48489492414356805,-0.14435239364181182,0.7731965991540393,-1.2334742032927857,11.947952594692909,-0.7843421485822667,tremor
21,10300484,0.326,-0.48933815592933394,-0.1444216570379374,0.7729043483230515,-1.6225420467953438,15.914767070104164,-0.824151934382994,tremor
22,10300495,0.337,-0.4935413213845728,-0.1445058374317379,0.7727683875411326,-1.9976393040990232,19.669440581867324,-0.8506335559872757,tremor
23,10300528,0.37,-0.4975142390648956,-0.1446044679076109,0.77274628359002,-2.3576957335466058,23.20425060327574,-0.864734436034283,tremor
24,10300539,0.381,-0.5012696819818946,-0.1447175357530055,0.7727971573530037,-2.7016945663067307,26.512614197167725,-0.867414495630884,tremor
25,10300573,0.415,-0.5048230171069813,-0.14484546607800994,0.7728821583493396,-3.0286753489224187,29.58906335609154,-0.8596337366066008,tremor
26,10300585,0.427,-0.5081918234993101,-0.14498909930510726,0.7729649109322217,-3.3377396040164764,32.429236261194745,-0.8423402006001256,tremor
27,10300596,0.438,-0.5113954938776133,-0.14514966361934722,0.7730119277063999,-3.628058974241787,35.02988288788326,-0.816458570213481,tremor
28,10300607,0.449,-0.5144548257993105,-0.145328743413406,0.7729929844177464,-3.8988854018406536,37.38888258276353,-0.7828796311281038,tremor
29,10300618,0.46,-0.5173916092250374,-0.14552824465769773,0.7728814500218574,-4.149562789439338,39.50527043949406,-0.742450756893448,tremor
30,10300662,0.504,-0.5202282172414954,-0.1457503579384715,0.7726545655504737,-4.379539485160021,41.37926846811443,-0.6959675213428697,tremor
31,10300673,0.515,-0.5229872062135813,-0.14599751965463906,0.772293665579029,-4.588380847240564,43.01231671183675,-0.6441664989395465,tremor
32,10300684,0.526,-0.5256909307766238,-0.14627237158968545,0.7717843364887377,-4.7757810826983285,44.40709875216516,-0.5877192846880497,tremor
33,10300696,0.538,-0.5283611780232093,-0.14657771881805426,0.7711165063507212,-4.941573532101615,45.56755569327807,-0.5272277476525604,tremor
34,10300707,0.549,-0.5310188241806852,-0.14691648569648888,0.770284462239176,-5.085738601114057,46.49888296277022,-0.46322052072120606,tremor
35,10300718,0.56,-0.5336835162211924,-0.14729166956084885,0.7692867922010828,-5.2084086350298096,47.20750520999045,-0.3961507237961573,tremor
36,10300730,0.572,-0.5363733803654083,-0.14770629173676422,0.7681262510045641,-5.309869206208721,47.701026165550765,-0.32639491562212214,tremor
37,10300741,0.583,-0.5391047594095841,-0.14816334561620412,0.7668095511040542,-5.390556532010967,47.98815237902625,-0.25425326101990336,tremor
38,10300774,0.616,-0.5418919811583419,-0.14866574186106424,0.7653470828559079,-5.451051036927248,48.07859204743258,-0.17995087521852152,tremor
39,10300785,0.627,-0.5447471607666703,-0.1492162512181094,0.7637525706610413,-5.492067369102665,47.982932384214664,-0.10364026760770845,tremor
40,10300797,0.639,-0.5476800401629757,-0.14981744584725912,0.7620426740856711,-5.514441415351041,47.712500758618546,-0.02540477047027562,tremor
41,10300808,0.65,-0.5506978676285857,-0.15047164033159083,0.7602365447664433,-5.5191149770593455,47.2792157475408,0.054737178455198376,tremor
42,10300820,0.662,-0.553805319877294,-0.15118083356390127,0.7583553507752216,-5.5071187614641595,46.69543409656015,0.1368270246356062,tremor
43,10300831,0.673,-0.5570044676517036,-0.15194665251661854,0.7564217800398058,-5.479554244996316,45.973798558266424,0.2209604617366664,tremor
44,10300842,0.684,-0.5602947841434812,-0.15277029861539132,0.75445953355563,-5.4375748306568825,45.12709006392805,0.30728125036941967,tremor
45,10300854,0.696,-0.5636731937425554,-0.15365249718440555,0.7524928177936036,-5.38236659188268,44.168086078929235,0.3959745345857872,tremor
46,10300899,0.741,-0.5671341570200864,-0.15459345030693095,0.7505458442691362,-5.315128800750681,43.109425591365984,0.4872596723786737,tremor
47,10300910,0.752,-0.5706697867133121,-0.15559279348772165,0.7486423430083816,-5.237054402384374,41.96348024177148,0.5813825969476323,tremor
48,10300921,0.763,-0.5742699890147607,-0.15664955670297875,0.7468050958483717,-5.149310635788065,40.74223085674401,0.6786077662913991,tremor
49,10300933,0.775,-0.57792262478457,-0.15776213071573533,0.7450554952020981,-5.0530201087190845,39.45714921453066,0.7792098226092434,tremor
50,10300944,0.786,-0.5816136863422159,-0.15892823981447782,0.743413134002775,-4.949242769558722,38.119086061453174,0.8834651350877675,tremor
51,10300955,0.797,-0.585327486977845,-0.16014492228333677,0.7418954327840285,-4.838959315022487,36.73816772096841,0.9916434156555127,tremor
52,10300966,0.808,-0.5890468618250188,-0.16140851984707733,0.7405173099850029,-4.7230565764310555,35.323704548274364,1.1039995772717357,tremor
53,10300978,0.82,-0.5927533798119068,-0.16271467703043543,0.7392909013584495,-4.602315336201856,33.88411466210399,1.2207659647870515,tremor
54,10300989,0.831,-0.596427566728096,-0.1640583508764199,0.7382253336550996,-4.477400877827339,32.426865790427996,1.3421450472197785,tremor
55,10301023,0.865,-0.6000491388813021,-0.16543383088279418,0.7373265565162354,-4.348856408170115,30.95843684571985,1.4683026250658258,tremor
56,10301035,0.877,-0.6035972454982185,-0.16683476846319584,0.736597234814003,-4.217099333129709,29.48429924914036,1.5993615724471852,tremor
57,10301046,0.888,-0.6070507163363535,-0.16825421483209727,0.736036701754681,-4.082420226733777,28.00891635641121,1.73539609650355,tremor
58,10301060,0.902,-0.6103883094701235,-0.1696846660267182,0.7356409712068881,-3.944984218736941,26.53575791104657,1.8764264663074108,tremor
59,10301070,0.912,-0.6135889533684635,-0.17111811383279463,0.7354028062069254,-3.8048344449152105,25.06732551692315,2.0224141661083905,tremor
60,10301075,0.917,-0.6166319773714882,-0.17254610163114764,0.7353118395640167,-3.6618971615401237,23.605184835932445,2.1732574779655174,tremor
61,10301079,0.921,-0.6194973253814983,-0.17395978454134306,0.7353547419318558,-3.51598812579507,22.15000061484782,2.3287875808865373,tremor
62,10301084,0.926,-0.6221657487710918,-0.17534999361409778,0.7355154325460982,-3.3668198940763423,20.701571641510156,2.488765330129085,tremor
