sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,9091375,0.0,-0.32078588516606743,-0.06640533607222515,-1.0017582199349742,-0.10762831540978898,0.26012785233850483,-0.5871892652797984,no_tremor
1,9091380,0.005,-0.32100670261107245,-0.06645605692721059,-1.0016809425253677,-0.029673655128958754,0.29229573295234385,-0.5481627067417482,no_tremor
2,9091385,0.01,-0.3213134516120411,-0.06652511972815613,-1.0015739299253372,0.049251358815625784,0.32375777121174604,-0.5087345885712331,no_tremor
3,9091390,0.015,-0.321714052238463,-0.06661337564926773,-1.001434499328337,0.12891060722608128,0.35433378657215425,-0.46905150810277296,no_tremor
4,9091395,0.02,-0.32220087929159447,-0.06671810860200887,-1.0012652894724,0.20906334334250976,0.3838488591347074,-0.4292659854403544,no_tremor
5,9091400,0.025,-0.3227578572112918,-0.06683483684229613,-1.0010717525802997,0.28946561832518036,0.4121352160576114,-0.38953563725306684,no_tremor
6,9091405,0.03,-0.3233672048388382,-0.06695889994820027,-1.0008598171786738,0.36987165684818735,0.4390340630460572,-0.3500222996578723,no_tremor
7,9091409,0.034,-0.3240131000189352,-0.06708626456094484,-1.0006346430532742,0.4500351657942331,0.46439734126064647,-0.31089110656786156,no_tremor
8,9091419,0.044,-0.3246828695140062,-0.06721374417635907,-1.0004002371445717,0.5297105621744687,0.4880893951217975,-0.27230952948904,no_tremor
9,9091424,0.049,-0.32536687689567007,-0.06733892894262011,-1.0001595151734664,0.6086541093671408,0.5099885398748951,-0.2344463841489987,no_tremor
10,9091429,0.054,-0.3260579425624897,-0.06746002312637346,-0.9999145187226269,0.6866249540339341,0.5299885187130352,-0.19747080843794765,no_tremor
11,9091433,0.058,-0.32675071418701424,-0.06757568396655526,-0.9996666442961479,0.7633860595224983,0.5479998383258494,-0.1615512150086163,no_tremor
12,9091438,0.063,-0.3274411424968654,-0.06768489341292062,-0.999416832444914,0.8387050347691949,0.5639509703982073,-0.126854220885654,no_tremor
13,9091443,0.068,-0.3281260915522986,-0.06778686604678917,-0.999165708183159,0.9123548607945249,0.577789405921708,-0.09354355595781327,no_tremor
14,9091448,0.073,-0.32880306574591983,-0.06788098679823953,-0.9989136797120928,0.9841145203246163,0.5894825495342337,-0.06177895249731038,no_tremor
15,9091453,0.078,-0.32947002482948534,-0.06796677044672723,-0.9986610059131868,1.0537695398108913,0.5990184425362417,-0.03171501902197866,no_tremor
16,9091457,0.082,-0.33012526080575105,-0.06804383605236825,-0.9984078419915018,1.1211124563682695,0.6064063057994378,-0.003500103895156211,no_tremor
17,9091462,0.087,-0.33076731656195185,-0.06811189119675146,-0.9981542704427161,1.1859432241398866,0.6116768970762317,0.02272484330662811,no_tremor
18,9091467,0.092,-0.3313949319540671,-0.06817072244602289,-0.9979003224343611,1.2480695749987334,0.6148826802980565,0.046827402134838866,no_tremor
19,9091472,0.097,-0.3320070076392362,-0.06822018960889499,-0.9976459930666,1.30730734717143,0.6160978068501479,0.06868479104728187,no_tremor
20,9091497,0.122,-0.3326025802555056,-0.06826022217823126,-0.9973912528103872,1.3634807924253778,0.6154179112203932,0.08818494340543852,no_tremor
21,9091502,0.127,-0.3331808048143721,-0.0682908168980567,-0.9971360566161515,1.4164228689023162,0.6129597264964209,0.1052275359704599,no_tremor
22,9091507,0.132,-0.33374094168378027,-0.0683120357662726,-0.9968803516430733,1.4659755242572554,0.6088605278302801,0.1197249559329911,no_tremor
23,9091511,0.136,-0.33428234652920824,-0.06832400402765963,-0.996624084196061,1.5119899735547628,0.6032774118088949,0.1316031927034969,no_tremor
24,9091516,0.141,-0.3348044622183212,-0.06832690787484123,-0.9963672062159098,1.5543269778659574,0.5963864153697154,0.1408026413931295,no_tremor
25,9091521,0.146,-0.33530681209817575,-0.0683209916854652,-0.9961096815076715,1.592857131369394,0.5883814707049743,0.1472788059045554,no_tremor
26,9091526,0.151,-0.3357889943023,-0.0683065547005355,-0.9958514917861859,1.6274611661928409,0.579473185353613,0.15100289079867743,no_tremor
27,9091531,0.156,-0.33625067689084853,-0.06828394710345814,-0.9955926425484039,1.6580302852686764,0.569887432221443,0.15196227288078332,no_tremor
28,9091535,0.16,-0.33669159370571894,-0.06825356549951273,-0.9953331687380472,1.6844665342978775,0.5598637344161544,0.15016084561255774,no_tremor
29,9091540,0.165,-0.337111540858101,-0.0682158478259276,-0.9950731401418381,1.706683224299371,0.549653434925758,0.14561923116268613,no_tremor
30,9091545,0.17,-0.3375103737752553,-0.0681712677465521,-0.9948126664430359,1.7246054155054655,0.5395176503798584,0.13837485542600264,no_tremor
31,9091555,0.18,-0.33788800472851066,-0.06812032860415583,-0.9945519018538844,1.7381704708365402,0.5297250200306449,0.12848188090513635,no_tremor
32,9091560,0.185,-0.3382444007545075,-0.06806355701871407,-0.9942910492510726,1.7473286825955292,0.5205492746873758,0.11601099210608115,no_tremor
33,9091570,0.195,-0.3385795818733696,-0.06800149623212337,-0.9940303637449429,1.752043969879885,0.5122666645810393,0.10104902920540879,no_tremor
34,9091574,0.199,-0.33889361950556873,-0.06793469930864808,-0.9937701556215248,1.7522946376322006,0.5051532977309439,0.08369846840761778,no_tremor
35,9091579,0.204,-0.33918663499594304,-0.06786372230582605,-0.9935107926043516,1.7480741825031085,0.4994824480451654,0.06407675076600405,no_tremor
36,9091584,0.209,-0.3394587981676351,-0.06778911753241379,-0.9932527013891133,1.739392126741936,0.49552189273222924,0.04231546414731995,no_tremor
37,9091589,0.214,-0.3397103258469103,-0.0677114270083199,-0.9929963684082431,1.7262748594674506,0.493531331572996,0.018559384965076836,no_tremor
38,9091594,0.219,-0.33994148031711807,-0.06763117623672468,-0.9927423397853685,1.708766464515654,0.49375992808455893,-0.007034612224410153,no_tremor
39,9091619,0.244,-0.34015256767225266,-0.06754886839126314,-0.9924912204427546,1.6869295149133918,0.49644399729500294,-0.034298767207421275,no_tremor
40,9091624,0.249,-0.34034393604523727,-0.06746497901184265,-0.9922436723304625,1.660845815226085,0.5018048497339128,-0.06305575583417497,no_tremor
41,9091628,0.253,-0.3405159736834982,-0.0673799512918315,-0.9920004117559293,1.6306170740225912,0.5100467893702818,-0.09312010524402609,no_tremor
