sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,9244296,0.0,-0.42389742477557746,-0.09045653951244455,-0.9519696470923481,-0.7477459324393508,11.589206302521134,-1.8355241189515372,tremor
1,9244301,0.005,-0.4237024267378062,-0.09039883257631656,-0.9522981197612987,-0.7501459978842017,11.863739093472011,-2.0623196374284145,tremor
2,9244306,0.01,-0.42341267228017765,-0.0903184950518667,-0.9527799966696475,-0.736193259254041,12.143097421491625,-2.292092436691177,tremor
3,9244311,0.015,-0.42300724121184663,-0.09021378915030079,-0.9534457825743942,-0.7045316018930632,12.42277590983411,-2.5239854535340855,tremor
4,9244315,0.019,-0.42247837623692097,-0.09008743754810751,-0.9543034720561606,-0.6538282222671147,12.697791296463777,-2.75709287775195,tremor
5,9244320,0.024,-0.4218277048021228,-0.08994476655466556,-0.9553457248853755,-0.5827837055886305,12.962685938768743,-2.990463343509751,tremor
6,9244325,0.029,-0.42106103959573565,-0.08979186998453799,-0.9565588885840998,-0.4901422765571939,13.211535398761582,-3.223103563710509,tremor
7,9244330,0.034,-0.42018486687189044,-0.08963457332691675,-0.9579288427014578,-0.37470213776808425,13.437960273395717,-3.4539824088451763,tremor
8,9244335,0.039,-0.41920471806319337,-0.08947806637027403,-0.9594435684565742,-0.2353258064102222,13.63514240932177,-3.6820354277309355,tremor
9,9244340,0.044,-0.41812476244788516,-0.0893268980339051,-0.9610936820136381,-0.0709503571348067,13.795845613843326,-3.906169802759251,tremor
10,9244345,0.049,-0.4169479868748441,-0.08918510756625646,-0.9628720353181937,0.11940252328464301,13.91244094285417,-4.125269726923697,tremor
11,9244350,0.054,-0.41567657583753714,-0.08905637559871674,-0.9647730322204645,0.3366167659358127,13.976936610997996,-4.338202184429972,tremor
12,9244355,0.059,-0.4143123077652198,-0.08894415004043013,-0.9667919556872991,0.581472532183992,13.981012528683776,-4.543823111342352,tremor
13,9244359,0.063,-0.4128568993812405,-0.08885173684610423,-0.9689244074630884,0.8546373063111607,13.9160594250271,-4.740983907395606,tremor
14,9244364,0.068,-0.41131228415962706,-0.08878235927727324,-0.9711658740068522,1.1566575647343553,13.773222465717504,-4.928538264656838,tremor
15,9244369,0.073,-0.4096808316439244,-0.0887391928175657,-0.9735114009929398,1.487951115635236,13.543449221184941,-5.105349273300896,tremor
16,9244384,0.088,-0.4079655197656188,-0.08872538256080502,-0.9759553519685332,1.8488001991921224,13.217541784865,-5.27029675974463,tremor
17,9244414,0.118,-0.4061700716530711,-0.08874404844928993,-0.9784912293093488,2.239345433116837,12.786212785673175,-5.422284807958164,tremor
18,9244419,0.123,-0.4042990659794061,-0.08879828226918815,-0.9811115405693197,2.659580679992058,12.24014498452705,-5.560249410775566,tremor
19,9244424,0.128,-0.40235802733942255,-0.08889113913120888,-0.9838076980812853,3.1093489018435743,11.5700540928628,-5.683166194402919,tremor
20,9244429,0.133,-0.40035350101494477,-0.08902562530958923,-0.9865699434715641,3.5883390544142353,10.76675440181659,-5.790058156523036,tremor
21,9244434,0.138,-0.3982931148725274,-0.08920468372287362,-0.9893872915490716,4.096084060274717,9.821226764151326,-5.880003357034948,tremor
22,9244439,0.143,-0.3961856299700881,-0.08943117794466776,-0.9922474899912802,4.631959887309052,8.724688428035863,-5.952142500450645,tremor
23,9244453,0.157,-0.39404098063063875,-0.08970787537153563,-0.9951369925815398,5.195185747276739,7.4686641841164505,-6.005686349238474,tremor
24,9244458,0.162,-0.39187030418265295,-0.09003743000398383,-0.9980409446336362,5.7848254176159895,6.045058256213251,-6.039922906825435,tremor
25,9244463,0.167,-0.38968596019909557,-0.09042236518377768,-1.0009431798071897,6.399789678574578,4.4462263415622845,-6.054224307520643,tremor
26,9244468,0.172,-0.3875015388412784,-0.09086505655542197,-1.0038262278714738,7.038839847906279,2.665047187927682,-6.048053349355664,tremor
27,9244478,0.182,-0.3853318577940006,-0.0913677154675685,-1.0066713331856452,7.700592386869631,0.6949930805301566,-6.020969605694612,tremor
28,9244483,0.187,-0.38319294723807446,-0.09193237299257132,-1.0094584837778044,8.383524543062386,-1.4698014002336037,-5.9726350523069565,tremor
29,9244487,0.191,-0.3811020223238836,-0.09256086471408505,-1.0121664509553832,9.085980986738127,-3.834473000100176,-5.902819147436898,tremor
30,9244492,0.196,-0.37907744266764426,-0.09325481641044248,-1.0147728393859134,9.806181387846989,-6.40336645064067,-5.811403302423933,tremor
31,9244497,0.201,-0.37713865847687966,-0.09401563074374786,-1.0172541475639278,10.542228871753814,-9.179974833371665,-5.698384679747212,tremor
32,9244502,0.206,-0.3753061430134666,-0.09484447504988275,-1.0195858385349599,11.292119282550045,-12.16688431542919,-5.5638792550364595,tremor
33,9244506,0.21,-0.37360131121538664,-0.09574227031180159,-1.0217424206862105,12.05375117408923,-15.365723916967353,-5.408124080938438,tremor
34,9244532,0.236,-0.37204642441905167,-0.09670968138659171,-1.0236975383384546,12.824936440790625,-18.777120953023175,-5.23147869454063,tremor
35,9244537,0.241,-0.3706644812525198,-0.09774710854501156,-1.0254240717876828,13.603411493370318,-22.400662762435537,-5.034425616231281,tremor
36,9244542,0.246,-0.3694790949088616,-0.09885468037017531,-1.0268942463506532,14.386848879082713,-26.234865291657425,-4.81756989588941,tremor
37,9244557,0.261,-0.3685143571639924,-0.10003224804968083,-1.0280797498693142,15.172869241872972,-30.27714904169134,-4.581637672016188,tremor
38,9244562,0.266,-0.3677946896804972,-0.10127938108299521,-1.0289518580280532,15.959053515771553,-34.523822814083275,-4.327473720871096,tremor
39,9244567,0.271,-0.3673446833410463,-0.10259536441375441,-1.029481566737005,16.742955246486787,-38.97007561204551,-4.056037984749814,tremor
40,9244571,0.275,-0.36718892657895974,-0.10397919698566196,-1.0296397307353236,17.522112942820716,-43.60997697248528,-3.768401078945771,tremor
41,9244576,0.28,-0.36735182391125454,-0.10542959171205579,-1.029397207471424,18.294062370342942,-48.43648592944636,-3.4657387843818253,tremor
42,9244581,0.285,-0.36785740611996015,-0.10694497684388814,-1.0287250052243924,19.05634871164371,-53.44146873972628,-3.1493255386010928,tremor
43,9244586,0.29,-0.3687291337585633,-0.10852349871912198,-1.0275944343447772,19.80653852812186,-58.61572543420634,-2.8205269440846874,tremor
44,9244591,0.295,-0.3699896958705304,-0.11016302587814358,-1.0259772604176118,20.542231467869417,-63.94902519074285,-2.4807913208745616,tremor
45,9244596,0.3,-0.37166080598548784,-0.11186115453412424,-1.023845858090187,21.261071674342976,-69.43015045412058,-2.131640340010526,tremor
46,9244601,0.305,-0.37376299759720877,-0.1136152153932984,-1.021173364265894,21.960758862011815,-75.04694965299647,-1.7746587852444229,tremor
47,9244606,0.31,-0.376315421420566,-0.11542228182625104,-1.0179338293466433,22.639059037394155,-80.78639828002235,-1.4114835037701372,tremor
48,9244610,0.314,-0.37933564677082643,-0.1172791793954438,-1.0141023652118493,23.293814855270508,-86.63466800718076,-1.0437916234981446,tremor
49,9244615,0.319,-0.3828394694111092,-0.11918249674415046,-1.0096552886522816,23.92295560904207,-92.57720340249402,-0.6732881349121824,tremor
50,9244620,0.324,-0.38684072817869986,-0.12112859784575632,-1.0045702590311276,24.524506860608625,-98.59880569545798,-0.3016929586050745,tremor
51,9244625,0.329,-0.39135113263624943,-0.12311363559859308,-0.998826409019663,25.09659971865731,-104.68372290517932,0.06927235654449888,tremor
52,9244630,0.334,-0.39638010390848266,-0.12513356672949708,-0.9924044673467066,25.6374797744867,-110.81574549595521,0.43789813626923507,tremor
