sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,9339214,0.0,-0.19530188066943718,-0.32496006906088526,-0.9936979993123962,-4.081883607572117,3.4542612737898217,-1.758766896450175,tremor
1,9339218,0.004,-0.19317081907371816,-0.32460218348601794,-0.9941005890695964,-3.93930367445011,-2.0670147712193394,-0.7430724842700344,tremor
2,9339223,0.009,-0.19027755834879162,-0.3240900534569715,-0.9945563758575973,-3.785132600534389,-7.970303726479883,0.31726906530583465,tremor
3,9339228,0.014,-0.18660104160684166,-0.32339976868068376,-0.9950028505540529,-3.6188261117148484,-14.246935243497969,1.4196025712264484,tremor
4,9339233,0.019,-0.18227778744409975,-0.3225321678330322,-0.9953452482406865,-3.439881809748951,-20.88532255996537,2.5608692864667595,tremor
5,9339238,0.024,-0.1775246178591238,-0.32150333349178806,-0.9954828670160376,-3.2478477062805853,-27.87091468679681,3.737609368191636,tremor
6,9339243,0.029,-0.17257015295984704,-0.32033427721849445,-0.9953253568552729,-3.042330766379974,-35.18617499874224,4.945968424506736,tremor
7,9339247,0.033,-0.1676196634187348,-0.3190447881094415,-0.9947977761369828,-2.8230053579944596,-42.81058829760613,6.181708375015907,tremor
8,9339278,0.064,-0.16284511212064814,-0.3176510430494858,-0.9938394836314624,-2.5896215048365896,-50.72069822711061,7.44022281803259,tremor
9,9339283,0.069,-0.158387725033467,-0.31616537603588735,-0.9924010367772516,-2.3420128402039637,-58.89017668434792,8.71655704636058,tremor
10,9339287,0.073,-0.15436457914204904,-0.3145969374054811,-0.9904411801636955,-2.0801041583782602,-67.28992659503191,10.005432796474485,tremor
11,9339292,0.078,-0.1508751481276008,-0.31295255197662236,-0.9879245967908797,-1.8039184602934395,-75.88821910069035,11.301277754212213,tremor
12,9339297,0.083,-0.1480064282950597,-0.3112374878334852,-0.9848204495588545,-1.5135833915971808,-84.65086584731523,12.598259775326415,tremor
13,9339302,0.088,-0.1458364894470656,-0.3094560550953117,-0.9811015367510927,-1.2093369727672727,-93.54142666598894,13.890325711886447,tremor
14,9339311,0.097,-0.1444367189880492,-0.30761204022766653,-0.9767438680947944,-0.8915325214337583,-102.52145249421528,15.171244665045053,tremor
15,9339321,0.107,-0.14387310194229638,-0.3057090080434342,-0.9717265078761174,-0.560642666657962,-111.55076290047029,16.43465541043716,tremor
16,9339326,0.112,-0.14420683222978906,-0.3037505055744455,-0.9660315773263844,-0.2172623542999941,-120.58775704395063,17.6741176642567,tremor
17,9339336,0.122,-0.1454944775867041,-0.3017401960154415,-0.9596443448721484,0.13788925808548413,-129.5897563278517,18.883166776306254,tremor
18,9339341,0.127,-0.1477878555451056,-0.2996819437119657,-0.9525533581902572,0.5039681192144237,-138.51337638932608,20.055371352048788,tremor
19,9339346,0.132,-0.15113372877436088,-0.2975798649726061,-0.9447505885664979,0.880005917426729,-147.3149254148887,21.18439322010894,tremor
20,9339351,0.137,-0.15557339370141152,-0.29543835480793984,-0.936231568496598,1.2649121294514123,-155.9508250805798,22.264049076031004,tremor
21,9339356,0.142,-0.16114221326278863,-0.2932620963763016,-0.9269955099261679,1.6574775772867203,-164.37804969805885,23.288373049092197,tremor
22,9339361,0.147,-0.16786912958475425,-0.29105605764045467,-0.9170453944916371,2.0563795720050724,-172.55457841018315,24.251679358871343,tremor
23,9339366,0.152,-0.17577618274547865,-0.2888254782175726,-0.9063880295744307,2.4601887010269454,-180.4398545354835,25.14862415464707,tremor
24,9339370,0.156,-0.18487805568750823,-0.28657584840917266,-0.8950340655357573,2.8673772822350743,-187.99524542596782,25.97426556640324,tremor
25,9339398,0.184,-0.19518166154500194,-0.28431288176339176,-0.8829979705469972,3.2763294617220367,-195.18449549622372,26.7241209452653,tremor
26,9339403,0.189,-0.20668578726176434,-0.28204248213697136,-0.8702979602138319,3.685352871937593,-201.97416444418445,27.394220240848348,tremor
27,9339407,0.193,-0.21938080579615485,-0.2797707060152613,-0.8569558798702545,4.092691697906634,-208.33404220391895,27.981154465887037,tremor
28,9339412,0.198,-0.23324846799156213,-0.27750372076885266,-0.8429970381033023,4.49654092940805,-214.23753197083133,28.482118249014174,tremor
29,9339417,0.203,-0.24826178401562518,-0.2752477595431999,-0.8284499908376632,4.8950615164441285,-219.66199279834692,28.894945579670033,tremor
30,9339422,0.208,-0.26438500294058787,-0.2730090735659869,-0.8133462762025272,5.28639610262296,-224.58903376502258,29.21813799351515,tremor
31,9339427,0.213,-0.28157369745972904,-0.2707938827902553,-0.797720101429667,5.668684991868832,-229.00475248331162,29.450884611811677,tremor
32,9339432,0.218,-0.2997749588842713,-0.26860832594464557,-0.7816079841773859,6.0400820103074375,-232.89991171615193,29.59307361707561,tremor
33,9339436,0.222,-0.3189277054459687,-0.2664584112114175,-0.7650483519105633,6.39876995591834,-236.2700490610186,29.64529491242221,tremor
34,9339441,0.227,-0.33896310456518663,-0.26434996887327256,-0.748081104250506,6.742975379245841,-239.11551602479466,29.608833873647992,tremor
35,9339446,0.232,-0.3598051071728231,-0.2622886073373288,-0.7307471444852639,7.070982502907379,-241.44144430518867,29.48565626459548,tremor
36,9339451,0.237,-0.3813710894573729,-0.26027967394212637,-0.713087887639911,7.381146159332466,-243.25763867102236,29.27838455000174,tremor
37,9339456,0.242,-0.40357259462706824,-0.2583282218756913,-0.6951447535864004,7.6719036989534,-244.57839745397808,28.99026600451598,tremor
38,9339461,0.247,-0.42631616452722615,-0.2564389843810924,-0.6769586545690349,7.941785888651454,-245.42226328981548,28.625133176958236,tremor
39,9339466,0.252,-0.4495042483351624,-0.2546163572037338,-0.6585694871840759,8.189426875745626,-245.81170833681665,28.18735741889834,tremor
40,9339471,0.257,-0.4730361731698168,-0.25286438994578203,-0.6400156392318526,8.413573329647843,-245.77275971063747,27.681796321480217,tremor
41,9339476,0.262,-0.49680915940438225,-0.2511867866446748,-0.6213335219115396,8.613092887531618,-245.33457227037013,27.11373602141497,tremor
42,9339481,0.267,-0.5207193618643183,-0.24958691549601242,-0.6025571375204539,8.786982022103542,-244.5289571437258,26.488829433847204,tremor
43,9339486,0.272,-0.5446629170245761,-0.24806782721181822,-0.5837176921436045,8.934373422256751,-243.3898754712488,25.813031543587147,tremor
44,9339491,0.277,-0.568536975851106,-0.24663228106172944,-0.5648432617933985,9.05454293605335,-241.95290776464233,25.09253293554565,tremor
45,9339522,0.308,-0.592240702089074,-0.245282777207457,-0.5459585191200601,9.146916076501128,-240.25470999309366,24.333692770939493,tremor
46,9339531,0.317,-0.6156762165935498,-0.24402159353325312,-0.527084526209217,9.211074042037673,-238.3324679884437,23.542972416907062,tremor
47,9339536,0.322,-0.6387494697479447,-0.24285082482867412,-0.5082385971783929,9.246759163435735,-236.22336189527752,22.726870903459613,tremor
48,9339541,0.327,-0.6613710261459209,-0.24177242193514312,-0.48943423236355166,9.25387966115625,-233.96405205923662,21.891863295744084,tremor
49,9339551,0.337,-0.6834567484962122,-0.24078822836138666,-0.4706811239505488,9.232513581445227,-231.59019689571923,21.044342922632133,tremor
50,9339556,0.342,-0.7049283710128939,-0.2399000119193411,-0.45198523105153854,9.182911773577656,-229.13601200087678,20.190568207376266,tremor
51,9339560,0.346,-0.725713956152918,-0.2391094891195974,-0.4333489205292275,9.105499773900101,-226.63387822242288,19.336614629835612,tremor
52,9339565,0.351,-0.7457482322160983,-0.238418340366712,-0.41477116838274897,9.000878475034323,-224.1140047360758,18.488332138132037,tremor
53,9339570,0.356,-0.7649728128265973,-0.23782821437966783,-0.39624781525530983,8.869823480033839,-221.60415145297938,17.65130813564664,tremor
54,9339585,0.371,-0.7833363025205082,-0.2373407207033953,-0.3777718686131387,8.71328306885045,-219.12941336066265,16.8308360027247,tremor
55,9339590,0.376,-0.8007942954649604,-0.23695740964881176,-0.35933384337019497,8.532374734696425,-216.7120677127151,16.031888972662614,tremor
56,9339595,0.381,-0.8173092766464013,-0.2366797394807906,-0.34092213218110207,8.328380277422285,-214.37148337027858,15.259099070018616,tremor
57,9339599,0.385,-0.832850436621674,-0.23650903115052144,-0.3225233962873099,8.102739467014159,-212.1240901045825,14.516740738538727,tremor
58,9339604,0.39,-0.8473934120880618,-0.23644641133175454,-0.3041229676763703,7.857042311207485,-209.9834043256166,13.808718736747197,tremor
59,9339610,0.396,-0.8609199651061163,-0.23649274496652994,-0.2857052534027126,7.5930199778414735,-207.96010651503343,13.138559858683802,tremor
60,9339647,0.433,-0.8734176138517771,-0.23664855895568768,-0.26725413322222036,7.312534437834442,-206.06216460546827,12.50940804065275,tremor
61,9339651,0.437,-0.884879227360588,-0.23691395903941326,-0.248753342213265,7.017566911484212,-204.29499667300072,11.924022436974528,tremor
62,9339656,0.442,-0.8953025959607898,-0.23728854228634727,-0.2301868307923805,6.710205219622369,-202.66166563966556,11.384778081850817,tremor
63,9339661,0.447,-0.9046899880997803,-0.2377713079133981,-0.21153909547478789,6.392630158916062,-201.1630982819668,10.893668792766356,tremor
64,9339666,0.452,-0.9130477031744695,-0.23836056935734748,-0.1927954748544959,6.067101032892779,-199.79832073691634,10.45231200879044,tremor
65,9339671,0.457,-0.9203856288712149,-0.2390538705964733,-0.17394240654232898,5.73594047470184,-198.56470285274023,10.061955296113359,tremor
66,9339675,0.461,-0.9267168104497786,-0.2398479096812221,-0.15496764214472508,5.401518694876954,-197.45820408245208,9.723484297272638,tremor
67,9339680,0.466,-0.9320570383775992,-0.2407384722940146,-0.13586041872979351,5.066237278624611,-196.4736141220299,9.437431950436393,tremor
68,9339685,0.471,-0.93642445972629,-0.241720377935217,-0.1166115865571644,4.732512641091449,-195.604782137796,9.203988854672058,tremor
69,9339690,0.476,-0.9398392177622777,-0.2427874410361919,-0.09721369410760922,4.402759221965128,-194.8448292078252,9.023014696017366,tremor
70,9339695,0.481,-0.9423231231731021,-0.24393244893909183,-0.07766103261390145,4.079372460879499,-194.18633951615465,8.894050670487717,tremor
71,9339699,0.485,-0.943899359344325,-0.24514715826389963,-0.0579496433500009,3.7647115464125545,-193.6215268771728,8.816332846387535,tremor
72,9339704,0.49,-0.9445922230169536,-0.24642231071391296,-0.03807729186933086,3.4610818825716363,-193.14237431477383,8.788806409101722,tremor
73,9339709,0.495,-0.9444269004963725,-0.24774766885967536,-0.01804341418582075,3.1707171773788736,-192.74074565338586,8.810140736355315,tremor
74,9339723,0.509,-0.9434292783460088,-0.24911207189650178,0.002150959443844712,2.895761039131282,-192.40846936616688,8.878745265457187,tremor
75,9339728,0.514,-0.9416257861942965,-0.25050351079996,0.022503296965308076,2.6382479797582756,-192.13739623274563,8.992786136277164,tremor
76,9339738,0.524,-0.9390432679530449,-0.25190922171407,0.043009666701034795,2.400083783952135,-191.91943363669563,9.150203621222113,tremor
77,9339743,0.529,-0.9357088764690895,-0.2533157958057629,0.06366484268091646,2.1830253130464152,-191.74656051613314,9.348730382218086,tremor
78,9339769,0.555,-0.9316499855263373,-0.2547093032170433,0.08446240681104827,1.988659964678727,-191.6108279787986,9.585910623321746,tremor
79,9339774,0.56,-0.926894112330991,-0.2560754281685412,0.10539484221437695,1.8183851753811193,-191.50435127365458,9.859120233278341,tremor
80,9339779,0.565,-0.9214688433298729,-0.2573996117715971,0.12645361315307888,1.673388494130422,-191.41929899900128,10.165588018847876,tremor
81,9339784,0.57,-0.9154017566189464,-0.25866719878045624,0.14762922841805792,1.554628837901403,-191.34788497191414,10.502418087400686,tremor
82,9339799,0.585,-0.9087203354126862,-0.25986358444856633,0.1689112868507496,1.4628195581481982,-191.28236708217244,10.866613326425128,tremor
83,9339804,0.59,-0.9014518690261885,-0.26097435787881545,0.19028850557724195,1.3984139190937614,-191.21505589229614,11.255099760470781,tremor
84,9339813,0.599,-0.8936233403710905,-0.26198543874582697,0.2117487333624273,1.3615935403888224,-191.1383340032148,11.6647513831311,tremor
85,9339818,0.604,-0.8852613017833013,-0.26288320494467377,0.23327895300105875,1.3522603003962823,-191.04468553599645,12.092414909983768,tremor
86,9339828,0.614,-0.8763917437457165,-0.26365460949446534,0.2548652776693429,1.3700321280567103,-190.92673367158875,12.53493381049725,tremor
87,9339833,0.619,-0.8670399634053144,-0.26428728580925487,0.2764929465774204,1.4142430182147783,-190.77728317221133,12.98917096088394,tremor
88,9339838,0.624,-0.8572304414171887,-0.26476964117075624,0.2981463251077678,1.4839474740114544,-190.58936425814503,13.452029305788018,tremor
89,9339843,0.629,-0.8469867363693054,-0.26509093885195756,0.31980891398839983,1.5779294054804445,-190.35627415428416,13.920470011361852,tremor
90,9339848,0.634,-0.8363314057550092,-0.2652413698289062,0.34146337105353497,1.694715307678685,-190.071613007017,14.391527727096259,tremor
91,9339853,0.639,-0.8252859611819996,-0.265212115377983,0.36309154790863657,1.8325913330753538,-189.72931160056802,14.862322742643663,tremor
92,9339863,0.649,-0.8138708633409516,-0.2649954020910547,0.38467454244815114,1.9896236970077399,-189.32364925174375,15.330070021307662,tremor
93,9339868,0.654,-0.8021055593698233,-0.2645845509479941,0.4061927667645155,2.1636817438655376,-188.84926133005737,15.792085302433295,tremor
94,9339896,0.682,-0.7900085618623122,-0.2639740220476493,0.427626028623062,2.3524629774299197,-188.30113695022828,16.245788672674085,tremor
95,9339901,0.687,-0.7775975651812934,-0.2631594563827968,0.44895362346142126,2.5535194246384076,-187.6746084183034,16.688706185791144,tremor
96,9339905,0.691,-0.7648895913644627,-0.26213771562333127,0.47015443293875925,2.7642848317228776,-186.96533484930242,17.11847023493412,tremor
97,9339915,0.701,-0.7519011552437048,-0.26090692024925277,0.491207025561888,2.9821023363172823,-186.16928287200318,17.532819431934406,tremor
98,9339920,0.706,-0.7386484368545173,-0.25946648561078084,0.512089754956221,3.2042523767634212,-185.28270742053863,17.929598724938803,tremor
99,9339925,0.711,-0.7251474489422763,-0.2578171546993562,0.5327808519204745,3.4279806779290913,-184.30213532141164,18.30676040432169,tremor
100,9339930,0.716,-0.7114141882620222,-0.25596102572346074,0.5532585073864333,3.65052620047395,-183.22435382679953,18.662366525122884,tremor
101,9339934,0.72,-0.6974647611620405,-0.25390157210783143,0.5735009446341331,3.8691489667180203,-182.04640552976332,18.994593122450606,tremor
102,9339939,0.725,-0.6833154763637087,-0.2516436523326903,0.5934864804305603,4.081157679687181,-180.76559031355814,19.301736418410773,tremor
103,9339945,0.731,-0.6689829006476046,-0.2491935071072033,0.6131935760314644,4.2839370244451604,-179.37947421470216,19.582221020500228,tremor
104,9339949,0.735,-0.6544838760965592,-0.24655874169976905,0.6326008800982902,4.474974477904112,-177.8859043875189,19.834609904766687,tremor
105,9339959,0.745,-0.6398355004139834,-0.24374829178060642,0.651687266446282,4.651886362226971,-176.28302880034545,20.05761578413851,tremor
106,9339964,0.75,-0.6250550744301205,-0.24077237181381378,0.6704318700929199,4.812442776513537,-174.5693189066636,20.25011330977247,tremor
107,9339968,0.754,-0.6101600230469224,-0.2376424058040637,0.6888141252811972,4.954590954361831,-172.74359334166888,20.411151464607755,tremor
108,9339973,0.759,-0.5951677973940445,-0.23437094099068323,0.706813808996293,5.0764765399805984,-170.8050407094362,20.539965495256567,tremor
109,9339978,0.764,-0.580095766760303,-0.23097154582501986,0.7244110929887463,5.176462264243579,-168.75323974191951,20.635987784337416,tremor
