sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,4732729,0.0,-0.17916922370342991,-0.2799958979660317,0.8751527196025293,1.778109683873419,-1.0739474314240776,3.637556450109118,no_tremor
1,4732734,0.005,-0.1786050282369662,-0.28010344046135144,0.8748365536890103,1.7699154384112206,-1.3921277680610773,4.2386116206603095,no_tremor
2,4732738,0.009,-0.17786155968061265,-0.280257820750678,0.874397890168982,1.7602650954867545,-1.732648775886227,4.85786457614532,no_tremor
3,4732748,0.019,-0.17695098317046082,-0.28046600806122307,0.8738260149259661,1.7490772783792106,-2.093129386072803,5.490305905678833,no_tremor
4,4732767,0.038,-0.17592888536041287,-0.28072703960069495,0.8731327180792945,1.736272465000026,-2.4707926279255665,6.130363775263828,no_tremor
5,4732772,0.043,-0.17487083096534486,-0.28103483888275965,0.8723420797416429,1.7217746318550733,-2.862461136345147,6.771906435725173,no_tremor
6,4732782,0.053,-0.17385316763892333,-0.2813813906222314,0.8714807746976613,1.705513248606906,-3.264555827926273,7.408249361696161,no_tremor
7,4732787,0.058,-0.17294389852027295,-0.281758685354611,0.8705728119366446,1.6874256395637706,-3.6730979634973084,8.03216725134162,no_tremor
8,4732796,0.067,-0.17220063869419186,-0.2821595108166928,0.8696378324527445,1.66745971996608,-4.083714801445518,8.635911090873552,no_tremor
9,4732801,0.072,-0.1716718531921317,-0.2825775657808037,0.8686912758943194,1.6455771040103646,-4.491649027644424,9.211230457699916,no_tremor
10,4732806,0.077,-0.1713989805274525,-0.28300728592583924,0.8677452155306329,1.6217565688921216,-4.891772124453294,9.749401201249482,no_tremor
11,4732836,0.107,-0.1714183709532652,-0.2834435986278672,0.8668092600321294,1.595997846219068,-5.2786018138776445,10.241258601571275,no_tremor
12,4732841,0.112,-0.1717627210363082,-0.2838816997315865,0.8658912996829741,1.5683256999784358,-5.646323679535041,10.677236062997473,no_tremor
13,4732851,0.122,-0.17246200880153334,-0.2843168802270375,0.8649980555196662,1.5387942389045404,-5.988817039332498,11.047409353456617,no_tremor
14,4732856,0.127,-0.17354403352996697,-0.28474440304655446,0.8641354573538241,1.5074914003941586,-6.299685105899076,11.341546349521735,no_tremor
15,4732860,0.131,-0.17503467218137922,-0.28515942121259724,0.8633088923024872,1.4745435332305448,-6.572289434308153,11.549162193353343,no_tremor
16,4732865,0.136,-0.1769579434149619,-0.28555692746419375,0.8625233617804874,1.4401199976045609,-6.799788615536403,11.659579710668888,no_tremor
17,4732875,0.146,-0.17933594549442172,-0.28593172706396625,0.8617835762125285,1.4044376934350529,-6.975181128651131,11.661994878856422,no_tremor
18,4732880,0.151,-0.1821887139761156,-0.2862784275694925,0.8610940083311714,1.3677654219983613,-7.091352214954941,11.54554707159223,no_tremor
19,4732889,0.16,-0.18553403026952667,-0.2865914411813933,0.8604589193309832,1.3304279816857356,-7.141124584529762,11.299393741495791,no_tremor
20,4732904,0.175,-0.18938720206818863,-0.28686499667810333,0.8598823674073706,1.2928098966007404,-7.117312711830059,10.912789136530641,no_tremor
21,4732908,0.179,-0.1937608300222888,-0.28709315894452525,0.8593682049593449,1.2553586770212024,-7.012780424094755,10.375166580220164,no_tremor
22,4732914,0.185,-0.19866457077388935,-0.28726985478408185,0.8589200685727046,1.2185875138221829,-6.820501435888112,9.676223781415388,no_tremor
23,4732919,0.19,-0.20410490379299284,-0.2873889041551333,0.858541364488405,1.1830773146166438,-6.533622436050993,8.806010577386107,no_tremor
24,4732923,0.194,-0.21008490777611757,-0.2874440562605783,0.8582352513528324,1.149477996730478,-6.14552828987429,7.755018455259036,no_tremor
25,4732928,0.199,-0.21660405132293986,-0.28742903009362225,0.8580046214701492,1.1185089602042035,-5.649908878680239,6.514271141734565,no_tremor
26,4732953,0.224,-0.22365800194476568,-0.28733755913896114,0.8578520814158153,1.0909586721852098,-5.04082706033974,5.075415499888733,no_tremor
27,4732963,0.234,-0.23123845702226456,-0.2871634399721033,0.8577799326481167,1.067683301822248,-4.312787196827047,3.430811925587476,no_tremor
28,4732968,0.239,-0.23933300001839816,-0.28690058450734235,0.8577901526204942,1.0496043516906002,-3.460803657896399,1.5736233962086428,no_tremor
29,4732973,0.244,-0.2479249850038092,-0.28654307562833375,0.8578843768180807,1.0377052381814427,-2.480468672761447,-0.5020977074576178,no_tremor
30,4732978,0.249,-0.25699345232869736,-0.28608522590170365,0.8580638820944403,1.0330267802169975,-1.3680188647141587,-2.8013259082877666,no_tremor
31,4732983,0.254,-0.26651307805395796,-0.28552163902867916,0.8583295716536896,1.0366615639113346,-0.1203997685670495,-5.3279829848296165,no_tremor
32,4732987,0.258,-0.2764541595186899,-0.2848472736361518,0.8586819619988604,1.0497471604164839,1.2646724003515357,-8.084863287625524,no_tremor
33,4732992,0.263,-0.28678263915859475,-0.2840575089498842,0.8591211721430764,1.07345818485481,2.7886524825820658,-11.073564930590788,no_tremor
34,4732997,0.268,-0.29746016839075784,-0.2831482118311591,0.8596469153518268,1.1089971958206082,4.452112392340311,-14.294427746108077,no_tremor
35,4733002,0.273,-0.3084442130377604,-0.2821158045960224,0.8602584936497552,1.1575844476032493,6.254692204365127,-17.746478856734768,no_tremor
36,4733007,0.278,-0.3196882013729108,-0.28095733297506476,0.8609547952823638,1.2204465212930697,8.195057099967713,-21.427386667049763,no_tremor
37,4733016,0.287,-0.3311417154250904,-0.2796705335129144,0.8617342952709967,1.2988038764188303,10.270860953855122,-25.333424015527367,no_tremor
38,4733021,0.292,-0.3427507256844738,-0.27825389965157826,0.8625950591381515,1.3938573818722004,12.478717321691722,-29.459441146764938,no_tremor
39,4733026,0.297,-0.3544578687993665,-0.2767067456916333,0.8635347498099031,1.5067739040713255,14.814178552648885,-33.79884906693394,no_tremor
40,4733040,0.311,-0.36620276725170314,-0.2750292677810059,0.8645506376237507,1.6386710522588703,17.27172370060605,-38.34361372856869,no_tremor
41,4733045,0.316,-0.37792238934810174,-0.27322260104351126,0.8656396132847255,1.7906012057877883,19.844755840666128,-43.08426135498217,no_tremor
42,4733050,0.321,-0.38955144717057966,-0.27128887192914436,0.866798203521751,1.9635349760522767,22.525609311356455,-48.00989506258586,no_tremor
43,4733080,0.351,-0.40102282940538536,-0.26923124484612176,0.8680225891022973,2.1583442861300117,25.305567293881698,-53.10822277626107,no_tremor
44,4733090,0.361,-0.4122680652264066,-0.2670539621222558,0.8693086247696075,2.3757852835164694,28.17489000656147,-58.365596264835304,no_tremor
45,4733099,0.37,-0.4232178146829099,-0.2647623763432299,0.8706518605789043,2.6164813334755768,31.12285363814083,-63.76706095971536,no_tremor
46,4733109,0.38,-0.4338023803811485,-0.26236297413238235,0.8720475640361841,2.880906369132477,34.137799975762114,-69.29641607372287,no_tremor
47,4733119,0.39,-0.4439522347136009,-0.2598633904760736,0.8734907423963741,3.1693688962432343,37.20719651199695,-74.93628442264787,no_tremor
48,4733124,0.395,-0.45359855651911685,-0.25727241276449775,0.8749761644657663,3.481996963679572,40.317706650163956,-80.66819127323214,no_tremor
49,4733129,0.4,-0.4626737708639434,-0.2545999738107019,0.876498381281704,3.818724414433306,43.45526947670172,-86.47265149200665,no_tremor
50,4733134,0.405,-0.471112085607,-0.25185713322837927,0.8780517451117663,4.1792787263504305,46.60518843947498,-92.32926423916197,no_tremor
51,4733138,0.409,-0.4788500185303916,-0.24905604668769687,0.8796304263228752,4.563170737023103,49.75222816249793,-98.2168144307091,no_tremor
52,4733143,0.414,-0.48582690904974724,-0.24620992272356432,0.8812284278118554,4.969686523649324,52.8807185370544,-104.11338017320544,no_tremor
53,4733148,0.419,-0.4919854088393931,-0.24333296693840042,0.8828395968542796,5.397881677063274,55.97466515203765,-109.99644535420781,no_tremor
54,4733153,0.424,-0.49727194608938435,-0.24044031361836232,0.8844576344082062,5.846578171196984,59.017865059968244,-115.84301654770312,no_tremor
55,4733158,0.429,-0.5016371585364566,-0.23754794496550916,0.8860761020939693,6.314363986961142,61.99402681907133,-121.62974336748537,no_tremor
56,4733163,0.434,-0.5050362908671435,-0.2346725983362298,0.8876884272510642,6.799595604288625,64.88689370587333,-127.33304137223543,no_tremor
57,4733168,0.439,-0.5074295525723447,-0.23183166206646727,0.8892879066389695,7.300403428197238,67.68036895544105,-132.92921659319273,no_tremor
58,4733172,0.443,-0.5087824328366926,-0.22904306065486713,0.8908677094912495,7.814700164156517,70.35864185422732,-138.39459071931242,no_tremor
59,4733199,0.47,-0.5090659695750471,-0.2263251302638069,0.8924208807431533,8.340192105452664,72.90631347988179,-143.70562593722764,no_tremor
60,4733214,0.485,-0.508256970286981,-0.22369648568226946,0.8939403453248495,8.874393242752523,75.30852085203982,-148.83904838821474,no_tremor
61,4733219,0.49,-0.5063381829927425,-0.22117588006801078,0.8954189144383874,9.414642057094671,77.5510582310295,-153.7719691830367,no_tremor
62,4733229,0.5,-0.5032984161399884,-0.21878205893996597,0.8968492947101324,9.958120815430025,79.62049428421598,-158.48200192644094,no_tremor
63,4733234,0.505,-0.49913260701863005,-0.21653361001459365,0.8982241010301407,10.501877153970828,81.50428383782777,-162.9473757597233,no_tremor
64,4733238,0.509,-0.4938418388720106,-0.21444881056483509,0.8995358737626277,11.04284770786997,83.19087294525391,-167.14704302907322,no_tremor
65,4733243,0.514,-0.48743330752641817,-0.21254547402639823,0.9007771008515355,11.577883523946404,84.66979602549286,-171.06078081329144,no_tremor
66,4733258,0.529,-0.47992023896500524,-0.21084079758559232,0.9019402451681747,12.10377697442544,85.93176385285986,-174.66928568044423,no_tremor
67,4733263,0.534,-0.4713217598426106,-0.2093512124585055,0.9030177772676571,12.617289872609815,86.96874121273939,-177.95426117946045,no_tremor
68,4733273,0.544,-0.4616627234752879,-0.2080922385136725,0.9040022135483157,13.115182475076876,87.77401308728729,-180.8984977066397,no_tremor
69,4733278,0.549,-0.4509734943427741,-0.20707834479825535,0.9048861596531198,13.594243038918657,88.34223831220831,-183.48594451884637,no_tremor
70,4733282,0.553,-0.43928969461228173,-0.20632281739945021,0.9056623588229038,14.051317586421018,88.6694897602962,-185.7017737940278,no_tremor
71,4733297,0.568,-0.4266519166254635,-0.20583763590834508,0.9063237448152314,14.483339513147895,88.75328026155954,-187.5324367618733,no_tremor
72,4733330,0.601,-0.413105405682086,-0.20563335955585305,0.9068634989446741,14.887358659170019,88.59257366129958,-188.96571203826855,no_tremor
73,4733339,0.61,-0.39869971778884294,-0.20571902386681173,0.9072751107805861,15.260569450161675,88.18778064465648,-189.99074639265575,no_tremor
74,4733344,0.615,-0.3834883572854061,-0.20610204844200056,0.9075524420477427,15.600337711837152,87.54073921803909,-190.59808825326724,no_tremor
75,4733349,0.62,-0.36752839936231063,-0.20678815624796681,0.9076897932890706,15.904225775054295,86.65468002926319,-190.77971430826847,no_tremor
76,4733354,0.625,-0.3508801024073101,-0.2077813045916668,0.9076819728334755,16.170015521707565,85.53417701498103,-190.52904959227948,no_tremor
77,4733359,0.63,-0.33360651485701337,-0.20908362779521958,0.9075243675374055,16.39572906668124,84.18508416699268,-189.8409814623591,no_tremor
78,4733364,0.635,-0.3157730808257253,-0.2106953914704538,0.9072130146292211,16.579646818351286,82.61445949314911,-188.71186786873955,no_tremor
79,4733373,0.644,-0.297447248286127,-0.21261495822233598,0.9067446737945402,16.720322701896798,80.83047750603697,-187.13954031312383,no_tremor
80,4733378,0.649,-0.27869808303555194,-0.21483876458237303,0.9061168984247574,16.816596363354016,78.84233179843048,-185.1233018606838,no_tremor
81,4733388,0.659,-0.2595958911357292,-0.2173613089856724,0.9053281047423714,16.86760219940039,76.66012945036861,-182.6639205341407,no_tremor
82,4733393,0.664,-0.2402118519929299,-0.22017515065553875,0.9043776373514956,16.87277508307518,74.29477914740313,-179.76361837581234,no_tremor
83,4733403,0.674,-0.22061766377361827,-0.22327091933981918,0.9032658296745263,16.831852685518157,71.75787496420409,-176.42605642220875,no_tremor
84,4733408,0.679,-0.20088520244706753,-0.22663733593861238,0.901994057751571,16.744874333785933,69.06157777904,-172.6563157983116,no_tremor
85,4733412,0.683,-0.18108619542274973,-0.23026124415103696,0.9005647860070535,16.612176396889215,66.21849623291023,-168.46087510421057,no_tremor
86,4733422,0.693,-0.1612919105080825,-0.2341276533242657,0.8989816038202656,16.434384254586067,63.2415690339771,-163.8475842329482,no_tremor
87,4733449,0.72,-0.1415728607406879,-0.2382197926894962,0.8972492520523043,16.212400972135693,60.143950238477245,-158.8256347242966,no_tremor
88,4733454,0.725,-0.1219985255236329,-0.2425191771057828,0.8953736390465885,15.947392874319364,56.93889892471465,-153.40552672566687,no_tremor
89,4733459,0.73,-0.10263708837075841,-0.2470056843078974,0.8933618459822232,15.640772278043036,53.639674435117605,-147.59903259878308,no_tremor
90,4733469,0.74,-0.08355519140449769,-0.25165764348888675,0.8912221217522485,15.294177699049763,50.2594381160441,-141.4191571785065,no_tremor
91,4733478,0.749,-0.06481770651355961,-0.25645193487142476,0.8889638677046198,14.909451890602796,46.81116225957837,-134.88009465968923,no_tremor
92,4733483,0.754,-0.046487522788216086,-0.2613640997633392,0.8865976126050953,14.488618098810138,43.30754676208659,-127.99718206301792,no_tremor
93,4733488,0.759,-0.028625349558043404,-0.2663684604738758,0.8841349780872704,14.033854930346225,39.76094386545831,-120.78684921381286,no_tremor
94,4733497,0.768,-0.011289534119296209,-0.271438249401508,0.8815886346993395,13.547470224680954,36.18329123362164,-113.26656515791163,no_tremor
95,4733502,0.773,0.005464106901712076,-0.27654574659356906,0.8789722484921226,13.031874307934325,32.58605352818654,-105.45478093552491,no_tremor
96,4733507,0.778,0.02158244362915905,-0.2816624251131051,0.8763004179593853,12.489552984738944,28.980172570528442,-97.37086863959055,no_tremor
97,4733511,0.782,0.03701517745584216,-0.28675910361127643,0.8735886010686003,11.923040603622475,25.376026103077972,-89.03505670381408,no_tremor
98,4733516,0.787,0.05171497480727069,-0.2918061055732958,0.8708530321254481,11.334893514127238,21.783395084128372,-80.46836140156685,no_tremor
99,4733526,0.797,0.06563759069544625,-0.29677342476144336,0.8681106283034197,10.727664221484746,18.21143936608832,-71.69251459374745,no_tremor
100,4733531,0.802,0.07874198228583759,-0.3016308964009708,0.8653788858344592,10.103876536417335,14.668681516341925,-62.729887843119386,no_tremor
101,4733536,0.807,0.09099041235412342,-0.3063483736271829,0.862675766083195,9.466002011537803,11.162998442123232,-53.603413112113486,no_tremor
102,4733546,0.817,0.10234854216795439,-0.31089590862272876,0.860019571996812,8.816437949507455,7.701620376108212,-44.33650037472319,no_tremor
103,4733572,0.843,0.11278551302407196,-0.3152439377193223,0.8574288157138544,8.157487259229578,4.291136670850882,-34.95295259409981,no_tremor
104,4733576,0.847,0.12227401542985915,-0.3193634695267975,0.8549220784058104,7.49134042212253,0.9375077458291105,-25.476878637601416,no_tremor
105,4733586,0.857,0.1307903447679734,-0.3232262749105022,0.8525178636906776,6.820059807494615,-2.353917556280184,-15.9326048067257,no_tremor
106,4733600,0.871,0.1383144422479204,-0.32680507740557635,0.8502344461734923,6.145566541110315,-5.57838000352093,-6.3445857336933145,no_tremor
107,4733610,0.881,0.14482992003618766,-0.3300737424739727,0.8480897168197171,5.46963008323453,-8.731684215375315,3.2626845697978957,no_tremor
108,4733620,0.891,0.15032406964319997,-0.33300746390171615,0.8461010269547881,4.793860613972714,-11.810169907036093,12.864760731080066,no_tremor
109,4733625,0.896,0.15478785288582003,-0.33558294560347185,0.8442850327218788,4.119704259532167,-14.810680884731276,22.437332361020445,no_tremor
110,4733630,0.901,0.1582158749965789,-0.33777857713723336,0.8426575418373476,3.4484411295483848,-17.7305324687649,31.95630805361,no_tremor
111,4733635,0.906,0.16060633969436874,-0.33957460131411954,0.8412333644707843,2.781186078671744,-20.567477935056807,41.39789646275692,no_tremor
112,4733649,0.92,0.1619609862665641,-0.3409532723952918,0.8400261700483381,2.118892058020032,-23.319674470684834,50.73868397978018,no_tremor
113,4733654,0.925,0.1622850089524992,-0.3418990034813249,0.8390483517337073,1.4623558830076822,-25.98564903869464,59.95570863240519,no_tremor
114,4733664,0.935,0.16158695918032726,-0.3423985018060809,0.8383109002777186,0.8122262103148232,-28.564264445525424,69.02652991472652,no_tremor
115,4733700,0.971,0.15987863150906242,-0.34244089074042827,0.8378232888402296,0.16901348507389577,-31.05468580436995,77.9292943390832,no_tremor
116,4733705,0.976,0.1571749344675491,-0.34201781739044074,0.8375933702730708,-0.46689841132350496,-33.45634749643488,86.6427965783777,no_tremor
117,4733710,0.981,0.15349374783700814,-0.3411235447453487,0.8376272882084281,-1.0952391091220122,-35.768920662324085,95.14653614545142,no_tremor
118,4733715,0.986,0.1488557682405738,-0.33975502740119146,0.837929403124828,-1.715837607322471,-37.992281223037494,103.42076963931596,no_tremor
119,4733725,0.996,0.143284345127382,-0.3379119699643696,0.838502234365812,-2.328607357338356,-40.126478440327325,111.44655867514267,no_tremor
120,4733734,1.005,0.13680530934663584,-0.33559686732857236,0.8393464188683407,-2.933530881267666,-42.1717040695383,119.20581369586434,no_tremor
121,4733744,1.015,0.12944679651218677,-0.3328150261188988,0.8404606871232794,-3.53064421373184,-44.128262217522256,126.68133392677123,no_tremor
122,4733749,1.02,0.12123906729265096,-0.32957456670786167,0.8418418566441908,-4.12002143074992,-45.99654008077734,133.8568437767783,no_tremor
123,4733758,1.029,0.11221432665778856,-0.32588640533049484,0.8434848429698655,-4.701759500565035,-47.77697979718794,140.7170260133783,no_tremor
124,4733768,1.039,0.10240654399253142,-0.32176421596348626,0.8453826879789625,-5.27596366242659,-49.47005169315901,147.247552044518,no_tremor
125,4733777,1.048,0.0918512758690687,-0.31722437179127505,0.847526605060615,-5.842733511591973,-51.07622924184616,153.4351096290223,no_tremor
126,4733787,1.058,0.08058549314678218,-0.31228586626546784,0.8499060404703758,-6.402149942791292,-52.59596606413138,159.26742830744902,no_tremor
127,4733792,1.063,0.0686474139409762,-0.3069702139754053,0.8525087500113999,-6.9542630802142575,-54.029675299724886,164.73330280005584,no_tremor
128,4733819,1.09,0.05607634384934233,-0.3013013317848886,0.8553208900177802,-7.499081299346595,-55.37771165032504,169.82261456237075,no_tremor
129,4733824,1.095,0.042912524634825734,-0.29530540094335045,0.8583271214785015,-8.03656142378512,-56.64035635142088,174.52635162614584,no_tremor
130,4733829,1.1,0.0291969923245321,-0.2890107111311525,0.861510726023387,-8.566600158048725,-57.81780526827172,178.83662678979178,no_tremor
131,4733834,1.105,0.014971445393827623,-0.282447487624844,0.8648537323955809,-9.089026796488199,-58.91016024132196,182.74669416439448,no_tremor
132,4733839,1.11,0.00027812337117104867,-0.275647702949601,0.8683370519601804,-9.60359723083931,-59.9174237337717,186.2509640316706,no_tremor
133,4733844,1.115,-0.01484030415698277,-0.2686448745169127,0.871940621747619,-10.109989266192738,-60.839496764920696,189.3450159239046,no_tremor
134,4733854,1.125,-0.030340838512499396,-0.2614738498349542,0.875643553503701,-10.607799246777533,-61.676180051088366,192.02560978675643,no_tremor
135,4733859,1.13,-0.04618024355147669,-0.254170580943121,0.8794242872151423,-11.09653998721624,-62.42717822400121,194.29069503400018,no_tremor
136,4733864,1.135,-0.06231512889900215,-0.246771889776114,0.883260747600455,-11.575639999815186,-63.09210695672269,196.13941725520192,no_tremor
137,4733869,1.14,-0.07870202593052576,-0.23931522621778142,0.8871305021027707,-12.044444002327236,-63.67050280106648,197.572122299896,no_tremor
138,4733883,1.154,-0.09529745774429049,-0.23183842066736063,0.8910109189946236,-12.502214681991358,-64.16183552731052,198.59035743797466,no_tremor
139,4733888,1.159,-0.11205800439230887,-0.22437943301324467,0.8948793243020912,-12.94813567957005,-64.56552275228977,199.19686928541674,no_tremor
140,4733893,1.164,-0.12894036458476343,-0.21697609998889536,0.8987131563701186,-13.38131574245193,-64.88094663752057,199.39559818648453,no_tremor
141,4733897,1.168,-0.1459014149719688,-0.20966588296342542,0.9024901170133243,-13.800793981955033,-65.10747242665094,199.19166875831687,no_tremor
142,4733902,1.173,-0.16289826796089074,-0.202485618285073,0.9061883183180246,-14.205546160855743,-65.2444685670158,198.59137633076512,no_tremor
143,4733907,1.178,-0.1798883288582955,-0.19547127234175285,0.9097864242740112,-14.594491935536773,-65.29132812505334,197.60216905098045,no_tremor
144,4733912,1.183,-0.19682935296299484,-0.18865770352634748,0.9132637865134251,-14.966502983504997,-65.24749116556534,196.23262546624807,no_tremor
145,4733917,1.188,-0.2136795030651999,-0.18207843329583925,0.9166005735160995,-15.320411960122057,-65.11246772724438,194.49242744857202,no_tremor
146,4733944,1.215,-0.23039740766025346,-0.175765428494028,0.9197778927054496,-15.655022245316331,-64.88586099837575,192.3923283793831,no_tremor
147,4733949,1.22,-0.24694222005720573,-0.1697488970655791,0.9227779049074196,-15.969118456745761,-64.56739028435759,189.94411656938408,no_tremor
148,4733954,1.225,-0.26327367847900024,-0.1640570992134186,0.9255839306790141,-16.261477712582778,-64.1569133712438,187.16057394032927,no_tremor
149,4733963,1.234,-0.27935216724016876,-0.15871617592057682,0.928180548034152,-16.53088161617293,-63.65444793452132,184.05543003434457,no_tremor
150,4733968,1.239,-0.2951387791739083,-0.15374999655081498,0.9305536811032763,-16.77612890250144,-63.060191719598215,180.6433114391048,no_tremor
151,4733978,1.249,-0.31059537965958295,-0.14918002695510335,0.9326906792583041,-16.996048638164734,-62.374541317895215,176.9396867294858,no_tremor
152,4733983,1.254,-0.32568467283897473,-0.1450252191587676,0.9345803862159234,-17.189513814281085,-61.59810946111242,172.96080703873335,no_tremor
153,4733997,1.268,-0.3403702708524528,-0.1413019233152084,0.9362131986042221,-17.355455126764408,-60.73174083917975,168.72364239403856,no_tremor
154,4734007,1.278,-0.3546167671180853,-0.1380238222195698,0.9375811134519031,-17.492874707501766,-59.77652650258506,164.2458139883563,no_tremor
155,4734012,1.283,-0.36838981476479504,-0.13520188831202193,0.9386777640554751,-17.600859556451155,-58.73381692870738,159.54552261331708,no_tremor
156,4734016,1.287,-0.38165621127527694,-0.13284436279172762,0.9394984437212685,-17.678594429330783,-57.60523381130195,154.64147354198144,no_tremor
157,4734021,1.292,-0.39438399018065157,-0.1309567562229237,0.9400401169849957,-17.725373956204056,-56.3926805804346,149.55279821534305,no_tremor
158,4734026,1.297,-0.40654252029213434,-0.1295418698419178,0.9403014180878799,-17.74061379711217,-55.09835159619552,144.29897314466842,no_tremor
159,4734031,1.302,-0.41810261249503106,-0.12859983665295335,0.9402826367254546,-17.723860674449977,-53.72473990368198,138.89973649075807,no_tremor
160,4734040,1.311,-0.42903663362021416,-0.12812818130976883,0.9399856913617953,-17.67480115159307,-52.274643400279075,133.3750028240461,no_tremor
161,4734073,1.344,-0.4393186264085276,-0.12812189769476798,0.9394140906903211,-17.59326904913434,-50.75116925064161,127.74477660986786,no_tremor
162,4734078,1.349,-0.4489244341606274,-0.12857354300785834,0.9385728840882461,-17.479251401949274,-49.15773638549382,122.02906500060288,no_tremor
163,4734083,1.354,-0.45783182838080705,-0.1294733470492475,0.9374686021137155,-17.332892863931608,-47.49807592867767,116.24779054341722,no_tremor
164,4734088,1.359,-0.46602063761338786,-0.13080933522729932,0.9361091881916375,-17.154498469810694,-45.776229401337595,110.42070442013981,no_tremor
165,4734097,1.368,-0.4734728757201104,-0.1325674636628666,0.9345039226060109,-16.944534674835086,-43.99654454426492,104.56730082409443,no_tremor
166,4734102,1.373,-0.48017286799429154,-0.13473176462295475,0.9326633397798902,-16.703628619683695,-42.163668579992766,98.70673305716855,no_tremor
167,4734107,1.378,-0.486107373667798,-0.13728450042625343,0.9305991396278612,-16.43256560955046,-40.28253871487671,92.85773190815094,no_tremor
168,4734112,1.383,-0.4912657034657391,-0.14020632394190025,0.9283240935697873,-16.132284847839234,-38.35836967026158,87.03852685146796,no_tremor
169,4734117,1.388,-0.4956398308585469,-0.1434764438606705,0.9258519456483139,-15.803873519154894,-36.396638039314894,81.266770581368,no_tremor
170,4734122,1.393,-0.49922449554708287,-0.14707279304965362,0.9231973091242209,-15.448559366006858,-34.403063294672535,75.55946737010406,no_tremor
171,4734127,1.398,-0.5020172975193107,-0.15097219848924198,0.9203755589390498,-15.06770194271543,-32.38358532009254,69.93290571025541,no_tremor
172,4734132,1.403,-0.5040187797788751,-0.15515055150989254,0.9174027205233991,-14.662782754040382,-30.344338404362535,64.4025956691605,no_tremor
173,4734136,1.407,-0.5052324976128939,-0.15958297726944068,0.9142953555721036,-14.235394492673276,-28.291621715963,58.98321134502045,no_tremor
174,4734141,1.412,-0.5056650720822267,-0.16424400261520447,0.9110704455781122,-13.78722957943579,-26.231866370967854,53.68853876972477,no_tremor
175,4734146,1.417,-0.5053262253204828,-0.16910772163720464,0.9077452740857935,-13.320068186733785,-24.17159931232652,48.53142955573694,no_tremor
176,4734151,1.422,-0.5042287952486704,-0.1741479583226439,0.9043373087632006,-12.835765895679222,-22.11740433295027,43.523760537073414,no_tremor
177,4734156,1.427,-0.502388727471948,-0.17933842575733333,0.9008640844792276,-12.336241106249465,-20.075880693643143,38.67639961041091,no_tremor
178,4734165,1.436,-0.49982504243249964,-0.18465288128580873,0.8973430885920879,-11.823462292239025,-18.053599904383834,33.99917794304218,no_tremor
179,4734192,1.463,-0.4965597763420735,-0.19006527694717898,0.8937916496055819,-11.299435171600361,-16.057061346484783,29.500868678709892,no_tremor
180,4734197,1.468,-0.49261789498584324,-0.19554990436995204,0.8902268302339001,-10.766189850366333,-14.092647501587498,25.189172236156473,no_tremor
181,4734202,1.473,-0.48802718013313096,-0.20108153317507182,0.8866653257504642,-10.225767995753037,-12.16657960151253,21.070708252431864,no_tremor
182,4734206,1.477,-0.48281808895189215,-0.20663554185308944,0.8831233683093992,-9.680210100049479,-10.284874500280118,17.151014169333266,no_tremor
183,4734211,1.482,-0.4770235874467857,-0.21218804009004175,0.8796166377513904,-9.131542908234737,-8.453303491484284,13.434550398424811,no_tremor
184,4734221,1.492,-0.47067895949244687,-0.2177159816269318,0.8761601792624297,-8.581767095146091,-6.677353668074779,9.924711934698715,no_tremor
185,4734236,1.507,-0.4638215935089309,-0.2231972669275733,0.8727683281536558,-8.032845289381811,-4.962192274202953,6.62384622758222,no_tremor
186,4734245,1.516,-0.45649074923351285,-0.2286108351619018,0.8694546419704587,-7.486690548671869,-3.3126343515886316,3.53327706267014,no_tremor
