sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,4910748,0.0,-0.08197673036097383,-0.26935383709809707,0.8778151183745802,0.7203794848981138,4.82392385733507,5.110710495315138,tremor
1,4910760,0.012,-0.08824754547445196,-0.2697492125974104,0.8783473720226459,0.11487383681204354,8.04359719340173,1.5408032071909663,tremor
2,4910771,0.023,-0.09665137330027707,-0.2703553065391969,0.8791068384450863,-0.4710657110793635,11.113382525626692,-2.0424658972231637,tremor
3,4910793,0.045,-0.10719851132875985,-0.27120475704567637,0.8801173592219487,-1.0253711240585563,14.10509626412541,-5.637983153897092,tremor
4,4910804,0.056,-0.11944973858851383,-0.272284807125088,0.8813587736443924,-1.5367450893956776,17.090064067684335,-9.243212179179116,tremor
5,4910837,0.089,-0.13276564017019285,-0.27354635066853183,0.8827847335348723,-1.9949530912163032,20.134616858842705,-12.853306733699336,tremor
6,4910848,0.1,-0.14651580641035525,-0.27492042291413193,0.8843422061977237,-2.391069798586195,23.29578080184938,-16.460507956681052,tremor
7,4910859,0.111,-0.16017930070382919,-0.27633141834085756,0.8859833936610937,-2.7176737357275123,26.617415829535975,-20.053885182872943,tremor
8,4910870,0.122,-0.1733670262906076,-0.2777049050395638,0.887670512128966,-2.968990386134429,30.12711655877161,-23.619443675918188,tremor
9,4910882,0.134,-0.18580755469000984,-0.278971416776036,0.8893763381823174,-3.1409884426619574,33.834204121768835,-27.140585877149856,tremor
10,4910926,0.178,-0.1973230346581882,-0.28006805920629885,0.8910829102815143,-3.2314337079283395,37.72906256613994,-30.598876789147408,tremor
11,4910958,0.21,-0.2078071003615926,-0.2809391780185765,0.8927796913528951,-3.239898698953971,41.78388559452993,-33.975030780199,tremor
12,4910969,0.221,-0.21720814833144225,-0.2815367127223799,0.8944616988374694,-3.167716396687824,45.95462633292867,-37.2500122432739,tremor
13,4910981,0.233,-0.22551755297970763,-0.28182046666903093,0.8961276799703027,-3.0178618452993344,50.18368441795403,-40.4061343482854,tremor
14,4910992,0.244,-0.2327611489813804,-0.2817583498568301,0.8977782536215645,-2.794752679309882,54.40275918747966,-43.428051855807354,tremor
15,4911003,0.255,-0.23899225617047298,-0.281326624190201,0.8994139558288917,-2.5039783883453857,58.53542605062377,-46.30356965839014,tremor
16,4911014,0.266,-0.2442849907171206,-0.2805102252325526,0.9010332295748087,-2.1519898891138567,62.49930959159387,-49.02421771559159,tremor
17,4911025,0.277,-0.24872727366676187,-0.27930328256604287,0.9026305155295172,-1.7457966816405872,66.20809149122586,-51.58556702751441,tremor
18,4911037,0.289,-0.25241361917370064,-0.2777099645315021,0.9041946722596934,-1.2927228959689958,69.57385313101926,-53.987276446194805,tremor
19,4911048,0.3,-0.2554383008315487,-0.2757457117304172,0.9057079533997289,-0.8002630618983578,72.51030253425135,-56.23286632376422,tremor
20,4911082,0.334,-0.25788972079031025,-0.27343880302053364,0.9071456984633582,-0.2760532609723888,74.93722235516437,-58.32921572131735,tremor
21,4911093,0.345,-0.25984666872330936,-0.2708320439315598,0.9084767811677613,0.27206107008401886,76.78602955822741,-60.28578244692012,tremor
22,4911104,0.356,-0.2613766955872865,-0.26798422274199696,0.9096647454854742,0.8359098788319423,78.00579608020976,-62.11355927436256,tremor
23,4911115,0.367,-0.2625362132838541,-0.264970896938153,0.910669484753825,1.4068970142045243,78.56866701776137,-63.82381295623715,tremor
24,4911126,0.378,-0.26337141575933326,-0.26188409839712956,0.911449303228276,1.975963419606052,78.47353110266302,-65.42670352016445,tremor
25,4911138,0.39,-0.2639189175315074,-0.2588306908049122,0.9119632301573098,2.5336421561213043,77.74710663780934,-66.92993519356737,tremor
26,4911149,0.401,-0.2642052179335828,-0.25592933958216474,0.9121734949012413,3.0702064433511276,76.44219040742296,-68.33762484214161,tremor
27,4911160,0.412,-0.26424466820159703,-0.2533062897355186,0.912048078184192,3.5758895486699567,74.63345971772276,-69.64956968593518,tremor
28,4911171,0.423,-0.2640363558813502,-0.25109031647752356,0.9115632157970457,4.041140184239995,72.4117003969558,-70.86104333058236,tremor
29,4911204,0.456,-0.2635609554346934,-0.24940727412062239,0.910705668204486,4.456873395672688,69.8775151922738,-71.96314970599798,tremor
30,4911215,0.467,-0.26277885595633466,-0.24837462224860477,0.9094745257876103,4.814686537621753,67.13541810278647,-72.94363771306085,tremor
31,4911226,0.478,-0.26163062030769924,-0.24809619525093554,0.9078823354115417,5.107028829726148,64.28882593485449,-73.78796656230708,tremor
32,4911249,0.501,-0.26004013573197465,-0.24865736417534612,0.9059554218288186,5.327332956254604,61.435996752804556,-74.48036255437047,tremor
33,4911260,0.512,-0.2579199872670363,-0.250120677337143,0.9037334069087802,5.470129537261946,58.666643004512075,-75.00464775653415,tremor
34,4911271,0.523,-0.2551779990396441,-0.2525220874665017,0.9012680394127691,5.531164076641687,56.058899661046944,-75.34472961943784,tremor
35,4911282,0.534,-0.2517237889675418,-0.25586796145379825,0.8986214831858449,5.507521374706903,53.67653750810459,-75.48476713269947,tremor
36,4911294,0.546,-0.24747455048400666,-0.2601331646917618,0.8958641648998211,5.397742816076861,51.566618040252706,-75.40912475666516,tremor
37,4911338,0.59,-0.2423598522010798,-0.2652605401971893,0.893072203010075,5.201910144880795,49.757984191790655,-75.10226360347309,tremor
38,4911349,0.601,-0.2363256920178574,-0.2711620112384953,0.8903243978946863,4.921673575551443,48.260943592185924,-74.54870009089464,tremor
39,4911360,0.612,-0.2293381302516804,-0.2777213319913611,0.8876987997316872,4.560219783427421,47.068246033862984,-73.73310922339876,tremor
