sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,4954791,0.0,-0.33516633661254075,-0.09699875823640622,0.8251753373340417,0.7925779695960953,-55.421536046219636,5.021330780441009,tremor
1,4954817,0.026,-0.3381018473048326,-0.09684299619159387,0.8254981370817287,0.7205827452791336,-48.42183431781488,4.400077467175827,tremor
2,4954822,0.031,-0.34207173256273166,-0.0966178703148031,0.8259166210779051,0.688797685585341,-41.67638060691343,3.724842811134348,tremor
3,4954826,0.035,-0.34711363581543575,-0.09631198715387962,0.8264220634378404,0.698026708821332,-35.207629872641235,2.9942906729363896,tremor
4,4954831,0.04,-0.3530646342741012,-0.095925202451166,0.8269836436577117,0.7488367514598439,-29.036297907418543,2.2073301756428267,tremor
5,4954836,0.045,-0.3596679639054305,-0.09546470969856327,0.8275626214156085,0.8415511949710267,-23.181235018894082,1.363140548042737,tremor
6,4954846,0.055,-0.3666638923436624,-0.09494049658960521,0.8281230387735888,0.9762447862748077,-17.659314823582385,0.4611947270689939,tremor
7,4954855,0.064,-0.37383410340595397,-0.09436250492027347,0.8286363014866139,1.1527400923069588,-12.485338854188809,-0.49871865905078044,tremor
8,4954860,0.069,-0.3810122770539214,-0.09373943208654693,0.8290817576784274,1.3706055355948963,-7.671957849011539,-1.516475279574996,tremor
9,4954870,0.079,-0.3880784314824542,-0.09307851412200702,0.8294455656396496,1.6291550640947863,-3.229610763111518,-2.591597386279393,tremor
10,4954879,0.088,-0.3949484304992615,-0.0923857361779894,0.8297191973474811,1.9274495156073093,0.8335173199255568,-3.723238692721035,tremor
11,4954884,0.093,-0.40156391897969423,-0.09166615708245222,0.8298981337579652,2.264299745227482,4.511517138074206,-4.910172123205068,tremor
12,4954894,0.103,-0.40788436719184706,-0.09092421094713436,0.8299808871437152,2.6382715936411762,7.800755900465077,-6.150780688427058,tremor
13,4954898,0.107,-0.4138813223295211,-0.0901639429456487,0.8299683183363606,3.047692783683328,10.699855730140607,-7.443051730832961,tremor
14,4954903,0.112,-0.419534446306636,-0.0893891771593057,0.8298631731371257,3.4906618381011207,13.209649452237331,-8.784574774235747,tremor
15,4954908,0.117,-0.4248288512088378,-0.08860362808468564,0.8296697661595791,3.965059105119694,15.333113928553072,-10.172543208837306,tremor
16,4954913,0.122,-0.4297533262393016,-0.08781096950971069,0.8293937572194406,4.468559952499511,17.075281939309537,-11.603760041751487,tremor
17,4954940,0.149,-0.43429915859471113,-0.08701487252713912,0.8290419821176291,4.998650141174531,18.443134510220304,-13.074647938663771,tremor
18,4954945,0.154,-0.43845934405302256,-0.08621902165983361,0.8286223127044203,5.552643316353969,19.445476504570294,-14.581263765754665,tremor
19,4954959,0.168,-0.4422280527598884,-0.08542711557805177,0.8281435303236137,6.127700462355654,20.092799134682657,-16.11931780144141,tremor
20,4954964,0.173,-0.4456002643934379,-0.08464285699794452,0.8276152029351455,6.720851070107922,20.39713365013822,-17.68419771421356,tremor
21,4954969,0.178,-0.4485715195811751,-0.08386993504320503,0.8270475602974922,7.3290156823235995,20.371900706169274,-19.270997291608328,tremor
22,4954979,0.188,-0.451137755684434,-0.08311200250423553,0.8264513642742162,7.94902942857593,20.031759756987,-20.874549762691533,tremor
23,4954988,0.197,-0.45329520832202447,-0.08237264989791272,0.8258377731176035,8.577666148202471,19.39246229191238,-22.489465397346375,tremor
24,4954993,0.202,-0.4550403677770321,-0.08165537788924804,0.8252181998031596,9.211662718508968,18.47071192324449,-24.110172908609744,tremor
25,4954998,0.207,-0.4563699835050563,-0.08096356938674264,0.824604165336112,9.847743249665552,17.28403334559028,-25.73096404729768,tremor
26,4955003,0.212,-0.4572811116188838,-0.08030046240116043,0.8240071485328009,10.482642868506513,15.850651118439465,-27.346040675952587,tremor
27,4955008,0.217,-0.45777120039078534,-0.07966912453014646,0.823438434156337,11.113130886006397,14.189378174203004,-28.94956355007092,tremor
28,4955013,0.222,-0.45783820816325455,-0.0790724296937494,0.8229089614973712,11.736033221615228,12.319513012123382,-30.53570202011175,tremor
29,4955018,0.227,-0.4574807470755119,-0.07851303751116954,0.8224291755697182,12.348254034183835,10.26074378383931,-32.09868389476143,tremor
