sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,8197991,0.0,-0.5231948102253794,-0.015583239103978012,0.7902888375589223,-2.735681654379889,-1.3305177398901438,-0.38911774312103015,no_tremor
1,8198002,0.011,-0.5225682859449897,-0.015659630536521914,0.7888564365192381,-2.43168133586492,-1.2553118089856532,-0.43221757975562725,no_tremor
2,8198013,0.022,-0.5216428836607355,-0.015674979731024767,0.7866627009330739,-1.7486569790860682,-1.1171961941783872,-0.35774250375232575,no_tremor
3,8198024,0.033,-0.5203796465334197,-0.015548864459059375,0.7835709651752168,-0.6579354678277786,-0.9127140507553294,-0.15563608381071084,no_tremor
4,8198035,0.044,-0.5188094352863771,-0.015182563575318199,0.7796151951249336,0.8508865103086894,-0.6413795913228063,0.17770220189084632,no_tremor
5,8198046,0.055,-0.5170212610277793,-0.014479752371356605,0.7749871804821458,2.765878431492443,-0.3062845512086098,0.6381525928035722,no_tremor
6,8198058,0.067,-0.5151415349040683,-0.013360931126645867,0.7699933082205903,5.0491902657749845,0.08537641987757147,1.2128385199406202,no_tremor
7,8198069,0.078,-0.5133175229428771,-0.011771220154975696,0.7650151163825165,7.6342270491437825,0.5218987726972415,1.879407709085268,no_tremor
8,8198101,0.11,-0.5117068393561471,-0.009684529586877298,0.7604815787317665,10.423872925721204,0.9868180815182113,2.6057181818111563,no_tremor
9,8198146,0.155,-0.5104706757869727,-0.007106482931613586,0.7568496461533145,13.290043507919437,1.4588572377380844,3.3500079414649,no_tremor
10,8198157,0.166,-0.5097682193110444,-0.004077097562657546,0.7545875991988545,16.07481517324929,1.912110491506866,4.061611775224083,no_tremor
11,8198179,0.188,-0.5097506773691222,-0.0006732970842723207,0.7541573964157776,18.593329473975555,2.316499602969285,4.682266056698599,no_tremor
12,8198233,0.242,-0.5105542580228457,0.0029890844592380056,0.7559942285928506,20.638601768984074,2.6385284940506035,5.148013573418798,no_tremor
13,8198245,0.254,-0.5122920669357752,0.006754260081596557,0.7604829679918139,21.98827825408579,2.842350123779326,5.391687399566712,no_tremor
14,8198290,0.299,-0.5150452340184758,0.010426841272558357,0.767932124599892,22.41328762594341,2.891143441574764,5.345918080518795,no_tremor
15,8198312,0.321,-0.5188537744910336,0.013773942655578068,0.7785464804603363,21.68822515450471,2.7487789439654082,4.946573524245283,no_tremor
16,8198344,0.353,-0.523707792096081,0.016529306114050214,0.7923999261789039,19.603189921972053,2.3817285250135463,4.136506828281635,no_tremor
17,8198366,0.375,-0.5295396851592041,0.01839960520767852,0.8094102592601174,15.9766723160452,1.7611505602431146,2.8694543907560512,no_tremor
18,8198378,0.387,-0.5362180369843702,0.019072972573532843,0.8293178575044637,10.668962421523771,0.865057357252828,1.1138961878832128,no_tremor
19,8198465,0.474,-0.5435438649367799,0.01822966018250485,0.8516702150576169,3.5954285623252957,-0.3195481552819203,-1.1433358227675636,no_tremor
20,8198487,0.496,-0.551249863783786,0.015554594917867384,0.87581430857654,-5.26109021764352,-1.7946948196173367,-3.8939337595218,no_tremor
21,8198521,0.53,-0.5590032021617948,0.010751434574154208,0.9008986245110189,-15.839612101308552,-3.5497622108722537,-7.105715099665781,no_tremor
22,8198532,0.541,-0.5664123109110458,0.0035575714116156797,0.9258864060744373,-27.99293505445133,-5.560235541579515,-10.721184733758879,no_tremor
23,8198554,0.563,-0.5730379344816793,-0.006240615960135972,0.9495812563170792,-41.48301822881413,-7.787028931364338,-14.657271423749465,no_tremor
24,8198597,0.606,-0.578408498879078,-0.018793083413654925,0.9706656532829704,-55.98061508330398,-10.176492525032995,-18.80641029490044,no_tremor
25,8198608,0.617,-0.5820395806115923,-0.03417291967891262,0.9877521917170905,-71.06980831335933,-12.661191180059827,-23.03907838450123,no_tremor
26,8198619,0.628,-0.5834569440926558,-0.052365557640642206,0.9994464701196916,-86.25787656046636,-15.16150250617544,-27.207802620760553,no_tremor
27,8198664,0.673,-0.5822222608197978,-0.073261294392354,1.0044195134228442,-100.99062454562817,-17.588028091620775,-31.15255088694448,no_tremor
28,8198709,0.718,-0.5779602528938531,-0.09665189116885822,1.0014865022294326,-114.67293742304314,-19.844743699083633,-34.70729235456005,no_tremor
29,8198720,0.729,-0.5703856512886347,-0.12223180826417127,0.9896874513804568,-126.69389547651775,-21.83273698409782,-37.7073856399973,no_tremor
30,8198765,0.774,-0.5593280860966008,-0.14960433266908693,0.968364494047729,-136.45534321362163,-23.45430630458216,-39.997344397328206,no_tremor
31,8198777,0.786,-0.5447529138278946,-0.17829250383760292,0.937229798451688,-143.40239105810667,-24.617139221138846,-41.43846290796895,no_tremor
32,8198845,0.854,-0.5267761030015574,-0.2077543723515208,0.8964180889611629,-147.0539738292104,-25.238277006952227,-41.91577218490908,no_tremor
33,8198856,0.865,-0.5056716517700005,-0.237401779950392,0.8465183862562207,-147.03133767941938,-25.24761821545287,-41.34384243021176,no_tremor
34,8198867,0.876,-0.48187054417264447,-0.2666215749303839,0.7885808962719594,-143.08225173626826,-24.59080922999625,-39.671049295247315,no_tremor
35,8198878,0.887,-0.4559508809663428,-0.29479801860650845,0.7240967965356574,-135.09894130401742,-23.231473625929752,-36.88207307610877,no_tremor
36,8198901,0.91,-0.4286194708461533,-0.32133512141995174,0.6549507585635973,-123.12825522271419,-21.15280952820987,-32.9985786200166,no_tremor
37,8198979,0.988,-0.4006857831156272,-0.3456777646398854,0.583348199458079,-107.3733217944261,-18.35862619694337,-28.07819038479417,no_tremor
38,8198990,0.999,-0.37302970592319085,-0.3673306754959129,0.5117213062058831,-88.18673431867181,-14.873901855937417,-22.21199943220261,no_tremor
39,8199013,1.022,-0.3465649934514129,-0.38587456967366024,0.44261962688254175,-66.05597233324445,-10.744922635296259,-15.52090744251624,no_tremor
40,8199035,1.044,-0.3222005856883789,-0.40097900287162075,0.3785922328630337,-41.582238276404475,-6.039008386852684,-8.151132647950318,no_tremor
41,8199080,1.089,-0.3008021094970006,-0.41241165886378855,0.32206893694577166,-15.454199224187919,-0.8437658411059937,-0.2691846488638928,no_tremor
42,8199114,1.123,-0.28315579286857095,-0.42004393954583863,0.2752477786992915,11.581677636661384,4.734232172256331,7.943426490959442,no_tremor
43,8199125,1.134,-0.2699367427166385,-0.4238528061058398,0.23999509690752166,38.75241562289323,10.571441508502614,16.295535815702483,no_tremor
44,8199136,1.145,-0.26168308942215107,-0.42391885408337454,0.2177632128165722,65.28971899866437,16.53008217601639,24.591577490125776,no_tremor
45,8199202,1.211,-0.2587769646444702,-0.4204206264433493,0.20952925623335475,90.45954143920247,22.461634088584404,32.636671924066135,no_tremor
46,8199213,1.222,-0.26143273013159046,-0.41362523451067135,0.21575714648222122,113.58880369009799,28.21105527035505,40.24153026648489,no_tremor
47,8199236,1.245,-0.2696923726543238,-0.40387549910150405,0.23638331764478437,134.0883347155562,33.62161911486106,47.227189043542516,no_tremor
48,8199247,1.256,-0.2834275743211174,-0.391574029982983,0.2708255480731274,151.47138680450186,38.54021288545918,53.429581170612416,no_tremor
49,8199258,1.267,-0.30234770022083535,-0.3771648888606718,0.31801327420474673,165.36732141425836,42.822913792502135,58.703919630340096,no_tremor
50,8199280,1.289,-0.32601282269380816,-0.36111369054652676,0.37643704011298434,175.53027374525888,46.340651153526096,62.92882907688136,no_tremor
51,8199324,1.333,-0.35385088397717723,-0.343887170957255,0.4442142121771261,181.84276904921634,48.98474661285701,66.0101132976565,no_tremor
52,8199336,1.345,-0.38517812964493503,-0.3259333832860475,0.5191677098733326,184.31438793156912,50.67208763256179,67.88399605228174,no_tremor
53,8199347,1.356,-0.41922198982858117,-0.30766375374315086,0.598914221812727,183.07569128098564,51.349643966469515,68.51962945447444,no_tremor
54,8199358,1.367,-0.45514564451451234,-0.28943818721131387,0.6809581800071923,178.36775225654003,50.99799850066749,67.92064415059636,no_tremor
55,8199369,1.378,-0.49207359100960396,-0.2715542158408434,0.7627876727439462,170.52781329903766,49.633539008536154,66.12553287269624,no_tremor
56,8199381,1.39,-0.5291176142533673,-0.254240833560214,0.8419685117208515,159.97176959065627,47.30895388309672,63.206716322156915,no_tremor
57,8199392,1.401,-0.5654025973032354,-0.23765721817053773,0.9162328512727608,147.17434460913532,44.11172082718266,59.26822709303484,no_tremor
58,8199403,1.412,-0.6000915731272467,-0.2218960960231246,0.9835590902889917,132.64794526547365,40.16041406303918,54.442045637525574,no_tremor
59,8199414,1.423,-0.6324093399263517,-0.20699112217687948,1.042240235599387,116.92125156230848,35.59890238035982,48.88321954046845,no_tremor
60,8199447,1.456,-0.6616639196135948,-0.19292736553671358,1.0909383835103252,100.51859933329999,30.588832250229714,42.76399052121989,no_tremor
61,8199459,1.468,-0.6872652060054735,-0.17965380857004074,1.1287233913402108,83.94114069971488,25.301093498868624,36.26723754778696,no_tremor
62,8199470,1.479,-0.7087403228663605,-0.16709669495503895,1.1550941575566134,67.65060096489314,19.9071312495113,29.579601522747105,no_tremor
63,8199481,1.49,-0.7257453903462162,-0.1551725992751568,1.169981344008094,52.05619783294522,14.570921543555675,22.884666646459706,no_tremor
64,8199503,1.512,-0.738073454017542,-0.14380026168269133,1.1737310603348718,37.5049942611203,9.442196839094924,16.356534386467047,no_tremor
65,8199515,1.524,-0.7456582341972899,-0.1329104988778736,1.1670700900232212,24.2756915177095,4.651210306212276,10.15406132911542,no_tremor
66,8199526,1.535,-0.7485732269525797,-0.12245379113066691,1.151054555817211,12.575685473070969,0.30508779286676696,4.415970232797538,no_tremor
67,8199569,1.578,-0.7470257244929575,-0.11240536385429743,1.1270052168792353,2.54110782432486,-3.514316803690487,-0.7430047401319807,no_tremor
68,8199580,1.589,-0.7413456278421211,-0.10276769733697026,1.096433572211283,-5.760479136204877,-6.751199367362548,-5.234820325058959,no_tremor
69,8199592,1.601,-0.7319694230606844,-0.09357045782011877,1.0609634582978436,-12.325104925947826,-9.375374715132109,-8.999605078068702,no_tremor
70,8199603,1.612,-0.7194201809116265,-0.08486793221992026,1.0222528687179548,-17.205541871059232,-11.380814602858086,-12.005910050798718,no_tremor
71,8199614,1.623,-0.7042847459661431,-0.07673421157566215,0.9819203653460669,-20.503034191382145,-12.783349325980959,-14.249784833522785,no_tremor
72,8199626,1.635,-0.687189370262298,-0.069256574267931,0.941479788206999,-22.358077702513373,-13.617732199927932,-15.752793344741171,no_tremor
73,8199637,1.646,-0.6687749946590451,-0.06252769903718118,0.9022860976124607,-22.940721775897234,-13.93425536455188,-16.559129886514732,no_tremor
74,8199659,1.668,-0.6496732777757732,-0.056637435661236066,0.8654941948186545,-22.440840096837153,-13.795087803309755,-16.732028249611847,no_tremor
75,8199692,1.701,-0.6304843630880821,-0.05166486383044145,0.8320315653171634,-21.05877268112201,-13.270494340887256,-16.3496768539682,no_tremor
76,8199748,1.757,-0.6117572615007807,-0.04767129380294393,0.8025846618325428,-18.99668411832714,-12.43509251526036,-15.500862642007707,no_tremor
77,8199759,1.768,-0.5939735928355577,-0.044694730565429996,0.7775981566675212,-16.450915826740435,-11.364304903761608,-14.280565357618062,no_tremor
78,8199781,1.79,-0.5775352593985241,-0.042746158945077196,0.7572855764876404,-13.60553561181053,-10.131154013623243,-12.78570977616985,no_tremor
79,8199813,1.822,-0.5627564129283658,-0.041807829352304156,0.741649392357626,-10.62720847830903,-8.803519660750895,-11.111255223621427,no_tremor
80,8199824,1.833,-0.54985983051212,-0.041833549471105444,0.7305083686747454,-7.661432571447301,-7.4419431850948365,-9.346762595873125,no_tremor
81,8199846,1.855,-0.5389775558159804,-0.042750830314330385,0.7235298697047184,-4.83010953372027,-6.098030650688859,-7.5735361670255505,no_tremor
82,8199858,1.867,-0.5301554190225969,-0.04446460523030455,0.7202648703314196,-2.230356254625228,-4.813480465331523,-5.862397303580087,no_tremor
83,8199880,1.889,-0.5233608534083363,-0.046862143510994665,0.7201835959981784,0.06557985834226698,-3.6197325259537423,-4.272112880002877,no_tremor
84,8199902,1.911,-0.5184932999533599,-0.04981872053258521,0.7227099915322526,2.009465193405078,-2.5382008653381654,-2.848473078491231,no_tremor
85,8199934,1.943,-0.5153964368004601,-0.05320358705188986,0.7272535506249408,3.5754540069291783,-1.5810137567441913,-1.6239906666072024,no_tremor
86,8199967,1.976,-0.513871472983195,-0.05688580121325953,0.7332373918476172,4.757855941958754,-0.7521536392603714,-0.6181757546523124,no_tremor
87,8200001,2.01,-0.5136907847340402,-0.06073954294386178,0.7401218150838083,5.568447019636267,-0.04887045337150853,0.16167494223570683,no_tremor
88,8200012,2.021,-0.5146112344371119,-0.06464861332452272,0.7474228924840445,6.033459892932456,0.5367635676434738,0.7192487065581457,no_tremor
89,8200023,2.032,-0.5163865931125676,-0.0685099218405605,0.7547259260746634,6.190379586713856,1.0162834174811433,1.0676342351807162,no_tremor
90,8200035,2.044,-0.5187785846463151,-0.07223587194154071,0.7616938353297747,6.084668190839962,1.4033530940131858,1.227483808390453,no_tremor
91,8200088,2.097,-0.5215661771359561,-0.07575565786431325,0.7680707262611424,5.76654402418914,1.7124600472575304,1.2250258272707022,no_tremor
92,8200110,2.119,-0.5245528568091119,-0.07901557020629339,0.7736810467945695,5.287942152771204,1.957832469620245,1.0900362157905208,no_tremor
