sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,8437427,0.0,-0.7496463620272489,0.024845855429175556,0.7018293089008348,5.943777160634437,128.0674871442873,18.964748624785617,tremor
1,8437438,0.011,-0.7441389673465588,0.024297729766701033,0.7036382061390036,3.1302067774325786,104.07034679010569,12.233108878217829,tremor
2,8437449,0.022,-0.7366194939306993,0.02360608150398651,0.7060078066334425,0.3304277463888368,80.81900557947992,5.49845935151764,tremor
3,8437472,0.045,-0.7273249939111692,0.022707185612013642,0.7089251754332672,-2.4474992075980078,59.15780348875935,-1.0559567075941598,tremor
4,8437550,0.123,-0.7171163863558679,0.021508365004988504,0.7122521867749622,-5.1928822677774376,39.8118371120679,-7.271809754855906,tremor
5,8437561,0.134,-0.7071825551150519,0.019879358438305367,0.7157921465349618,-7.893092699175321,23.35733528090459,-13.021077396867794,tremor
6,8437595,0.168,-0.6987336960917563,0.017661298556384583,0.7193409453047607,-10.534232857034015,10.198631063380384,-18.209782842711732,tremor
7,8437626,0.199,-0.6928056683455516,0.014683302975570134,0.7227091155585876,-13.101759861990281,0.5530387145220683,-22.7798686104454,tremor
8,8437649,0.222,-0.6901666894635973,0.010778523962779302,0.7257257637733268,-15.58099995028606,-5.555737607736933,-26.709181372840842,tremor
9,8437671,0.244,-0.6912851320697277,0.005796835655876824,0.728236033319895,-17.957444483008196,-8.29560460305402,-30.009711281233642,tremor
10,8437683,0.256,-0.6963263125314653,-0.00038584844935638917,0.7300988179185914,-20.216778237091646,-8.015388529629952,-32.724249302309744,tremor
11,8437694,0.267,-0.7051626030633332,-0.007861018349781942,0.7311874164075065,-22.344752324759064,-5.224933349067224,-34.92153290481214,tremor
12,8437705,0.278,-0.7173926416825652,-0.016683450660963293,0.7313936594423155,-24.32715949705409,-0.5653957047234268,-36.68990131355968,tremor
13,8437716,0.289,-0.7323705545575607,-0.02686955676700273,0.730635022690346,-26.150187821244632,5.230119347577262,-38.12959210664019,tremor
14,8437750,0.323,-0.7492467427152226,-0.03839828110643708,0.7288636768836115,-27.80130805892907,11.383970454767168,-39.34407555195285,tremor
15,8437761,0.334,-0.7670199838454216,-0.051214392217703006,0.7260760008495595,-29.270648530376697,17.126083032967355,-40.431148158463124,tremor
16,8437772,0.345,-0.7845980532356209,-0.06523362214002394,0.7223207813433179,-30.55259933756247,21.745994447671773,-41.474751301751986,tremor
17,8437783,0.356,-0.800862057980255,-0.08034880341653644,0.7177042641332766,-31.6472395463019,24.639676988359,-42.53849747946758,tremor
18,8437817,0.39,-0.8147290259273469,-0.09643609748429526,0.7123905106700616,-32.56116897755406,25.34681155428175,-43.66161596409517,tremor
19,8437828,0.401,-0.8252081938435653,-0.11336062614894941,0.7065961403372818,-33.30748170785665,23.57596800457419,-44.85756870776615,tremor
20,8437840,0.413,-0.8314484077909178,-0.13098119197551927,0.7005793613317901,-33.904894370197084,19.217157608822557,-46.11513023124192,tremor
21,8437874,0.447,-0.8327761351251389,-0.1491541351733623,0.6946240180963839,-34.37632541153963,12.342739132785473,-47.401428560580484,tremor
22,8437896,0.469,-0.8287248838690199,-0.16773658622121995,0.6890200282336439,-34.747383420169164,3.19828161095094,-48.66635708272635,tremor
23,8437907,0.48,-0.8190569202566266,-0.1865893710525074,0.6840419351064552,-35.045179867634396,-7.815241250440651,-49.84784865415068,tremor
24,8437930,0.503,-0.8037772769902038,-0.20557964454669164,0.6799273703154094,-35.29763755517375,-20.1671647124924,-50.87766083102996,tremor
25,8437941,0.514,-0.7831388037764468,-0.22458310220556965,0.67685712497865,-35.53312911117287,-33.23031903860685,-51.6874348880037,tremor
26,8437963,0.536,-0.757636243093342,-0.24348551278010094,0.6749384119231701,-35.78003585182663,-46.32078306201113,-52.214760183356105,tremor
27,8437998,0.571,-0.7279876505598522,-0.2621834111690874,0.6741928068628388,-36.06582539003385,-58.742053693348765,-52.40880022241091,tremor
28,8438010,0.583,-0.695102979472781,-0.2805840448588481,0.6745502116406891,-36.41550925058619,-69.83000838625658,-52.23485445842375,tremor
29,8438021,0.594,-0.660041662985168,-0.29860494117268693,0.6758498666876833,-36.84968543590159,-78.99411008941314,-51.67721245835969,tremor
30,8438043,0.616,-0.6239625964485835,-0.31617360634767816,0.6778488653213727,-37.382579966333196,-85.75048672698549,-50.73986663866045,tremor
31,8438054,0.627,-0.5880704347218382,-0.33322778129982106,0.6802377883917868,-38.02048086537074,-89.74390202486815,-49.44501827652777,tremor
32,8438077,0.65,-0.5535616049522873,-0.3497163583308367,0.6826621016859791,-38.760769950452435,-90.75784421587575,-47.82972705084705,tremor
33,8438088,0.661,-0.5215723514858837,-0.3656006226490407,0.6847470626716565,-39.591527669240264,-88.71431703948805,-45.94140336312226,tremor
34,8438133,0.706,-0.4931300487435621,-0.3808551289514173,0.6861233243386761,-40.49150328959733,-83.66660772065418,-43.8329978584496,tremor
35,8438144,0.717,-0.46910847827586666,-0.3954674501733598,0.6864503885220039,-41.43015087844177,-75.7886423303608,-41.558617295281486,tremor
36,8438155,0.728,-0.4501880990783398,-0.4094362943508879,0.6854355718716479,-42.36747436050943,-65.36342733193115,-39.16995429768092,tremor
37,8438167,0.74,-0.4368234060775343,-0.4227679549582183,0.6828470512685758,-43.25363673002667,-52.77121166975027,-36.71356648157372,tremor
38,8438178,0.751,-0.4292206283398655,-0.4354715555292752,0.6785206092194455,-44.02861572236482,-38.47637618452816,-34.22885285917913,tremor
39,8438189,0.762,-0.4273294929611857,-0.4475539433805074,0.6723606703932618,-44.62246801091653,-23.011276563979816,-31.746566063136935,tremor
40,8438201,0.774,-0.4308521138861443,-0.45901531253298467,0.6643369243931471,-44.95683316605073,-6.9554282755596715,-29.287778281176898,tremor
41,8438212,0.785,-0.43927026068124303,-0.46984662344821504,0.6544781514990649,-44.94812428078643,9.090605077053047,-26.863317803287586,tremor
42,8438246,0.819,-0.45188965999688235,-0.48002956540791236,0.6428647990073433,-44.51248471215713,24.535680176103725,-24.473796932010465,tremor
43,8438257,0.83,-0.4678971019888818,-0.48953918573880917,0.6296215136083225,-43.57214306720003,38.83016056560209,-22.11044830344454,tremor
44,8438268,0.841,-0.48642361314148497,-0.498348559995555,0.6149104100644751,-42.06237978893974,51.49551344768046,-19.75701463280161,tremor
45,8438279,0.852,-0.5066055386329623,-0.5064342968602236,0.5989255025652508,-39.938052063772695,62.14706679649385,-17.392811945156577,tremor
46,8438290,0.863,-0.5276356324045434,-0.5137815096901115,0.5818884817632773,-37.17860905531073,70.50673974445581,-14.996797914915387,tremor
47,8438302,0.875,-0.5487983092678087,-0.5203871707642231,0.5640458361413665,-33.79077659921872,76.40472633083823,-12.552145479076291,tremor
48,8438313,0.886,-0.5694866071929862,-0.5262613071584968,0.5456671494132767,-29.80851837583143,79.77146895067114,-10.050619690401062,tremor
49,8438324,0.897,-0.5892022359307266,-0.5314260599029832,0.527044281873478,-25.290381490807903,80.62305350707314,-7.496068379508146,tremor
50,8438336,0.909,-0.6075433249101215,-0.535913064930602,0.5084911018900905,-20.314811207234854,79.04397323432596,-4.906519669359863,tremor
51,8438369,0.942,-0.6241862997855955,-0.5397598929694623,0.4903434311378028,-14.974366851208924,75.17096368867232,-2.3146300496656034,tremor
52,8438380,0.953,-0.6388683082385026,-0.5430064091571973,0.4729587775894828,-9.369879537226595,69.18049510514412,0.23353279118063935,tremor
53,8438391,0.964,-0.6513749111949463,-0.5456918412773881,0.4567151852104869,-3.60540879826744,61.280916470128965,2.6811997841759094,tremor
54,8438413,0.986,-0.661534998526256,-0.54785301332273,0.44200826437146945,2.215572253627834,51.70873306748273,4.9648156469959535,tremor
55,8438425,0.998,-0.669222060958441,-0.5495236443391888,0.4292454612514649,7.992849819187006,40.727610174796105,7.018827279646913,tremor
56,8438436,1.009,-0.6743590553410256,-0.5507340565052542,0.4188370371563297,13.63146635542896,28.62865757660798,8.781003451601455,tremor
57,8438459,1.032,-0.6769237619591718,-0.5515104004880393,0.41118392078578564,19.043570706259956,15.731106629802074,10.197930784286173,tremor
58,8438491,1.064,-0.6769526499871333,-0.5518727708255331,0.4066632421248374,24.15039532770909,2.3831053318037747,11.230305724133535,tremor
59,8438502,1.075,-0.6745429937068743,-0.5518322332022815,0.4056126939865289,28.884236407226098,-11.037423336654943,11.857616914130908,tremor
60,8438513,1.086,-0.6698542151140242,-0.5513874706509637,0.4083148267128308,33.1900024962938,-24.12225240883548,12.08179509650918,tremor
61,8438524,1.097,-0.6631095233784366,-0.5505221253271638,0.41498205589454035,37.02583560948412,-36.43381822358502,11.929409038357514,tremor
62,8438536,1.109,-0.6545979952115202,-0.5492038144886963,0.4257427465831704,40.36252088710353,-47.50970344807624,11.452035181409016,tremor
63,8438547,1.12,-0.644675868289037,-0.5473853205926368,0.44062847024444496,43.18179013193963,-56.87308527505252,10.724550508107612,tremor
64,8438558,1.131,-0.6337646011823297,-0.5450078226513897,0.4595625931991351,45.47403092815907,-64.05118478120207,9.841281261911654,tremor
65,8438569,1.142,-0.6223426557787225,-0.542005490321867,0.48235074824247276,47.23616672121829,-68.60241019773773,8.910147613214018,tremor
66,8438581,1.154,-0.6109283354978498,-0.5383104772074919,0.5086742672009595,48.47045743695378,-70.15093062389795,8.0451475083944,tremor
67,8438614,1.187,-0.6000525221300832,-0.533857393377046,0.538088038367663,49.18468676077995,-68.4253861084436,7.35771874406012,tremor
68,8438625,1.198,-0.5902225618272803,-0.5285866612253928,0.5700243133077649,49.39376352304706,-63.29684677618551,6.947712264566568,tremor
69,8438636,1.209,-0.5818811388801426,-0.5224466154384632,0.6038036983724445,49.122321785054766,-54.81033194708571,6.894877556855275,tremor
70,8438670,1.243,-0.5753657952545501,-0.5153946020143928,0.6386540145238738,48.40758906631061,-43.204360543555254,7.251838694607385,tremor
71,8438681,1.254,-0.5708751731203412,-0.5073975109033104,0.6737369922966981,47.30168198946152,-28.91411580903955,8.039463965791333,tremor
72,8438693,1.266,-0.5684471272668427,-0.4984321110490425,0.7081819459959863,45.8725812628955,-12.555724678974872,9.245280042479918,tremor
73,8438704,1.277,-0.5679520868406639,-0.4884853430002041,0.7411246917256968,44.20326712682932,5.108331774063933,10.82516997686656,tremor
74,8438738,1.311,-0.5691028972708034,-0.4775545206665002,0.771749125310732,42.38878563116349,23.219824726326898,12.70807675989235,tremor
75,8438749,1.322,-0.5714800518515473,-0.4656473252009385,0.7993282059897087,40.53132129961779,40.88586438755312,14.802920253007393,tremor
76,8438761,1.334,-0.5745689589768705,-0.45278156569494926,0.8232607914429828,38.73365847716142,57.24310115010591,17.006586221766717,tremor
77,8438772,1.345,-0.5778041862892683,-0.4389848524078857,0.8431009995451577,37.09169993732744,71.51736262452441,19.211805126243142,tremor
78,8438783,1.356,-0.5806150537600945,-0.4242944507069749,0.8585775353031768,35.68692505622371,83.07240361240902,21.314026094727513,tremor
79,8438805,1.378,-0.5824677251349353,-0.4087575658812072,0.8696015103507417,34.579751693645306,91.44396105311337,23.216863629571776,tremor
80,8438828,1.401,-0.5829007189896603,-0.3924321451046413,0.8762624025076992,33.804674850525586,96.35814835014865,24.836122286685956,tremor
81,8438861,1.434,-0.5815527824917506,-0.3753880567760694,0.8788127709734043,33.367770924892895,97.73557783837934,26.1026272886571,tremor
82,8438895,1.468,-0.5781835206792789,-0.35770834020323455,0.877643149908553,33.24672203021024,95.6838239685592,26.964102043942788,tremor
83,8438907,1.48,-0.5726875000173375,-0.33949016067748305,0.8732492357897927,33.39309694742053,90.48075428411194,27.386234707740996,tremor
84,8438929,1.502,-0.5651018339994948,-0.3208450853291434,0.8661940373589511,33.73642511357293,82.55042705405674,27.352968179431798,tremor
85,8438952,1.525,-0.5556063302279798,-0.3018982471373067,0.8570679895953389,34.18964417184673,72.4326817696996,26.866012486216384,tremor
86,8438983,1.556,-0.5445151630912815,-0.28278597405365596,0.8464500918484764,34.65560446420774,60.747838933462575,25.943655022556825,tremor
87,8438995,1.568,-0.5322601288147188,-0.2636516823689735,0.8348729250357295,35.03428887890312,48.15881392353787,24.61907474261378,tremor
88,8439006,1.579,-0.519367246164787,-0.24464027652600825,0.8227939809096347,35.23024655491246,35.33363587143947,22.938431603157884,tremor
89,8439017,1.59,-0.5064297097380818,-0.2258917776832565,0.8105751368793798,35.15957803137583,22.911222834294694,20.95894481763819,tremor
90,8439029,1.602,-0.4940802659302613,-0.20753519464890427,0.7984713437472529,34.75577674801189,11.472270787947226,18.747028112945976,tremor
91,8439040,1.613,-0.4829650205050733,-0.18968362654422363,0.7866286918537493,33.973869095801135,1.5157530535274182,16.376376865318104,tremor
92,8439051,1.624,-0.4737191331199837,-0.17243125602924733,0.7750911030607258,32.79256770279069,-6.559561175083787,13.925758590236239,tremor
93,8439118,1.691,-0.4669435830688561,-0.1558523799326405,0.763814154889697,31.214481527216655,-12.469521535616394,11.476222449456934,tremor
94,8439230,1.803,-0.46318176753383816,-0.1400021212165262,0.7526841363990477,29.264705084917757,-16.055454915012618,9.10758149977864,tremor
95,8439252,1.825,-0.46289524385062,-0.12491814840829406,0.7415403873402557,26.988239822990792,-17.291082497306473,6.894301050455958,tremor
96,8439274,1.847,-0.46643910067691297,-0.11062268428024834,0.7301991767000401,24.446654149563088,-16.284327116034884,4.901203656502081,tremor
97,8439297,1.87,-0.4740386479069404,-0.09712429260412304,0.7184776786279877,21.714228200624383,-13.272555297686345,3.1795372444932624,tremor
98,8439308,1.881,-0.4857698359193237,-0.0844192757885017,0.7062168746541211,18.873673817459476,-8.610053249071546,1.763915938356035,tremor
99,8439386,1.959,-0.5015458314484273,-0.07249283360987113,0.6933023721147712,16.011476194445947,-2.747220882413155,0.6704893635523737,tremor
100,8439397,1.97,-0.5211116589388338,-0.0613202917347889,0.6796821476676551,13.212996550627109,3.798080558590498,-0.10348642358351141,tremor
101,8439408,1.981,-0.5440481629725792,-0.050868685868899026,0.6653801378429424,10.557623057703427,10.475602714944316,-0.5786373839074036,tremor
102,8439420,1.993,-0.5697859887293698,-0.04109886194440657,0.6505045264202418,8.114340682058247,16.741928062268027,-0.7910575952655429,tremor
103,8439486,2.059,-0.5976296343674139,-0.03196810839017471,0.6352496698039231,5.93806996734092,22.100822115856854,-0.7886258692105476,tremor
104,8439497,2.07,-0.626790572889236,-0.023433191619958785,0.6198909367669323,4.067062337770069,26.141039806657272,-0.6263667774286455,tremor
105,8439519,2.092,-0.6564270058695327,-0.015453508765058837,0.604772291954867,2.521591032095464,28.567455781951278,-0.36140178641848014,tremor
106,8439531,2.104,-0.6856865642315824,-0.007993935744770135,0.5902871317181295,1.3041120108041488,29.22155101811802,-0.04818789480186226,tremor
107,8439553,2.126,-0.7137478731060499,-0.0010269136194360484,0.5768535842488908,0.40093264471085766,28.08836734741162,0.2653012656071492,tremor
108,8439564,2.137,-0.7398575321887684,0.005466566948353589,0.5648861268274205,-0.21477534488641697,25.288966656942154,0.5400385415536872,tremor
109,8439620,2.193,-0.7633603604320465,0.011497186289202547,0.5547658802659758,-0.5789969080884396,21.05977275793186,0.7469849472444392,tremor
110,8439631,2.204,-0.7837221513254499,0.017068565090067555,0.546812247917509,-0.7324939161403984,15.722310865048305,0.8669705900990312,tremor
111,8439665,2.238,-0.8005452174096215,0.022179250355450163,0.5412585972251247,-0.7166982310474457,9.648160286121879,0.8898620556429392,tremor
112,8439676,2.249,-0.8135773973099081,0.02682505357900814,0.538234363515571,-0.5704964846037713,3.2240115790690207,0.8134407291981506,tremor
113,8439720,2.293,-0.8227149726674519,0.03100146501746471,0.5377552801110124,-0.3282702346341157,-3.1793257301161706,0.6422238287945738,tremor
114,8439743,2.316,-0.8279994518804509,0.03470597538006996,0.5397225035515641,-0.019187071526184554,-9.23171260416149,0.3862485486125731,tremor
115,8439754,2.327,-0.8296079086031314,0.03794016692359956,0.5439303820248818,0.33258257301829613,-14.661460208812377,0.059756700067010254,tremor
116,8439788,2.361,-0.8278367988362978,0.0407113990877808,0.5500816971816501,0.7071954631702371,-19.266169172868093,-0.32022039442775474,tremor
117,8439877,2.45,-0.823079862829547,0.043033904896901856,0.5578085471252496,1.088425729466922,-22.917055957264086,-0.7352721397814749,tremor
118,8439888,2.461,-0.8158015489325184,0.04492919295223724,0.5666967044753786,1.4631367741145516,-25.55740196329662,-1.1668688691914368,tremor
119,8439911,2.484,-0.8065080458930969,0.04642577599794266,0.5763112490987448,1.8209641181679372,-27.196085986024862,-1.5973743401814946,tremor
120,8439922,2.495,-0.795718300166057,0.047558337894877775,0.5862214509597449,2.15413329280515,-27.89751510757795,-2.010796049670064,tremor
121,8439964,2.537,-0.7839373213171464,0.04836647031453294,0.5960231898433299,2.4573181413882224,-27.769407674405453,-2.39331644307174,tremor
122,8439998,2.571,-0.7716336942776542,0.0488930961533187,0.6053576123295031,2.7274688846611097,-26.94973243324902,-2.7336613112520274,tremor
123,8440009,2.582,-0.7592225870591265,0.04918270327831717,0.6139252102760413,2.9635725001401334,-25.59380961249858,-3.0233479189205874,tremor
124,8440031,2.604,-0.7470547921291047,0.04927954492003305,0.62149499089658,3.1663366047895742,-23.86229772468509,-3.2568345267240675,tremor
125,8440042,2.615,-0.7354116325727917,0.049225982974480186,0.6279088162243227,3.3378084296025365,-21.91059460815039,-3.431573150122124,tremor
126,8440085,2.658,-0.7245050149774542,0.0490611276377721,0.6330812791241079,3.480953771994183,-19.880058028424514,-3.5479521429018277,tremor
127,8440108,2.681,-0.7144815591600049,0.0488198645644208,0.6369956666959721,3.5992306893022175,-17.891350605570704,-3.6091095092224825,tremor
128,8440119,2.692,-0.7054295809073291,0.04853228326054907,0.6396966757724775,3.6961999105175196,-16.040091801599463,-3.6206048097420562,tremor
129,8440142,2.715,-0.6973877317800685,0.04822345480494578,0.6412806176327607,3.7752133880828946,-14.394841020186359,-3.5899536795737794,tremor
130,8440153,2.726,-0.6903542687085101,0.04791347112136822,0.6418838912662166,3.839210024339296,-12.997261079931913,-3.526047263762547,tremor
131,8440164,2.737,-0.6842961653762604,0.047617654764040826,0.641670516018074,3.8906272007111524,-11.864159651214536,-3.4384944210568196,tremor
