sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,8431973,0.0,-0.5680335055322188,-0.0544079151125922,0.6131232172391194,28.56221264842026,16.09850887855897,-0.8092962814127355,tremor
1,8431984,0.011,-0.5698882396608266,-0.04979939814083924,0.6274027915791172,27.419833437797728,6.012399773724221,-4.569395657178306,tremor
2,8431995,0.022,-0.5724786750544862,-0.04338837416523404,0.6473157598363731,25.76349993649274,-4.1824161830662465,-8.445365167956586,tremor
3,8432006,0.033,-0.5759555422353058,-0.035106958819122486,0.673444264943256,23.27124091123751,-13.969343597579611,-12.389036467806424,tremor
4,8432017,0.044,-0.5803740090373317,-0.025322022794912254,0.7052867351070113,19.66022203278418,-22.878489430446834,-16.349801290479068,tremor
5,8432029,0.056,-0.5857230956793332,-0.014681350135250612,0.7416680605027248,14.704701422664197,-30.505362847928836,-20.27427140786804,tremor
6,8432051,0.078,-0.5919480620643903,-0.003947878389890308,0.7811479607965268,8.251246790069857,-36.526855748095656,-24.10645848988014,tremor
7,8432083,0.11,-0.5989544401699203,0.006103491631228811,0.8222458732972986,0.23028631020037527,-40.71373452163926,-27.788547121119308,tremor
8,8432095,0.122,-0.6066015599289991,0.014733868734892137,0.8635190845071731,-9.336736395521518,-42.93871225692863,-31.262185097933482,tremor
9,8432106,0.133,-0.6146942760487489,0.02125904356715016,0.9035703906873742,-20.335060433097695,-43.179124922515285,-34.47007531031228,tremor
10,8432129,0.156,-0.6229782091879447,0.0250586991378619,0.9410396731986592,-32.559289302332296,-41.51344006631487,-37.3575738216378,tremor
11,8432140,0.167,-0.6311407843554758,0.025586074506635168,0.9746054675020769,-45.72084208979817,-38.11136449381071,-39.87401644094675,tremor
12,8432151,0.178,-0.6388185044957508,0.022381100847594405,1.0030040476088071,-59.45964452854595,-33.21813668065139,-41.97360793870019,tremor
13,8432162,0.189,-0.6456098731114788,0.015086463701723058,1.0250642735060496,-73.35928473225641,-27.134491945241788,-43.61586914172771,tremor
14,8432174,0.201,-0.6510927748722684,0.003464605006505292,1.0397527651285408,-86.96470828428032,-20.194500355652544,-44.76578565019271,tremor
15,8432207,0.234,-0.6548447675180916,-0.012586627387822165,1.0462230948649256,-99.80147828985655,-12.743761328529146,-45.39388737230769,tremor
16,8432229,0.256,-0.6564646446067242,-0.03302171999119695,1.0438631165647276,-111.39566842929013,-5.120179383390484,-45.47648531290659,tremor
17,8432240,0.267,-0.6555938458746585,-0.05764016177621946,1.0323355554334641,-121.29356875294904,2.361215886258439,-44.99620352431773,tremor
18,8432263,0.29,-0.6519367640582232,-0.08608502164158044,1.0116082340133412,-129.08052695789206,9.41900533157568,-43.94280051668447,tremor
19,8432296,0.323,-0.6452795199973702,-0.11784789632074077,0.9819716033672529,-134.39836859038988,15.812301207207135,-42.314133128685185,tremor
20,8432331,0.358,-0.6355070805671933,-0.15228021514531326,0.9440424248709057,-136.9608869601705,21.34510721315405,-40.117045917861184,tremor
21,8432342,0.369,-0.6226184788786323,-0.1886104341410434,0.8987533884519668,-136.5668580193416,25.869352623973988,-37.36801359040562,tremor
22,8432354,0.381,-0.6067393699531675,-0.22596623359659582,0.8473291110267389,-133.1099769283389,29.287249115662835,-34.09349668383055,tremor
23,8432365,0.392,-0.5881304713183377,-0.2634005332073291,0.791249374436783,-126.58512875492042,31.552839549767423,-30.330099679567592,tremor
24,8432376,0.403,-0.5671899749135438,-0.29992005255294824,0.7322007479344039,-117.0905493902593,32.67206492201397,-26.124658996922538,tremor
25,8432388,0.415,-0.5444480591619028,-0.33451529446652883,0.6720180338814766,-104.82567242495543,32.70058580600099,-21.53432148698645,tremor
26,8432399,0.426,-0.5205522461889289,-0.3661911293554247,0.6126173834933739,-90.08472128552775,31.73890936111366,-16.62655411061327,tremor
27,8432454,0.481,-0.49624341990121823,-0.3939974540446002,0.5559234935722223,-73.24634747687394,29.92489921397403,-11.478920428679997,tremor
28,8432465,0.492,-0.47232360753271607,-0.41705953848981975,0.503793969288735,-54.759823643184184,27.424265761752288,-6.178417469672228,tremor
29,8432488,0.515,-0.44961781181465593,-0.43460758385728804,0.45794456369112535,-35.1284613128915,24.419971957759547,-0.8202016780734739,tremor
30,8432510,0.537,-0.42893294382723113,-0.4460047354826272,0.41987934447643505,-14.8910164783013,21.10155550006087,4.494374868069064,tremor
31,8432544,0.571,-0.41101708090626143,-0.4507724572162336,0.39082972210124034,5.398119871346846,17.655188640467,9.660384148023187,tremor
32,8432598,0.625,-0.396521938300162,-0.4486119338751911,0.3717057215351805,25.189128215587047,14.254985383465394,14.572464834872452,tremor
33,8432632,0.659,-0.38597083033857726,-0.43942011341443316,0.36306204389748503,43.95651193804152,11.055755721479533,19.128289782194404,tremor
34,8432643,0.67,-0.379733719822748,-0.4232991159326055,0.36508047507699015,61.217528640924336,8.187196148943636,23.232133535100182,tremor
35,8432654,0.681,-0.3780103286437359,-0.40055796576056873,0.3775691337419377,76.54849612614358,5.749439120325053,26.798317128933725,tremor
36,8432777,0.804,-0.3808217498458778,-0.37170593021186565,0.39997799017380814,89.59830916365289,3.8099485670110145,29.754327630327836,tremor
37,8432833,0.86,-0.38801056281264024,-0.33743720255778464,0.43142911722741983,100.0986877918448,2.4018847718594647,32.04344680763533,tremor
38,8432855,0.882,-0.3992490935851796,-0.2986072455348284,0.4707593299166992,107.87086338261459,1.5241864081542489,33.626778106681456,tremor
39,8432866,0.893,-0.4140551746609344,-0.25620173990733175,0.516572323601989,112.828576372453,1.1436456985755636,34.48462457011734,tremor
40,8432889,0.916,-0.431814538978573,-0.21129965194752987,0.5672972486496982,114.9774090136954,1.1991283361675236,34.617223522476955,tremor
41,8432900,0.927,-0.4518087959442751,-0.16503236114662384,0.6212508872186278,114.4106153871261,1.6078243795186942,34.0448703272158,tremor
42,8432911,0.938,-0.47324773190903147,-0.11854102536277257,0.6767010568630614,111.301749239687,2.273091992942626,32.80745864906391,tremor
43,8432945,0.972,-0.49530445784843385,-0.07293437934529753,0.7319292809815413,105.89452633040798,3.093168790196062,30.963435923192694,tremor
44,8432967,0.994,-0.5171517653487683,-0.0292489879673248,0.7852909605176556,98.49047400362136,3.9698330745142543,28.588137410414387,tremor
45,8432978,1.005,-0.5379979981852707,0.011586303531892907,0.8352712752964699,89.43500146212403,4.816035115163918,25.7714456850422,tremor
46,8432989,1.016,-0.5571207675075889,0.04878026581222604,0.8805349866808346,79.10256831966635,5.561638748883402,22.614749457008706,tremor
47,8433001,1.028,-0.5738968848405002,0.08170233680236581,0.919968350494773,67.88163573173236,6.156749511727174,19.227250964954184,tremor
48,8433012,1.039,-0.5878269875867783,0.10989792622490989,0.9527115339156915,56.16004528786787,6.572588342151118,15.721768822112118,tremor
49,8433023,1.05,-0.5985535694475979,0.13309543160770526,0.978180232032336,44.31138336515368,6.80032161535711,12.210264608617448,tremor
50,8433067,1.094,-0.605871527769103,0.1512048497908138,0.9960755526716435,32.68277240564773,6.8485002389629335,8.799364522315619,tremor
51,8433078,1.105,-0.609730814968696,0.164308316733394,1.0063816750971453,21.584423357408102,6.73973721286844,5.586154006542885,tremor
52,8433100,1.127,-0.6102312136467987,0.17264334787547642,1.0093513207079932,11.281213564448779,6.507064978127791,2.654505324962065,tremor
