sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,3786633,0.0,-0.5082217264079867,-0.37407307404939694,0.7002052566588557,4.380206512459324,3.7926860003450256,-9.649674269800586,no_tremor
1,3786663,0.03,-0.5068916341782707,-0.37437775068740464,0.7004996409576464,4.528167297306907,3.496489630677862,-10.52942562140411,no_tremor
2,3786675,0.042,-0.5048940544484537,-0.3748163810752177,0.7009677215094259,4.657016530743805,3.1474099436449694,-11.353691517623083,no_tremor
3,3786686,0.053,-0.5020752415160041,-0.3754098224086087,0.7016624016185512,4.763659931782972,2.7432008645852184,-12.111809462991445,no_tremor
4,3786697,0.064,-0.49837455655608603,-0.37615665098670276,0.7026166003894864,4.844915748140399,2.2818275846003555,-12.792864610729884,no_tremor
5,3786708,0.075,-0.4938011661561935,-0.37704096447284985,0.7038450944518098,4.897532814757418,1.7614912052347156,-13.385753113848052,no_tremor
6,3786720,0.087,-0.4883985356740195,-0.37804129019497595,0.7053514666852985,4.918210421232829,1.1806524558454015,-13.879250217085264,no_tremor
7,3786731,0.098,-0.48221930215557873,-0.37913608191676984,0.7071341583558299,4.90361992119242,0.5380541930798282,-14.262082785467662,no_tremor
8,3786742,0.109,-0.4753128728332708,-0.38030598214178174,0.7091900932585721,4.850427989585283,-0.1672576105751778,-14.523005907128383,no_tremor
9,3786764,0.131,-0.4677216166820684,-0.381534170930854,0.7115162826806648,4.7553214075441455,-0.9359146807371483,-14.65088314911999,no_tremor
10,3786806,0.173,-0.4594813507833414,-0.3828058942541542,0.7141102301662139,4.615033228985141,-1.7682093452026069,-14.634769986211197,no_tremor
11,3786818,0.185,-0.45062339388096595,-0.3841077844538561,0.7169697692027461,4.426370157937132,-2.6640798091596096,-14.463999865399751,no_tremor
12,3786829,0.196,-0.44117683773500943,-0.3854272378011295,0.7200927002613559,4.18624093956516,-3.6230980711563343,-14.128272315179428,no_tremor
13,3786840,0.207,-0.4311705055987281,-0.3867519300838156,0.7234764038890591,3.8916855401588504,-4.644460731027548,-13.61774246066067,no_tremor
14,3786851,0.218,-0.42063446365844676,-0.3880694722352702,0.7271175004791299,3.5399048624087426,-5.726982914738996,-12.923111264586703,no_tremor
15,3786862,0.229,-0.4096011115308792,-0.38936718200357995,0.7310115763354917,3.1282907137987013,-6.869095507850988,-12.035715779787855,no_tremor
16,3786874,0.241,-0.39810592610838574,-0.39063194408842944,0.7351529744512965,2.654455719918053,-8.068845850386959,-10.947618669544365,no_tremor
17,3786885,0.252,-0.3861879352809072,-0.3918501353285879,0.739534641494319,2.1162628523760527,-9.323902002357453,-9.65169622762752,no_tremor
18,3786916,0.283,-0.3738899851490008,-0.3930075972282329,0.7441480216418909,1.5118542236509012,-10.631560641304024,-8.141724109026182,no_tremor
