sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,3983216,0.0,-0.6275463521567937,-0.404963807851966,0.5554556329155528,5.413061680726749,-13.090158877893678,-4.725271039403452,tremor
1,3983227,0.011,-0.6232564094855133,-0.40599664230328053,0.5601104582183081,2.967439484037294,-13.775483877991705,-2.03509909014247,tremor
2,3983238,0.022,-0.6174055431151666,-0.4073605645352513,0.5665415952174001,0.35525629834670774,-14.120136160472592,0.8576485491268407,tremor
3,3983249,0.033,-0.6099309203618111,-0.4090206195002049,0.5748442403938457,-2.435962303711201,-14.202712143935807,3.983088105773457,tremor
4,3983261,0.045,-0.6011005815133202,-0.41084862215795315,0.5847377995803746,-5.413914397213779,-14.10053850959568,7.364407752446463,tremor
5,3983272,0.056,-0.5913631256703645,-0.4126695175974251,0.5957301472081521,-8.579985776156336,-13.88647529508089,11.015342083970369,tremor
6,3983283,0.067,-0.581210362874896,-0.41430250499176563,0.6072780538078923,-11.928037183600964,-13.626029696199355,14.938123374900673,tremor
7,3983294,0.078,-0.5711054197409385,-0.41558317775846587,0.6188777807185131,-15.44362164775195,-13.374858997303969,19.122060025942158,tremor
8,3983306,0.09,-0.561460782098272,-0.41637133258115944,0.6300980859587993,-19.103706364908717,-13.176743169514612,23.54284504379657,tremor
9,3983337,0.121,-0.5526404796067252,-0.4165517179212787,0.6405827453608315,-22.876931125177126,-13.06211095172516,28.162640436583665,tremor
10,3983359,0.143,-0.5449688821839178,-0.4160325485796959,0.6500422092991357,-26.724386922812545,-13.047194742354332,32.930923365297986,tremor
11,3983370,0.154,-0.5387378655782059,-0.4147439945322027,0.6582441534515023,-30.60085280716509,-13.13385318712799,37.78602502063228,tremor
12,3983382,0.166,-0.5342098130430647,-0.4126372925201161,0.6650063209402418,-34.456397993525385,-13.310030206067193,42.65725270165465,tremor
13,3983393,0.177,-0.5316165864015696,-0.40968443382943953,0.6701920054767279,-38.23824642276349,-13.550736180120145,47.467465322822825,tremor
14,3983404,0.188,-0.5311555686309191,-0.40587815126933413,0.6737074234145697,-41.892806495521185,-13.819384919347208,52.135969811474645,tremor
15,3983415,0.199,-0.5329840732634555,-0.4012318959955223,0.6755000370204005,-45.367774617100324,-14.069340261383651,56.5816095662265,tremor
16,3983460,0.244,-0.5372132919102643,-0.3957795329962509,0.6755570563219041,-48.61421402075817,-14.245634719103835,60.72591360448486,tremor
17,3983472,0.256,-0.5439027026890015,-0.3895745469836852,0.6739035913661883,-51.588486859527436,-14.286995081360386,64.49616026239863,tremor
18,3983494,0.278,-0.55305557552583,-0.3826886277239841,0.6706001330398037,-54.253888879790296,-14.128465954451915,67.82818952444764,tremor
19,3983505,0.289,-0.5646159477218937,-0.37520959163456435,0.6657391720692093,-56.58182470163354,-13.704945036229411,70.66879051213733,tremor
20,3983516,0.3,-0.5784672623217554,-0.3672386834336386,0.6594408352773053,-58.55238842616494,-12.955764878137243,72.97750792507632,tremor
21,3983528,0.312,-0.5944327977517804,-0.35888737008286964,0.6518474693666996,-60.154282240626905,-11.830129659762088,74.72775131635045,tremor
22,3983539,0.323,-0.612278059036655,-0.3502737770735238,0.64311718773146,-61.38409843309704,-10.292887133745605,75.9071452704003,tremor
23,3983550,0.334,-0.6317153817876264,-0.34151892700037934,0.6334165493692059,-62.24508153729298,-8.329919738483365,76.51712148085609,tremor
24,3983584,0.368,-0.652411013981526,-0.33274293618647055,0.6229127544316898,-62.74555157860852,-5.952437743047179,76.57181900445062,tremor
25,3983595,0.379,-0.6739947948644968,-0.32406131834250207,0.6117659595787804,-62.897189025350194,-3.1996374884850294,76.09641219511703,tremor
26,3983607,0.391,-0.6960722372587727,-0.31558153470145484,0.6001224387087566,-62.7133565026562,-0.13946445255544834,75.12501251440843,tremor
27,3983629,0.413,-0.7182384446493937,-0.3073999112669342,0.5881092505918574,-62.20758219035646,3.1325355478882,73.69829015278634,tremor
28,3983641,0.425,-0.7400930159161857,-0.2995990169257179,0.5758308146672294,-61.39228426593772,6.496180433634525,71.86094861603513,tremor
29,3983652,0.436,-0.7612550117885947,-0.2922455737827039,0.5633674406522984,-60.27779148697799,9.811344424232372,69.65917714551001,tremor
30,3983663,0.447,-0.7813771666475557,-0.28538896365507677,0.5507755641058029,-58.87170939965635,12.924328044398486,67.13821086670093,tremor
31,3983674,0.458,-0.8001587226838747,-0.27906039748672146,0.5380893258921036,-57.1786826253174,15.675811628496117,64.34014395393085,tremor
32,3983708,0.492,-0.8173564084260024,-0.27327281174768103,0.5253232162596546,-55.20059871341801,17.91012844034587,61.30215332431663,tremor
33,3983719,0.503,-0.8327930952308249,-0.2680215344200938,0.5124757067906619,-52.93725604402443,19.48531968179699,58.05528059811828,tremor
34,3983730,0.514,-0.8463635674039317,-0.26328571858865324,0.4995339829613982,-50.38746820364784,20.283142921687464,54.62387376908559,tremor
35,3983741,0.525,-0.8580367667004614,-0.25903047705594767,0.48647993264513384,-47.55050412283206,20.218019727435934,51.02570801656941,tremor
36,3983753,0.537,-0.8678539695003142,-0.25520957750224077,0.4732973744122118,-44.42768894693067,19.243923300143983,47.272707395648176,tremor
