sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,4131313,0.0,-0.28698280034191004,-0.28428878998914625,0.8349347647589981,4.392325105275454,23.10202154208168,-13.60067784513054,tremor
1,4131318,0.005,-0.28653280575053874,-0.28447901824884453,0.8348363778167783,4.570141637303593,21.626023224518757,-14.176374192636265,tremor
2,4131322,0.009,-0.28584058484022046,-0.2847624413548962,0.834738270054475,4.739242537014667,20.178499284064,-14.726143344413426,tremor
3,4131327,0.014,-0.2848416369302781,-0.28515943042829384,0.8346645023552842,4.897517817482526,18.764771331257002,-15.244680599161597,tremor
4,4131332,0.019,-0.2835021061075589,-0.28567699451661943,0.8346465463241179,5.042783386611409,17.389959295030202,-15.72657527672823,tremor
5,4131337,0.024,-0.2818130542891373,-0.286312385021967,0.8347151768856383,5.172793861343748,16.05894225022528,-16.166343831898978,tremor
6,4131342,0.029,-0.2797791510566058,-0.2870582364525464,0.8348961526024444,5.285256878515894,14.776321016604115,-16.558465493512283,tremor
7,4131347,0.034,-0.2774099805177624,-0.28790610689310925,0.8352093530884198,5.377848866344369,13.546382935737824,-16.897420276887804,tremor
8,4131352,0.039,-0.2747153753916528,-0.288848171375213,0.8356695789194492,5.448232216942894,12.3730692507493,-17.177729175814527,tremor
9,4131356,0.043,-0.2717037053145426,-0.2898777018832169,0.8362877404318816,5.494073774242767,11.25994552931537,-17.39399629611543,tremor
10,4131382,0.069,-0.2683817605164305,-0.29098895897489285,0.8370718740409525,5.513064523987904,10.21017558176252,-17.540952645653547,tremor
11,4131387,0.074,-0.2647552984380096,-0.29217688178902473,0.8380278496888506,5.502940344370312,9.226499331762682,-17.613501246358314,tremor
12,4131392,0.079,-0.2608297589776345,-0.2934367631262506,0.8391598051126159,5.461503647955481,8.311215091451345,-17.60676318472235,tremor
13,4131396,0.083,-0.2566109336757455,-0.29476398009275945,0.8404703841412362,5.386645717341739,7.466166667628917,-17.516124171002307,tremor
14,4131401,0.088,-0.2521055183293434,-0.2961537957006234,0.8419608488296846,5.276369507962436,6.6927356767691455,-17.33728113582299,tremor
15,4131406,0.093,-0.24732154180767763,-0.2976012252095478,0.8436311164400716,5.128812661912926,5.991839377719263,-17.066288356366968,tremor
16,4131411,0.098,-0.24226868644108634,-0.29910095495745936,0.8454797552409323,4.942270447742023,5.363934251221659,-16.69960257268001,tremor
17,4131416,0.103,-0.23695852000108092,-0.3006473016074144,0.8475039607395887,4.715218314261714,4.809025472634737,-16.234126528196196,tremor
18,4131421,0.108,-0.23140465716413508,-0.3022342018572903,0.8496995258235444,4.446333723507144,4.32668234264928,-15.667250348313798,tremor
19,4131426,0.113,-0.22562286441185958,-0.3038552249863852,0.8520608131831822,4.134516911158753,3.9160596618825982,-14.996890158052313,tremor
20,4131430,0.117,-0.21963111851613337,-0.3055036025688422,0.8545807352669296,3.778910213828158,3.575924959442816,-14.221523336266946,tremor
21,4131435,0.122,-0.2134496257036232,-0.3071722711563253,0.8572507451258146,3.3789156027577154,3.304691412941188,-13.340219811321404,tremor
22,4131440,0.127,-0.2071008063642902,-0.30885392477569684,0.8600608403413152,2.9342100730348757,3.1004562276118963,-12.352668822086311,tremor
23,4131445,0.132,-0.20060924865038288,-0.3105410747966564,0.8629995814883219,2.4447585557142775,2.9610441742467004,-11.25920059776269,tremor
24,4131450,0.137,-0.1940016333516622,-0.3122261151901681,0.8660541260750007,1.9108240458298984,2.884055917941103,-10.06080244924852,tremor
25,4131455,0.142,-0.18730663188598848,-0.31390139149481927,0.8692102785109752,1.332974670837729,2.866920699824617,-8.759128813623319,tremor
26,4131460,0.147,-0.1805547789947985,-0.3155592719909823,0.8724525563195459,0.7120874611064428,2.906952859346297,-7.3565048530786825,tremor
27,4131465,0.152,-0.17377832169047144,-0.31719221969265027,0.87576427249265,0.0493486270462976,3.0014116029670808,-5.855923281849274,tremor
28,4131469,0.156,-0.16701104610100892,-0.3187928638332301,0.8791276335703149,-0.6537498029785472,3.147563334409973,-4.2610341804552005,tremor
29,4131474,0.161,-0.1602880840497613,-0.32035406956497553,0.8825238527010785,-1.3954170729272104,3.3427457601556334,-2.576127656171435,tremor
30,4131505,0.192,-0.153645701460316,-0.3218690046266278,0.8859332766042661,-2.1735745414921057,3.584432869590782,-0.8061093218285724,tremor
31,4131510,0.197,-0.1471210709605641,-0.32333120177119257,0.8893355250136532,-2.985870227305228,3.87029976004627,1.0435313096797065,tremor
32,4131515,0.202,-0.14075203134186665,-0.3247346157958029,0.8927096408496,-3.82969692857812,4.198286132215172,2.9667592849168445,tremor
33,4131520,0.207,-0.1345768367671044,-0.3260736740888936,0.896034249068837,-4.7022137095413,4.566657124788495,4.957039160104224,tremor
34,4131525,0.212,-0.12863389877674855,-0.32734331971485164,0.8992877219048905,-5.6003704719312735,4.974059999206692,7.007385952019061,tremor
35,4131530,0.217,-0.12296152419758558,-0.32853904619584984,0.902448348053313,-6.520935262889883,5.419575041955643,9.1104214816345,tremor
36,4131534,0.221,-0.11759765202087359,-0.32965692332350505,0.9054945032752522,-7.460523910527037,5.902758937705372,11.258435392088955,tremor
37,4131539,0.226,-0.11257959220327812,-0.33069361353862387,0.9084048198843042,-8.415631524989772,6.423678791967721,13.443450018618194,tremor
38,4131544,0.231,-0.1079437691719215,-0.3316463786555943,0.9111583526394902,-9.38266535770279,6.982934954160712,15.657288191440799,tremor
39,4131549,0.236,-0.10372547259665665,-0.3325130769735621,0.9137347386882213,-10.3579784767779,7.581670818478057,17.891642965781067,tremor
40,4131554,0.241,-0.09995861773682727,-0.3332921510960352,0.9161143493843417,-11.337903694266513,8.221567868090464,20.138148200626418,tremor
41,4131559,0.246,-0.09667551738308554,-0.33398260705859206,0.9182784320441792,-12.318787171824338,8.904824383669398,22.38844885620961,tremor
42,4131564,0.251,-0.09390666710419007,-0.3345839856298666,0.920209239993443,-13.297021136100007,9.63411646554029,24.634269857985725,tremor
43,4131568,0.255,-0.0916805451821636,-0.3350963268969434,0.921890149593744,-14.2690751550711,10.412540328642981,26.86748238875565,tremor
44,4131573,0.26,-0.09002342828621734,-0.3355201294664453,0.923305763310993,-15.2315254625166,11.243535232444515,29.080166521557057,tremor
45,4131578,0.265,-0.088959223607281,-0.3358563057997992,0.9244419982870125,-16.18108186777987,12.130786911751057,31.2646691888372,tremor
46,4131583,0.27,-0.08850931786297167,-0.3361061353473208,0.9252861602846353,-17.11461184712915,13.078111976048692,33.413656590844134,tremor
47,4131588,0.275,-0.0886924433008151,-0.33627121724163955,0.9258270032755197,-18.029161477195895,14.089324430307437,35.52016027247533,tremor
48,4131593,0.28,-0.08952456059009578,-0.3363534243465811,0.9260547753061386,-18.921972938847226,15.168086217067563,37.57761624003588,tremor
49,4131598,0.285,-0.09101875831469766,-0.33635486042366874,0.9259612515882215,-19.790498391928327,16.31774446052776,39.5798966460541,tremor
50,4131603,0.29,-0.09318516867327852,-0.3362778220684039,0.9255397559964946,-20.632410097850236,17.541158875148525,41.521333740177674,tremor
51,4131629,0.316,-0.09603089896679452,-0.3361247668790804,0.9247851723058291,-21.445606746415734,18.840523543150496,43.3967359648651,tremor
52,4131634,0.321,-0.09955997850965972,-0.33589828904997177,0.9236939465534517,-22.2282160210634,20.21718791106164,45.201396261931194,tremor
53,4131639,0.326,-0.10377332074004655,-0.3356011032252999,0.9222640818636306,-22.97859350634035,21.671482326229686,46.93109284420824,tremor
54,4131644,0.331,-0.10866870052375463,-0.3352360370088866,0.9204951269198397,-23.69531809931839,23.202553648832993,48.582082869170954,tremor
55,4131649,0.336,-0.11424074693055196,-0.33480603200517356,0.9183881590210355,-24.377184138300372,24.808216403597022,50.15108962254089,tremor
56,4131659,0.346,-0.12048095207965848,-0.33431415269656506,0.9159457623396177,-25.023190520993086,26.484824625774387,51.635283976419764,tremor
57,4131664,0.351,-0.12737769695125598,-0.3337636018841928,0.9131720016503136,-25.632527162019027,28.227169087808928,53.032261029246754,tremor
58,4131673,0.36,-0.134916295278378,-0.33315774089191597,0.9100723914736856,-26.204559236983876,30.028404016436152,54.340012967008576,tremor
59,4131678,0.365,-0.14307905669661272,-0.3325001123201082,0.9066538603309897,-26.73880976616244,31.880006732942455,55.55689930620876,tremor
60,4131683,0.37,-0.15184537017628413,-0.33179446289187015,0.902924709687273,-27.23494118636404,33.771772864934334,56.68161577892334,tremor
61,4131688,0.375,-0.1611918083634382,-0.33104476388972165,0.898894567194282,-27.69273662407839,35.691848887135954,57.71316317981938,tremor
62,4131693,0.38,-0.1710922528259537,-0.33025522683139175,0.8945743340322809,-28.112081601596568,37.62680276646245,58.650817495877575,tremor
63,4131698,0.385,-0.18151803939293115,-0.32943031234542275,0.8899761264614866,-28.49294687644488,39.56173243703032,59.49410257251273,tremor
64,4131702,0.389,-0.1924381218701929,-0.3285747306302022,0.8851132120817151,-28.835373038572175,41.48041073749663,60.24276643442598,tremor
65,4131707,0.394,-0.20381925150967806,-0.32769343235897913,0.879999941705565,-29.139457377711125,43.36546432332136,60.89676217915479,tremor
66,4131722,0.409,-0.2156261688100436,-0.32679158938024194,0.8746516781182931,-29.405343392745518,45.19858293441991,61.45623410089354,tremor
67,4131726,0.413,-0.22782180363068,-0.3258745650232451,0.8690847232748613,-29.633213154889873,46.96075427959358,61.921509391134286,tremor
68,4131753,0.44,-0.2403674792991019,-0.3249478742359392,0.8633162456278842,-29.82328257260456,48.632518751183284,62.29309542003529,tremor
69,4131758,0.445,-0.2532231164414578,-0.32401713415936717,0.8573642092582805,-29.97579945895758,50.19423731599465,62.5716822596418,tremor
70,4131763,0.45,-0.26634743267058825,-0.3230880060967847,0.8512473062876115,-30.09104418618407,51.626365398143996,62.7581498057825,tremor
71,4131768,0.455,-0.2796981349540181,-0.3221661301898345,0.8449848937154312,-30.16933262700944,52.909725525707024,62.8535786220574,tremor
72,4131772,0.459,-0.2932321023358358,-0.3212570544770721,0.8385969353945916,-30.21102101712729,54.0257720068446,62.859263480719406,tremor
73,4131777,0.464,-0.30690555759000293,-0.32036616036573873,0.8321039493750678,-30.216512319899522,54.956841840800465,62.77672850588582,tremor
74,4131782,0.469,-0.3206742272695071,-0.3194985868588958,0.8255269603371561,-30.18626363314497,55.686387280903844,62.60774281924404,tremor
75,4131787,0.474,-0.3344934904572492,-0.31865915610338524,0.8188874563101517,-30.120794153057613,56.199186786040414,62.35433563186418,tremor
76,4131797,0.484,-0.34831851731465846,-0.31785230292094996,0.8122073483436868,-30.020693204481624,56.48153240373184,62.01880980453118,tremor
77,4131807,0.494,-0.36210439926564014,-0.31708201092713534,0.8055089312828454,-29.886627860337722,56.52139283227173,61.603753000655196,tremor
78,4131812,0.499,-0.37580627334741395,-0.3163517576175808,0.7988148433230791,-29.719349706040198,56.30855243290348,61.11204566897314,tremor
79,4131816,0.503,-0.3893794438937617,-0.3156644704169476,0.7921480216279715,-29.519700357626373,55.834727233329886,60.546865210407404,tremor
80,4131826,0.513,-0.40277950525620565,-0.3150224951724409,0.7855316510314032,-29.288615413922134,55.09365943183012,59.911685803828696,tremor
81,4131831,0.518,-0.41596246965688055,-0.3144275779805257,0.7789891027624819,-29.027126609425178,54.081192075628884,59.2102734944723,tremor
82,4131836,0.523,-0.42888490442329136,-0.313880860621202,0.7725438602630783,-28.736362030566163,52.79532548997901,58.44667629348899,tremor
