sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,1086083,0.4209,0.2979,0.8655,5.5781,3.5469,3.0469,no_tremor
1,1086088,0.4187,0.2958,0.8660,5.8281,4.5781,2.4688,no_tremor
2,1086097,0.4121,0.2924,0.8645,6.7188,5.7812,3.3281,no_tremor
3,1086102,0.4083,0.2903,0.8616,6.7969,5.8125,2.9531,no_tremor
4,1086107,0.4023,0.2892,0.8590,6.6406,5.4062,1.9688,no_tremor
5,1086112,0.3984,0.2883,0.8561,6.8125,5.5000,1.7656,no_tremor
6,1086117,0.3948,0.2878,0.8531,7.2188,5.7969,1.4219,no_tremor
7,1086122,0.3916,0.2876,0.8501,6.9062,5.5781,1.0312,no_tremor
8,1086126,0.3889,0.2878,0.8473,6.3438,4.9062,0.8281,no_tremor
9,1086131,0.3871,0.2883,0.8447,6.1562,3.3906,-0.0469,no_tremor
10,1086136,0.3860,0.2894,0.8427,6.4219,2.9844,-1.0156,no_tremor
11,1086141,0.3856,0.2909,0.8407,6.4375,2.6562,-1.4219,no_tremor
12,1086145,0.3859,0.2928,0.8391,6.0000,2.0156,-1.4219,no_tremor
13,1086170,0.3887,0.3082,0.8323,4.6719,-0.5156,-2.8438,no_tremor
14,1086175,0.3881,0.3112,0.8311,4.4219,-0.9531,-3.2188,no_tremor
15,1086180,0.3870,0.3141,0.8298,4.1562,-1.5469,-3.9531,no_tremor
16,1086185,0.3854,0.3168,0.8286,4.0156,-2.5156,-3.9844,no_tremor
17,1086189,0.3833,0.3192,0.8269,3.6406,-3.1250,-3.4844,no_tremor
18,1086194,0.3809,0.3225,0.8259,3.0469,-3.1719,-3.1562,no_tremor
19,1086199,0.3770,0.3243,0.8250,2.9375,-3.7500,-2.7656,no_tremor
20,1086204,0.3741,0.3259,0.8240,3.2188,-4.7031,-2.9531,no_tremor
21,1086208,0.3712,0.3274,0.8230,2.9375,-5.1250,-2.9688,no_tremor
22,1086213,0.3682,0.3286,0.8220,2.6250,-5.1719,-2.2500,no_tremor
23,1086218,0.3649,0.3297,0.8210,2.7344,-5.0469,-2.0000,no_tremor
24,1086223,0.3615,0.3306,0.8202,2.6406,-5.3906,-2.5156,no_tremor
25,1086227,0.3578,0.3313,0.8193,2.8906,-5.8125,-2.3438,no_tremor
26,1086232,0.3539,0.3315,0.8187,3.0625,-5.5000,-1.9531,no_tremor
27,1086236,0.3497,0.3317,0.8182,2.6250,-4.9375,-1.6562,no_tremor
28,1086241,0.3457,0.3315,0.8179,2.2656,-4.6562,-0.7969,no_tremor
29,1086267,0.3292,0.3290,0.8190,1.0469,-3.6094,1.4531,no_tremor
30,1086301,0.3269,0.3239,0.8239,0.8438,-1.0625,3.4375,no_tremor
31,1086306,0.3271,0.3226,0.8241,0.1719,-1.4062,3.2969,no_tremor
32,1086311,0.3274,0.3214,0.8242,0.6406,-1.2969,4.0156,no_tremor
33,1086316,0.3276,0.3202,0.8242,0.8438,-0.5000,4.3750,no_tremor
34,1086325,0.3282,0.3179,0.8245,0.4219,-0.8281,2.8906,no_tremor
35,1086329,0.3285,0.3167,0.8248,0.6875,-0.7969,2.1250,no_tremor
36,1086365,0.3384,0.3115,0.8334,0.3906,-0.6094,1.9219,no_tremor
37,1086391,0.3430,0.3127,0.8379,-0.1250,1.1250,0.7500,no_tremor
38,1086395,0.3433,0.3136,0.8379,0.5312,1.5781,0.5469,no_tremor
39,1086425,0.3470,0.3213,0.8341,-0.2500,-0.2344,-0.8281,no_tremor
40,1086429,0.3475,0.3224,0.8334,0.6719,-0.2969,-0.9844,no_tremor
41,1086434,0.3477,0.3235,0.8328,0.7344,-1.0938,-1.1875,no_tremor
42,1086439,0.3475,0.3243,0.8322,0.4375,-0.1406,-1.4062,no_tremor
43,1086444,0.3469,0.3250,0.8317,0.1406,1.4688,-0.8906,no_tremor
44,1086448,0.3458,0.3256,0.8312,-0.1875,1.7656,-0.6250,no_tremor
45,1086453,0.3444,0.3260,0.8308,-0.3594,1.7188,-0.6719,no_tremor
46,1086458,0.3427,0.3264,0.8303,-0.2031,2.0781,-0.9844,no_tremor
47,1086462,0.3408,0.3269,0.8297,0.0000,2.5156,-1.0469,no_tremor
48,1086467,0.3387,0.3275,0.8291,-0.6875,2.8281,-0.2656,no_tremor
49,1086487,0.3325,0.3312,0.8268,-1.0625,2.8438,1.9062,no_tremor
50,1086492,0.3325,0.3320,0.8268,-0.8750,2.9375,1.3125,no_tremor
51,1086496,0.3329,0.3329,0.8269,-0.3594,2.9688,1.5938,no_tremor
52,1086501,0.3339,0.3335,0.8271,-0.3125,2.7969,2.1406,no_tremor
53,1086505,0.3350,0.3341,0.8276,-0.4844,2.9844,1.9531,no_tremor
54,1086551,0.3467,0.3285,0.8365,1.0156,-0.8281,1.5312,no_tremor
55,1086555,0.3483,0.3274,0.8374,1.3750,-1.6406,1.6719,no_tremor
56,1086591,0.3535,0.3209,0.8337,0.7656,2.9844,0.9531,no_tremor
57,1086606,0.3571,0.3181,0.8330,1.2656,2.0938,0.8594,no_tremor
58,1086642,0.3701,0.3192,0.8364,0.0469,-1.9062,-1.6094,no_tremor
59,1086647,0.3705,0.3202,0.8363,0.6250,-2.0938,-1.3281,no_tremor
60,1086671,0.3694,0.3262,0.8317,0.1250,-0.5312,-0.2656,no_tremor
61,1086676,0.3683,0.3273,0.8301,-0.3750,1.2031,-0.6094,no_tremor
62,1086681,0.3667,0.3280,0.8276,-0.0312,1.8438,-0.9375,no_tremor
63,1086696,0.3582,0.3289,0.8235,0.4375,1.9531,-0.0312,no_tremor
64,1086701,0.3560,0.3289,0.8226,0.1250,-0.0625,-0.1406,no_tremor
65,1086726,0.3546,0.3303,0.8259,-0.4375,-5.4531,-2.1094,no_tremor
66,1086741,0.3573,0.3307,0.8303,-0.0469,-4.6562,-1.1875,no_tremor
67,1086767,0.3473,0.3251,0.8323,-0.1094,-3.0156,0.1719,no_tremor
68,1086772,0.3445,0.3235,0.8322,0.5781,-3.4688,-0.5312,no_tremor
69,1086797,0.3438,0.3195,0.8328,0.1719,-3.3750,-1.0781,no_tremor
70,1086802,0.3453,0.3195,0.8328,-0.1406,-2.8906,-1.0781,no_tremor
71,1086807,0.3468,0.3195,0.8325,0.4844,-2.7031,-1.1719,no_tremor
72,1086811,0.3479,0.3196,0.8322,0.9844,-2.6406,-1.4219,no_tremor
73,1086816,0.3486,0.3196,0.8318,0.7031,-2.7344,-1.2188,no_tremor
74,1086825,0.3491,0.3197,0.8309,0.4219,-3.0000,-0.7031,no_tremor
75,1086829,0.3490,0.3198,0.8307,0.4844,-2.8750,-0.9688,no_tremor
