sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,1687218,-0.7019,-0.3483,-0.9155,39.3438,13.6250,-13.0000,no_tremor
1,1687229,-0.6489,-0.3667,-0.9161,42.1875,3.5625,-18.5625,no_tremor
2,1687241,-0.5989,-0.3899,-0.9106,43.7031,-4.2500,-24.8281,no_tremor
3,1687284,-0.6863,-0.3912,-0.9017,66.7969,18.7969,-58.3750,no_tremor
4,1687296,-0.7468,-0.3737,-0.9176,73.5156,25.4062,-69.2031,no_tremor
5,1687318,-0.7861,-0.3555,-0.9291,83.7656,16.5938,-82.4062,no_tremor
6,1687329,-0.7472,-0.3652,-0.9153,86.7969,6.1875,-87.4375,no_tremor
7,1687340,-0.6818,-0.3854,-0.8917,85.2656,-15.9062,-95.0781,no_tremor
8,1687352,-0.6156,-0.4091,-0.8612,84.0625,-43.9844,-104.7188,no_tremor
9,1687363,-0.5778,-0.4288,-0.8263,84.6875,-57.0000,-121.1719,no_tremor
10,1687408,-0.7557,-0.5006,-0.6388,90.7031,-4.4375,-161.5000,no_tremor
11,1687420,-0.7319,-0.5253,-0.5870,90.2344,-10.3750,-164.3906,no_tremor
12,1687431,-0.6479,-0.5514,-0.5471,88.6406,-22.9375,-171.7812,no_tremor
13,1687442,-0.5359,-0.5806,-0.5133,80.3125,-39.6094,-176.3594,no_tremor
14,1687453,-0.4230,-0.6077,-0.4757,68.5000,-66.0781,-179.8906,no_tremor
15,1687475,-0.2241,-0.6407,-0.3673,42.2812,-98.4688,-178.0938,no_tremor
16,1687487,-0.1904,-0.6487,-0.3065,33.2969,-95.7656,-176.3125,no_tremor
17,1687520,-0.0468,-0.6758,-0.2362,15.0000,-81.2344,-150.9375,no_tremor
18,1687532,0.0215,-0.6868,-0.2686,5.5156,-84.1094,-143.1562,no_tremor
19,1687554,0.1747,-0.7396,-0.3612,-20.5312,-105.1875,-125.7812,no_tremor
20,1687565,0.2238,-0.7860,-0.3967,-35.8125,-116.1406,-113.8438,no_tremor
21,1687576,0.2671,-0.8267,-0.4183,-49.9688,-122.3125,-100.0312,no_tremor
22,1687587,0.2909,-0.8705,-0.4246,-62.8125,-118.9688,-84.9844,no_tremor
23,1687599,0.2968,-0.8920,-0.4199,-71.3281,-106.4219,-72.3594,no_tremor
24,1687610,0.2878,-0.8826,-0.4097,-77.2344,-86.2344,-58.3438,no_tremor
25,1687643,0.2393,-0.7549,-0.4446,-90.0469,-53.5469,-21.8594,no_tremor
26,1687666,0.1998,-0.7249,-0.5067,-98.2344,-47.9375,-0.8438,no_tremor
27,1687733,0.1506,-0.6525,-0.6115,-106.7031,-14.9688,66.5000,no_tremor
28,1687767,0.1370,-0.6401,-0.6663,-106.3594,-10.8125,88.0625,no_tremor
29,1687778,0.0918,-0.6469,-0.6888,-103.6875,-7.0938,93.5625,no_tremor
30,1687790,0.0243,-0.6520,-0.7064,-98.2188,0.1094,102.1250,no_tremor
31,1687812,-0.0476,-0.6285,-0.7499,-88.0938,20.6875,129.5781,no_tremor
32,1687823,-0.0190,-0.5966,-0.7736,-82.4219,25.0000,148.1094,no_tremor
33,1687835,0.0323,-0.5559,-0.8065,-73.5000,23.7969,152.7031,no_tremor
34,1687846,0.0602,-0.5070,-0.8634,-60.8438,23.9062,142.4688,no_tremor
35,1687857,0.0216,-0.4509,-0.9481,-54.7188,26.8594,127.8906,no_tremor
36,1687891,-0.3105,-0.3417,-1.1337,-31.5938,60.5156,123.0781,no_tremor
37,1687902,-0.3618,-0.3467,-1.1245,-27.9062,62.5469,132.0938,no_tremor
38,1687913,-0.3346,-0.3743,-1.0963,-19.6094,49.5469,140.8125,no_tremor
39,1687925,-0.2500,-0.4055,-1.0745,-10.4688,32.5156,144.0625,no_tremor
40,1687936,-0.1644,-0.4164,-1.0797,-3.0469,22.2344,139.9844,no_tremor
41,1687958,-0.1895,-0.3429,-1.1573,18.2031,34.8594,118.6094,no_tremor
42,1688013,-0.4189,-0.3400,-0.9989,35.5156,87.9062,131.8438,no_tremor
43,1688025,-0.3091,-0.3687,-0.9417,30.8906,68.8594,138.6094,no_tremor
