sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,2032803,-0.6344,-0.1195,-0.9017,2.4375,55.7969,-14.2969,no_tremor
1,2032808,-0.6427,-0.1246,-0.9025,2.0312,62.6562,-15.5625,no_tremor
2,2032812,-0.6516,-0.1307,-0.9041,1.9219,69.7656,-17.8438,no_tremor
3,2032817,-0.6611,-0.1372,-0.9065,1.9375,76.9688,-21.1094,no_tremor
4,2032842,-0.7249,-0.1582,-0.9325,-8.4219,105.2969,-41.2500,no_tremor
5,2032847,-0.7360,-0.1584,-0.9362,-11.3594,105.2344,-49.0781,no_tremor
6,2032852,-0.7455,-0.1580,-0.9390,-15.9844,99.5938,-56.1406,no_tremor
7,2032861,-0.7559,-0.1562,-0.9427,-22.9688,60.7188,-66.3906,no_tremor
8,2032871,-0.7456,-0.1532,-0.9469,-36.1094,-20.0156,-75.2812,no_tremor
9,2032890,-0.5975,-0.1351,-0.9669,-33.1250,-129.9531,-98.6562,no_tremor
10,2032900,-0.5170,-0.1221,-0.9855,-36.8438,-169.3594,-98.7656,no_tremor
11,2032915,-0.5073,-0.1241,-1.0126,-52.0625,-114.0156,-136.4844,no_tremor
12,2032924,-0.6084,-0.1837,-1.0277,-45.3281,-49.4844,-148.4219,no_tremor
13,2032929,-0.7194,-0.1805,-1.0316,-36.3125,-18.4844,-152.6562,no_tremor
14,2032934,-0.8303,-0.1974,-1.0349,-27.5469,10.9062,-157.0781,no_tremor
15,2032939,-0.9297,-0.2098,-1.0381,-20.8906,37.5781,-161.2188,no_tremor
16,2032966,-1.2017,-0.1953,-1.0641,4.7656,101.7656,-172.9531,no_tremor
17,2032971,-1.1636,-0.1903,-1.0671,9.8125,99.5938,-172.4219,no_tremor
18,2032976,-1.1049,-0.1882,-1.0696,13.8906,97.2500,-172.2812,no_tremor
19,2032981,-1.0304,-0.1898,-1.0721,15.8438,94.2188,-173.2812,no_tremor
20,2032985,-0.9451,-0.1949,-1.0759,22.2188,88.5000,-174.6719,no_tremor
21,2032990,-0.8540,-0.2030,-1.0820,24.8281,83.7344,-175.4219,no_tremor
22,2033000,-0.6289,-0.2306,-1.1138,34.7812,68.6719,-176.0938,no_tremor
23,2033010,-0.4766,-0.2515,-1.1597,45.3906,51.0000,-175.8438,no_tremor
24,2033024,-0.3190,-0.2694,-1.2551,66.6562,26.7188,-175.0625,no_tremor
25,2033029,-0.2845,-0.2712,-1.2897,72.0312,22.5625,-172.4688,no_tremor
26,2033034,-0.2573,-0.2711,-1.3234,77.8594,19.5938,-169.7812,no_tremor
27,2033039,-0.2355,-0.2681,-1.3695,84.0781,17.5781,-167.3125,no_tremor
28,2033044,-0.2097,-0.2644,-1.3955,90.0781,16.7344,-164.5156,no_tremor
29,2033064,-0.1581,-0.2445,-1.4437,115.0156,27.6719,-151.4531,no_tremor
30,2033091,-0.0856,-0.2139,-1.3698,147.8906,50.7344,-124.5469,no_tremor
31,2033101,-0.0521,-0.1997,-1.3346,161.9531,52.9531,-114.4531,no_tremor
32,2033105,-0.0326,-0.1915,-1.3186,166.2969,52.0312,-109.6094,no_tremor
33,2033110,-0.0115,-0.1829,-1.2966,169.9375,50.6250,-103.8906,no_tremor
34,2033115,0.0111,-0.1702,-1.2827,173.5000,48.7500,-98.0938,no_tremor
35,2033120,0.0466,-0.1625,-1.2688,177.2500,45.7031,-92.9219,no_tremor
36,2033130,0.0956,-0.1511,-1.2386,182.1250,37.5625,-80.5938,no_tremor
37,2033134,0.1199,-0.1481,-1.2213,184.2500,32.6250,-72.2344,no_tremor
38,2033139,0.1436,-0.1472,-1.2019,186.2344,26.4375,-66.5938,no_tremor
39,2033144,0.1665,-0.1484,-1.1804,188.4375,22.1250,-60.4219,no_tremor
40,2033149,0.1881,-0.1519,-1.1567,189.8750,18.8438,-55.1406,no_tremor
41,2033154,0.2081,-0.1571,-1.1176,191.2031,15.9844,-50.1406,no_tremor
42,2033159,0.2261,-0.1685,-1.0895,192.0625,13.0312,-44.0781,no_tremor
43,2033163,0.2483,-0.1777,-1.0599,192.4219,11.0469,-37.9844,no_tremor
44,2033173,0.2678,-0.2002,-0.9978,190.6562,9.5312,-28.1719,no_tremor
45,2033183,0.2747,-0.2268,-0.9321,185.8594,11.1719,-16.8125,no_tremor
46,2033214,0.2318,-0.3247,-0.6914,168.1406,34.4531,15.4688,no_tremor
47,2033229,0.2063,-0.3440,-0.5966,159.7656,47.4375,32.7969,no_tremor
48,2033233,0.1992,-0.3458,-0.5675,157.0938,55.9375,37.8281,no_tremor
49,2033238,0.1934,-0.3458,-0.5398,151.6250,57.5938,42.5312,no_tremor
50,2033243,0.1884,-0.3444,-0.5134,147.6875,60.9688,46.4688,no_tremor
51,2033248,0.1844,-0.3419,-0.4758,143.6875,63.6719,50.2344,no_tremor
52,2033253,0.1801,-0.3380,-0.4520,139.3438,66.3594,54.8750,no_tremor
53,2033258,0.1781,-0.3361,-0.4290,135.0000,68.5938,60.1250,no_tremor
54,2033263,0.1769,-0.3353,-0.4067,130.5156,69.7344,65.0312,no_tremor
55,2033273,0.1764,-0.3387,-0.3646,118.8125,71.4062,77.2656,no_tremor
56,2033277,0.1769,-0.3433,-0.3448,114.5000,72.5938,82.5000,no_tremor
57,2033282,0.1776,-0.3492,-0.3259,109.9844,73.7344,87.3438,no_tremor
58,2033287,0.1787,-0.3604,-0.2993,104.6094,73.7031,91.7500,no_tremor
59,2033292,0.1787,-0.3685,-0.2828,99.5625,73.5781,96.7031,no_tremor
60,2033297,0.1776,-0.3766,-0.2673,95.0781,73.4688,102.3125,no_tremor
61,2033302,0.1749,-0.3842,-0.2527,90.1250,73.7656,107.4844,no_tremor
62,2033306,0.1703,-0.3909,-0.2386,85.1406,74.8281,112.2188,no_tremor
63,2033311,0.1635,-0.3962,-0.2251,80.9375,74.9531,118.8438,no_tremor
64,2033339,0.0878,-0.4108,-0.1439,51.4062,60.0625,144.7656,no_tremor
65,2033344,0.0726,-0.4137,-0.1294,45.9375,51.3906,150.3594,no_tremor
66,2033348,0.0575,-0.4180,-0.1143,37.2500,46.2500,153.8125,no_tremor
67,2033353,0.0422,-0.4238,-0.0988,32.8750,41.6406,157.0469,no_tremor
68,2033358,0.0270,-0.4313,-0.0829,26.3281,36.6094,160.2500,no_tremor
69,2033363,0.0114,-0.4404,-0.0587,19.4062,31.7812,162.7969,no_tremor
