sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,713464,-0.3973,-0.1798,-0.9436,-0.9219,-0.0781,0.3594,no_tremor
1,713469,-0.3978,-0.1801,-0.9427,-0.7812,-0.1562,0.0625,no_tremor
2,713473,-0.3982,-0.1804,-0.9423,-0.7656,-0.0781,-0.4062,no_tremor
3,713478,-0.3984,-0.1809,-0.9421,-0.7188,-0.1094,-0.4375,no_tremor
4,713483,-0.3984,-0.1814,-0.9424,-0.6562,-0.0625,-0.4375,no_tremor
5,713493,-0.3984,-0.1825,-0.9438,-0.3594,-0.8438,0.0625,no_tremor
6,713498,-0.3984,-0.1831,-0.9456,-0.6094,-0.2969,-0.2812,no_tremor
7,713502,-0.3982,-0.1835,-0.9468,-1.6406,0.1250,-0.9531,no_tremor
8,713512,-0.3976,-0.1840,-0.9489,-0.5000,0.0000,-0.2656,no_tremor
9,713517,-0.3972,-0.1841,-0.9495,-0.4219,0.2031,-0.2031,no_tremor
10,713521,-0.3970,-0.1841,-0.9500,-0.7812,0.2031,-0.7500,no_tremor
11,713526,-0.3970,-0.1838,-0.9500,-0.3438,0.2969,0.1094,no_tremor
12,713531,-0.3972,-0.1835,-0.9498,-0.4219,0.3438,0.3594,no_tremor
13,713536,-0.3976,-0.1830,-0.9496,-1.2969,0.8125,0.1250,no_tremor
14,713541,-0.3981,-0.1824,-0.9491,-0.9844,0.4844,-0.0938,no_tremor
15,713560,-0.3988,-0.1801,-0.9463,-1.0156,0.6250,0.0312,no_tremor
16,713585,-0.3959,-0.1813,-0.9468,-1.0312,0.4688,0.0156,no_tremor
17,713633,-0.3962,-0.1826,-0.9550,-2.0312,-0.1719,-0.0156,no_tremor
18,713637,-0.3956,-0.1824,-0.9532,-1.1094,-0.9531,-0.6406,no_tremor
19,713642,-0.3943,-0.1821,-0.9509,-1.0938,-1.2031,-0.7812,no_tremor
20,713647,-0.3925,-0.1819,-0.9485,-1.5938,-0.4375,-1.0000,no_tremor
21,713651,-0.3906,-0.1816,-0.9465,-1.6250,-0.0156,-2.1562,no_tremor
22,713656,-0.3893,-0.1814,-0.9454,-1.2344,0.3438,-2.6250,no_tremor
23,713660,-0.3887,-0.1813,-0.9452,-0.8281,0.8906,-2.1094,no_tremor
24,713675,-0.3926,-0.1816,-0.9512,0.1562,0.5625,-2.9062,no_tremor
25,713680,-0.3944,-0.1820,-0.9536,0.5000,0.7188,-2.5312,no_tremor
26,713716,-0.3993,-0.1763,-0.9685,4.3594,1.8594,-3.4219,no_tremor
27,713721,-0.3995,-0.1750,-0.9698,3.9219,0.2500,-3.3125,no_tremor
28,713741,-0.3943,-0.1809,-0.9734,1.2812,-7.8750,-1.4531,no_tremor
29,713756,-0.3866,-0.1997,-0.9775,1.3906,-11.4219,0.7031,no_tremor
30,713761,-0.3865,-0.2045,-0.9792,2.7188,-13.4688,-0.1875,no_tremor
31,713794,-0.4265,-0.1925,-1.0040,2.3906,-22.1250,-2.8906,no_tremor
32,713808,-0.4425,-0.1832,-1.0219,-1.5469,-30.8438,-4.5625,no_tremor
33,713844,-0.4435,-0.2037,-1.1105,-20.3438,-233.2031,1.4531,no_tremor
34,713849,-0.4229,-0.2042,-1.1224,-23.8750,-294.8594,7.7031,no_tremor
35,714002,-1.2275,-0.1740,0.1536,49.8125,-149.2344,-30.8906,no_tremor
36,714017,-1.1875,-0.1613,0.1959,52.4219,-106.8906,-30.5312,no_tremor
37,714026,-1.1171,-0.1466,0.2139,51.3906,-94.8438,-28.2812,no_tremor
38,714031,-1.0726,-0.1377,0.2205,49.8906,-90.5312,-29.2656,no_tremor
39,714035,-1.0247,-0.1283,0.2258,47.7344,-86.6250,-29.5938,no_tremor
40,714040,-0.9751,-0.1191,0.2305,45.8906,-83.4844,-29.1094,no_tremor
41,714056,-0.8394,-0.0970,0.2529,38.5156,-75.7188,-24.7344,no_tremor
42,714060,-0.7896,-0.0944,0.2637,36.0781,-71.9219,-23.7188,no_tremor
43,714087,-0.7616,-0.0941,0.3585,27.6875,-25.3125,-17.6719,no_tremor
44,714092,-0.7798,-0.0944,0.3772,27.3594,-6.7344,-15.5156,no_tremor
45,714096,-0.8021,-0.0946,0.3943,26.9844,6.5156,-13.0938,no_tremor
46,714101,-0.8271,-0.0950,0.4091,26.0938,20.8438,-11.1562,no_tremor
47,714106,-0.8531,-0.0968,0.4258,25.3594,34.5469,-10.2812,no_tremor
48,714111,-0.8911,-0.0996,0.4330,24.8906,47.9531,-9.3594,no_tremor
49,714116,-0.9141,-0.1041,0.4371,24.1094,63.7812,-7.9375,no_tremor
50,714121,-0.9344,-0.1107,0.4386,23.0156,81.7812,-6.9844,no_tremor
51,714126,-0.9521,-0.1193,0.4379,22.3438,108.4219,-6.3594,no_tremor
52,714131,-0.9674,-0.1296,0.4353,22.5312,130.5938,-5.0625,no_tremor
53,714339,-0.2865,-0.2712,-0.6851,-50.8750,163.2500,-89.1719,no_tremor
54,714344,-0.1921,-0.2687,-0.6826,-59.7656,77.7656,-88.2969,no_tremor
55,714349,-0.0856,-0.2665,-0.6846,-71.7344,29.5156,-83.2500,no_tremor
56,714354,0.0287,-0.2651,-0.6923,-76.5312,-7.1562,-76.7031,no_tremor
57,714359,0.1439,-0.2645,-0.7064,-78.5000,-30.0000,-70.4375,no_tremor
58,714363,0.2520,-0.2642,-0.7393,-77.7500,-38.2656,-64.5000,no_tremor
59,714373,0.4338,-0.2585,-0.7998,-70.3906,-25.2969,-57.1562,no_tremor
60,714378,0.4526,-0.2504,-0.8340,-64.6406,-9.9375,-55.2812,no_tremor
61,714383,0.4348,-0.2369,-0.8684,-58.0781,10.9844,-53.5312,no_tremor
62,714392,0.2976,-0.1921,-0.9320,-41.0156,68.6875,-47.1875,no_tremor
63,714402,0.0725,-0.1271,-0.9796,-28.7188,101.7812,-36.2188,no_tremor
64,714407,-0.0465,-0.0909,-1.0021,-24.5781,107.4531,-30.0312,no_tremor
65,714412,-0.1544,-0.0398,-1.0110,-20.4375,106.0469,-24.5781,no_tremor
66,714417,-0.2750,-0.0118,-1.0160,-16.6250,99.4375,-20.9844,no_tremor
67,714422,-0.3188,0.0084,-1.0182,-15.4219,89.0312,-18.5312,no_tremor
68,714431,-0.3119,0.0190,-1.0172,-17.8750,52.3750,-10.8281,no_tremor
69,714458,0.1042,-0.1355,-1.0144,-25.9062,-21.2969,-1.3281,no_tremor
70,714462,0.1624,-0.1635,-1.0146,-26.0312,-28.0469,-0.0312,no_tremor
71,714467,0.2015,-0.1855,-1.0146,-26.6562,-31.8906,1.6562,no_tremor
