sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,385016,-0.0839,-0.1025,-1.1221,20.6562,-50.6250,18.5938,no_tremor
1,385026,-0.0500,-0.1050,-1.1534,24.3125,-45.3281,31.6719,no_tremor
2,385052,-0.0126,-0.0265,-1.2427,95.4219,123.2344,86.9219,no_tremor
3,385062,-0.0358,0.0461,-1.2749,134.3906,147.6094,109.1875,no_tremor
4,385066,-0.0448,0.0822,-1.2869,136.5625,143.6250,119.4375,no_tremor
5,385071,-0.0463,0.1117,-1.2943,130.3594,135.0781,133.1250,no_tremor
6,385081,0.0188,0.1337,-1.2891,117.1719,98.4688,154.6719,no_tremor
7,385086,0.0497,0.1188,-1.2778,113.7500,75.6406,162.6719,no_tremor
8,385091,0.1062,0.0928,-1.2629,112.3906,53.0000,172.0156,no_tremor
9,385100,0.2388,0.0237,-1.2267,119.2969,17.6562,204.4062,no_tremor
10,385105,0.3052,-0.0114,-1.2078,118.6719,-2.4531,215.2188,no_tremor
11,385115,0.4135,-0.0684,-1.1730,104.2031,-32.2656,207.8281,no_tremor
12,385120,0.4479,-0.0880,-1.1267,99.4844,-46.2656,207.7344,no_tremor
13,385124,0.4659,-0.1018,-1.1381,94.2656,-59.8125,208.3906,no_tremor
14,385134,0.4393,-0.1135,-1.1139,92.8906,-83.3594,217.4844,no_tremor
15,385144,0.3562,-0.1044,-1.0878,93.5469,-97.7031,224.9844,no_tremor
16,385148,0.3000,-0.0950,-1.0719,94.3281,-100.5781,227.3594,no_tremor
17,385176,-0.0934,-0.0072,-0.9257,87.2031,-82.7656,218.7031,no_tremor
18,385186,-0.2004,0.0256,-0.8700,85.1719,-77.0312,214.8438,no_tremor
19,385191,-0.2438,0.0416,-0.8330,83.0312,-74.7188,211.7188,no_tremor
20,385196,-0.2955,0.0641,-0.8118,80.9688,-74.8906,210.2344,no_tremor
21,385206,-0.3446,0.0883,-0.7805,76.4375,-74.7500,206.0000,no_tremor
22,385210,-0.3640,0.0973,-0.7716,75.7344,-71.8594,196.1562,no_tremor
23,385220,-0.4014,0.1090,-0.7695,75.5781,-68.0781,183.2031,no_tremor
24,385274,-0.7196,-0.0293,-0.8124,55.4375,-91.8281,131.0469,no_tremor
25,385306,-0.8102,-0.0608,-0.6776,33.5625,-77.8438,78.9531,no_tremor
26,385316,-0.8629,-0.0835,-0.6511,29.1562,-74.8438,67.0000,no_tremor
27,385325,-0.9092,-0.1072,-0.6350,25.3594,-72.8125,60.0000,no_tremor
28,385330,-0.9310,-0.1179,-0.6298,23.8906,-71.3906,52.6875,no_tremor
29,385335,-0.9506,-0.1272,-0.6252,23.0469,-69.3750,52.9219,no_tremor
30,385340,-0.9668,-0.1345,-0.6206,20.2031,-67.5156,50.7344,no_tremor
31,385344,-0.9790,-0.1396,-0.6151,17.5000,-65.9844,47.6406,no_tremor
32,385349,-0.9867,-0.1426,-0.6042,15.1094,-64.7031,44.0781,no_tremor
33,385354,-0.9905,-0.1437,-0.5951,13.5625,-63.1250,40.4375,no_tremor
34,385359,-0.9910,-0.1425,-0.5850,13.1406,-59.2812,37.0000,no_tremor
35,385364,-0.9897,-0.1400,-0.5742,13.2500,-51.1719,33.4844,no_tremor
36,385369,-0.9889,-0.1366,-0.5638,13.7812,-41.7188,30.1250,no_tremor
37,385373,-0.9894,-0.1327,-0.5547,14.5156,-32.6562,26.5000,no_tremor
38,385378,-0.9918,-0.1288,-0.5474,13.8906,-22.8438,20.2500,no_tremor
39,385383,-0.9962,-0.1255,-0.5427,11.4688,-8.5781,15.3750,no_tremor
40,385388,-1.0020,-0.1239,-0.5416,10.4531,-1.6719,11.7500,no_tremor
41,385393,-1.0083,-0.1559,-0.5474,9.9219,4.0938,9.1094,no_tremor
