sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,2216509,-0.5060,-0.0339,-0.9146,0.0938,0.4062,0.0312,no_tremor
1,2216513,-0.5072,-0.0334,-0.9150,0.3750,-0.0469,-0.2031,no_tremor
2,2216518,-0.5081,-0.0332,-0.9155,-0.2031,-0.5781,-0.4219,no_tremor
3,2216523,-0.5090,-0.0331,-0.9163,-0.1562,-0.6406,-0.4062,no_tremor
4,2216528,-0.5100,-0.0331,-0.9169,0.1719,-0.3125,-0.5156,no_tremor
5,2216533,-0.5111,-0.0332,-0.9175,0.3281,0.2812,-0.4219,no_tremor
6,2216537,-0.5121,-0.0337,-0.9181,0.5781,0.8594,-0.0469,no_tremor
7,2216542,-0.5129,-0.0342,-0.9186,0.3281,1.1250,-0.2656,no_tremor
8,2216547,-0.5137,-0.0349,-0.9191,0.1406,1.3281,-0.0156,no_tremor
9,2216552,-0.5142,-0.0363,-0.9192,0.0625,1.6562,-0.0625,no_tremor
10,2216557,-0.5145,-0.0371,-0.9193,0.0469,2.0312,-0.8125,no_tremor
11,2216562,-0.5145,-0.0378,-0.9193,0.0938,2.5312,-0.9219,no_tremor
12,2216567,-0.5143,-0.0385,-0.9194,0.0938,3.1094,-0.3281,no_tremor
13,2216572,-0.5139,-0.0387,-0.9199,0.2500,3.6094,-0.2031,no_tremor
14,2216577,-0.5133,-0.0388,-0.9208,0.5000,4.1094,0.1562,no_tremor
15,2216581,-0.5125,-0.0385,-0.9225,0.9062,5.2500,0.5625,no_tremor
16,2216586,-0.5114,-0.0377,-0.9252,1.5312,5.7656,1.2344,no_tremor
17,2216591,-0.5099,-0.0354,-0.9323,2.2344,5.9219,3.0000,no_tremor
18,2216596,-0.5071,-0.0328,-0.9396,3.5781,5.8906,3.6875,no_tremor
19,2216636,-0.5304,0.0311,-1.0997,40.2969,25.2031,-19.5938,no_tremor
20,2216641,-0.5422,0.0320,-1.1223,47.3125,75.5781,-35.0000,no_tremor
21,2216645,-0.5566,0.0273,-1.1411,50.3750,96.3594,-31.6562,no_tremor
22,2216650,-0.5730,0.0167,-1.1552,40.7188,96.4062,-23.4062,no_tremor
23,2216655,-0.5886,0.0006,-1.1666,35.7656,85.2812,-19.6562,no_tremor
24,2216660,-0.6029,-0.0293,-1.1683,42.4219,73.2969,-17.2031,no_tremor
25,2216670,-0.5897,-0.0632,-1.1624,66.1875,37.1406,-10.2812,no_tremor
26,2216675,-0.5674,-0.0719,-1.1576,78.2188,3.2188,-8.0000,no_tremor
27,2216680,-0.5366,-0.0735,-1.1538,84.4062,-14.0000,-7.5469,no_tremor
28,2216685,-0.5012,-0.0680,-1.1526,90.2188,-25.0312,-11.8750,no_tremor
29,2216690,-0.4658,-0.0565,-1.1587,95.1719,-30.0000,-18.8125,no_tremor
30,2216695,-0.4353,-0.0317,-1.1692,99.5156,-31.5469,-24.3438,no_tremor
31,2216700,-0.4087,-0.0128,-1.1853,103.6406,-31.2812,-29.5625,no_tremor
32,2216705,-0.4080,0.0060,-1.2061,107.3750,-29.6250,-35.8750,no_tremor
33,2216709,-0.4221,0.0237,-1.2302,111.6406,-27.1094,-43.1875,no_tremor
34,2216715,-0.4502,0.0393,-1.2556,119.7188,-23.2969,-46.5469,no_tremor
35,2216719,-0.4896,0.0527,-1.2802,125.1562,-21.3281,-49.5156,no_tremor
36,2216724,-0.5366,0.0637,-1.3101,131.6094,-20.5938,-51.0156,no_tremor
37,2216729,-0.6116,0.0759,-1.3226,137.8906,-21.9062,-51.8438,no_tremor
38,2216756,-0.7617,0.0779,-1.2548,167.2188,-47.1406,-61.7812,no_tremor
39,2216761,-0.7583,0.0702,-1.2062,170.7344,-50.0781,-64.7031,no_tremor
40,2216766,-0.7478,0.0531,-1.1716,174.1094,-54.4688,-67.0469,no_tremor
41,2216770,-0.7230,0.0378,-1.1370,177.3594,-58.4688,-68.8750,no_tremor
42,2216775,-0.7037,0.0197,-1.1034,179.0156,-60.5156,-71.7500,no_tremor
43,2216780,-0.6842,-0.0011,-1.0715,180.1562,-61.5156,-74.7969,no_tremor
44,2216785,-0.6656,-0.0240,-1.0417,181.4219,-60.2188,-77.3594,no_tremor
45,2216790,-0.6488,-0.0482,-1.0139,182.0625,-57.4375,-81.9375,no_tremor
46,2216795,-0.6338,-0.0730,-0.9879,182.3750,-55.7031,-83.7969,no_tremor
47,2216800,-0.6208,-0.0974,-0.9634,182.7500,-54.8594,-85.2656,no_tremor
48,2216804,-0.6102,-0.1206,-0.9279,182.1562,-51.5312,-87.7344,no_tremor
49,2216810,-0.6019,-0.1510,-0.9043,181.2344,-46.7188,-91.5781,no_tremor
50,2216814,-0.5946,-0.1675,-0.8801,181.1562,-41.0938,-95.7812,no_tremor
51,2216819,-0.5934,-0.1809,-0.8553,181.1719,-35.6875,-102.9688,no_tremor
52,2216824,-0.5946,-0.1913,-0.8298,180.4844,-26.4844,-101.6250,no_tremor
53,2216829,-0.5974,-0.1991,-0.8036,179.3281,-22.0938,-101.9375,no_tremor
54,2216834,-0.6007,-0.2054,-0.7764,177.4531,-17.9531,-101.6719,no_tremor
55,2216839,-0.6028,-0.2114,-0.7480,176.3125,-15.8438,-101.5938,no_tremor
56,2216843,-0.6022,-0.2183,-0.7190,175.8750,-15.7656,-101.6719,no_tremor
57,2216848,-0.5983,-0.2272,-0.6582,175.8750,-16.9844,-101.7969,no_tremor
58,2216853,-0.5906,-0.2391,-0.6465,175.5312,-19.1406,-101.5312,no_tremor
59,2216881,-0.4655,-0.3981,-0.5172,157.4219,-22.8281,-94.2656,no_tremor
60,2216886,-0.4399,-0.4298,-0.5007,153.5625,-22.8281,-93.3750,no_tremor
61,2216890,-0.4152,-0.4613,-0.4846,148.5938,-21.7969,-92.5000,no_tremor
62,2216895,-0.3915,-0.4917,-0.4685,143.4375,-20.2656,-91.0781,no_tremor
63,2216900,-0.3694,-0.5201,-0.4520,134.1875,-17.7031,-89.1719,no_tremor
64,2216905,-0.3491,-0.5464,-0.4349,129.9375,-16.5469,-87.5312,no_tremor
65,2216910,-0.3306,-0.5702,-0.4073,123.8906,-16.4219,-85.2656,no_tremor
66,2217247,-0.3441,-0.7859,-0.5264,-14.1719,8.0625,10.2812,no_tremor
