sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,2447523,-0.0011,-0.8423,-0.5260,-15.4688,9.2812,15.2031,no_tremor
1,2447534,-0.0291,-0.8269,-0.5472,-16.8906,9.2031,18.2031,no_tremor
2,2447545,-0.0428,-0.8190,-0.5491,-17.6406,7.0625,20.2031,no_tremor
3,2447557,-0.0358,-0.8217,-0.5319,-20.3438,2.5781,23.1406,no_tremor
4,2447568,-0.0077,-0.8333,-0.5026,-24.4062,-4.3906,28.3594,no_tremor
5,2447579,0.0342,-0.8479,-0.4700,-29.6719,-12.5625,33.7500,no_tremor
6,2447590,0.0781,-0.8594,-0.4410,-34.5625,-16.6562,40.7969,no_tremor
7,2447601,0.1082,-0.8636,-0.4188,-41.8750,-17.5938,48.3906,no_tremor
8,2447634,0.1569,-0.8361,-0.3823,-64.0938,-19.2812,70.8906,no_tremor
9,2447645,0.1580,-0.8149,-0.3765,-73.2812,-23.7812,80.9375,no_tremor
10,2447656,0.1564,-0.7944,-0.3735,-84.9688,-29.8906,90.9844,no_tremor
11,2447667,0.1520,-0.7654,-0.3683,-96.6094,-40.2344,101.1094,no_tremor
12,2447679,0.1434,-0.7354,-0.3568,-109.8438,-52.1719,108.6094,no_tremor
13,2447690,0.1298,-0.7064,-0.3395,-120.0625,-60.5781,116.9844,no_tremor
14,2447701,0.1118,-0.6763,-0.3267,-131.1719,-61.7500,124.1562,no_tremor
15,2447712,0.0870,-0.6382,-0.3345,-137.3750,-57.5469,128.7812,no_tremor
16,2447724,0.0436,-0.5870,-0.3722,-143.5938,-39.7031,132.2188,no_tremor
17,2447758,-0.1951,-0.4331,-0.5005,-174.3594,-15.2812,136.4375,no_tremor
18,2447780,-0.2528,-0.4030,-0.4598,-186.3281,-83.9844,150.0156,no_tremor
19,2447792,-0.2244,-0.3794,-0.4515,-188.8438,-121.4688,158.4844,no_tremor
20,2447803,-0.1831,-0.3279,-0.4824,-180.8906,-137.1094,153.7969,no_tremor
21,2447825,-0.3115,-0.1176,-0.6766,-167.7031,-38.3594,123.2812,no_tremor
22,2447837,-0.5425,0.0055,-0.7783,-159.0156,18.2812,103.7344,no_tremor
23,2447848,-0.8282,0.1057,-0.8425,-153.9688,69.7344,91.0938,no_tremor
24,2447881,-1.0741,0.1747,-0.9133,-117.3125,-38.9219,74.0312,no_tremor
25,2447892,-0.8884,0.1577,-0.9886,-106.0938,-97.5938,66.8125,no_tremor
26,2447903,-0.6912,0.1486,-1.0968,-92.4219,-120.1094,54.0000,no_tremor
27,2447914,-0.5776,0.1512,-1.1929,-76.7188,-118.5156,48.9844,no_tremor
28,2447926,-0.5854,0.1565,-1.2319,-65.6875,-94.5625,42.9375,no_tremor
29,2447937,-0.6866,0.1490,-1.2026,-59.7500,-62.1094,35.6406,no_tremor
30,2447948,-0.7906,0.0945,-1.1345,-52.9219,-20.5156,34.5938,no_tremor
31,2447959,-0.8969,0.0775,-1.0844,-42.9531,15.5312,34.0781,no_tremor
32,2447971,-0.9447,0.0229,-1.0686,7.8906,30.6406,46.4062,no_tremor
33,2448003,-0.9678,-0.1134,-1.4027,-13.8438,65.6250,-22.2344,no_tremor
34,2448014,-1.0488,-0.0845,-1.4619,-5.0938,67.2344,-24.2812,no_tremor
35,2448025,-1.0621,0.0011,-1.3817,-7.5000,52.4062,-18.5938,no_tremor
36,2448036,-0.9291,0.0819,-1.1923,-10.4844,32.0000,-15.0156,no_tremor
37,2448048,-0.6829,0.1023,-0.9723,-12.0312,21.1094,-3.4375,no_tremor
38,2448059,-0.4276,0.0592,-0.7997,-11.8438,10.0781,6.5000,no_tremor
39,2448070,-0.2787,-0.0054,-0.7151,-7.8750,-3.7188,15.6094,no_tremor
40,2448081,-0.1964,-0.0389,-0.7120,-1.7812,-14.5625,18.6875,no_tremor
41,2448092,-0.2246,-0.0408,-0.7454,-0.7031,-19.9844,14.6250,no_tremor
