sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,3329053,-0.4320,-0.1156,-0.9503,-11.9531,4.8281,0.7969,no_tremor
1,3329058,-0.4305,-0.1077,-0.9587,-11.7031,7.5938,-0.3125,no_tremor
2,3329063,-0.4312,-0.1008,-0.9670,-11.4688,9.9844,-1.3594,no_tremor
3,3329068,-0.4323,-0.0936,-0.9745,-12.0312,10.9062,-2.5156,no_tremor
4,3329073,-0.4330,-0.0865,-0.9808,-12.5312,11.4531,-3.7812,no_tremor
5,3329078,-0.4329,-0.0801,-0.9856,-12.2031,11.2031,-4.8906,no_tremor
6,3329083,-0.4310,-0.0747,-0.9886,-12.3281,9.4688,-5.5625,no_tremor
7,3329088,-0.4271,-0.0707,-0.9901,-12.0938,7.4219,-5.1719,no_tremor
8,3329097,-0.4130,-0.0667,-0.9889,-11.2812,3.8594,-4.9844,no_tremor
9,3329102,-0.3975,-0.0673,-0.9877,-11.4219,1.7188,-4.4844,no_tremor
10,3329107,-0.3859,-0.0690,-0.9867,-11.7188,-0.7812,-4.6406,no_tremor
11,3329112,-0.3740,-0.0713,-0.9861,-11.7812,-3.1094,-4.5625,no_tremor
12,3329116,-0.3628,-0.0742,-0.9861,-12.4062,-4.2344,-3.9844,no_tremor
13,3329121,-0.3528,-0.0771,-0.9868,-12.4688,-4.7344,-7.8594,no_tremor
14,3329126,-0.3445,-0.0800,-0.9882,-11.1719,-5.2344,-4.1875,no_tremor
15,3329253,-0.6635,-0.0178,-0.8663,-58.0000,-63.7969,-91.9844,no_tremor
16,3329282,-1.0149,0.0996,-0.8507,-67.4688,-45.8750,-154.2344,no_tremor
17,3329291,-1.0930,0.1384,-0.8463,-72.0469,-44.1094,-174.5781,no_tremor
18,3329296,-1.1204,0.1542,-0.8430,-76.8906,-44.6719,-182.0625,no_tremor
19,3329301,-1.1378,0.1659,-0.8386,-78.8281,-46.0625,-188.5469,no_tremor
20,3329306,-1.1442,0.1729,-0.8334,-79.5156,-47.2656,-192.8594,no_tremor
21,3329311,-1.1317,0.1732,-0.8245,-79.7500,-46.9688,-195.9062,no_tremor
22,3329316,-1.1088,0.1670,-0.8188,-79.9062,-45.5938,-198.8125,no_tremor
23,3329321,-1.0751,0.1567,-0.8146,-79.4688,-44.2031,-201.6406,no_tremor
24,3329461,0.0913,0.0669,-1.0491,-56.8750,35.4375,-111.8281,no_tremor
25,3329465,0.1100,0.0599,-1.0374,-57.2656,29.0469,-106.0156,no_tremor
26,3329470,0.1249,0.0522,-1.0267,-57.5938,22.9219,-95.6562,no_tremor
27,3329475,0.1360,0.0447,-1.0186,-57.1094,14.8125,-89.4219,no_tremor
28,3329480,0.1436,0.0376,-1.0139,-55.7969,10.4688,-84.0469,no_tremor
29,3329485,0.1478,0.0314,-1.0134,-54.8125,6.7812,-78.4531,no_tremor
30,3329490,0.1490,0.0266,-1.0172,-54.0312,4.5000,-72.3594,no_tremor
31,3329494,0.1473,0.0221,-1.0308,-52.9375,4.1406,-66.9688,no_tremor
32,3329520,0.0898,0.0356,-1.1135,-42.6719,22.9219,-43.5781,no_tremor
33,3329525,0.0730,0.0413,-1.1234,-40.2188,29.5312,-39.0312,no_tremor
34,3329530,0.0546,0.0471,-1.1292,-38.1562,36.2500,-34.6875,no_tremor
35,3329535,0.0349,0.0526,-1.1301,-35.8906,41.8594,-28.3906,no_tremor
36,3329539,0.0148,0.0574,-1.1263,-34.2344,47.6406,-24.5000,no_tremor
37,3329544,-0.0051,0.0612,-1.1185,-32.4844,48.5312,-21.0938,no_tremor
38,3329549,-0.0242,0.0636,-1.1074,-31.2812,47.1562,-18.6562,no_tremor
39,3329554,-0.0416,0.0645,-1.0874,-30.5938,44.5781,-16.3906,no_tremor
40,3329559,-0.0642,0.0632,-1.0740,-29.2812,39.4375,-13.0781,no_tremor
41,3329564,-0.0765,0.0607,-1.0621,-27.9219,31.4062,-9.1406,no_tremor
42,3329569,-0.0865,0.0570,-1.0527,-26.7812,21.6094,-5.6094,no_tremor
43,3329574,-0.0946,0.0525,-1.0466,-26.0000,10.7344,-1.5312,no_tremor
