sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,1573244,-0.9529,-0.0278,0.3776,9.5469,2.0312,-11.7188,no_tremor
1,1573255,-0.9922,-0.0166,0.3492,15.4688,-0.6719,-21.0312,no_tremor
2,1573266,-1.0383,-0.0034,0.3234,21.5000,-5.2656,-33.2031,no_tremor
3,1573277,-1.0876,0.0098,0.2877,30.7031,-13.2344,-47.2031,no_tremor
4,1573288,-1.1340,0.0247,0.2488,37.6875,-21.6406,-62.7344,no_tremor
5,1573300,-1.1732,0.0397,0.2085,49.3594,-31.1875,-75.9531,no_tremor
6,1573311,-1.2032,0.0502,0.1721,61.2812,-42.8594,-91.8125,no_tremor
7,1573322,-1.2223,0.0538,0.1459,73.4531,-53.2656,-110.0156,no_tremor
8,1573333,-1.2261,0.0543,0.1348,85.0781,-63.2188,-125.6875,no_tremor
9,1573389,-0.9465,0.1353,0.2748,119.9219,-92.1719,-170.0781,no_tremor
10,1573400,-0.8467,0.1489,0.3177,122.5312,-97.7344,-172.6562,no_tremor
11,1573412,-0.7527,0.1503,0.3611,126.1094,-98.6094,-174.6562,no_tremor
12,1573423,-0.6584,0.1384,0.4061,126.4375,-98.0625,-174.4688,no_tremor
13,1573434,-0.6305,0.1206,0.4457,125.3594,-98.1094,-173.6875,no_tremor
14,1573445,-0.5902,0.0923,0.5024,120.1562,-95.8438,-169.5469,no_tremor
15,1573513,-0.3431,-0.0459,0.9067,62.1250,-34.1406,-94.1875,no_tremor
16,1573524,-0.2910,-0.0710,0.9337,55.4062,-22.9844,-79.7031,no_tremor
17,1573535,-0.2491,-0.1022,0.9412,50.8438,-13.7969,-66.5312,no_tremor
18,1573866,-0.5356,-0.1884,0.7758,-2.1406,2.2969,-1.7656,no_tremor
19,1573877,-0.5372,-0.1851,0.7759,-2.2344,3.0156,-2.7188,no_tremor
20,1573889,-0.5358,-0.1830,0.7762,-2.4062,2.4844,-3.9219,no_tremor
21,1573900,-0.5297,-0.1797,0.7778,-2.6562,3.8281,-3.0156,no_tremor
22,1573911,-0.5189,-0.1749,0.7806,-2.6406,4.8281,-3.5469,no_tremor
23,1573922,-0.5051,-0.1700,0.7821,-3.4531,3.4219,-2.5781,no_tremor
24,1573933,-0.4915,-0.1687,0.7815,-4.0781,2.5938,-2.2969,no_tremor
25,1573945,-0.4807,-0.1730,0.7798,-3.7031,2.0625,-2.2031,no_tremor
