sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,1207185,-1.1749,-0.1781,0.6373,-80.6250,18.9062,-89.3594,no_tremor
1,1207194,-1.1780,-0.1971,0.6584,-86.0469,28.0938,-94.9062,no_tremor
2,1207199,-1.1737,-0.2115,0.6621,-88.2344,31.2812,-97.6719,no_tremor
3,1207204,-1.1592,-0.2208,0.6622,-90.5938,33.9688,-100.5312,no_tremor
4,1207271,-0.8533,-0.2792,0.4432,-108.9219,46.3438,-119.5625,no_tremor
5,1207276,-0.8383,-0.2806,0.4280,-107.7812,48.8125,-119.2656,no_tremor
6,1207281,-0.8232,-0.2827,0.4125,-107.2500,50.6094,-117.8438,no_tremor
7,1207286,-0.8077,-0.2854,0.3964,-106.2344,51.1094,-117.5781,no_tremor
8,1207295,-0.7750,-0.2936,0.3530,-104.8594,49.2969,-117.1250,no_tremor
9,1207386,-0.5067,-0.4342,0.0192,-58.7500,25.7969,-73.1562,no_tremor
10,1207391,-0.5017,-0.4452,0.0074,-56.2500,23.3281,-68.8906,no_tremor
11,1207396,-0.4967,-0.4570,-0.0024,-53.2188,20.4844,-65.7188,no_tremor
12,1207405,-0.4858,-0.4832,-0.0181,-46.8906,14.6875,-56.8438,no_tremor
13,1207410,-0.4800,-0.5286,-0.0273,-44.8125,12.7812,-53.6875,no_tremor
14,1207420,-0.4655,-0.5354,-0.0386,-40.7188,9.6250,-47.4219,no_tremor
15,1207425,-0.4607,-0.5515,-0.0439,-38.5781,7.9844,-44.2344,no_tremor
16,1207430,-0.4572,-0.5677,-0.0494,-36.7500,6.6562,-41.4375,no_tremor
17,1207435,-0.4550,-0.5841,-0.0548,-35.0156,5.6250,-37.4062,no_tremor
18,1207439,-0.4542,-0.6003,-0.0601,-33.1406,3.2344,-34.8906,no_tremor
19,1207444,-0.4551,-0.6163,-0.0652,-30.7344,1.7188,-32.7188,no_tremor
20,1207449,-0.4573,-0.6320,-0.0701,-29.5938,0.5781,-30.1250,no_tremor
21,1207454,-0.4606,-0.6470,-0.0764,-28.3281,-1.1094,-27.1562,no_tremor
22,1207459,-0.4673,-0.6683,-0.0800,-26.5625,-1.9531,-25.0938,no_tremor
23,1207464,-0.4727,-0.6813,-0.0829,-24.6094,-2.1719,-23.7812,no_tremor
24,1207469,-0.4786,-0.6931,-0.0852,-23.0000,-2.9219,-22.2188,no_tremor
