sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,747176,-0.6407,-0.2871,0.6339,-1.2656,-2.5938,-0.1562,no_tremor
1,747188,-0.6429,-0.2898,0.6381,-1.0469,-1.6406,0.0781,no_tremor
2,747199,-0.6450,-0.2903,0.6417,-1.1875,-1.7188,-1.6094,no_tremor
3,747210,-0.6495,-0.2893,0.6412,-1.7500,-1.7969,-1.7656,no_tremor
4,747221,-0.6584,-0.2889,0.6364,-1.3750,0.2344,-3.0156,no_tremor
5,747253,-0.6909,-0.2908,0.6176,1.0000,0.8125,-9.0312,no_tremor
6,747264,-0.7012,-0.2893,0.6157,0.1406,3.2344,-11.5625,no_tremor
7,747275,-0.7094,-0.2864,0.6152,1.0312,7.0625,-15.3906,no_tremor
8,747286,-0.7147,-0.2834,0.6143,2.1719,10.8750,-16.9219,no_tremor
9,747297,-0.7162,-0.2810,0.6112,4.3125,14.4844,-20.2031,no_tremor
10,747308,-0.7123,-0.2791,0.6073,5.2188,19.1875,-22.0312,no_tremor
11,747319,-0.7015,-0.2792,0.6045,7.8906,18.8281,-22.7500,no_tremor
12,747330,-0.6868,-0.2821,0.6050,8.0156,12.9844,-21.0469,no_tremor
13,747342,-0.6564,-0.2896,0.6084,8.1250,-0.3750,-14.6719,no_tremor
14,747384,-0.4210,-0.3245,0.7263,-9.1719,-24.3594,11.9688,no_tremor
15,747395,-0.3702,-0.3248,0.7837,-13.7500,-26.4375,21.4219,no_tremor
16,747406,-0.3422,-0.3195,0.8329,-20.5625,-25.2969,31.9844,no_tremor
17,747417,-0.3228,-0.3138,0.8602,-26.9844,-21.5625,44.1719,no_tremor
18,747428,-0.3158,-0.3097,0.8785,-33.3750,-21.0469,57.2969,no_tremor
19,747439,-0.3109,-0.3125,0.8887,-45.7188,-25.3125,70.6562,no_tremor
20,747451,-0.2990,-0.3212,0.9039,-61.5781,-32.7812,86.2969,no_tremor
21,747462,-0.2825,-0.3268,0.9292,-75.9531,-34.6562,102.1875,no_tremor
22,747473,-0.2742,-0.3217,0.9570,-85.8594,-23.0625,116.8750,no_tremor
23,747506,-0.3544,-0.2435,0.9725,-113.7969,28.4062,146.4688,no_tremor
24,747518,-0.4158,-0.2264,0.9492,-122.6094,26.4531,146.1094,no_tremor
25,747529,-0.4924,-0.2178,0.9069,-127.2344,20.8125,144.9375,no_tremor
26,747540,-0.5726,-0.2167,0.8462,-129.8594,6.6875,141.6094,no_tremor
27,747551,-0.6283,-0.2201,0.7794,-133.2969,1.5000,138.2969,no_tremor
28,747562,-0.6820,-0.2253,0.7307,-135.1406,8.4688,131.7344,no_tremor
29,747573,-0.7262,-0.2219,0.6790,-135.1562,23.9219,123.1094,no_tremor
30,747584,-0.7666,-0.2029,0.6355,-131.4375,28.0000,112.6562,no_tremor
31,747696,-0.9463,-0.1854,0.3781,-56.1250,-5.1406,13.1406,no_tremor
32,747707,-0.8799,-0.2192,0.4006,-54.3281,-31.7812,7.2031,no_tremor
33,747719,-0.8270,-0.2478,0.4188,-51.5469,-52.7344,5.2969,no_tremor
34,747751,-0.7517,-0.2311,0.4191,-46.2500,-40.0625,-0.0469,no_tremor
35,747762,-0.7654,-0.2051,0.4156,-41.8750,-30.3594,1.2969,no_tremor
36,747774,-0.7766,-0.1843,0.4115,-39.0156,-24.7812,6.1250,no_tremor
37,747785,-0.7814,-0.1642,0.4069,-36.2500,-25.2500,9.0625,no_tremor
38,747796,-0.7745,-0.1561,0.3978,-34.4219,-27.1562,11.4688,no_tremor
39,747807,-0.7653,-0.1626,0.3820,-32.0000,-30.4062,12.2656,no_tremor
40,747818,-0.7637,-0.1797,0.3599,-30.3125,-36.6094,12.8906,no_tremor
41,747829,-0.7760,-0.1984,0.3375,-28.6094,-36.6562,12.1094,no_tremor
42,747840,-0.7960,-0.2087,0.3224,-24.8594,-29.4062,13.8125,no_tremor
43,747874,-0.8936,-0.2130,0.3268,-12.4688,-4.5781,14.6406,no_tremor
44,747885,-0.9124,-0.2200,0.3374,-9.0000,-1.3438,13.4219,no_tremor
45,747896,-0.9180,-0.2313,0.3489,-7.2500,-0.2656,12.4062,no_tremor
46,747907,-0.9146,-0.2404,0.3583,-5.0781,-2.2812,8.1406,no_tremor
47,747918,-0.9053,-0.2426,0.3633,-2.1719,-5.7344,5.7812,no_tremor
48,747929,-0.8947,-0.2405,0.3676,0.8750,-6.6406,3.9844,no_tremor
49,747940,-0.8835,-0.2401,0.3740,3.1562,-6.5625,1.6719,no_tremor
50,747951,-0.8710,-0.2493,0.3879,6.6094,-6.9375,-0.9688,no_tremor
51,747962,-0.8580,-0.2700,0.4110,9.0625,-5.2969,-2.3125,no_tremor
52,747993,-0.8193,-0.3334,0.4877,10.0000,-2.6562,-5.9688,no_tremor
