sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,1966174,-0.8254,-0.0665,0.4780,11.2031,22.3438,1.2344,no_tremor
1,1966179,-0.8251,-0.0668,0.4802,11.0938,20.9219,1.1562,no_tremor
2,1966183,-0.8258,-0.0667,0.4795,10.6562,16.4219,1.5938,no_tremor
3,1966188,-0.8267,-0.0663,0.4741,10.3281,11.0625,2.0938,no_tremor
4,1966218,-0.8276,-0.0533,0.4486,3.2188,-0.0469,-3.0625,no_tremor
5,1966223,-0.8330,-0.0518,0.4523,3.0625,3.2188,-3.8281,no_tremor
6,1966228,-0.8468,-0.0513,0.4573,2.5312,6.7344,-4.3281,no_tremor
7,1966233,-0.8593,-0.0522,0.4637,1.7656,11.4375,-4.8125,no_tremor
8,1966237,-0.8734,-0.0544,0.4708,1.0781,15.7812,-5.9688,no_tremor
9,1966242,-0.8882,-0.0575,0.4779,0.8594,19.4219,-7.1875,no_tremor
10,1966247,-0.9023,-0.0612,0.4841,0.7500,23.0469,-7.0156,no_tremor
11,1966252,-0.9148,-0.0651,0.4889,-0.3594,27.6719,-6.7188,no_tremor
12,1966257,-0.9246,-0.0688,0.4918,-0.8750,29.0625,-7.2812,no_tremor
13,1966262,-0.9309,-0.0721,0.4922,-1.6562,29.4219,-7.9219,no_tremor
14,1966267,-0.9336,-0.0756,0.4897,-2.4375,29.8281,-8.1250,no_tremor
15,1966272,-0.9309,-0.0767,0.4855,-3.0312,30.0625,-8.1875,no_tremor
16,1966276,-0.9249,-0.0765,0.4795,-3.7969,29.8594,-7.9531,no_tremor
17,1966281,-0.9163,-0.0752,0.4722,-4.0625,28.3750,-7.2031,no_tremor
18,1966286,-0.9055,-0.0729,0.4639,-3.9844,25.7812,-7.3438,no_tremor
19,1966291,-0.8934,-0.0695,0.4551,-4.7812,20.6250,-7.8750,no_tremor
20,1966296,-0.8812,-0.0653,0.4462,-5.8594,16.9531,-7.7500,no_tremor
21,1966301,-0.8698,-0.0607,0.4377,-6.3438,14.1250,-8.0781,no_tremor
22,1966310,-0.8500,-0.0497,0.4204,-5.7656,12.1094,-8.6406,no_tremor
23,1966337,-0.8762,-0.0438,0.3967,-1.8125,28.5312,-10.7500,no_tremor
24,1966342,-0.8873,-0.0468,0.3916,0.2031,31.3594,-10.6719,no_tremor
25,1966347,-0.8977,-0.0510,0.3851,2.0312,33.3281,-10.3750,no_tremor
26,1966351,-0.9062,-0.0564,0.3727,3.5156,34.3281,-8.9375,no_tremor
27,1966361,-0.9142,-0.0734,0.3513,5.1719,34.1094,-6.7969,no_tremor
28,1966366,-0.9115,-0.0808,0.3395,6.1875,33.2031,-6.8750,no_tremor
29,1966371,-0.9060,-0.0876,0.3280,7.1875,32.5625,-6.4062,no_tremor
30,1966376,-0.8989,-0.0936,0.3176,7.6875,33.0625,-5.1250,no_tremor
31,1966381,-0.8915,-0.0981,0.3093,8.4219,37.2969,-5.1406,no_tremor
32,1966385,-0.8846,-0.1010,0.3038,9.4531,41.0312,-7.1562,no_tremor
33,1966390,-0.8795,-0.1017,0.3018,9.3906,44.7031,-9.2031,no_tremor
34,1966395,-0.8768,-0.1005,0.3057,9.3281,48.6562,-9.8594,no_tremor
35,1966400,-0.8785,-0.0951,0.3126,9.2969,53.2812,-10.4219,no_tremor
36,1966405,-0.8834,-0.0896,0.3220,9.4688,57.0000,-11.3281,no_tremor
37,1966410,-0.8909,-0.0833,0.3326,10.2188,59.7500,-12.3125,no_tremor
38,1966420,-0.9087,-0.0701,0.3513,12.5312,51.8750,-10.9219,no_tremor
39,1966425,-0.9163,-0.0643,0.3571,11.6094,42.8125,-8.6875,no_tremor
40,1966430,-0.9224,-0.0586,0.3594,11.3125,33.9531,-6.3750,no_tremor
41,1966435,-0.9220,-0.0573,0.3569,10.8594,26.6250,-5.0625,no_tremor
42,1966461,-0.8685,-0.0818,0.3147,5.3594,5.2969,-5.3281,no_tremor
43,1966466,-0.8571,-0.0874,0.3083,4.3281,6.5469,-5.4531,no_tremor
44,1966471,-0.8479,-0.0918,0.3038,4.5156,7.7188,-5.6875,no_tremor
