sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,2536192,-0.6093,-0.1389,-0.8234,0.2500,1.2031,0.2500,no_tremor
1,2536197,-0.6090,-0.1390,-0.8231,0.1250,1.4062,-0.0156,no_tremor
2,2536202,-0.6089,-0.1393,-0.8229,-0.2188,1.7031,0.6719,no_tremor
3,2536206,-0.6086,-0.1398,-0.8225,-0.0469,1.9375,0.8281,no_tremor
4,2536211,-0.6085,-0.1401,-0.8223,0.2969,1.8125,0.7344,no_tremor
5,2536216,-0.6083,-0.1406,-0.8220,0.5625,0.9219,0.4531,no_tremor
6,2536221,-0.6080,-0.1410,-0.8219,0.7031,0.1094,-0.0469,no_tremor
7,2536226,-0.6078,-0.1412,-0.8218,0.4375,0.1094,0.2344,no_tremor
8,2536231,-0.6077,-0.1415,-0.8218,0.2969,0.6250,0.0625,no_tremor
9,2536236,-0.6078,-0.1415,-0.8219,0.7188,0.6406,-0.0312,no_tremor
10,2536241,-0.6080,-0.1415,-0.8221,1.0938,0.4688,0.4062,no_tremor
11,2536246,-0.6084,-0.1414,-0.8226,1.1875,0.4844,0.0781,no_tremor
12,2536250,-0.6094,-0.1412,-0.8230,0.6719,0.7656,-0.0469,no_tremor
13,2536255,-0.6101,-0.1412,-0.8235,0.4688,1.1875,0.0781,no_tremor
14,2536260,-0.6110,-0.1414,-0.8240,0.7188,1.5312,-0.3438,no_tremor
15,2536265,-0.6117,-0.1416,-0.8243,0.6406,1.6562,-0.6250,no_tremor
16,2536270,-0.6122,-0.1417,-0.8246,-0.0781,1.6094,-0.3906,no_tremor
17,2536275,-0.6123,-0.1420,-0.8248,-0.2500,1.0625,-0.2812,no_tremor
18,2536300,-0.6085,-0.1421,-0.8243,0.0625,0.0781,-0.4375,no_tremor
19,2536305,-0.6078,-0.1417,-0.8243,0.1875,-0.4062,-0.1875,no_tremor
20,2536309,-0.6072,-0.1412,-0.8243,0.3281,-0.3906,-0.0781,no_tremor
21,2536314,-0.6069,-0.1407,-0.8245,0.7969,0.6719,-0.4219,no_tremor
22,2536319,-0.6071,-0.1395,-0.8246,0.7656,1.1719,-0.6719,no_tremor
23,2536324,-0.6077,-0.1387,-0.8247,0.3750,1.2500,-0.5000,no_tremor
24,2536329,-0.6084,-0.1378,-0.8247,0.8125,1.0781,-0.3438,no_tremor
25,2536334,-0.6091,-0.1371,-0.8247,1.3281,0.7656,-0.7031,no_tremor
26,2536338,-0.6100,-0.1364,-0.8245,0.9688,1.1406,-1.0000,no_tremor
27,2536343,-0.6107,-0.1360,-0.8242,0.2656,1.6875,-0.5781,no_tremor
28,2536348,-0.6112,-0.1359,-0.8240,0.5625,1.2500,-0.7188,no_tremor
29,2536353,-0.6113,-0.1360,-0.8235,0.6562,1.3906,-0.6562,no_tremor
30,2536358,-0.6113,-0.1366,-0.8228,0.2031,1.4062,-0.4688,no_tremor
