sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,446463,-0.2393,-0.1791,-1.0021,1.5781,-3.8594,0.4531,no_tremor
1,446473,-0.2334,-0.1772,-1.0020,-0.0938,-4.5781,0.3906,no_tremor
2,446478,-0.2294,-0.1772,-1.0011,-0.6562,-3.2812,1.2500,no_tremor
3,446483,-0.2273,-0.1780,-0.9999,-0.7188,-2.3281,1.0156,no_tremor
4,446488,-0.2258,-0.1792,-0.9987,-1.1875,-3.1719,1.1094,no_tremor
5,446493,-0.2252,-0.1807,-0.9979,-1.2344,-5.2812,1.1875,no_tremor
6,446497,-0.2258,-0.1821,-0.9979,-0.8125,-7.3281,0.3281,no_tremor
7,446502,-0.2277,-0.1836,-0.9990,-1.1406,-8.8438,-0.1875,no_tremor
8,446507,-0.2308,-0.1848,-1.0011,-1.2812,-10.0156,0.5938,no_tremor
9,446512,-0.2351,-0.1857,-1.0061,-1.1875,-11.0469,1.5156,no_tremor
10,446522,-0.2489,-0.1866,-1.0138,-0.5312,-11.6250,0.8438,no_tremor
11,446527,-0.2545,-0.1865,-1.0168,-0.1406,-11.0312,0.3750,no_tremor
12,446531,-0.2595,-0.1859,-1.0190,0.3281,-10.4844,0.3438,no_tremor
13,446536,-0.2634,-0.1851,-1.0199,0.9062,-11.1562,0.2500,no_tremor
14,446541,-0.2660,-0.1840,-1.0197,0.8125,-12.0000,-0.0625,no_tremor
15,446546,-0.2671,-0.1827,-1.0187,1.1875,-13.6094,0.5312,no_tremor
16,446551,-0.2667,-0.1809,-1.0167,2.0469,-16.5000,1.2969,no_tremor
17,446556,-0.2635,-0.1798,-1.0156,2.8906,-19.2500,1.0938,no_tremor
18,446561,-0.2601,-0.1791,-1.0150,2.9062,-21.3281,0.7031,no_tremor
19,446586,-0.2373,-0.1874,-1.0177,0.5156,-28.3750,-0.2656,no_tremor
20,446591,-0.2368,-0.1906,-1.0200,1.7188,-31.0781,-0.1719,no_tremor
21,446596,-0.2395,-0.1929,-1.0239,3.7188,-34.4531,-1.2656,no_tremor
22,446601,-0.2460,-0.1937,-1.0297,9.5000,-37.4531,-2.5625,no_tremor
23,446606,-0.2566,-0.1923,-1.0372,12.9531,-40.7344,-4.0000,no_tremor
24,446611,-0.2711,-0.1882,-1.0514,15.7031,-44.1406,-5.7188,no_tremor
25,446616,-0.2981,-0.1774,-1.0620,17.5781,-49.0938,-6.8594,no_tremor
26,446620,-0.3176,-0.1676,-1.0729,18.8281,-55.7812,-7.1406,no_tremor
27,446625,-0.3367,-0.1566,-1.0834,21.0312,-61.6406,-7.1406,no_tremor
28,446630,-0.3536,-0.1451,-1.0924,23.5000,-66.0312,-5.6562,no_tremor
29,446635,-0.3674,-0.1345,-1.0992,23.0625,-69.3906,-1.4062,no_tremor
30,446640,-0.3771,-0.1255,-1.1028,9.8906,-68.1719,8.0938,no_tremor
31,446645,-0.3820,-0.1188,-1.1022,0.2500,-59.9219,17.3438,no_tremor
32,446650,-0.3818,-0.1125,-1.0935,5.7188,-45.7812,13.4844,no_tremor
