sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,2124047,0.0,-0.32216283849587607,-0.28613253857505494,-0.9508596140626107,23.358185260421415,-10.040875495622993,-2.6474484555866367,no_tremor
1,2124051,0.004,-0.3159108601776617,-0.2876379622072883,-0.9385126803804473,27.180808529039396,-0.25088280968600507,6.336765483068229,no_tremor
2,2124281,0.234,-0.3076231860954495,-0.2897756154337801,-0.9213840195498434,30.607483916777063,9.303958141143301,15.313352881456783,no_tremor
3,2124286,0.239,-0.29735425202605154,-0.29262668078163084,-0.8990514945580025,33.61313707320786,18.591241469153886,24.251455038195335,no_tremor
4,2124296,0.249,-0.2855993582044232,-0.29616209034534874,-0.8719674847614289,36.17487123457841,27.579736502781028,33.119263290596656,no_tremor
5,2124301,0.254,-0.2730437038568496,-0.3002856600165764,-0.8410601671504486,38.27217663767102,36.23956543798682,41.884148458017236,no_tremor
6,2124306,0.259,-0.2603593383938906,-0.3048798733751595,-0.8073557995112997,39.88712944325212,44.54238123021614,50.5128148728739,no_tremor
7,2124310,0.263,-0.24811062040693754,-0.3098330299231868,-0.771774163415706,41.00457858612339,52.46154572193298,58.9714803838594,no_tremor
8,2124315,0.268,-0.23673512256715162,-0.3150498124747881,-0.7350626486264901,41.61231859173016,59.972307372895244,67.2260827897305,no_tremor
9,2124320,0.273,-0.22655911602281537,-0.3204524306356624,-0.6978030165335342,41.70124598672289,67.05197725394555,75.24251215581286,no_tremor
10,2124591,0.544,-0.2178221887894057,-0.32597792762326294,-0.6604440568884381,41.26549649514616,73.68010119114172,82.98686739457949,no_tremor
11,2124601,0.554,-0.21069976235273352,-0.3315746592510549,-0.6233367328269103,40.30255979446831,79.83862514555055,90.42573438743705,no_tremor
12,2124606,0.559,-0.20532025099442153,-0.3371991813215555,-0.5867631826823211,38.8133683188019,85.51205020740768,97.52648188461328,no_tremor
13,2124611,0.564,-0.2017769919980484,-0.34281387778303174,-0.550957986329268,36.80235659401029,90.68757315501895,104.25757059328579,no_tremor
14,2124616,0.569,-0.20013609802663085,-0.34838529230091586,-0.5161227250501742,34.27748794383101,95.35520849472287,110.58887034549501,no_tremor
15,2124621,0.574,-0.20044144196025016,-0.35388301573853603,-0.48243546998755543,31.250246036955787,99.50788821285418,116.49197998624385,no_tremor
16,2124649,0.602,-0.20271774614320706,-0.35927897719096763,-0.4500566894995542,27.735589499889073,103.1415359943889,121.94054451902454,no_tremor
17,2124658,0.611,-0.2069724763050602,-0.36454701464298617,-0.4191327265446558,23.751868594748608,106.25511329098588,126.9105640071852,no_tremor
18,2124663,0.616,-0.21319701765219046,-0.3696626340073297,-0.38979767054440356,19.32070371702319,108.85063532074233,131.38068875149,no_tremor
19,2124668,0.621,-0.22136744882101625,-0.37460289269072417,-0.36217419148695346,14.466826190831366,110.93315584650792,135.3324953891229,no_tremor
20,2124682,0.635,-0.2314451185320917,-0.3793463641865329,-0.33637371928453275,9.217882515607377,112.51072038304197,138.75073881814035,no_tremor
21,2124687,0.64,-0.243377156094095,-0.38387315440925457,-0.3124962243561002,3.604203841766308,113.59428827255323,141.6235752324948,no_tremor
22,2124692,0.645,-0.2570969985829024,-0.3881649500656373,-0.2906297702750699,-2.3414569771068674,114.19762478182241,143.9427520188423,no_tremor
23,2124697,0.65,-0.272524985870564,-0.3922050856788363,-0.2708499531229618,-8.584217892530816,114.3371649644366,145.70376078763675,no_tremor
24,2124712,0.665,-0.28956905373240255,-0.3959786200196163,-0.2532193053861291,-15.087386404521403,114.0318514793678,146.90595037418439,no_tremor
25,2124716,0.669,-0.308125541089801,-0.3994724154180917,-0.2377867181967121,-21.812800798122762,113.30294887271813,147.552597243612,no_tremor
26,2124721,0.674,-0.3280801175512279,-0.4026752152448206,-0.22458691999094071,-28.721189753658024,112.17383703674702,147.65093136204914,no_tremor
27,2124726,0.679,-0.34930883024936243,-0.4055777160892957,-0.21364003929212547,-35.77254587468406,110.66978667976062,147.21211625109882,no_tremor
28,2124731,0.684,-0.37167926360309333,-0.40817263202373505,-0.20495127239900687,-42.92650838508741,108.81771969084676,146.25118261841652,no_tremor
29,2124746,0.699,-0.39505180149574753,-0.4104547489264472,-0.1985106720282297,-50.14274999501519,106.64595728938417,144.78691564492212,no_tremor
30,2124774,0.727,-0.41928097811460785,-0.4124209672007033,-0.19429306961372336,-57.381362723981326,104.18395883808046,142.84169669863002,no_tremor
31,2124779,0.732,-0.44421690115395207,-0.41407033138676924,-0.1922581414476328,-64.6032373226349,101.46205419182465,140.44130092623266,no_tremor
32,2124784,0.737,-0.4697067291751753,-0.4154040451632108,-0.1923506267142364,-71.77043090720336,98.51117246331714,137.61465283622786,no_tremor
33,2124789,0.742,-0.495596183637788,-0.4164254701451527,-0.19450070333776903,-78.84651756637639,95.36257010572608,134.39354262353206,no_tremor
34,2124804,0.757,-0.5217310754399967,-0.41714010682146613,-0.19862452515661463,-85.79691702535148,92.04756122526051,130.81230659187014,no_tremor
