sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,995867,0.0,-0.28602560198087473,-0.11919778934114066,-1.094933841259823,-3.6242457790190628,14.145065428687628,-0.7633922694694643,no_tremor
1,995871,0.004,-0.2856633769077222,-0.11909908446054182,-1.0956588392295867,-3.8230412457596,10.075529145838804,-1.267222828382434,no_tremor
2,995876,0.009,-0.2853157825627621,-0.11899164557679916,-1.096341292415175,-4.007756905670372,5.645635016620438,-1.8286295620846287,no_tremor
3,995881,0.014,-0.28508339047742953,-0.11889401153995095,-1.0967668040359773,-4.1756476178843105,0.8606369624457906,-2.448088047216804,no_tremor
4,995886,0.019,-0.28509609926971907,-0.11883279022910116,-1.0966589313804058,-4.323933065603598,-4.271139929602147,-3.125690418929856,no_tremor
5,995891,0.024,-0.2854813211150796,-0.11883563758233093,-1.0957447534703135,-4.449821825642482,-9.73817870721113,-3.8611236815853758,no_tremor
6,995896,0.029,-0.2863471405308732,-0.1189270859243601,-1.0937896595937033,-4.550537204488017,-15.525671540463492,-4.653650495206716,no_tremor
7,995910,0.043,-0.28777898330473906,-0.11912736119334479,-1.0906043491567163,-4.6233447087558925,-21.615444892889816,-5.502092798372676,no_tremor
8,995915,0.048,-0.2898427416450793,-0.11945278145585685,-1.086038530216316,-4.66558099310244,-27.985911303362716,-6.404818624474705,no_tremor
9,995920,0.053,-0.292589379158058,-0.11991662876892942,-1.0799715596526103,-4.674684102843958,-34.6120501049968,-7.359732461804496,no_tremor
10,995946,0.079,-0.2960588350194881,-0.12052995939644985,-1.0723045233821265,-4.64822480244957,-41.465419272050084,-8.364269498208918,no_tremor
11,995950,0.083,-0.3002827069027216,-0.12130219084918697,-1.0629548362621155,-4.583938755062485,-48.51420041516437,-9.41539407662101,no_tremor
12,995955,0.088,-0.305285860630088,-0.12224146941799115,-1.0518530617559594,-4.479759292026536,-55.72327873775904,-10.509602667143945,no_tremor
13,995960,0.093,-0.31108727303816147,-0.12335487082577148,-1.0389413223147814,-4.333850484650606,-63.054359521223326,-11.64293163408946,no_tremor
14,995965,0.098,-0.3177003830928022,-0.12464848801872787,-1.0241727345803755,-4.1446402027913525,-70.46612242329866,-12.810970043099504,no_tremor
15,995970,0.103,-0.3251331513394636,-0.12612744785229024,-1.007511456975121,-3.9108528161175222,-77.91441455172026,-14.008877714856299,no_tremor
16,995975,0.108,-0.3333879603888338,-0.12779588549951829,-0.9889330755159447,-3.6315411644290645,-85.35248291232753,-15.231408687757794,no_tremor
17,995980,0.113,-0.34246144047240906,-0.12965689543095277,-0.9684251535846627,-3.3061173938679413,-92.73124642696644,-16.47294020127984,no_tremor
18,995985,0.118,-0.35234427216322184,-0.13171247098344774,-0.9459878369067412,-2.9343822271735056,-99.99960727296144,-17.72750725297803,no_tremor
19,995999,0.132,-0.36302099842811875,-0.13396344013086922,-0.9216344458017254,-2.5165522090030916,-107.10480081485633,-18.988842713542397,no_tremor
20,996013,0.146,-0.374469866094929,-0.13640940232161722,-0.8953920114328608,-2.0532844418864,-113.99278288138916,-20.250422904912075,no_tremor
21,996023,0.156,-0.38666270960219373,-0.13904866956434134,-0.867301727430955,-1.545698304817163,-120.60865258506756,-21.505518456384795,no_tremor
22,996028,0.161,-0.3995648856024764,-0.14187821392085506,-0.8374192969123141,-0.9953936268705748,-126.89710828656327,-22.747250154562103,no_tremor
23,996033,0.166,-0.41313526439535375,-0.14489362294656336,-0.805815160064393,-0.4044647770043879,-132.80293367224843,-23.96864939670454,no_tremor
24,996037,0.17,-0.42732628253202326,-0.148089064244895,-0.7725745906697526,0.22448986706363508,-138.27151024460997,-25.162722744069633,no_tremor
25,996068,0.201,-0.44208405981534776,-0.1514572600769984,-0.7377976521052524,0.8883635914382667,-143.24935182670578,-26.32251995127354,no_tremor
26,996072,0.205,-0.4573485830516692,-0.15498947283341563,-0.7015990050456379,1.5835426508342825,-147.68465595649414,-27.441204720246272,no_tremor
