sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,3460150,0.0,-0.43343503560966185,0.04245923543744143,-0.9797752605161693,7.03781272791097,3.2373303160333617,0.5464840564574368,no_tremor
1,3460155,0.005,-0.4281034014999765,0.043538727098243406,-0.9838320647429296,10.991500648859134,4.199854667671181,4.196032865827984,no_tremor
2,3460160,0.01,-0.4207197167122456,0.04499623165200126,-0.9892988255556746,14.978850808745756,4.977135489781624,7.962145565113998,no_tremor
3,3460165,0.015,-0.411117187031235,0.046841529548130915,-0.9962025840843901,18.98670209352482,5.568559234502983,11.836518243456638,no_tremor
4,3460169,0.019,-0.3995122486269948,0.049008613824541074,-1.0042841306519785,23.001445444218255,5.974826758936683,15.809898454418022,no_tremor
5,3460174,0.024,-0.3863302811027516,0.051395448563086255,-1.013149393527295,27.0090905786982,6.197946047545389,19.872097436183825,no_tremor
6,3460194,0.044,-0.3720408432347677,0.05389795564340341,-1.0223983085747481,30.995337787440295,6.241214292918133,24.012011289190426,no_tremor
7,3460199,0.049,-0.35706845536378007,0.056426744237188846,-1.0316881188491487,34.945654598498635,6.109189517689741,28.217651601667434,no_tremor
8,3460204,0.054,-0.34176378279620584,0.05891124215827671,-1.0407489714792917,38.84535701785592,5.807651936861444,32.476185901052595,no_tremor
9,3460208,0.058,-0.32640643585650647,0.06129775567798876,-1.049376594685144,42.67969495698972,5.343555263201898,36.77398817901361,no_tremor
10,3460213,0.063,-0.3112189955818585,0.06354571045496782,-1.0574181480491216,46.43394136319436,4.72496815570156,41.0966995914294,no_tremor
11,3460223,0.073,-0.29638207687453294,0.06562404273233004,-1.0647586708169217,50.093484469798085,3.9610060129337055,45.42929927187725,no_tremor
12,3460228,0.078,-0.2820466806645748,0.06750837322018309,-1.0713104946170822,53.64392248253131,3.061753328185112,49.75618501706709,no_tremor
13,3460233,0.083,-0.26834315166807343,0.06917900353014628,-1.0770057524425296,57.071159918736825,2.0381768520806935,54.06126340634773,no_tremor
14,3460237,0.087,-0.2553871976521479,0.07061957936487552,-1.0817913828979255,60.36150472570431,0.90202984609942,58.32804870851004,no_tremor
15,3460242,0.092,-0.24328368805723835,0.07181623808057738,-1.08562593355853,63.50176523040364,-0.33425224084477656,62.53976971233968,no_tremor
16,3460247,0.097,-0.2321288854927628,0.07275708810417172,-1.0884775837385434,66.4793459175335,-1.6576642519857268,66.67948339814748,no_tremor
17,3460273,0.123,-0.2220116152694436,0.07343190757910141,-1.0903229599379176,69.28234099251938,-3.054751347384732,70.7301941539235,no_tremor
18,3460278,0.128,-0.21301373573522506,0.07383198396803267,-1.09114644830272,71.89962465657497,-4.511735608523015,74.67497704679747,no_tremor
19,3460283,0.133,-0.205210160635918,0.07395004197772469,-1.0909398058971402,74.32093700604702,-6.014647745757037,78.49710351478772,no_tremor
20,3460288,0.138,-0.19866860476481774,0.07378022507111653,-1.0897019403984805,76.53696448095967,-7.549461870330059,82.18016777740523,no_tremor
21,3460293,0.143,-0.19344916948992447,0.073318107893339,-1.0874387733901625,78.53941383703462,-9.102230833194414,85.70821229026308,no_tremor
22,3460297,0.147,-0.18960384834656294,0.07256072489397267,-1.084163132485651,80.32107869581347,-10.659219374300006,89.06585066818846,no_tremor
23,3460302,0.152,-0.187176008974465,0.07150660559232135,-1.0798946371900875,81.87589782424403,-12.207032286353776,92.23838663569974,no_tremor
24,3460307,0.157,-0.18619989198463735,0.07015581023202017,-1.0746595562900172,83.19900439686343,-13.73273495102049,95.21192770486873,no_tremor
25,3460312,0.162,-0.1867001568652935,0.06850996163780637,-1.0684906230735016,84.28676559633158,-15.223963919002081,97.97349241673626,no_tremor
26,3460317,0.167,-0.18869149775075422,0.06657227034824069,-1.0614268004100815,85.13681201189931,-16.66902564256933,100.51111011020181,no_tremor
27,3460322,0.172,-0.19217834646084034,0.06434755084503692,-1.0535129916848447,85.7480564027439,-18.056981990420482,102.81391230118642,no_tremor
28,3460327,0.177,-0.19715467584903473,0.06184222713385687,-1.0447996964313297,86.12070150650331,-19.377721737511806,104.87221486630408,no_tremor
29,3460331,0.181,-0.20360391269604752,0.05906432619335729,-1.0353426116478375,86.25623669431306,-20.62201778309578,106.67759033165912,no_tremor
30,3460336,0.186,-0.21149896589829614,0.0560234579965904,-1.0252021814552705,86.15742340247607,-21.781570367785154,108.22292967056883,no_tremor
31,3460341,0.191,-0.22080237242155396,0.052730780988361564,-1.0144430991019178,85.82826940676554,-22.84903700252827,109.5024931146206,no_tremor
32,3460346,0.196,-0.23146656040579372,0.04919895211762138,-1.0031337664156486,85.27399214634792,-23.818050168289975,110.51194958053308,no_tremor
33,3460351,0.201,-0.24343422596468664,0.04544206080093666,-0.9913457166854602,84.50097144782123,-24.6832240841638,111.2484044113632,no_tremor
34,3460356,0.206,-0.2566388177009776,0.0414755465413167,-0.9791530076466547,83.51669214360388,-25.440151967359547,111.71041522630487,no_tremor
35,3460361,0.211,-0.2710051208382093,0.03731610034227114,-0.9666315917656775,82.32967722097705,-26.085395216580554,111.89799577115552,no_tremor
36,3460366,0.216,-0.2864499312070648,0.03298155052566234,-0.9538586713852412,80.9494122758378,-26.616465840978787,111.81260776469317,no_tremor
37,3460370,0.22,-0.3028828081425174,0.028490734063155568,-0.9409120465075602,79.38626217540978,-27.03180324117362,111.45714084841491,no_tremor
38,3460398,0.248,-0.3202068946355022,0.023863355040561505,-0.9278694630710748,77.65138095454698,-27.330746152018712,110.8358808715247,no_tremor
39,3460403,0.253,-0.33831979280240765,0.019119832360943476,-0.9148079695174268,75.75661607787153,-27.51350022121792,109.95446688031592,no_tremor
40,3460407,0.257,-0.3571144828220124,0.014281139209744737,-0.9018032892449348,73.71440828558471,-27.58110138800058,108.81983732673653,no_tremor
41,3460412,0.262,-0.3764802738476816,0.009368637092813395,-0.888929216190557,71.53768829010868,-27.53537501768839,107.44016615565094,no_tremor
42,3460417,0.267,-0.39630377591625343,0.004403907364328306,-0.876257040272694,69.23977159647265,-27.37889068964458,105.82478956462649,no_tremor
43,3460427,0.277,-0.4164698824267728,-0.0005914169278738281,-0.8638550087854553,66.83425268936982,-27.11491262065461,103.98412434906648,no_tremor
44,3460441,0.291,-0.43686275325803,-0.005595816309248135,-0.8517878291051116,64.33489977946148,-26.747345888387528,101.92957884789257,no_tremor
45,3460446,0.296,-0.4573667889810512,-0.010588045060982603,-0.8401162172976223,61.75555124079043,-26.280678851234605,99.67345758766025,no_tremor
46,3460451,0.301,-0.4778675868991986,-0.015547284553867547,-0.8288964964366476,59.1100148005479,-25.719922396671862,97.22886077802391,no_tremor
47,3460456,0.306,-0.4982528698595913,-0.02045328840644933,-0.8181802476729385,56.41197045792186,-25.070546846408764,94.60957983011305,no_tremor
48,3460461,0.311,-0.5184133789979759,-0.025286518535591003,-0.8080140163447003,53.67487800907609,-24.33841747027971,91.82999005065648,no_tremor
49,3460466,0.316,-0.5382437218777325,-0.030028271491927473,-0.7984390746841682,50.9118899447613,-23.52972960259308,88.9049416184653,no_tremor
50,3460470,0.32,-0.5576431679159158,-0.03466079471504145,-0.7894912419561415,48.13577037246282,-22.650944323050595,85.84964989017308,no_tremor
51,3460475,0.325,-0.5765163835847059,-0.03916739250516045,-0.7812007621576552,45.35882050167108,-21.708725572681608,82.67958601918878,no_tremor
52,3460480,0.33,-0.5947741006451146,-0.043532521597700546,-0.7735922387128787,42.592811121868195,-20.709879435820653,79.41036881100932,no_tremor
