sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,2228231,0.0,-0.5305508517873962,0.004941716229593028,-0.8488125179289672,-12.676144001665007,5.124329988431866,5.424866103526838,no_tremor
1,2228235,0.004,-0.5310974166810623,0.005209448618193072,-0.8492410164951205,-13.525082869302105,6.4829126848521215,5.496018506939335,no_tremor
2,2228240,0.009,-0.5319061550486037,0.005649059143914233,-0.8499841667467382,-14.284874902552088,7.89499354246524,5.515948862424885,no_tremor
3,2228245,0.014,-0.5330315433009429,0.006317906353071136,-0.8511636324816234,-14.941712205499593,9.354916897961374,5.479041389891827,no_tremor
4,2228250,0.019,-0.5344896378597709,0.007254621588598799,-0.8528729681171847,-15.48158048208775,10.856354265957627,5.379639598316546,no_tremor
5,2228254,0.023,-0.5362692237019769,0.00847893465876879,-0.8551721798065611,-15.890355312128905,12.392319017331056,5.212083869216208,no_tremor
6,2228259,0.028,-0.5383468348144468,0.009997548845017334,-0.8580955090943462,-16.153905218519068,13.955188133650719,4.9707511254719385,no_tremor
7,2228264,0.033,-0.5406968454907319,0.01180996454750355,-0.8616612903971461,-16.25820101542155,15.536731323317042,4.6500963501588615,no_tremor
8,2228269,0.038,-0.543296147319548,0.013912273601987933,-0.8658792190055927,-16.18943082645663,17.128147733581386,4.244695687886219,no_tremor
9,2228294,0.063,-0.5461253477783861,0.016299023418473564,-0.8707544068470908,-15.934120060823043,18.720110431948616,3.749290829591838,no_tremor
10,2228299,0.068,-0.5491683177640164,0.01896383691669048,-0.876289099501678,-15.47925553453078,20.302818759895548,3.1588343513702286,no_tremor
11,2228304,0.073,-0.5524111939692326,0.02189939151891818,-0.8824830473724532,-14.812412824756272,21.866058580832256,2.468535649256118,no_tremor
12,2228309,0.078,-0.5558413580237677,0.025097134528810648,-0.8893332283347495,-13.921885849407582,23.399270352442137,1.6739070853896725,no_tremor
13,2228313,0.082,-0.5594465822773732,0.02854693166657758,-0.8968333225137587,-12.796817572661896,24.891624851028105,0.770809937382645,no_tremor
14,2228318,0.087,-0.5632143780755761,0.03223673708067488,-0.9049731412555981,-11.42733065108558,26.332106262968782,-0.24450027681244108,no_tremor
15,2228328,0.097,-0.5671315240566994,0.03615231725257183,-0.913738100557407,-9.804656754100654,27.709602236977872,-1.3753295403239598,no_tremor
16,2228332,0.101,-0.5711837373133967,0.0402770356997998,-0.9231087729023763,-7.921263217448988,29.013000361648448,-2.624502594684083,no_tremor
17,2228337,0.106,-0.5753554524947997,0.04459169536425948,-0.9330605258078415,-5.7709756204620275,30.23129039699008,-3.994322164221381,no_tremor
18,2228342,0.111,-0.5796296810702709,0.049074432711405346,-0.9435632452288844,-3.34909482032568,31.353671448370708,-5.4865305946718825,no_tremor
19,2228347,0.116,-0.5839879302968962,0.05370065765359208,-0.954581138985401,-0.6525069326314379,32.36966312920865,-7.1022743438064655,no_tremor
20,2228352,0.121,-0.5884101674227841,0.05844303448330082,-0.966072615412496,2.3202152799000535,33.26921961770287,-8.842071746026743,no_tremor
21,2228356,0.125,-0.592874819098974,0.06327150021531973,-0.9779902334830382,5.568721157599521,34.04284537517312,-10.705784448502532,no_tremor
22,2228361,0.13,-0.597358799083165,0.06815331777237213,-0.9902807218352147,9.090802568656274,34.68171116052168,-12.692592882144801,no_tremor
23,2228366,0.135,-0.601837559410358,0.07305316221786405,-1.0028850651073213,12.882327510435863,35.17776884689485,-14.800976086504463,no_tremor
24,2228371,0.14,-0.6062851615621703,0.07793323874646947,-1.0157386566308044,16.937188330498728,35.52386342268612,-17.028696154008863,no_tremor
25,2228375,0.144,-0.6106743650115746,0.08275343142314649,-1.028771516858631,21.247265924397308,35.713840441791184,-19.372787495596135,no_tremor
26,2228380,0.149,-0.6149767310185893,0.08747148175412854,-1.0419085769459093,25.802411150968048,35.742647083023314,-21.829551055910695,no_tremor
27,2228385,0.154,-0.6191627398233507,0.09204319611561046,-1.0550700266991337,30.590444556325426,35.606424892421295,-24.39455352101838,no_tremor
28,2228390,0.159,-0.6232019195088403,0.09642268088678142,-1.068171725712533,35.59717531266708,35.30259221891128,-27.062631465085257,no_tremor
29,2228417,0.186,-0.6270629848439144,0.10056260385673134,-1.0811256759516084,40.80644005599976,34.829914315362245,-29.827900276531,no_tremor
30,2228421,0.19,-0.6307139844109132,0.10441448011858141,-1.0938405533587872,46.20016204874521,34.18855907139904,-32.68376759622166,no_tremor
