sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,2666538,0.0,-0.09535714232632651,-0.8217054820727461,-0.5401604621839482,6.990642748248946,3.487919763616026,3.492547403274118,no_tremor
1,2666543,0.005,-0.09378739738848967,-0.8218043287448368,-0.5383622465533748,4.940814461797802,3.1504528403435117,5.519644128497133,no_tremor
2,2666548,0.01,-0.0916310186059948,-0.8218403061527894,-0.5359073217113869,2.817750809899692,2.8224717639952837,7.637778361119238,no_tremor
3,2666573,0.035,-0.08885145598163799,-0.8217423182531287,-0.5327635227128817,0.6252157379884783,2.505546345029867,9.843429484218108,no_tremor
4,2666578,0.04,-0.0855252368553279,-0.8214292464501948,-0.5290273375945226,-1.6325756187900382,2.2011921092184616,12.1324666057204,no_tremor
5,2666583,0.045,-0.0817884125165516,-0.8208263227857248,-0.5248606855683322,-3.950964462433263,1.9108578067187938,14.500149869316209,no_tremor
6,2666588,0.05,-0.0777874536774638,-0.8198720452581865,-0.5204343842742225,-6.324859394484801,1.6359133748601706,16.941137082436445,no_tremor
7,2666593,0.055,-0.07365333129349931,-0.8185181923230767,-0.5158989924628312,-8.748751192889035,1.3776384871000626,19.44949599773645,no_tremor
8,2666598,0.06,-0.06949363171651018,-0.81672712707128,-0.5113764693149416,-11.216731466525921,1.137211824587484,22.018722547388528,no_tremor
9,2666603,0.065,-0.06539389070716224,-0.8144689104173004,-0.506962263272484,-13.722515330256241,0.9157012066559509,24.641765284370187,no_tremor
10,2666607,0.069,-0.061422056656431016,-0.8117191394704751,-0.502730803432913,-16.259468216469003,0.7140547109517827,27.311056230552822,no_tremor
11,2666612,0.074,-0.05763310602665869,-0.8084576010147316,-0.49874102225963357,-18.820636905175373,0.5330929029625712,30.01854826741923,no_tremor
12,2666617,0.079,-0.05407275488996334,-0.8046675536374638,-0.49504075228387007,-21.39878481342426,0.3735022793666799,32.755759132048915,no_tremor
13,2666622,0.084,-0.05078010634511582,-0.8003354236660154,-0.4916698540238295,-23.986431536126585,0.2358300106142715,35.51382199880309,no_tremor
14,2666627,0.089,-0.047789396267785285,-0.7954507479621813,-0.4886622873374039,-26.575896574261062,0.1204800457280156,38.283542535575336,no_tremor
15,2666632,0.094,-0.045131066304297675,-0.790006251424686,-0.4860474034558735,-29.15934712302889,0.027710616602413366,41.055462222472705,no_tremor
16,2666637,0.099,-0.04283236691820653,-0.7839979890562149,-0.4838506979424971,-31.728849722410025,-0.04236684902562278,43.819927611307925,no_tremor
17,2666642,0.104,-0.040917645282931694,-0.7774255103064934,-0.4820942056225033,-34.27642549685131,-0.08978742497607153,46.567165087616786,no_tremor
18,2666647,0.109,-0.03940842841225218,-0.7702920205725017,-0.4807966652945077,-36.794108630391584,-0.11473103867288673,49.28736057359164,no_tremor
19,2666652,0.114,-0.0383233777189859,-0.7626045248759971,-0.4799735415350001,-39.27400763855776,-0.11751954195676315,51.9707434805381,no_tremor
20,2666657,0.119,-0.03767816692712728,-0.7543739445626138,-0.4796369623752099,-41.70836890883078,-0.09861257845884673,54.60767408462052,no_tremor
21,2666662,0.124,-0.037485318795387,-0.7456152011546006,-0.47979561234486834,-44.08964188801246,-0.05860233359487604,57.18873336269471,no_tremor
22,2666671,0.133,-0.03775402522641873,-0.7363472633373462,-0.48045460765685044,-46.41054519893379,0.001792742589081047,59.7048141890878,no_tremor
23,2666699,0.161,-0.03848996825996958,-0.7265931541225382,-0.48161537203819405,-48.66413287333639,0.08173514834610918,62.14721266234723,no_tremor
24,2666703,0.165,-0.039695154886446087,-0.7163799158912044,-0.48327552637628357,-50.84385979783705,0.18027638837109042,64.50771820965927,no_tremor
25,2666708,0.17,-0.041367775664156566,-0.7057385314992458,-0.4854288018910017,-52.943645395423125,0.2963657872286384,66.77870101981956,no_tremor
26,2666713,0.175,-0.04350209515300789,-0.6947038000514444,-0.48806498424877576,-54.957934517446354,0.4288599655427752,68.95319530080603,no_tremor
27,2666723,0.185,-0.04608838076735116,-0.6833141663843005,-0.4911698944316351,-56.881754506114696,0.5765328787093821,71.02497685322383,no_tremor
28,2666728,0.19,-0.04911287553217172,-0.6716115037747293,-0.49472541097045836,-58.71076740080206,0.7380863061737991,72.98863348913459,no_tremor
29,2666733,0.195,-0.05255781924153021,-0.6596408499202102,-0.4987095371710525,-60.44131629539228,0.9121606671969992,74.83962689530487,no_tremor
30,2666738,0.2,-0.05640152157766275,-0.647450096813294,-0.5030965160967832,-62.070464904712246,1.0973460305938907,76.57434463539765,no_tremor
31,2666743,0.205,-0.06061848980591285,-0.6350896357500466,-0.5078569952534119,-63.59602946591958,1.29219318409991,78.19014110638341,no_tremor
32,2666748,0.21,-0.06517961269200552,-0.6226119593569395,-0.512958242108626,-65.01660218476164,1.4952246350251135,79.68536640795605,no_tremor
33,2666752,0.214,-0.07005240128680373,-0.6100712231835255,-0.5183644107478322,-66.3315655343981,1.704945427728078,81.05938224570119,no_tremor
34,2666757,0.219,-0.07520128619086662,-0.5975227700807062,-0.5240368591090105,-67.54109682381387,1.9198536851608463,82.31256416657791,no_tremor
35,2666762,0.224,-0.08058796985189152,-0.5850226212615534,-0.5299345153500428,-68.646162573328,2.138450811528445,83.44628961878267,no_tremor
36,2666767,0.229,-0.08617183136850248,-0.5726269386219865,-0.536014290983207,-69.64850236735455,2.3592513304673015,84.46291153830256,no_tremor
37,2666772,0.234,-0.09191038017947745,-0.5603914635829337,-0.5422315374664017,-70.55060200142601,2.5807923758537052,85.36571739301209,no_tremor
38,2666777,0.239,-0.09775975391306417,-0.5483709384056544,-0.5485405419722151,-71.35565590446814,2.8016428966955833,86.15887386372351,no_tremor
39,2666781,0.243,-0.10367525456000808,-0.5366185166296502,-0.5548950570663158,-72.06751900129808,3.0204126793652746,86.84735761108885,no_tremor
40,2666786,0.248,-0.10961191601852868,-0.5251851699895019,-0.5612488580165054,-72.69064838535424,3.235761325725832,87.43687286726477,no_tremor
41,2666791,0.253,-0.11552509494076886,-0.514119099883371,-0.567556320422178,-73.23003539648802,3.4464073506263717,87.9337569006908,no_tremor
42,2666796,0.258,-0.12137107568840175,-0.503465162189646,-0.5737730097983501,-73.69112894121089,3.6511375727027597,88.34487473034075,no_tremor
43,2666824,0.286,-0.12710767908096593,-0.4932643149532598,-0.5798562736654328,-74.0797511519568,3.8488169628453046,88.67750481202468,no_tremor
44,2666829,0.291,-0.13269486350115423,-0.4835530991750868,-0.5857658255831766,-74.40200675896692,4.038399072487684,88.93921778373343,no_tremor
45,2667025,0.487,-0.1380953058361095,-0.4743631636011851,-0.5914643094338935,-74.66418784655966,4.218937064136211,89.13775073677641,no_tremor
46,2667030,0.492,-0.143274948772566,-0.4657208449432151,-0.5969178311658471,-74.8726759762315,4.38959518971862,89.28087985176879,no_tremor
47,2667035,0.497,-0.14820350032416715,-0.4576468152188577,-0.6020964443281426,-75.03384393669558,4.5496603357219305,89.37629453557318,no_tremor
48,2667040,0.502,-0.15285487143709148,-0.45015580768604924,-0.6069745753589789,-75.15395954856245,4.698553057878305,89.43147631948597,no_tremor
49,2667066,0.528,-0.15720753832276707,-0.44325643200584786,-0.6115313750062972,-75.23909395738679,4.835837431232659,89.45358567642177,no_tremor
50,2667071,0.533,-0.16124481781298533,-0.43695108779084935,-0.6157509835459992,-75.2950367100371,4.9612290449203025,89.4493596234925,no_tremor
51,2667076,0.538,-0.16495504631266392,-0.4312359836961181,-0.6196226994840116,-75.32721968106698,5.074600532459441,89.42502258111986,no_tremor
52,2667081,0.543,-0.16833165555367183,-0.42610126684979904,-0.6231410439592121,-75.34065163853384,5.175984115987543,89.38621252191047,no_tremor
53,2667085,0.547,-0.17137314110394908,-0.4215312648383265,-0.6263057159015867,-75.33986492782904,5.26557074790502,89.33792398520069,no_tremor
54,2667090,0.552,-0.1740829223367612,-0.4175048397528535,-0.6291214359957058,-75.32887541543253,5.3437055534895395,89.28446906459811,no_tremor
55,2667095,0.557,-0.1764690952723752,-0.41399585103333064,-0.6315976805514938,-75.31115648069763,5.410879408939723,89.22945700204575,no_tremor
56,2667100,0.562,-0.1785440823644062,-0.4109737210558025,-0.633748309423025,-75.28962747924588,5.467716626888666,89.17579254660406,no_tremor
