sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,3291548,0.0,-0.4648815435145095,-0.0393978358506853,-0.957202985920098,2.2813585665932714,-2.6003367677868057,4.312663004626661,no_tremor
1,3291553,0.005,-0.4675848669428377,-0.03923777717810215,-0.956565330851909,1.9384283000942282,-2.807210512453947,2.1174677013502587,no_tremor
2,3291558,0.01,-0.4713902252657869,-0.03901660220238184,-0.9556261157583248,1.5412398568646435,-2.975912386154416,-0.22268359295184134,no_tremor
3,3291563,0.015,-0.4764250359129132,-0.03872896296515927,-0.9543267899077846,1.0879168227682212,-3.102779565380746,-2.7084937520553365,no_tremor
4,3291568,0.02,-0.4826218871527839,-0.03838042470933249,-0.9526553657992635,0.5768431787232434,-3.1842535514083745,-5.339873135527437,no_tremor
5,3291573,0.025,-0.48979885926186273,-0.037982215759584985,-0.9506327504313472,0.006690182830651951,-3.2169148503073948,-8.115888745610091,no_tremor
6,3291578,0.03,-0.4977409936024206,-0.03754639124291019,-0.9482947309621047,-0.6235576713572795,-3.1975183352841277,-11.034717816822347,no_tremor
7,3291583,0.035,-0.5062468263427571,-0.037083283366132605,-0.9456799590304548,-1.3145779221174525,-3.1230289925251244,-14.093606675518322,no_tremor
8,3291588,0.04,-0.5151451687285299,-0.03660073520810359,-0.9428244116561783,-2.0666869447708875,-2.9906577255764244,-17.288835682622835,no_tremor
9,3291592,0.044,-0.5242955232476013,-0.03610424967376515,-0.939759972709064,-2.87981861525913,-2.7978968696577047,-20.615691033824035,no_tremor
10,3291618,0.07,-0.5335821865153584,-0.0355974524867079,-0.936514944932711,-3.7535051575493656,-2.5425550488185027,-24.0684441371166,no_tremor
11,3291623,0.075,-0.5429073001368504,-0.03508257462408995,-0.933115178268352,-4.686860501657911,-2.2227909966434534,-27.640339217278317,no_tremor
12,3291628,0.08,-0.5521849280509293,-0.034560849117102874,-0.9295852000062186,-5.678566475205325,-1.837145953459178,-31.32358971206963,no_tremor
13,3291633,0.085,-0.5613366568209467,-0.03403280572289572,-0.9259491270919464,-6.726862140598406,-1.3845742453912957,-35.109383929758735,no_tremor
14,3291638,0.09,-0.5702885891889427,-0.03349847900345765,-0.9222313225729271,-7.829536571231051,-0.8644716396394232,-38.987900336547696,no_tremor
15,3291642,0.094,-0.5789694286923551,-0.032957552042516075,-0.9184568260666134,-8.983925333760101,-0.27670105616949764,-42.948332738066085,no_tremor
16,3291647,0.099,-0.5873093593034836,-0.03240945553734668,-0.9146516045644482,-10.186910910454909,0.3783847978895655,-46.978925511792305,no_tremor
17,3291652,0.104,-0.5952394832907639,-0.03185343730057574,-0.9108426666041577,-11.434927256875067,1.0999243142756896,-51.06701893710641,no_tremor
18,3291657,0.109,-0.6026916435938773,-0.03128861282895049,-0.907058074017705,-12.723968646703632,1.8865318344343849,-55.19910455683198,no_tremor
19,3291661,0.113,-0.6095985085839439,-0.030714004200059753,-0.9033268766246028,-14.04960290837999,2.73628689960993,-59.36089038878859,no_tremor
20,3291666,0.118,-0.6158938349938103,-0.0301285721232865,-0.8996789881133682,-15.406989108212246,3.6467283111740576,-63.5373756884534,no_tremor
21,3291671,0.123,-0.6215128511782031,-0.02953124429030207,-0.8961450161512106,-16.790899683062598,4.614853374092079,-67.71293484497181,no_tremor
22,3291676,0.128,-0.6263927206235704,-0.028920942028078673,-0.8927560561928589,-18.195746973521796,5.6371226441707405,-71.87140987322977,no_tremor
23,3291681,0.133,-0.6304730573357427,-0.028296606482672248,-0.8895434561310793,-19.61561405612032,6.709470435136276,-75.99621084562483,no_tremor
24,3291686,0.138,-0.633696472335686,-0.027657225032761048,-0.8865385574898372,-21.04428972036865,7.827321266904312,-80.07042349056782,no_tremor
25,3291691,0.143,-0.6360091353705439,-0.02700185826574812,-0.8837724180261353,-22.475307383079375,8.985612353674457,-84.07692307331392,no_tremor
26,3291696,0.148,-0.6373613390450902,-0.026329667592632472,-0.8812755201690894,-23.901987678695182,10.178822141919852,-87.998493570411,no_tremor
27,3291701,0.153,-0.6377080545344149,-0.025639943396999734,-0.8790774695328571,-25.3174844106192,11.401004816715663,-91.8179510519235,no_tremor
28,3291706,0.158,-0.6370094692777973,-0.024932133487333225,-0.877206687685155,-26.71483349500998,12.645830603034463,-95.51827009447591,no_tremor
29,3291710,0.162,-0.6352314978613035,-0.024205871537088086,-0.8756901033605992,-28.087004474886903,13.906631598845934,-99.08271196225179,no_tremor
30,3291715,0.167,-0.6323462578640136,-0.023461005144527473,-0.8745528463300094,-29.426954127985486,15.176452790395194,-102.49495321276335,no_tremor
31,3291742,0.194,-0.6283325028983727,-0.022697623117182306,-0.8738179481454995,-30.727681636473342,16.448107817516842,-105.73921331141885,no_tremor
32,3291752,0.204,-0.6231760055075448,-0.021916081577579745,-0.8735060539626432,-31.98228473284855,17.71423897837526,-108.80037977939574,no_tremor
33,3291757,0.209,-0.6168698830587576,-0.021117028490614677,-0.8736351495893633,-33.18401619006011,18.96738088774101,-111.6641293660254,no_tremor
34,3291762,0.214,-0.6094148603444236,-0.0203014262209018,-0.8742203078249082,-34.326339992136624,20.20002712826643,-114.3170437471716,no_tremor
35,3291766,0.218,-0.6008194633041737,-0.01947057173416572,-0.875273458031693,-35.4029865080809,21.404699156725503,-116.74671831427337,no_tremor
36,3291771,0.223,-0.5911001391124264,-0.0186261140576155,-0.8768031827282479,-36.40800599493142,22.574016645221274,-118.94186272701423,no_tremor
37,3291776,0.228,-0.580281298814087,-0.017770068612154695,-0.8788145448016783,-37.33581977120308,23.70076835360148,-120.89239203780082,no_tremor
38,3291781,0.233,-0.5683952797027425,-0.016904828028663266,-0.8813089487083496,-38.18126842552681,24.777982550321756,-122.58950734353736,no_tremor
39,3291786,0.238,-0.5554822256916194,-0.01603316906651471,-0.8842840387541859,-38.93965645553137,25.798995932962004,-124.0257650730822,no_tremor
40,3291791,0.243,-0.5415898850044143,-0.015158255269541886,-0.8877336372116523,-39.606792768899766,26.75751995462627,-125.19513417565412,no_tremor
41,3291796,0.248,-0.5267733255949226,-0.014283635026372877,-0.8916477246304786,-40.17902652300647,27.64770344622663,-126.09304063604029,no_tremor
42,3291801,0.253,-0.5110945697830581,-0.013413234750484301,-0.8960124642267935,-40.653277832858805,28.464190444699714,-126.71639890689684,no_tremor
43,3291811,0.263,-0.494622150669079,-0.012551346960865541,-0.900810271685994,-41.02706294045596,29.202172199835548,-127.06363001686827,no_tremor
44,3291815,0.267,-0.4774305939592647,-0.011702613125491803,-0.9060199310857854,-41.29851351289726,29.85743244019352,-127.1346662845677,no_tremor
45,3291820,0.272,-0.4595998299043809,-0.01087200122341216,-0.9116167569370085,-41.46638982141439,30.426385129018907,-126.93094273935513,no_tremor
46,3291825,0.277,-0.4412145411113473,-0.010064778081443942,-0.9175728015540016,-41.530087647515465,30.906104127043033,-126.455375515877,no_tremor
47,3291830,0.282,-0.42236345302976747,-0.009286476640984209,-0.9238571061111422,-41.48963886297351,31.29434438945372,-125.71232764733112,no_tremor
48,3291835,0.287,-0.4031385749304971,-0.008542858402079804,-0.9304359928316099,-41.34570573415586,31.589554545187266,-124.70756283159673,no_tremor
49,3291840,0.292,-0.3836344001765493,-0.00783987136966957,-0.9372733948070795,-41.09956910501391,31.790880924002387,-123.44818788489764,no_tremor
50,3291867,0.319,-0.36394707552643357,-0.007183603886615499,-0.944331218986367,-40.753110714313365,31.89816329872515,-121.9425847288042,no_tremor
51,3291877,0.329,-0.34417355007660355,-0.006580234777832272,-0.9515697369321112,-40.308789998277504,31.911922785786672,-120.20033287510022,no_tremor
52,3291882,0.334,-0.32441071517128595,-0.006035980251029986,-0.9589479970908512,-39.76961581450517,31.833342484391025,-118.23212347255041,no_tremor
53,3291887,0.339,-0.3047545470675268,-0.005557038008435458,-0.9664242516498252,-39.13911359020183,31.664241522460248,-116.0496660503168,no_tremor
54,3291892,0.344,-0.2852992642264988,-0.005149529030218475,-0.9739563906593374,-38.42128844356496,31.407043215840833,-113.66558912855024,no_tremor
55,3291897,0.349,-0.2661365107658751,-0.004819437504268859,-0.9815023760260048,-37.62058485341086,31.06473805069839,-111.09333587047416,no_tremor
56,3291902,0.354,-0.24735457689947643,-0.0045725494048066435,-0.9890206682036111,-36.74184346392337,30.640842187174666,-108.34705593137502,no_tremor
57,3291907,0.359,-0.22903766620556842,-0.004414390265320346,-0.9964706388587617,-35.79025561263004,30.139352167873113,-105.44149462683495,no_tremor
58,3291912,0.364,-0.21126521840123733,-0.0043501627467051,-1.0038129633990678,-34.77131616176323,29.564696501097593,-102.39188050026921,no_tremor
59,3291917,0.369,-0.19411129503453795,-0.004384684663889148,-1.0110099879661971,-33.690775196726804,28.921684775241598,-99.21381232147398,no_tremor
60,3291922,0.374,-0.17764403419542135,-0.0045223281969736275,-1.018026066272052,-32.554589131768566,28.21545494631557,-95.92314649586339,no_tremor
61,3291926,0.378,-0.1619251790318146,-0.004766961068837486,-1.024827862460883,-31.368871733836688,27.451419424893764,-92.53588580981781,no_tremor
62,3291932,0.384,-0.14700968356819194,-0.005121890513757799,-1.0313846169885592,-30.13984554251963,26.635210571241583,-89.06807038150338,no_tremor
63,3291937,0.389,-0.13294539808190411,-0.00558981088566263,-1.037668373304284,-28.873794128313033,25.77262618721242,-85.53567162853149,no_tremor
64,3291941,0.393,-0.11977283511265642,-0.006172755756539211,-1.04365416388691,-27.577015594396915,24.869575569946807,-81.95449000384576,no_tremor
65,3291946,0.398,-0.10752501607331771,-0.006872055333224048,-1.049320154918548,-26.255777689457883,23.932026664922933,-78.34005719009507,no_tremor
66,3291951,0.403,-0.0962273974026551,-0.0076882999737729685,-1.0546477495658482,-24.916274861547276,22.96595482389084,-74.70754338242921,no_tremor
67,3291956,0.408,-0.08589787425730888,-0.008621310513722433,-1.0596216504792375,-23.56458754642792,21.97729363616092,-71.07167023194258,no_tremor
68,3291961,0.413,-0.0765468588846224,-0.00967011602001626,-1.0642298827089134,-22.206643949312294,20.97188825972997,-67.44662996735073,no_tremor
69,3291987,0.439,-0.06817743005195502,-0.010832939479636575,-1.0684637787702829,-20.84818454691392,19.95545163251674,-63.84601116025735,no_tremor
70,3291992,0.444,-0.06078554923352816,-0.012107191805792925,-1.0723179280660118,-19.49472950666256,18.933523893655657,-60.282731547515645,no_tremor
71,3291997,0.449,-0.054360338675829976,-0.013489474413317442,-1.0757900932771314,-18.151549189128186,17.911435289143196,-56.76897826757591,no_tremor
72,3292002,0.454,-0.048884415982505015,-0.014975590484561787,-1.0788810966571287,-16.823637864742064,16.89427277426637,-53.31615579921723,no_tremor
73,3292007,0.459,-0.044334279483830355,-0.016560564924764425,-1.0815946793883366,-15.515690735801725,15.886850459110045,-49.934841807690056,no_tremor
74,3292011,0.463,-0.04068073838296557,-0.018238672895214057,-1.0839373372881722,-14.232084312272976,14.893683977544194,-46.63475101023418,no_tremor
75,3292016,0.468,-0.03788938149337659,-0.02000347671314824,-1.085918136194903,-12.976860149120903,13.918968798881274,-43.42470707942288,no_tremor
76,3292021,0.473,-0.035921078288391604,-0.021847870816598836,-1.0875485103351354,-11.75371191632752,12.966562447720829,-40.31262251528341,no_tremor
77,3292026,0.478,-0.03473250596436426,-0.02376413440760585,-1.0888420468939517,-10.565975740979622,12.039970552931102,-37.305486337355056,no_tremor
78,3292031,0.483,-0.03427669626465952,-0.025743991306348614,-1.089814259886909,-9.416623733410159,11.14233661201888,-34.409359374974706,no_tremor
79,3292036,0.488,-0.034503595915450234,-0.027778676470559534,-1.0904823562819537,-8.308260585745472,10.276435332392687,-31.629376867498287,no_tremor
80,3292040,0.492,-0.03536063467999586,-0.029859008558644828,-1.0908649971479316,-7.243123111286295,9.444669395675184,-28.96975802657401,no_tremor
81,3292045,0.497,-0.03679329524021949,-0.031975467841588605,-1.0909820564224741,-6.223082577346914,8.649069483830084,-26.433822161344914,no_tremor
82,3292050,0.502,-0.03874567935802729,-0.034118278698976934,-1.0908543797021033,-5.249649672367096,7.8912974039072115,-24.02401092525361,no_tremor
83,3292055,0.507,-0.04116106504914792,-0.03627749586961024,-1.0905035452667848,-4.32398193920415,7.172652148570324,-21.741916209585426,no_tremor
84,3292060,0.512,-0.04398244981411717,-0.03844309356820383,-1.0899516293640905,-3.4468934993775,6.494078729389557,-19.588313183204086,no_tremor
85,3292065,0.517,-0.04715307530821527,-0.04060505652724043,-1.0892209775980077,-2.618866887235788,5.856179616828923,-17.563197959231363,no_tremor
86,3292069,0.521,-0.05061692918757338,-0.04275347197753889,-1.088333984097048,-1.8400668083442822,5.2592286131329224,-15.66582935681977,no_tremor
87,3292074,0.526,-0.0543192202349081,-0.04487862154287855,-1.0873128799781446,-1.1103556325363957,4.7031869707734,-13.894774219099965,no_tremor
88,3292079,0.531,-0.05820682323835571,-0.046971071993358794,-1.0861795324790062,-0.4293104292091861,4.187721549677826,-12.247955746894794,no_tremor
89,3292084,0.536,-0.06222869046431915,-0.04902176377928587,-1.0849552560038997,0.20375864853661466,3.7122247826680623,-10.722704312348903,no_tremor
90,3292110,0.562,-0.06633622692499032,-0.05102209625258524,-1.0836606362173424,0.7897888228047736,3.2758361938155747,-9.315810227645374,no_tremor
91,3292114,0.566,-0.07048362699083434,-0.05296400847735176,-1.0823153682267075,1.3299441815185222,2.877465193571932,-8.023577961034915,no_tremor
92,3292119,0.571,-0.07462817024051921,-0.05484005453883189,-1.0809381098152744,1.825594386222027,2.5158148627934507,-6.84188131339855,no_tremor
93,3292124,0.576,-0.0787304747840934,-0.0566434722867806,-1.0795463506153113,2.278292780744296,2.1894064391417847,-5.766219090424387,no_tremor
94,3292129,0.581,-0.0827547066501542,-0.05836824449985072,-1.0781562980377661,2.689754083750683,1.8966042341430212,-4.791770826257213,no_tremor
95,3292134,0.586,-0.08666874420084902,-0.06000915153328888,-1.076782780693434,3.061831847395774,1.6356407332618108,-3.9134521344018105,no_tremor
96,3292139,0.591,-0.09044429693023882,-0.06156181460914853,-1.0754391699450943,3.3964958622802395,1.4046416584774433,-3.1259692820815594,no_tremor
97,3292144,0.596,-0.09405697840849801,-0.06302272902123719,-1.0741373201181115,3.6958096855752154,1.2016507978885116,-2.423872606291079,no_tremor
98,3292148,0.6,-0.09748633355229713,-0.06438928665153285,-1.0728875277663765,3.9619084647017835,1.0246544267054714,-1.801608413674255,no_tremor
99,3292153,0.605,-0.10071582082617524,-0.06565978732764663,-1.0716985102395218,4.196977223214163,0.8716051570049511,-1.2535690314414056,no_tremor
100,3292158,0.61,-0.10373275040646422,-0.06683343869007823,-1.070577403625275,4.403229768270142,0.7404450591439615,-0.7741407020116672,no_tremor
101,3292163,0.615,-0.1065281797642032,-0.06791034438236354,-1.069529779948215,4.582888370250078,0.6291278957218657,-0.35774903985429407,no_tremor
102,3292168,0.62,-0.10909676854256992,-0.06889148052615049,-1.0685596832952495,4.738164354885532,0.535640300049162,0.0010982046151578606,no_tremor
103,3292173,0.625,-0.11143659501424036,-0.06977866059652856,-1.067669684312124,4.871239737085733,0.45802171682704873,0.3077713026984728,no_tremor
104,3292177,0.629,-0.1135489368021025,-0.07057448897065889,-1.0668609522781802,4.984250014267565,0.3943829059843321,0.5674818298003753,no_tremor
105,3292182,0.634,-0.11543801893123322,-0.07128230358519302,-1.0661333437228007,5.079268226176128,0.3429227952019072,0.7852492521144407,no_tremor
106,3292188,0.64,-0.11711073265051677,-0.07190610830548001,-1.0654855063011894,5.158290378181248,0.30194345652781246,0.9658709749359017,no_tremor
107,3292192,0.644,-0.11857632881954458,-0.07245049578246182,-1.0649149964039928,5.223222315660357,0.26986298078501925,1.1138959877939723,no_tremor
108,3292197,0.649,-0.11984609000267932,-0.07292056175166912,-1.0644184087391126,5.275868128006539,0.24522603250396874,1.233602219089589,no_tremor
109,3292203,0.655,-0.12093298575092179,-0.07332181191282183,-1.0639915158982471,5.317920151552837,0.2267118894857366,1.3289776906500106,no_tremor
