sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,1387384,0.0,-0.8791463789091181,-0.07770365425531324,0.36417019559927016,1.5740279420380865,-6.629732186903253,6.053990932683553,no_tremor
1,1387389,0.005,-0.8832665025790803,-0.07616260922531662,0.36146405831604,3.283878139650249,-7.037750207555441,2.9986570952493166,no_tremor
2,1387393,0.009,-0.8889394801704895,-0.07399811934625737,0.35768221529094507,5.14626392123413,-7.521669106354293,-0.24093897847332119,no_tremor
3,1387398,0.014,-0.8962722172017739,-0.07113954684218068,0.3527170246839818,7.162537579792588,-8.08409867130019,-3.662887971783572,no_tremor
4,1387403,0.019,-0.9050762951632223,-0.06762607159539478,0.34665635748389384,9.333175720315795,-8.727159076242186,-7.264148446030428,no_tremor
5,1387408,0.024,-0.915006667046336,-0.06356031443131893,0.33969957659668354,11.65772999018073,-9.452432770438412,-11.040507369721206,no_tremor
6,1387413,0.029,-0.9256897179372916,-0.059061935430429174,0.33207493615981004,14.134783433487597,-10.260920108697515,-14.986548885788501,no_tremor
7,1387418,0.034,-0.9367912015101639,-0.05424140582150467,0.3239934592749426,16.761913260113552,-11.152999496473848,-19.09563222426385,no_tremor
8,1387423,0.039,-0.9480371190537742,-0.04919074684301937,0.3156330271933968,19.535660791184334,-12.128392767565712,-23.35987960719985,no_tremor
9,1387428,0.044,-0.9592104076627007,-0.04398351603364015,0.3071387346679053,22.451509301673624,-13.186136434233694,-27.770174911153386,no_tremor
10,1387433,0.049,-0.9701393230651004,-0.038678312968927216,0.29862930739241866,25.50387042736736,-14.324559354448482,-32.31617374966205,no_tremor
11,1387438,0.054,-0.9806853222535998,-0.03332283250973219,0.2902043457448195,28.686079736511378,-15.541267255168274,-36.986325514178034,no_tremor
12,1387443,0.059,-0.9907332393882173,-0.027957306395500117,0.2819503867140484,31.990401985052397,-16.833134441782803,-41.76790776769497,no_tremor
13,1387448,0.064,-1.0001842001044035,-0.022617067659242304,0.2739453507265169,35.4080464777591,-18.19630291922088,-46.647073222234056,no_tremor
14,1387452,0.068,-1.0089508673597312,-0.017334322005816822,0.2662615473540801,38.92919284523215,-19.62618905470097,-51.60890935135327,no_tremor
15,1387457,0.073,-1.0169544317719217,-0.012139303781771575,0.25896756992103503,42.54302741847762,-21.117497827368712,-56.637510494249995,no_tremor
16,1387462,0.078,-1.0241228236028344,-0.007060987783634709,0.25212939153777664,46.237790238284184,-22.66424463389112,-61.716062101612664,no_tremor
17,1387467,0.083,-1.030389746841965,-0.0021274927965475206,0.24581090886680257,50.00083257710856,-24.259784546820107,-66.82693655824784,no_tremor
18,1387472,0.088,-1.03569425083139,0.0026337240538521402,0.24007411279630725,53.818684678551904,-25.89684884988051,-71.95179979691449,no_tremor
19,1387477,0.093,-1.0399806438534338,0.007195812893449595,0.23497901139047156,57.67713323612318,-27.567588599197258,-77.07172769486604,no_tremor
20,1387481,0.097,-1.0431986164627678,0.01153256922873258,0.2305833913975187,61.56130794113742,-29.26362488210651,-82.16733102215349,no_tremor
21,1387523,0.139,-1.045303485511229,0.015618532352658917,0.22694247763423653,65.45577623283472,-30.976105367162468,-87.21888749267939,no_tremor
22,1387528,0.144,-1.0462564985009821,0.019429121946667866,0.22410853152132826,69.34464519162965,-32.69576666243679,-92.20647926697237,no_tremor
23,1387533,0.149,-1.0460251567498038,0.022940797510387505,0.2221304181636498,73.21166935031142,-34.41300192720257,-97.11013409787897,no_tremor
24,1387537,0.153,-1.0445835282756164,0.026131229640659916,0.2210531635593353,77.04036308675494,-36.11793311779034,-101.90996823407377,no_tremor
25,1387542,0.158,-1.0419125296721325,0.028979475065883435,0.22091751829819123,80.81411622094116,-37.80048719278602,-106.58632921841948,no_tremor
26,1387547,0.163,-1.0380001620961166,0.03146614926953073,0.22175954049157873,84.51631145768553,-39.450475553515936,-111.11993681799215,no_tremor
27,1387552,0.168,-1.0328416907681326,0.033573591860236056,0.22361020805479656,88.13044236850678,-41.05767595003644,-115.49202046125328,no_tremor
28,1387557,0.173,-1.0264397606707414,0.0352860207875235,0.22649506847029918,91.6402306716574,-42.61191604027218,-119.68445170797288,no_tremor
