sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,1187478,0.0,-0.9050875348420909,-0.08434968912594845,0.3457913363173311,3.9957489374646817,-8.306847262811786,4.520596838971088,no_tremor
1,1187504,0.026,-0.9060800358052085,-0.08410262385680975,0.3477268233450467,2.6462277750197396,-10.324246526207919,4.00470820883713,no_tremor
2,1187513,0.035,-0.9075345685008509,-0.08377161881443133,0.35051175299170123,1.197470815522965,-12.256841088075717,3.3694503779950864,no_tremor
3,1187518,0.04,-0.9095355979710378,-0.08335951916428795,0.3542785356883492,-0.3517495871147156,-14.09386382511532,2.6098673560801076,no_tremor
4,1187528,0.05,-0.9120938544342622,-0.08288936865832029,0.3590191141596104,-2.0021823472795375,-15.824840412145502,1.7215503092366615,no_tremor
5,1187532,0.054,-0.9151687000513155,-0.08239477907835957,0.36463489117352244,-3.75406411491685,-17.439669596636737,0.7006975137418077,no_tremor
6,1187542,0.064,-0.9186967308595783,-0.08191147526117597,0.37099341365526606,-5.607088365844029,-18.928704324050553,-0.45582815491584966,no_tremor
7,1187581,0.103,-0.9226106175394934,-0.08147296288197776,0.37796328593311823,-7.560377647168879,-20.28283318324269,-1.7504449096541392,no_tremor
8,1187591,0.113,-0.9268476737753922,-0.08110928854931024,0.38542854807231475,-9.61245949588744,-21.493561540691314,-3.18480164196794,no_tremor
9,1187625,0.147,-0.9313519763662801,-0.08084732448655292,0.39329094619032523,-11.761246523306134,-22.553091621091806,-4.759732147840722,no_tremor
10,1187630,0.152,-0.936073511503093,-0.08071152920522871,0.4014670344845689,-14.004021122353606,-23.454400673763153,-6.475214721886183,no_tremor
11,1187635,0.157,-0.9409664059516212,-0.08072468700986057,0.4098839860336156,-16.337425212489403,-24.191316246722064,-8.330337841064948,no_tremor
12,1187639,0.161,-0.9459871924328245,-0.08090845974087162,0.4184757826107926,-18.75745539197957,-24.75858748394916,-10.32327263539469,no_tremor
13,1187644,0.166,-0.9510934399023548,-0.08128373404576385,0.427180288432339,-21.259463821799244,-25.151951277037643,-12.451252805332725,no_tremor
14,1187649,0.171,-0.9562427983230851,-0.08187079894308094,0.43593721454734125,-23.83816511762719,-25.36819204706781,-14.710562594412322,no_tremor
15,1187654,0.176,-0.9613924045541745,-0.08268939712511801,0.44468681727499704,-26.48764947304744,-25.40519390907456,-17.096533362046173,no_tremor
16,1187658,0.18,-0.9664985726452432,-0.08375868735839842,0.453369152379608,-29.20140217628012,-25.261983980433197,-19.603549225384132,no_tremor
17,1187663,0.185,-0.9715166984348738,-0.08509714626502753,0.4619237334473505,-31.972329614450448,-24.938765636056054,-22.225062150435917,no_tremor
18,1187668,0.19,-0.9764013229885163,-0.08672242978058678,0.4702894792120065,-34.792791784258384,-24.436940589218697,-24.953616770966235,no_tremor
19,1187677,0.199,-0.981106313657889,-0.08865120861022262,0.4784048665994689,-37.654641247179356,-23.75911879123327,-27.78088509903278,no_tremor
20,1187682,0.204,-0.9855851328822071,-0.09089898787440262,0.48620823072302266,-40.549268383704835,-22.909115301532417,-30.69771116480456,no_tremor
