sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,914768,0.0,-0.5990138165734445,-0.20732767651356573,0.6865709225617163,-11.780846024383475,-3.0098337414869856,12.136784324312405,no_tremor
1,914773,0.005,-0.5993377531078199,-0.20452619080981507,0.684673657842377,-20.73367426734559,-1.8448350990373013,18.018529782950388,no_tremor
2,914782,0.014,-0.599944597963731,-0.20065176289793077,0.6818648357763315,-29.53077805753991,-0.709281869107959,23.810598427421258,no_tremor
3,914787,0.019,-0.6009570521130256,-0.19561250951856796,0.6779521901426249,-38.14157992927038,0.3933613609776287,29.49278079005565,no_tremor
4,914792,0.024,-0.6024758908620647,-0.18951135617799908,0.6728751409579802,-46.53595526789541,1.459785301295438,35.04506287855338,no_tremor
5,914797,0.029,-0.6045702376430808,-0.18255461693366193,0.6666665424734504,-54.68439346384384,2.4868523817660595,40.44773198820128,no_tremor
6,914801,0.033,-0.607282261668803,-0.1749669898880425,0.6594010502026973,-62.558162533253956,3.4716126199464745,45.6814856355185,no_tremor
7,914806,0.038,-0.6106358649600565,-0.1669463725828217,0.6511604329433764,-70.12947698825343,4.411318959134468,50.727543481594005,no_tremor
8,914811,0.043,-0.6146439906905065,-0.15865000543959443,0.6420174949853295,-77.37166848806775,5.303442080118654,55.567761946950206,no_tremor
9,914816,0.048,-0.6193132187736851,-0.15019679647517248,0.6320319448474038,-84.25935850530126,6.1456846590954175,60.18475102603945,no_tremor
10,914821,0.053,-0.6246461182414456,-0.14167525449326773,0.6212519215085739,-90.76863190144569,6.935995004445069,64.56199258931412,no_tremor
11,914825,0.057,-0.6306421889392357,-0.13315181165831158,0.6097173714860411,-96.877209924513,7.672579956365849,68.68395921558515,no_tremor
12,914830,0.062,-0.6372980549134669,-0.12467765130208444,0.597463479842205,-102.56462072407533,8.353916875680035,72.53623232925811,no_tremor
13,915021,0.253,-0.6446073230398075,-0.1162937262279259,0.5845235013853312,-107.81236503533508,8.978764482117203,76.10561813110074,no_tremor
14,915026,0.258,-0.6525603329062862,-0.10803422636119142,0.5709308692038716,-112.60407424977866,9.54617223504341,79.38025952815133,no_tremor
15,915030,0.262,-0.6611439095807794,-0.09992887920108168,0.5567206592969504,-116.92565775352493,10.055487902185783,82.34974204291717,no_tremor
16,915035,0.267,-0.6703411686123424,-0.09200442663307846,0.5419305415137752,-120.76543629461355,10.506362963704193,85.00519158953423,no_tremor
17,915040,0.272,-0.6801313913330777,-0.08428554103799982,0.5266013401696894,-124.11425829614527,10.898755561439632,87.33936208295212,no_tremor
18,915045,0.277,-0.6904899739720868,-0.07679536761688224,0.5107773038171042,-126.9655964053248,11.232930804793833,89.34671106008601,no_tremor
19,915050,0.282,-0.7013884479610265,-0.06955582060753417,0.49450615895838035,-129.31562204348396,11.50945834981567,91.02346176589408,no_tremor
20,915055,0.287,-0.71279456664352,-0.06258771862726681,0.4778390021617557,-131.16325621756036,11.729207254017231,92.36765044053772,no_tremor
21,915060,0.292,-0.7246724531303619,-0.05591081532148486,0.4608300698485676,-132.51019534109645,11.89333817175389,93.3791578192874,no_tremor
22,915065,0.297,-0.7369828041692579,-0.04954376215551007,0.44353641425113866,-133.36091128732645,12.003292998221232,94.05972412472664,no_tremor
23,915069,0.301,-0.7496831451197657,-0.04350402756712326,0.42601750667783833,-133.72262535553452,12.060782101351327,94.41294709418247,no_tremor
24,915074,0.306,-0.7627281312359366,-0.03780778860990581,0.40833478434627,-133.60525627142,12.067769307209986,94.44426284602854,no_tremor
25,915089,0.321,-0.776069890399302,-0.032469806135852874,0.3905511539368453,-133.02134276023892,12.02645483026246,94.1609096457025,no_tremor
26,915099,0.331,-0.7896584022218573,-0.027503291447291404,0.3727304631389999,-131.98594162602316,11.939256365807317,93.57187488209448,no_tremor
27,915132,0.364,-0.8034419081003387,-0.0229197704795346,0.3549369504021159,-130.5165026368819,11.80878858864115,92.6878258017886,no_tremor
28,915137,0.369,-0.8173673464235091,-0.018728950461773114,0.33723468252946726,-128.6327218445335,11.637841332782981,91.52102476682772,no_tremor
29,915146,0.378,-0.8313808067996947,-0.014938593303315829,0.3196869893790678,-126.35637523956684,11.429356761182703,90.08522999596603,no_tremor
30,915151,0.383,-0.8454279969562315,-0.011554399448000255,0.3023559045322765,-123.71113485034111,11.186405858962239,88.395582915199,no_tremor
31,915156,0.388,-0.8594547158993754,-0.00857990551542163,0.28530162023232664,-120.72236953495356,10.912164579072831,86.46848337904571,no_tremor
32,915166,0.398,-0.8734073269964099,-0.006016398657902433,0.26858196417333846,-117.41693280705228,10.609889924061058,84.32145413235061,no_tremor
33,915170,0.402,-0.8872332248048936,-0.003862850195159912,0.2522519049092945,-113.82294009285901,10.282896167646328,81.97299596761582,no_tremor
34,915175,0.407,-0.9008812896835448,-0.002115870739390001,0.23636309183868703,-109.96953784557768,9.934531323096893,79.44243509708409,no_tremor
35,915180,0.412,-0.9143023244546575,-0.0007696886822236887,0.2209634349607522,-105.88666694397514,9.56815387299452,76.74976430177448,no_tremor
36,915185,0.417,-0.9274494676536635,0.0001838464322278626,0.2060967289120482,-101.60482277347192,9.187109703884552,73.91547944242883,no_tremor
37,915190,0.422,-0.9402785782163541,0.0007552344907923595,0.19180232516735415,-97.15481433391267,8.794709150037317,70.9604129238595,no_tremor
38,915194,0.426,-0.9527485868379098,0.0009572685892705572,0.17811485570010663,-92.56752464441946,8.39420404854393,67.90556569969908,no_tremor
39,915199,0.431,-0.9648218097017603,0.0008049516710551825,0.16506401081444352,-87.87367462742002,7.98876474538655,64.77193939290507,no_tremor
40,915204,0.436,-0.9764642208243434,0.0003153861501250415,0.15267437325666883,-83.10359255378113,7.581457067585495,61.58037009060109,no_tremor
41,915209,0.441,-0.9876456798935157,-0.0004923628765399436,0.14096531006865864,-78.28699102064598,7.175219383822173,58.35136535091151,no_tremor
42,915214,0.446,-0.9983401131888282,-0.0015974297270146037,0.12995092294727814,-73.45275331515383,6.772840003455808,55.104945934899774,no_tremor
43,915219,0.451,-1.008525645949678,-0.0029773339456507526,0.11964005711863117,-68.62873089355115,6.376935295348302,51.860493749359506,no_tremor
44,915224,0.456,-1.0181846853836767,-0.004608187743740634,0.11003636792920148,-63.84155358006803,5.989929024814264,48.63660745782556,no_tremor
45,915250,0.482,-1.0273039543558458,-0.006464922524339825,0.10113844351252248,-59.11645396795016,5.614033491714456,45.45096718959969,no_tremor
46,915255,0.487,-1.0358744766327213,-0.008521531526643367,0.09293998103756948,-54.47710738853229,5.251233089832488,42.32020974667499,no_tremor
47,915260,0.492,-1.0438915153235828,-0.010751325271894065,0.08543001322880535,-49.94548869802144,4.903270883243553,39.25981566166412,no_tremor
48,915264,0.496,-1.0513544668062456,-0.01312719623220373,0.07859318112628004,-45.541747003731714,4.571638701570868,36.284009373580254,no_tremor
49,915269,0.501,-1.058266712905348,-0.01562188899315505,0.07241004847796786,-41.28409930259162,4.25757110222751,33.4056736485979,no_tremor
50,915274,0.506,-1.064635434403438,-0.018208272136599563,0.06685745274470874,-37.188743835865786,3.9620433622638314,30.636279186202096,no_tremor
51,915279,0.511,-1.0704713891444368,-0.020859608109309983,0.06190888743544755,-33.269793783421626,3.685773477753198,27.985830136305086,no_tremor
52,915284,0.516,-1.0757886580899703,-0.02354981743886697,0.05753491034362303,-29.5392317358848,3.429227986974136,25.462826026345795,no_tremor
53,915288,0.52,-1.0806043627661415,-0.026253733788543197,0.05370357218914219,-26.006885196320052,3.1926313057080615,23.07424036845782,no_tremor
54,915293,0.525,-1.0849383576322464,-0.028947346493931683,0.05038086015400609,-22.680423174075344,2.975978172800325,20.825515991048025,no_tremor
55,915298,0.53,-1.0888129010353156,-0.03160802738802619,0.047531150810109696,-19.565373741489726,2.7790487516602616,18.72057692040635,no_tremor
56,915303,0.535,-1.0922523085915725,-0.0342147388956569,0.04511766695956651,-16.665162230066564,2.6014259154608594,16.761856428649246,no_tremor
57,915308,0.54,-1.0952825930556924,-0.036748220563610906,0.04310293293302041,-13.981169547746555,2.442514255450254,14.950340665955768,no_tremor
58,915313,0.545,-1.0979310949926253,-0.039191151393251,0.04144922291824662,-11.512809903730904,2.301560387014274,13.285627109587862,no_tremor
59,915318,0.55,-1.1002261088397276,-0.04152828556391833,0.04011899692406941,-9.257627032427031,2.1776741797180925,11.765996892302026,no_tremor
60,915322,0.554,-1.1021965092180457,-0.043746559385479646,0.039075319032582455,-7.211407815314937,2.069850596239445,10.388499921146098,no_tremor
61,915327,0.559,-1.1038713825952,-0.045835167606206664,0.038282252670140064,-5.368312012362863,1.976991879807482,9.149051565677043,no_tremor
62,915332,0.564,-1.1052796695887641,-0.04778560753773886,0.03770522775293298,-3.7210166370904343,1.8979298699623024,8.042539582030058,no_tremor
63,915337,0.569,-1.1064498232961009,-0.049591689850977255,0.037311374755936766,-2.2608733444895357,1.831448245077156,7.062939844718736,no_tremor
64,915342,0.574,-1.107409489013514,-0.05124951535056386,0.037069821032337934,-0.978077050264185,1.776304484423321,6.203439380002541,no_tremor
65,915347,0.579,-1.1081852105397756,-0.05275741755171623,0.03695194508771934,0.13815613630241103,1.7312513133162002,5.456565131277712,no_tremor
66,915376,0.608,-1.108802167930841,-0.05411587145791633,0.03693158499855808,1.0994037056214423,1.6950573459515736,4.814316835625976,no_tremor
67,915381,0.613,-1.1092839510763985,-0.05532736956247606,0.0369851977642905,1.9178464175711738,1.6665265815034536,4.268302348222905,no_tremor
68,915386,0.618,-1.109652372806142,-0.056396266754670604,0.037091967101414464,2.6060751031002423,1.6445163580204947,3.809873715124901,no_tremor
69,915391,0.623,-1.1099273244179413,-0.057328596477329186,0.037233858029352945,3.1768969600853043,1.6279533476272177,3.4302622636302127,no_tremor
70,915395,0.627,-1.1101266755808454,-0.05813186113214133,0.037395617555360305,3.6431438200533104,1.6158471977519437,3.12071095205678,no_tremor
