sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,2389714,0.0,-0.8192473822869276,-0.0803524295357269,0.4679902347763335,-2.6347406370632953,-6.237829826638495,1.3293126421806976,no_tremor
1,2389739,0.025,-0.8198453674828119,-0.07985514618827914,0.4683346371812971,-2.487586013725806,-6.094566361052159,0.9616531345112127,no_tremor
2,2389744,0.03,-0.8207212303451334,-0.07917104973105019,0.46888571027171627,-2.333079166419516,-5.865668721501092,0.5687345051602363,no_tremor
3,2389749,0.035,-0.8219289817056648,-0.07828797659005977,0.46970434723353466,-2.17138967264892,-5.541528810620348,0.14974243308408372,no_tremor
4,2389753,0.039,-0.8234810991954153,-0.0772296815225078,0.4708248967581989,-2.002759419543347,-5.1124605446615945,-0.2960710487574207,no_tremor
5,2389758,0.044,-0.8253617298472232,-0.07603900591478205,0.4722569074582804,-1.8275077106021405,-4.568776733752955,-0.7693761052764599,no_tremor
6,2389763,0.049,-0.8275431992543224,-0.07476235378804467,0.47399360050901734,-1.6460359639736313,-3.900870785423189,-1.2707533336994448,no_tremor
7,2389768,0.054,-0.8299966724975669,-0.07344146330129704,0.47601947032847997,-1.4588319158490104,-3.0993027301435414,-1.8006817824629417,no_tremor
8,2389773,0.059,-0.8326968205642729,-0.07211088523456805,0.4783149290866683,-1.2664732499967912,-2.1548890128745852,-2.359526863075188,no_tremor
9,2389778,0.064,-0.8356227728000388,-0.07079839438256721,0.4808584205991867,-1.0696305815838614,-1.0587954456407058,-2.9475282689072877,no_tremor
10,2389782,0.068,-0.8387573794146282,-0.06952640764138711,0.48362700545105614,-0.8690697302452945,0.19736732862743567,-3.5647880194018673,no_tremor
11,2389787,0.073,-0.84208596860639,-0.06831346273509065,0.48659621376141654,-0.6656532238607917,1.6214465535965716,-4.211258752160155,no_tremor
12,2389792,0.078,-0.8455951377141611,-0.06717541913200377,0.48973963479368665,-0.4603409805622897,3.220648993378934,-4.886732389083571,no_tremor
13,2389797,0.083,-0.8492717621550648,-0.06612632721349232,0.49302847400899796,-0.2541901220890616,5.001442260406572,-5.5908293068357775,no_tremor
14,2389802,0.088,-0.8531022461700386,-0.06517901483665768,0.49643117264331516,-0.04835387678597132,6.969456658915706,-6.322988147173749,no_tremor
15,2389807,0.093,-0.8570719820536108,-0.06434546209556745,0.49991311867955224,0.15592046466455278,9.129388411773888,-7.082456408749863,no_tremor
16,2389812,0.098,-0.8611649725316474,-0.06363702716175632,0.5034364499376336,0.35729457345412546,11.484905186795697,-7.86828196680486,no_tremor
17,2389817,0.103,-0.8653635757475568,-0.0630645710297168,0.506959940327577,0.554343116150161,14.038554887532584,-8.679305668959202,no_tremor
18,2389827,0.113,-0.8696483414562488,-0.06263851497077279,0.5104389586505864,0.7455588244806094,16.791678719516604,-9.514155153767595,no_tremor
19,2389831,0.117,-0.873997915782327,-0.06236885364973036,0.5138254906443802,0.929358626347362,19.744329582320127,-10.371240034479897,no_tremor
20,2389836,0.122,-0.8783889988998625,-0.06226513913454867,0.5170682170190974,1.1040908599294865,22.895196866792148,-11.248748584374392,no_tremor
21,2389862,0.148,-0.8827963451481132,-0.062336445774386934,0.520112642137448,1.2680435872659905,26.24153875177671,-12.144646052629515,no_tremor
22,2389867,0.153,-0.8871927987248798,-0.06259132244849995,0.5229012694806048,1.4194540151078416,29.779123091760248,-13.056674730675637,no_tremor
23,2389872,0.158,-0.8915493605667932,-0.06303773644516773,0.52537382108209,1.5565190191118978,33.50217796220592,-13.982355877464657,no_tremor
