sample,t_ms,t_s,ax,ay,az,gx,gy,gz,tremor
0,1027042,0.0,-0.49908027059892124,0.12144701098235623,-0.9911889059767464,5.605962482716888,26.462761192175048,-16.69568225829267,no_tremor
1,1027047,0.005,-0.5009486613394235,0.12204976333153936,-0.995377682844728,6.9469165800361665,21.076397950200022,-18.56312227000255,no_tremor
2,1027052,0.01,-0.5034519594796433,0.12278988448685804,-1.0011029904706237,8.281317240320414,15.195377157425852,-20.46066309053057,no_tremor
3,1027057,0.015,-0.5065899719992297,0.12361937823542613,-1.0084383701451693,9.60417824771182,8.806885219206269,-22.38050525002387,no_tremor
4,1027062,0.02,-0.5102287414931305,0.12444648400535735,-1.0171521582551288,10.910531099860417,1.900485786703476,-24.314353901203553,no_tremor
5,1027067,0.025,-0.5141725069005417,0.1251674769586362,-1.0268540884662154,12.195465368656782,-5.531636103773545,-26.2534546718183,no_tremor
6,1027071,0.029,-0.5182241759040289,0.12568837201708102,-1.0371276978961605,13.454170323343195,-13.494438508074726,-28.18863529467797,no_tremor
7,1027076,0.034,-0.5222147414047098,0.1259329708282342,-1.0475992802806167,14.6819775358295,-21.989798740774734,-30.110353016130432,no_tremor
8,1027081,0.039,-0.5260103571411807,0.12584274231585085,-1.0579581240812552,15.87440415319066,-31.016304301485167,-32.00874771614016,no_tremor
9,1027086,0.044,-0.5295088005787629,0.12537362936562751,-1.0679521352835935,17.027196487821378,-40.56906159219688,-33.87370060042723,no_tremor
10,1027091,0.049,-0.5326328594548178,0.1244925371109303,-1.077375294752343,18.13637354228155,-50.639525381481086,-35.69489824823309,no_tremor
11,1027096,0.054,-0.5353240811065872,0.12317451955104974,-1.0860549059075417,19.198270053792058,-61.215351857933854,-37.46190171755682,no_tremor
12,1027101,0.059,-0.5375379554838572,0.1214008242415489,-1.093841403052835,20.209578612251217,-72.28027796295024,-39.16422032163293,no_tremor
13,1027106,0.064,-0.539240567162851,0.11915764792416775,-1.1006010967449686,21.167390374650143,-83.81402950397761,-40.79138959487514,no_tremor
