sample,t_ms,ax,ay,az,gx,gy,gz
1,1587450,-0.1201,-0.1072,-1.0380,0.9219,-7.5312,0.2188
1,1587454,-0.1235,-0.1069,-1.0398,1.1250,-6.2188,0.0312
1,1587459,-0.1273,-0.1066,-1.0415,1.4219,-4.4844,-0.7344
1,1587464,-0.1321,-0.1061,-1.0428,1.3594,-3.1094,-0.8750
1,1587469,-0.1375,-0.1056,-1.0441,1.5781,-1.5000,0.1094
1,1587474,-0.1433,-0.1049,-1.0450,2.0312,1.2969,-0.1250
1,1587483,-0.1549,-0.1033,-1.0469,3.3594,4.0000,1.1250
1,1587489,-0.1622,-0.1022,-1.0476,4.1094,3.8750,1.1719
1,1587494,-0.1659,-0.1017,-1.0476,3.9219,3.0469,0.9531
1,1587498,-0.1680,-0.1014,-1.0470,3.7188,2.5938,0.7812
1,1587503,-0.1683,-0.1016,-1.0458,3.8281,2.0000,0.6562
1,1587528,-0.1495,-0.1088,-1.0315,3.2812,-2.6094,-0.0625
1,1587532,-0.1422,-0.1104,-1.0293,3.2656,-2.1719,-0.1094
1,1587537,-0.1384,-0.1118,-1.0277,2.8750,-1.8750,-0.0469
1,1587547,-0.1348,-0.1136,-1.0265,2.1250,-2.4062,3.9688
1,1587552,-0.1349,-0.1140,-1.0267,2.3594,-1.6094,0.1094
1,1587563,-0.1389,-0.1141,-1.0280,2.8125,-0.9844,0.2344
1,1587574,-0.1449,-0.1134,-1.0289,2.6406,0.7344,-0.3281
1,1587585,-0.1498,-0.1123,-1.0298,1.6250,0.9531,-0.1562
1,1587596,-0.1523,-0.1111,-1.0308,2.1875,1.4688,0.2188
1,1587608,-0.1532,-0.1104,-1.0317,1.6875,-0.3906,-0.8750
1,1587619,-0.1517,-0.1105,-1.0320,1.4375,-0.2188,-1.0938
1,1587630,-0.1478,-0.1117,-1.0304,1.9688,-2.4531,-0.2656
1,1587662,-0.1346,-0.1183,-1.0229,0.0938,-1.7656,-0.0625
1,1587673,-0.1376,-0.1185,-1.0243,0.4844,-1.8594,-0.4844
1,1587684,-0.1454,-0.1160,-1.0277,0.6406,0.0938,-0.0938
1,1587695,-0.1523,-0.1115,-1.0312,1.0312,0.3594,0.4219
1,1587718,-0.1578,-0.1039,-1.0374,2.5000,0.1406,-0.6250
1,1587729,-0.1534,-0.1027,-1.0406,2.6562,0.1250,0.4219
1,1587741,-0.1487,-0.1021,-1.0446,3.2656,0.5469,-0.2656
1,1587752,-0.1456,-0.1017,-1.0469,4.1875,-1.1094,-0.5000
1,1587784,-0.1442,-0.1028,-1.0432,4.9062,-2.0000,1.0625
1,1587795,-0.1434,-0.1053,-1.0400,4.5156,-2.3750,0.6406
1,1587806,-0.1423,-0.1079,-1.0367,4.6562,-1.9531,0.6562
1,1587817,-0.1420,-0.1099,-1.0337,4.8125,-2.2344,1.6094
1,1587828,-0.1427,-0.1112,-1.0305,5.3906,-1.7656,2.8125
1,1587840,-0.1443,-0.1122,-1.0273,4.8906,-1.7188,2.3281
1,1587851,-0.1462,-0.1134,-1.0260,5.0469,-2.2500,3.0000
1,1587904,-0.1525,-0.1204,-1.0326,4.0000,-2.2188,1.9688
1,1587915,-0.1534,-0.1204,-1.0292,4.4062,-0.9375,1.5156
1,1587926,-0.1558,-0.1183,-1.0254,4.0469,-0.3125,1.9844
1,1587938,-0.1595,-0.1155,-1.0239,3.7812,-0.5312,1.8125
1,1587949,-0.1628,-0.1135,-1.0240,2.9062,-0.5156,1.3125
1,1587960,-0.1638,-0.1135,-1.0244,3.6406,-2.1406,0.8438
1,1587971,-0.1620,-0.1160,-1.0243,2.7812,-1.8594,0.6719
1,1587994,-0.1569,-0.1246,-1.0244,2.0625,-1.8906,-1.0781
1,1588024,-0.1654,-0.1272,-1.0255,2.6250,0.2969,-1.3125
1,1588035,-0.1676,-0.1250,-1.0243,1.4531,0.3281,-1.6094
1,1588047,-0.1678,-0.1221,-1.0243,1.6875,-0.5781,-0.9062
1,1588058,-0.1666,-0.1198,-1.0251,2.0156,-0.2188,-0.0781
1,1588069,-0.1641,-0.1173,-1.0255,1.9062,-1.5469,-0.7500
1,1588080,-0.1602,-0.1157,-1.0249,2.5312,-2.3906,0.0469
1,1588092,-0.1554,-0.1147,-1.0243,2.8281,-3.5781,1.5156
1,1588103,-0.1519,-0.1145,-1.0254,2.8594,-2.7812,2.5312
1,1588114,-0.1506,-0.1158,-1.0273,2.4531,-2.2188,3.3594
