sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,1736052,-0.0836,-0.6398,-0.1327,54.6719,-49.8438,-163.8906,no_tremor
1,1736057,-0.0822,-0.6514,-0.1362,46.8594,-53.3438,-160.6875,no_tremor
2,1736061,-0.0786,-0.6592,-0.1389,38.4531,-58.4688,-157.3906,no_tremor
3,1736066,-0.0710,-0.6644,-0.1396,30.2500,-69.1719,-151.6875,no_tremor
4,1736071,-0.0580,-0.6683,-0.1382,17.9375,-77.1406,-147.1719,no_tremor
5,1736076,-0.0383,-0.6722,-0.1342,9.2500,-85.2969,-142.3594,no_tremor
6,1736085,0.0206,-0.6841,-0.1205,-5.7031,-101.0156,-132.3750,no_tremor
7,1736091,0.0787,-0.6985,-0.1082,-14.0625,-109.4062,-126.8594,no_tremor
8,1736095,0.1212,-0.7109,-0.1003,-21.0938,-117.3125,-121.3438,no_tremor
9,1736100,0.1644,-0.7256,-0.0938,-27.8750,-124.0312,-116.0156,no_tremor
10,1736128,0.3441,-0.8364,-0.0817,-71.0000,-142.5156,-69.2344,no_tremor
11,1736138,0.3481,-0.8715,-0.0812,-80.7344,-126.3438,-57.0312,no_tremor
12,1736143,0.3389,-0.8872,-0.0824,-84.7969,-113.2812,-52.0938,no_tremor
13,1736158,0.2725,-0.9337,-0.1201,-90.4844,-71.8125,-34.9062,no_tremor
14,1736163,0.2526,-0.9443,-0.1467,-90.0156,-53.7969,-25.4375,no_tremor
15,1736168,0.2358,-0.9531,-0.1820,-86.3750,-42.4375,-19.7500,no_tremor
16,1736177,0.2167,-0.9631,-0.3035,-82.7812,-24.1875,-9.5781,no_tremor
17,1736182,0.2150,-0.9628,-0.3606,-81.1250,-17.5469,-5.4219,no_tremor
18,1736187,0.2207,-0.9585,-0.4189,-79.6562,-13.2500,-0.7188,no_tremor
19,1736192,0.2280,-0.9515,-0.4757,-78.6562,-10.3906,4.5000,no_tremor
20,1736197,0.2360,-0.9419,-0.5278,-77.5625,-8.1094,9.5000,no_tremor
21,1736215,0.2421,-0.8892,-0.6499,-76.8750,-2.5938,29.0938,no_tremor
22,1736220,0.2332,-0.8751,-0.6537,-78.7188,-4.3125,33.1562,no_tremor
23,1736225,0.2207,-0.8616,-0.6471,-81.3281,-7.2969,36.9531,no_tremor
24,1736251,0.1398,-0.8003,-0.4779,-90.4062,-14.4375,64.5312,no_tremor
25,1736257,0.1357,-0.7922,-0.4491,-90.6094,-12.9844,74.7031,no_tremor
26,1736271,0.1401,-0.7637,-0.4059,-84.2500,0.0312,90.5156,no_tremor
27,1736276,0.1423,-0.7517,-0.4152,-81.1875,6.0625,93.7188,no_tremor
28,1736281,0.1412,-0.7308,-0.4335,-77.5625,11.9688,95.2812,no_tremor
29,1736291,0.1090,-0.6990,-0.4957,-70.8594,28.5156,95.5312,no_tremor
30,1736305,-0.0002,-0.6525,-0.6252,-66.4375,63.2031,97.2969,no_tremor
31,1736462,-0.3025,-0.4469,-0.9821,-65.0625,9.0156,159.4062,no_tremor
32,1736467,-0.1783,-0.4702,-0.9363,-65.1250,-5.5625,155.8125,no_tremor
33,1736472,-0.0887,-0.4718,-0.8938,-64.2188,-13.7344,152.2500,no_tremor
34,1736504,-0.2594,-0.2002,-0.9178,-28.3281,33.4219,130.4844,no_tremor
35,1736509,-0.3647,-0.1539,-0.9683,-24.0781,49.9688,129.1406,no_tremor
36,1736519,-0.5686,-0.0916,-1.0757,-15.0625,70.1406,127.9219,no_tremor
37,1736538,-0.7653,-0.1355,-1.2247,-11.0469,45.7500,123.5469,no_tremor
38,1736543,-0.7440,-0.1719,-1.2267,-12.3125,32.3750,122.4844,no_tremor
39,1736553,-0.6475,-0.2526,-1.1970,-14.4688,1.9375,118.9844,no_tremor
40,1736563,-0.5134,-0.3230,-1.1357,-11.9531,-32.3906,115.0469,no_tremor
41,1736568,-0.4469,-0.3477,-1.0696,-7.9844,-41.7188,111.4531,no_tremor
42,1736676,-0.4374,-0.3203,-0.8097,-2.8438,-30.2031,56.6406,no_tremor
43,1736681,-0.4271,-0.3301,-0.8026,-1.7344,-25.4375,55.7031,no_tremor
44,1736687,-0.4287,-0.3337,-0.7986,0.1875,-16.0625,53.0625,no_tremor
45,1736691,-0.4413,-0.3313,-0.7975,1.1719,-7.4219,52.7812,no_tremor
46,1736701,-0.5221,-0.3038,-0.8044,1.8438,8.8281,52.2031,no_tremor
47,1736706,-0.5388,-0.2870,-0.8094,1.5156,13.3906,50.8906,no_tremor
48,1736711,-0.5707,-0.2684,-0.8148,1.3438,15.6719,49.8125,no_tremor
49,1736716,-0.5994,-0.2495,-0.8201,0.2656,16.5000,48.7656,no_tremor
50,1736720,-0.6232,-0.2312,-0.8245,-2.1094,16.1562,47.4062,no_tremor
51,1736756,-0.6292,-0.1799,-0.7930,-19.0469,-10.1719,21.1562,no_tremor
52,1736761,-0.6233,-0.1888,-0.7876,-20.3594,-7.4688,18.1406,no_tremor
53,1736766,-0.6250,-0.1962,-0.7848,-21.2656,-4.3906,14.8281,no_tremor
