sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,2428059,-0.7010,-0.1113,-0.7483,3.7031,5.2031,1.0781,no_tremor
1,2428064,-0.7004,-0.1123,-0.7526,3.1719,4.9531,0.7812,no_tremor
2,2428069,-0.7008,-0.1128,-0.7565,2.9062,4.0312,0.3281,no_tremor
3,2428073,-0.7019,-0.1132,-0.7596,3.1250,2.2344,-0.0469,no_tremor
4,2428083,-0.7052,-0.1134,-0.7640,3.2500,2.1406,1.6562,no_tremor
5,2428111,-0.7114,-0.1155,-0.7590,2.3906,3.0000,-0.8750,no_tremor
6,2428160,-0.7216,-0.1139,-0.7727,4.2656,4.4531,-8.6406,no_tremor
7,2428165,-0.7209,-0.1122,-0.7754,3.6406,4.7188,-7.3906,no_tremor
8,2428170,-0.7195,-0.1097,-0.7775,5.6250,4.8750,-6.0469,no_tremor
9,2428174,-0.7172,-0.1064,-0.7787,7.8125,5.3750,-5.9062,no_tremor
10,2428179,-0.7139,-0.1028,-0.7788,8.2031,5.1875,-5.6562,no_tremor
11,2428189,-0.7051,-0.0940,-0.7736,6.8281,3.7188,-4.2969,no_tremor
12,2428194,-0.6975,-0.0920,-0.7693,5.8750,2.9688,-4.1094,no_tremor
13,2428199,-0.6930,-0.0916,-0.7642,5.3750,2.7344,-4.0469,no_tremor
14,2428204,-0.6893,-0.0927,-0.7585,5.1250,2.3438,-3.9531,no_tremor
15,2428234,-0.7008,-0.1154,-0.7406,7.3750,0.0781,-3.6875,no_tremor
16,2428239,-0.7073,-0.1165,-0.7429,7.8125,0.0312,-4.0781,no_tremor
17,2428244,-0.7142,-0.1162,-0.7463,8.1406,0.8438,-4.9219,no_tremor
18,2428248,-0.7213,-0.1146,-0.7504,9.0000,0.4219,-5.1250,no_tremor
19,2428253,-0.7284,-0.1123,-0.7545,9.8438,0.4062,-5.2969,no_tremor
20,2428268,-0.7491,-0.1017,-0.7642,10.3125,3.4219,-7.5312,no_tremor
21,2428273,-0.7532,-0.0995,-0.7640,10.5781,4.4375,-7.8125,no_tremor
22,2428277,-0.7561,-0.0981,-0.7626,11.1094,5.4375,-6.9844,no_tremor
23,2428282,-0.7579,-0.0978,-0.7594,11.1406,6.0156,-7.3906,no_tremor
24,2428287,-0.7588,-0.0989,-0.7551,10.6406,7.9844,-8.2344,no_tremor
25,2428292,-0.7587,-0.1012,-0.7496,11.0469,10.1719,-8.4688,no_tremor
