sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,451575,-0.1798,-0.0562,-1.0480,14.1875,25.2031,-5.3281,no_tremor
1,451580,-0.1725,-0.0548,-1.0446,14.0625,26.0000,-5.2188,no_tremor
2,451585,-0.1703,-0.0538,-1.0419,14.2031,26.2344,-5.3750,no_tremor
3,451624,-0.1926,-0.0664,-1.0309,11.6094,27.9062,-7.6719,no_tremor
4,451628,-0.1942,-0.0679,-1.0284,11.1875,27.4688,-7.8750,no_tremor
5,451702,-0.1577,-0.0662,-1.0541,11.6562,13.7344,-22.4844,no_tremor
6,451707,-0.1628,-0.0659,-1.0626,11.5938,13.8750,-26.1406,no_tremor
7,451711,-0.1687,-0.0651,-1.0715,11.6719,13.7500,-28.9531,no_tremor
8,451721,-0.1819,-0.0605,-1.0891,12.2500,8.7969,-34.3438,no_tremor
9,451726,-0.1886,-0.0564,-1.0977,12.7500,4.7969,-36.8594,no_tremor
10,451730,-0.1948,-0.0511,-1.1058,12.7812,-3.5469,-41.0781,no_tremor
11,451735,-0.2002,-0.0447,-1.1134,11.8281,-6.5938,-43.7656,no_tremor
12,451740,-0.2045,-0.0375,-1.1202,10.3125,-11.7969,-46.5000,no_tremor
13,451745,-0.2075,-0.0297,-1.1259,9.5938,-15.7344,-49.1406,no_tremor
14,451749,-0.2090,-0.0219,-1.1301,8.8750,-19.2188,-51.4844,no_tremor
15,451754,-0.2091,-0.0143,-1.1337,8.6875,-23.4688,-53.2188,no_tremor
16,451764,-0.2046,0.0007,-1.1328,10.0156,-31.4219,-57.7500,no_tremor
17,451779,-0.1957,0.0067,-1.1213,20.1719,-28.2500,-58.0000,no_tremor
18,451788,-0.1931,0.0022,-1.1091,34.3906,-15.1719,-50.9688,no_tremor
19,451793,-0.1954,-0.0031,-1.0989,32.6094,-7.5312,-51.0469,no_tremor
20,451820,-0.2634,-0.0731,-1.0562,35.5156,32.9844,-51.9688,no_tremor
21,451825,-0.2715,-0.0861,-1.0480,35.9688,32.0312,-49.7812,no_tremor
22,451834,-0.2684,-0.1089,-1.0333,35.0781,25.1094,-46.0000,no_tremor
23,451839,-0.2552,-0.1187,-1.0275,34.8281,19.4375,-43.3906,no_tremor
24,451853,-0.1385,-0.1467,-1.0221,32.0938,-14.5938,-35.2969,no_tremor
25,451858,-0.1079,-0.1534,-1.0259,31.0781,-31.3438,-31.7812,no_tremor
26,451991,-0.0378,-0.3759,-0.9227,-82.0000,-512.0000,35.6719,no_tremor
27,452001,-0.0273,-0.4067,-0.7625,-84.5781,-512.0000,20.8281,no_tremor
28,452005,-0.0212,-0.4054,-0.6420,-85.6250,-512.0000,7.2656,no_tremor
29,452010,-0.0332,-0.3898,-0.4989,-88.8281,-512.0000,-9.4531,no_tremor
30,452015,-0.0703,-0.3602,-0.3395,-95.8438,-512.0000,-31.6250,no_tremor
31,452020,-0.1385,-0.3188,-0.1703,-92.8281,-512.0000,-44.2812,no_tremor
32,452025,-0.2411,-0.2690,0.0011,-89.2031,-512.0000,-55.8906,no_tremor
33,452030,-0.3783,-0.2152,0.2476,-81.5938,-512.0000,-64.6719,no_tremor
34,452035,-0.6417,-0.1356,0.3955,-69.3906,-474.0625,-70.3906,no_tremor
35,452039,-0.8457,-0.0884,0.5242,-52.3125,-370.3438,-73.0469,no_tremor
36,452078,-1.8395,0.0049,0.6433,8.8594,-38.3594,-21.7656,no_tremor
37,452082,-1.7490,-0.0116,0.5719,-1.8750,-59.6719,-18.6406,no_tremor
38,452087,-1.6128,-0.0311,0.4591,-10.9375,-78.2344,-16.9375,no_tremor
39,452097,-1.1581,-0.0869,0.3218,-20.9062,-98.4531,-12.1875,no_tremor
40,452102,-0.9702,-0.1086,0.2672,-23.1406,-97.9844,-11.8594,no_tremor
41,452107,-0.8003,-0.1284,0.2257,-22.8750,-91.0469,-12.6406,no_tremor
42,452155,-0.7408,-0.1853,0.3636,18.5625,-18.5781,9.3594,no_tremor
43,452160,-0.7877,-0.1837,0.3666,19.4688,-16.7500,9.2812,no_tremor
44,452165,-0.8246,-0.1820,0.3613,20.1719,-14.8750,9.2500,no_tremor
45,452191,-0.8923,-0.1815,0.2729,16.5156,-2.2031,11.1094,no_tremor
46,452196,-0.8970,-0.1844,0.2667,15.2656,-0.0156,11.7812,no_tremor
47,452205,-0.9171,-0.1917,0.2690,10.5000,6.6406,13.9062,no_tremor
48,452210,-0.9344,-0.1956,0.2766,8.0312,12.5156,11.9844,no_tremor
49,452215,-0.9569,-0.1997,0.2874,6.6406,22.9219,11.0938,no_tremor
50,452225,-1.0150,-0.2081,0.3138,3.9375,36.8750,9.7188,no_tremor
51,452229,-1.0480,-0.2120,0.3271,4.6875,45.1250,7.7812,no_tremor
52,452234,-1.0811,-0.2156,0.3439,5.0625,54.2812,5.6875,no_tremor
53,452239,-1.1434,-0.2188,0.3521,4.3906,63.9531,3.9531,no_tremor
54,452244,-1.1511,-0.2191,0.3573,4.1406,74.7812,1.7656,no_tremor
55,452254,-1.1831,-0.2145,0.3608,6.4531,102.3125,-4.2188,no_tremor
56,452258,-1.1904,-0.2094,0.3600,8.2812,131.3125,-9.7969,no_tremor
57,452263,-1.1926,-0.2025,0.3584,10.9531,148.9219,-12.5000,no_tremor
58,452268,-1.1913,-0.1945,0.3564,14.3438,172.2344,-14.8125,no_tremor
59,452273,-1.1876,-0.1855,0.3544,17.1875,198.6875,-17.8281,no_tremor
60,452278,-1.1814,-0.1716,0.3517,18.9688,227.6562,-21.8281,no_tremor
61,452315,-1.2404,-0.1444,0.3745,30.7656,511.9844,-35.9219,no_tremor
62,452319,-1.2615,-0.1494,0.3805,32.9844,511.9844,-31.1406,no_tremor
63,452324,-1.2700,-0.1552,0.3844,34.9844,511.9844,-23.5625,no_tremor
64,452329,-1.2714,-0.1609,0.3849,38.4531,511.9844,-14.0469,no_tremor
65,452334,-1.2634,-0.1658,0.3809,44.5938,511.9844,-4.0000,no_tremor
66,452519,-0.5363,-0.0588,-1.1932,-15.6250,61.2969,-15.8594,no_tremor
67,452524,-0.4753,-0.0665,-1.1974,-16.6719,42.5469,-17.7656,no_tremor
68,452529,-0.3898,-0.0830,-1.1975,-18.4062,25.0625,-19.0469,no_tremor
69,452534,-0.2889,-0.1058,-1.1934,-20.3594,8.7188,-16.0938,no_tremor
70,452559,0.1595,-0.2203,-1.1039,-21.7812,-21.0312,0.0156,no_tremor
71,452564,0.1785,-0.2246,-1.0804,-22.4531,-15.9219,-0.1719,no_tremor
72,452569,0.1757,-0.2231,-1.0571,-21.9844,-12.7188,-0.3125,no_tremor
73,452574,0.1541,-0.2169,-1.0255,-21.4688,-10.1875,-0.0312,no_tremor
74,452579,0.1179,-0.2012,-1.0078,-21.4375,-6.8906,-0.0938,no_tremor
75,452584,0.0469,-0.1884,-0.9937,-20.9219,-3.6562,0.1875,no_tremor
76,452599,-0.0979,-0.1505,-0.9736,-17.8906,2.6562,-0.1719,no_tremor
77,452608,-0.1606,-0.1322,-0.9761,-18.0938,1.5938,0.2188,no_tremor
78,452613,-0.1772,-0.1259,-0.9802,-17.3906,1.4531,2.0625,no_tremor
79,452618,-0.1840,-0.1211,-0.9879,-16.5625,0.1406,3.7188,no_tremor
80,452622,-0.1781,-0.1166,-0.9930,-15.8906,-1.8594,5.0312,no_tremor
81,452627,-0.1660,-0.1150,-0.9978,-15.5156,-3.8594,5.1094,no_tremor
82,452637,-0.1318,-0.1141,-1.0059,-17.8281,-7.7344,2.8750,no_tremor
83,452642,-0.1139,-0.1149,-1.0094,-18.6250,-10.4219,2.5312,no_tremor
84,452647,-0.0977,-0.1161,-1.0132,-18.7188,-11.2969,3.7344,no_tremor
85,452651,-0.0845,-0.1179,-1.0173,-17.9375,-11.3750,5.3750,no_tremor
86,452656,-0.0750,-0.1199,-1.0221,-16.7188,-11.8906,6.1094,no_tremor
87,452682,-0.0844,-0.1339,-1.0553,-17.5000,-5.8281,7.5312,no_tremor
88,452687,-0.0925,-0.1372,-1.0629,-16.1719,-4.2969,8.2812,no_tremor
89,452692,-0.1053,-0.1425,-1.0669,-15.8906,-2.7188,8.4062,no_tremor
90,452701,-0.1206,-0.1489,-1.0714,-15.6250,0.5781,8.5938,no_tremor
91,452706,-0.1268,-0.1515,-1.0718,-15.5938,2.0625,8.3281,no_tremor
92,452716,-0.1357,-0.1543,-1.0692,-15.5156,2.4531,6.4062,no_tremor
93,452721,-0.1383,-0.1542,-1.0648,-16.1719,1.2656,5.9844,no_tremor
94,452726,-0.1398,-0.1519,-1.0610,-16.5312,-0.2031,5.8594,no_tremor
95,452736,-0.1379,-0.1442,-1.0525,-15.2969,-3.5156,6.7656,no_tremor
96,452741,-0.1357,-0.1387,-1.0481,-15.4375,-6.5312,5.8125,no_tremor
97,452755,-0.1293,-0.1183,-1.0360,-14.6719,-10.2969,5.8281,no_tremor
98,452765,-0.1299,-0.1013,-1.0321,-14.8594,-10.6406,4.4062,no_tremor
99,452770,-0.1324,-0.0957,-1.0310,-14.7031,-11.3438,4.7812,no_tremor
100,452775,-0.1361,-0.0911,-1.0304,-15.1875,-12.7656,5.2812,no_tremor
