sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,250771,-0.2338,-0.1683,-1.0248,-7.1875,5.0938,7.7500,no_tremor
1,250776,-0.2188,-0.1716,-1.0231,-7.5312,2.2969,9.1250,no_tremor
2,250786,-0.1906,-0.1809,-1.0226,-7.9219,-3.7500,9.8594,no_tremor
3,250791,-0.1769,-0.1865,-1.0242,-7.4844,-5.0625,9.7188,no_tremor
4,250796,-0.1654,-0.1924,-1.0267,-6.7500,-6.0625,9.4219,no_tremor
5,250801,-0.1573,-0.1981,-1.0302,-6.5000,-6.0469,9.8594,no_tremor
6,250806,-0.1534,-0.2035,-1.0360,-5.6250,-5.4219,10.1875,no_tremor
7,250870,-0.1914,-0.2141,-1.0262,7.6094,18.1875,35.7031,no_tremor
8,250875,-0.1727,-0.2130,-1.0305,10.1562,19.8906,41.3906,no_tremor
9,250880,-0.1371,-0.2111,-1.0371,13.7188,23.2344,48.3594,no_tremor
10,250885,-0.1089,-0.2083,-1.0457,18.2812,27.2812,56.0312,no_tremor
11,250890,-0.0774,-0.2043,-1.0564,22.7969,30.8281,64.6094,no_tremor
12,250924,0.1700,-0.1481,-1.1658,50.4375,31.3594,133.5938,no_tremor
13,250928,0.1945,-0.1393,-1.1770,53.4688,27.2188,143.2500,no_tremor
14,250933,0.2167,-0.1311,-1.1868,56.7656,21.4219,153.3750,no_tremor
15,250948,0.2719,-0.1112,-1.2117,69.7031,2.1406,183.0469,no_tremor
16,250952,0.2856,-0.1064,-1.2206,73.4531,-2.2344,191.4531,no_tremor
17,250978,0.2758,-0.0626,-1.2570,88.4219,-21.0312,229.3125,no_tremor
18,250983,0.2421,-0.0931,-1.2478,88.5625,-24.1719,233.8906,no_tremor
19,250988,0.2129,-0.0927,-1.2314,88.6875,-26.5312,236.9531,no_tremor
20,250993,0.1790,-0.0917,-1.2084,89.0781,-27.0156,238.8281,no_tremor
21,250998,0.1412,-0.0900,-1.1799,90.3125,-25.5625,239.8438,no_tremor
22,251003,0.1008,-0.0869,-1.1478,92.5312,-24.9219,241.6406,no_tremor
23,251008,0.0587,-0.0825,-1.1143,94.7500,-23.7500,243.9844,no_tremor
24,251017,-0.0270,-0.0647,-1.0375,97.3281,-22.6406,248.7969,no_tremor
25,251027,-0.1278,-0.0465,-0.9921,96.0312,-23.9688,254.8281,no_tremor
26,251032,-0.1636,-0.0382,-0.9740,94.3281,-27.7969,256.3125,no_tremor
27,251071,-0.2775,-0.0314,-0.8369,75.2656,-68.2188,239.4531,no_tremor
28,251076,-0.2883,-0.0251,-0.8312,74.6406,-67.3281,230.5938,no_tremor
29,251114,-0.6810,0.1128,-0.9076,63.0000,-78.8125,147.2656,no_tremor
30,251118,-0.7762,0.1270,-0.9083,58.0156,-79.8594,133.9531,no_tremor
31,251128,-0.8805,0.1299,-0.8862,47.8906,-76.3438,108.5312,no_tremor
32,251138,-0.9464,0.1162,-0.8289,38.6406,-71.5938,80.1094,no_tremor
33,251143,-0.9609,0.1046,-0.7891,34.2812,-72.9062,76.4844,no_tremor
34,251152,-0.9541,0.0748,-0.6982,21.6562,-69.9531,63.4844,no_tremor
35,251157,-0.9370,0.0580,-0.6321,17.6719,-66.5000,57.0469,no_tremor
36,251162,-0.9156,0.0409,-0.5941,14.3125,-61.9219,49.0312,no_tremor
37,251171,-0.8711,-0.0001,-0.5408,9.9062,-47.4375,34.7031,no_tremor
38,251176,-0.8667,-0.0155,-0.5273,9.1562,-39.4844,29.3281,no_tremor
39,251181,-0.8730,-0.0309,-0.5223,8.7656,-31.8906,23.8750,no_tremor
40,251186,-0.8901,-0.0474,-0.5250,8.7812,-23.4375,21.7344,no_tremor
41,251196,-0.9481,-0.0863,-0.5485,5.7344,-16.5625,19.2188,no_tremor
42,251201,-0.9821,-0.1093,-0.5754,5.3906,-16.4688,17.7031,no_tremor
43,251226,-1.0564,-0.2395,-0.6674,5.1562,-9.5938,4.1250,no_tremor
44,251231,-1.0267,-0.2482,-0.6780,4.3125,-3.9688,1.1719,no_tremor
45,251236,-0.9982,-0.2516,-0.6876,3.7500,1.4688,-1.6250,no_tremor
46,251241,-0.9651,-0.2504,-0.6967,3.6094,6.6250,-5.5156,no_tremor
47,251246,-0.9293,-0.2454,-0.7061,3.3594,13.7344,-7.1406,no_tremor
48,251251,-0.8929,-0.2373,-0.7161,4.5938,17.5312,-9.3750,no_tremor
49,251256,-0.8572,-0.2273,-0.7272,5.4531,20.0781,-11.6094,no_tremor
