sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,2049486,-0.5171,-0.0118,-0.9323,-1.2969,-1.1875,-1.8125,no_tremor
1,2049491,-0.5175,-0.0121,-0.9330,-1.1094,-1.6562,-1.9844,no_tremor
2,2049495,-0.5168,-0.0126,-0.9332,-2.1875,-2.7344,-2.5469,no_tremor
3,2049500,-0.5155,-0.0131,-0.9329,-2.5156,-3.6094,-2.6250,no_tremor
4,2049505,-0.5134,-0.0137,-0.9320,-2.0781,-4.3125,-2.9219,no_tremor
5,2049530,-0.5043,-0.0118,-0.9272,-1.1250,-1.5938,-5.6250,no_tremor
6,2049535,-0.5067,-0.0090,-0.9282,-0.3906,0.7812,-6.5625,no_tremor
7,2049540,-0.5150,-0.0065,-0.9301,0.1562,3.4219,-7.9062,no_tremor
8,2049545,-0.5239,-0.0033,-0.9329,1.4844,6.0781,-9.8281,no_tremor
9,2049550,-0.5355,0.0005,-0.9371,3.0000,9.9375,-11.7500,no_tremor
10,2049554,-0.5496,0.0050,-0.9431,3.7188,15.3281,-14.6406,no_tremor
11,2049559,-0.5657,0.0103,-0.9508,4.9062,20.5312,-18.5938,no_tremor
12,2049564,-0.5830,0.0162,-0.9608,8.5156,26.7812,-20.6875,no_tremor
13,2049569,-0.6008,0.0231,-0.9733,10.7656,31.2344,-22.7344,no_tremor
14,2049574,-0.6179,0.0309,-0.9884,13.5938,35.1875,-24.9062,no_tremor
15,2049579,-0.6337,0.0397,-1.0168,17.4219,37.6875,-28.4062,no_tremor
16,2049584,-0.6537,0.0553,-1.0393,21.7656,41.2031,-32.0312,no_tremor
17,2049589,-0.6642,0.0671,-1.0634,25.9375,48.0312,-35.6406,no_tremor
18,2049599,-0.6780,0.0924,-1.1113,33.0781,68.2500,-44.2031,no_tremor
19,2049603,-0.6812,0.1040,-1.1327,40.1406,72.7188,-44.9375,no_tremor
20,2049608,-0.6814,0.1136,-1.1519,55.8125,79.6250,-43.7812,no_tremor
21,2049613,-0.6783,0.1212,-1.1779,76.3906,82.0312,-41.1875,no_tremor
22,2049618,-0.6680,0.1190,-1.1954,81.4219,73.1562,-38.4688,no_tremor
23,2049623,-0.6573,0.1088,-1.2144,72.3750,59.9375,-36.0156,no_tremor
24,2049628,-0.6440,0.0901,-1.2360,68.6406,50.2500,-34.3438,no_tremor
25,2049655,-0.5348,-0.0618,-1.4095,112.6094,0.4688,-48.9688,no_tremor
26,2049660,-0.5148,-0.0730,-1.4329,116.0469,-7.7031,-49.2500,no_tremor
27,2049665,-0.4949,-0.0786,-1.4487,118.9688,-15.3750,-50.1562,no_tremor
28,2049689,-0.4254,-0.0609,-1.3418,125.6250,-26.9531,-53.9062,no_tremor
29,2049694,-0.4224,-0.0574,-1.2881,126.7188,-27.8281,-56.2344,no_tremor
30,2049699,-0.4266,-0.0552,-1.2290,129.0000,-27.1094,-58.7500,no_tremor
31,2049704,-0.4365,-0.0541,-1.1686,131.7031,-26.4531,-62.7656,no_tremor
32,2049709,-0.4525,-0.0541,-1.1107,133.5469,-20.7812,-68.9219,no_tremor
33,2049714,-0.4745,-0.0548,-1.0590,135.9062,-18.0312,-72.1719,no_tremor
34,2049719,-0.5016,-0.0565,-1.0166,137.6719,-11.9688,-74.7344,no_tremor
35,2049723,-0.5327,-0.0594,-0.9742,139.2969,-5.2344,-76.5469,no_tremor
36,2049728,-0.5822,-0.0673,-0.9609,140.8906,0.2500,-78.5156,no_tremor
37,2049733,-0.6138,-0.0756,-0.9590,143.3594,3.8125,-80.7969,no_tremor
38,2049738,-0.6418,-0.0870,-0.9668,147.3125,6.2500,-82.2344,no_tremor
39,2049743,-0.6646,-0.1022,-0.9821,153.1875,9.2031,-81.1250,no_tremor
40,2049747,-0.6810,-0.1213,-1.0023,160.3125,15.4375,-77.1562,no_tremor
41,2049752,-0.6909,-0.1450,-1.0251,165.3906,29.3125,-73.7500,no_tremor
42,2049780,-0.6373,-0.3370,-1.1072,172.2031,39.4062,-84.0312,no_tremor
43,2049785,-0.6116,-0.3583,-1.0992,174.2969,30.0469,-85.6719,no_tremor
44,2049789,-0.5814,-0.3711,-1.0834,177.5312,23.5312,-85.2344,no_tremor
45,2049795,-0.5474,-0.3749,-1.0450,178.8750,16.7812,-84.8438,no_tremor
46,2049800,-0.4916,-0.3661,-1.0107,179.3594,9.4219,-84.3125,no_tremor
47,2049805,-0.4531,-0.3538,-0.9707,178.1562,2.6406,-83.5000,no_tremor
48,2049810,-0.4155,-0.3391,-0.9261,175.2812,-7.7031,-83.4375,no_tremor
49,2049815,-0.3802,-0.3250,-0.8787,171.3594,-12.4062,-84.3594,no_tremor
50,2049820,-0.3489,-0.3135,-0.8297,169.0469,-18.5938,-85.1250,no_tremor
51,2049824,-0.3224,-0.3060,-0.7805,166.1719,-24.2969,-85.5000,no_tremor
52,2049829,-0.2935,-0.3041,-0.7091,163.9688,-27.8594,-85.7969,no_tremor
53,2049834,-0.2815,-0.3090,-0.6647,162.0938,-30.8281,-87.0625,no_tremor
54,2049839,-0.2754,-0.3182,-0.6243,159.6250,-33.8438,-88.8594,no_tremor
