sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,2602707,-0.1085,-0.7975,-0.5612,-1.7969,3.3438,-1.3125,no_tremor
1,2602712,-0.1107,-0.7968,-0.5581,-2.2344,2.6719,-0.6094,no_tremor
2,2602717,-0.1106,-0.7970,-0.5552,-2.4844,1.3750,-0.2812,no_tremor
3,2602721,-0.1062,-0.7980,-0.5519,-3.1250,-0.1875,0.0156,no_tremor
4,2602726,-0.1008,-0.7996,-0.5482,-4.2031,-1.4844,0.5156,no_tremor
5,2602731,-0.0939,-0.8018,-0.5447,-5.0000,-2.7188,1.6094,no_tremor
6,2602736,-0.0861,-0.8042,-0.5411,-5.3906,-3.7500,2.3906,no_tremor
7,2602741,-0.0778,-0.8069,-0.5378,-6.1719,-4.7344,3.6875,no_tremor
8,2602746,-0.0695,-0.8096,-0.5347,-7.8438,-6.4531,4.7188,no_tremor
9,2602751,-0.0615,-0.8120,-0.5005,-8.9531,-7.6875,5.1719,no_tremor
10,2602755,-0.0542,-0.8142,-0.5273,-9.3594,-8.0156,6.0469,no_tremor
11,2602760,-0.0477,-0.8165,-0.5244,-10.0469,-7.8125,6.8125,no_tremor
12,2602765,-0.0422,-0.8174,-0.5219,-11.1562,-8.5938,7.3594,no_tremor
13,2602770,-0.0363,-0.8176,-0.5199,-11.6562,-8.8125,8.2188,no_tremor
14,2602795,-0.0428,-0.8085,-0.5275,-15.0469,1.1250,11.4531,no_tremor
15,2602800,-0.0486,-0.8063,-0.5317,-15.6250,2.6406,12.5000,no_tremor
16,2602805,-0.0548,-0.8043,-0.5361,-16.1406,3.7656,13.7188,no_tremor
17,2602810,-0.0613,-0.8025,-0.5403,-16.5781,3.9062,15.4375,no_tremor
18,2602814,-0.0673,-0.8004,-0.5439,-16.9062,4.0156,16.0000,no_tremor
19,2602819,-0.0724,-0.7980,-0.5468,-17.4844,3.1406,16.7344,no_tremor
20,2602824,-0.0759,-0.7952,-0.5483,-17.5938,1.7812,17.6250,no_tremor
21,2602829,-0.0780,-0.7926,-0.5491,-18.4375,1.4219,18.3438,no_tremor
22,2602833,-0.0781,-0.7908,-0.5485,-19.4531,1.2344,20.0000,no_tremor
23,2602853,-0.0618,-0.8008,-0.5385,-25.7656,-3.3438,27.9531,no_tremor
24,2602858,-0.0559,-0.8049,-0.5332,-27.4844,-4.5312,29.7969,no_tremor
25,2602863,-0.0498,-0.8080,-0.5266,-28.1719,-5.8125,31.2500,no_tremor
26,2602868,-0.0432,-0.8096,-0.5189,-29.5625,-7.0938,33.4062,no_tremor
27,2602878,-0.0259,-0.8043,-0.4952,-34.2031,-11.9531,38.7031,no_tremor
28,2602882,-0.0186,-0.7992,-0.4846,-36.8906,-14.3125,39.8750,no_tremor
29,2602892,-0.0044,-0.7880,-0.4624,-43.4375,-17.1719,46.1719,no_tremor
30,2602924,0.0238,-0.7777,-0.3870,-68.4219,-22.4688,63.5781,no_tremor
31,2602929,0.0243,-0.7742,-0.3757,-72.9375,-22.0000,71.0938,no_tremor
32,2602934,0.0243,-0.7687,-0.3649,-79.2656,-20.1406,70.5625,no_tremor
33,2602939,0.0238,-0.7612,-0.3545,-83.2656,-17.9531,73.0469,no_tremor
