sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,3250908,-0.5242,-0.0302,-0.9043,3.9844,0.8906,-4.7969,no_tremor
1,3250913,-0.5231,-0.0297,-0.9054,3.7344,0.9375,-5.5781,no_tremor
2,3250918,-0.5236,-0.0294,-0.9064,4.0000,0.8594,-6.3906,no_tremor
3,3250923,-0.5259,-0.0294,-0.9073,4.3750,0.5312,-6.9375,no_tremor
4,3250927,-0.5300,-0.0297,-0.9087,4.6562,0.3125,-7.0312,no_tremor
5,3250933,-0.5393,-0.0299,-0.9095,4.5625,-0.6406,-7.9375,no_tremor
6,3250937,-0.5470,-0.0302,-0.9103,3.8125,-2.7031,-10.1875,no_tremor
7,3250942,-0.5557,-0.0303,-0.9108,3.2656,-4.9688,-12.5156,no_tremor
8,3250947,-0.5649,-0.0304,-0.9110,3.0938,-7.4375,-14.1406,no_tremor
9,3250952,-0.5745,-0.0306,-0.9106,2.8281,-11.2500,-16.6250,no_tremor
10,3250957,-0.5839,-0.0310,-0.9093,2.0000,-13.8438,-18.5000,no_tremor
11,3250961,-0.5930,-0.0317,-0.9067,0.5312,-16.9531,-20.5781,no_tremor
12,3250966,-0.6019,-0.0330,-0.8999,-1.4219,-19.3594,-23.3750,no_tremor
13,3250971,-0.6105,-0.0360,-0.8932,-2.7812,-20.6094,-26.5625,no_tremor
14,3250976,-0.6233,-0.0385,-0.8849,-3.5000,-21.7344,-29.6562,no_tremor
15,3250981,-0.6323,-0.0411,-0.8756,-4.4688,-22.2344,-32.9531,no_tremor
16,3250991,-0.6543,-0.0446,-0.8564,-5.0781,-21.0469,-44.9688,no_tremor
17,3250996,-0.6687,-0.0441,-0.8478,-6.9688,-17.2969,-50.5156,no_tremor
18,3251022,-0.8245,0.0051,-0.8151,-15.7344,2.1719,-90.3750,no_tremor
19,3251027,-0.8608,0.0178,-0.8096,-20.2500,1.4844,-100.1719,no_tremor
20,3251037,-0.9349,0.0391,-0.7920,-32.6406,-7.3594,-122.4375,no_tremor
21,3251042,-0.9697,0.0457,-0.7786,-37.6719,-15.1562,-131.8594,no_tremor
22,3251047,-1.0005,0.0487,-0.7620,-42.8438,-26.0000,-141.5312,no_tremor
23,3251051,-1.0259,0.0466,-0.7317,-47.9531,-38.5938,-150.4844,no_tremor
24,3251056,-1.0513,0.0414,-0.7090,-52.4219,-50.7188,-158.3906,no_tremor
25,3251061,-1.0590,0.0338,-0.6855,-56.7344,-62.0469,-164.9375,no_tremor
26,3251066,-1.0596,0.0253,-0.6624,-61.2812,-73.0312,-172.1875,no_tremor
27,3251071,-1.0540,0.0168,-0.6406,-65.5625,-82.7344,-180.0781,no_tremor
28,3251075,-1.0441,0.0098,-0.6212,-69.6875,-88.6406,-186.0781,no_tremor
29,3251080,-1.0319,0.0051,-0.6049,-74.2344,-89.7344,-194.0625,no_tremor
30,3251085,-1.0192,0.0034,-0.5919,-78.6250,-84.6406,-199.3594,no_tremor
31,3251090,-1.0078,0.0049,-0.5823,-83.5312,-76.7656,-202.4688,no_tremor
32,3251095,-0.9989,0.0092,-0.5758,-87.7344,-65.7812,-204.1250,no_tremor
33,3251100,-0.9929,0.0154,-0.5710,-91.3125,-53.1562,-206.4219,no_tremor
34,3251104,-0.9896,0.0260,-0.5708,-93.8906,-40.5781,-209.4844,no_tremor
35,3251109,-0.9883,0.0321,-0.5724,-96.8125,-27.6250,-212.0000,no_tremor
36,3251114,-0.9877,0.0361,-0.5757,-99.5156,-13.5781,-213.3281,no_tremor
37,3251119,-0.9851,0.0375,-0.5806,-101.3750,-0.3594,-213.1562,no_tremor
38,3251147,-0.8477,-0.0079,-0.6582,-106.8594,46.8125,-203.0469,no_tremor
39,3251152,-0.7998,-0.0177,-0.6797,-108.1250,52.0625,-201.2500,no_tremor
40,3251157,-0.7463,-0.0259,-0.7026,-106.7969,52.4844,-199.4375,no_tremor
41,3251162,-0.6890,-0.0317,-0.7386,-105.4688,52.4219,-196.7500,no_tremor
42,3251166,-0.5983,-0.0345,-0.7637,-104.4062,52.1250,-194.0625,no_tremor
43,3251171,-0.5416,-0.0319,-0.7892,-103.5000,51.2344,-192.7656,no_tremor
44,3251176,-0.4873,-0.0254,-0.8154,-102.7969,49.2812,-191.6094,no_tremor
45,3251181,-0.4384,-0.0154,-0.8422,-102.7812,47.3594,-189.7656,no_tremor
46,3251185,-0.3956,-0.0026,-0.8688,-102.7656,47.6562,-187.2031,no_tremor
47,3251190,-0.3591,0.0125,-0.8949,-101.6406,48.5312,-183.0312,no_tremor
48,3251195,-0.3279,0.0287,-0.9198,-99.8125,47.4062,-175.1094,no_tremor
49,3251200,-0.3007,0.0450,-0.9434,-97.9375,44.1875,-169.8750,no_tremor
50,3251205,-0.2760,0.0608,-0.9652,-95.1562,42.1875,-164.5781,no_tremor
51,3251210,-0.2522,0.0750,-0.9847,-93.7344,39.5156,-159.9375,no_tremor
52,3251214,-0.2275,0.0867,-1.0090,-92.0781,36.7344,-155.6719,no_tremor
53,3251219,-0.1696,0.0979,-1.0215,-89.2188,33.2031,-151.0625,no_tremor
54,3251224,-0.1559,0.1007,-1.0310,-85.4688,27.3125,-145.7188,no_tremor
55,3251229,-0.1232,0.0996,-1.0382,-81.7344,22.2500,-139.2500,no_tremor
56,3251234,-0.0895,0.0948,-1.0443,-78.5000,21.6562,-128.0312,no_tremor
57,3251239,-0.0564,0.0869,-1.0507,-75.1719,22.8594,-123.4219,no_tremor
58,3251244,-0.0255,0.0765,-1.0585,-73.6719,24.2188,-118.9531,no_tremor
59,3251271,0.0571,0.0146,-1.1503,-57.5938,53.6094,-88.0156,no_tremor
60,3251408,-0.3386,-0.0707,-1.0350,7.2812,4.0625,26.2031,no_tremor
