sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,1480517,-0.9261,0.0049,0.3125,1.3750,1.4062,-1.6875,no_tremor
1,1480522,-0.9257,0.0043,0.3127,1.5625,0.9844,-1.5469,no_tremor
2,1480527,-0.9248,0.0035,0.3132,1.8906,0.3125,-1.4688,no_tremor
3,1480532,-0.9235,0.0024,0.3140,1.8594,-0.4062,-1.3594,no_tremor
4,1480537,-0.9219,0.0013,0.3147,1.8281,-0.2969,-1.4062,no_tremor
5,1480541,-0.9200,0.0001,0.3157,2.6562,-0.4688,-1.2812,no_tremor
6,1480546,-0.9181,-0.0011,0.3167,2.4062,-0.6875,-1.1250,no_tremor
7,1480551,-0.9164,-0.0022,0.3177,2.0625,-0.5938,-1.0469,no_tremor
8,1480577,-0.9117,-0.0035,0.3234,1.3594,0.0156,-1.6719,no_tremor
9,1480582,-0.9120,-0.0032,0.3239,0.6719,0.8125,-1.3906,no_tremor
10,1480587,-0.9124,-0.0027,0.3243,0.5469,1.3281,-1.0156,no_tremor
11,1480591,-0.9128,-0.0024,0.3246,0.8438,1.2500,-0.7188,no_tremor
12,1480596,-0.9135,-0.0022,0.3248,1.3438,1.4375,-0.1406,no_tremor
13,1480601,-0.9141,-0.0022,0.3250,1.6406,2.1719,-0.1250,no_tremor
14,1480606,-0.9144,-0.0023,0.3250,1.5000,2.1719,-0.6875,no_tremor
15,1480610,-0.9144,-0.0026,0.3250,1.1875,2.2344,-1.2812,no_tremor
16,1480615,-0.9141,-0.0028,0.3250,1.5469,1.6250,-0.3438,no_tremor
17,1480620,-0.9131,-0.0032,0.3250,1.0938,0.2500,0.9219,no_tremor
18,1480625,-0.9119,-0.0034,0.3247,0.6719,-0.1562,0.2344,no_tremor
19,1480630,-0.9104,-0.0035,0.3243,1.1562,0.1094,-0.5156,no_tremor
20,1480634,-0.9082,-0.0033,0.3237,1.4844,0.6406,-0.0312,no_tremor
21,1480639,-0.9073,-0.0029,0.3228,2.2344,1.4844,0.9219,no_tremor
22,1480644,-0.9070,-0.0023,0.3213,3.0625,2.3438,0.8594,no_tremor
23,1480649,-0.9075,-0.0017,0.3195,3.1250,3.1875,0.0469,no_tremor
24,1480658,-0.9104,-0.0007,0.3142,3.2812,2.2969,-0.2031,no_tremor
25,1480663,-0.9131,-0.0001,0.3105,4.1562,0.4219,-2.1719,no_tremor
26,1480673,-0.9220,0.0013,0.2980,5.5156,0.2969,-4.5000,no_tremor
27,1480699,-0.9899,0.0125,0.2473,15.9844,-3.0000,-18.0625,no_tremor
28,1480703,-1.0060,0.0159,0.2344,18.3438,-3.7656,-21.4375,no_tremor
29,1480708,-1.0221,0.0198,0.2205,20.4531,-5.0469,-24.4219,no_tremor
30,1480713,-1.0376,0.0242,0.2059,23.0469,-7.9688,-27.3594,no_tremor
31,1480718,-1.0522,0.0292,0.1910,25.9062,-13.8438,-34.8125,no_tremor
32,1480723,-1.0659,0.0347,0.1760,30.0625,-17.0625,-39.3438,no_tremor
33,1480728,-1.0787,0.0408,0.1613,33.7656,-19.3750,-43.7188,no_tremor
34,1480733,-1.0911,0.0507,0.1398,38.4062,-20.7188,-48.6562,no_tremor
35,1480738,-1.1094,0.0579,0.1261,42.4531,-20.9375,-52.8281,no_tremor
36,1480742,-1.1216,0.0653,0.1133,46.1875,-19.7812,-57.0312,no_tremor
37,1480747,-1.1340,0.0726,0.1016,50.1406,-18.4844,-61.5625,no_tremor
38,1480752,-1.1462,0.0797,0.0911,54.1562,-18.4844,-70.1719,no_tremor
39,1480757,-1.1580,0.0864,0.0823,58.3125,-19.2812,-72.6719,no_tremor
40,1480762,-1.1685,0.0925,0.0753,64.8750,-19.7969,-77.4375,no_tremor
41,1480767,-1.1771,0.0980,0.0704,69.2500,-21.0625,-81.8281,no_tremor
42,1480771,-1.1832,0.1029,0.0675,73.5000,-22.3594,-84.8750,no_tremor
43,1480781,-1.1854,0.1117,0.0679,81.2969,-26.5625,-89.6250,no_tremor
44,1480786,-1.1805,0.1158,0.0707,84.1250,-30.0312,-92.6719,no_tremor
45,1480790,-1.1652,0.1222,0.0747,87.5469,-33.4688,-96.5000,no_tremor
46,1480795,-1.1499,0.1265,0.0798,91.6875,-37.4531,-99.6875,no_tremor
47,1480826,-0.9988,0.1440,0.1302,114.6094,-55.7969,-118.1562,no_tremor
48,1480831,-0.9778,0.1418,0.1404,118.6562,-55.0781,-119.8750,no_tremor
49,1480836,-0.9596,0.1376,0.1515,120.4688,-54.9531,-121.4375,no_tremor
50,1480841,-0.9447,0.1312,0.1699,122.4531,-54.5938,-122.4062,no_tremor
51,1480845,-0.9276,0.1185,0.1833,124.3906,-53.7188,-122.7500,no_tremor
52,1480850,-0.9192,0.1084,0.1976,126.5156,-52.8125,-123.5156,no_tremor
53,1480855,-0.9121,0.0975,0.2126,128.0312,-52.2344,-124.3281,no_tremor
54,1480860,-0.9058,0.0863,0.2285,128.8594,-52.2031,-123.7969,no_tremor
55,1480865,-0.8993,0.0751,0.2449,130.0625,-52.1406,-122.8438,no_tremor
56,1480870,-0.8920,0.0640,0.2618,130.3281,-51.8594,-122.3594,no_tremor
57,1480875,-0.8833,0.0532,0.3104,129.8281,-52.1406,-121.6562,no_tremor
58,1480880,-0.8729,0.0427,0.3057,129.6406,-53.3594,-121.4375,no_tremor
59,1480885,-0.8539,0.0280,0.3235,128.7812,-55.4062,-121.0938,no_tremor
60,1480895,-0.8220,0.0114,0.3594,127.9375,-61.0312,-120.2188,no_tremor
61,1480899,-0.8033,0.0049,0.3773,127.1406,-64.2344,-119.2812,no_tremor
62,1480904,-0.7833,-0.0001,0.3951,127.2500,-70.9062,-118.9375,no_tremor
63,1480909,-0.7625,-0.0035,0.4131,126.4688,-75.3906,-119.8906,no_tremor
64,1480914,-0.7415,-0.0060,0.4397,125.5312,-78.0625,-119.7812,no_tremor
65,1480947,-0.6649,-0.0071,0.5499,119.2969,-62.7969,-119.5469,no_tremor
66,1480951,-0.6703,-0.0094,0.5626,118.1875,-57.7188,-118.5938,no_tremor
67,1480956,-0.6779,-0.0122,0.5747,116.7188,-54.2031,-117.1094,no_tremor
68,1480961,-0.6863,-0.0155,0.5865,115.1250,-51.1875,-116.1719,no_tremor
69,1480966,-0.6942,-0.0190,0.5981,113.9688,-48.9688,-115.2344,no_tremor
70,1480970,-0.7003,-0.0226,0.6099,112.8125,-48.4844,-113.8281,no_tremor
71,1480975,-0.7032,-0.0262,0.6219,111.0156,-49.0469,-111.6562,no_tremor
72,1480980,-0.7024,-0.0297,0.6344,109.2344,-52.1250,-110.5000,no_tremor
73,1480985,-0.6973,-0.0331,0.6473,105.5000,-54.7656,-109.1094,no_tremor
74,1480989,-0.6877,-0.0366,0.6606,102.5312,-57.0625,-108.1250,no_tremor
75,1480995,-0.6743,-0.0421,0.6808,99.7500,-59.8750,-107.2188,no_tremor
76,1480999,-0.6490,-0.0463,0.6940,96.5156,-61.5469,-105.5781,no_tremor
77,1481004,-0.6301,-0.0509,0.7068,93.3125,-61.3750,-103.8438,no_tremor
78,1481009,-0.6111,-0.0562,0.7188,90.5781,-60.6250,-101.7969,no_tremor
79,1481014,-0.5928,-0.0621,0.7297,87.9219,-59.7344,-97.8281,no_tremor
80,1481019,-0.5760,-0.0688,0.7395,84.3281,-57.2031,-95.6562,no_tremor
