sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,1237874,-0.8807,-0.1616,0.3768,1.0625,7.6094,-1.3125,no_tremor
1,1237885,-0.8807,-0.1571,0.3772,-0.2969,2.8594,-1.2031,no_tremor
2,1237897,-0.8773,-0.1517,0.3772,-0.7344,-2.4062,-2.1250,no_tremor
3,1237928,-0.8807,-0.1418,0.3828,-6.6719,-9.7812,-8.7188,no_tremor
4,1237984,-0.9878,-0.1384,0.5043,-26.8125,-10.7969,-27.9375,no_tremor
5,1238018,-1.0525,-0.1323,0.5459,-41.3438,8.0938,-49.4688,no_tremor
6,1238050,-1.1599,-0.1620,0.6008,-64.5781,1.5312,-81.7656,no_tremor
7,1238061,-1.1906,-0.1996,0.6051,-73.3281,-0.1406,-93.3438,no_tremor
8,1238095,-1.1458,-0.3046,0.5466,-95.7656,-6.0469,-117.7969,no_tremor
9,1238106,-1.0830,-0.3220,0.5167,-99.4844,-2.3281,-122.2656,no_tremor
10,1238117,-1.0135,-0.3270,0.4784,-102.0156,3.7500,-125.7656,no_tremor
11,1238128,-0.9495,-0.3214,0.4442,-102.9375,9.7031,-126.3281,no_tremor
12,1238140,-0.8937,-0.3088,0.4156,-101.5469,14.7969,-126.6094,no_tremor
13,1238174,-0.7567,-0.2877,0.3462,-95.4844,28.0469,-120.7656,no_tremor
14,1238185,-0.7213,-0.2928,0.3195,-93.9688,26.9688,-117.5000,no_tremor
15,1238196,-0.6761,-0.3057,0.2961,-91.7656,24.9375,-113.8125,no_tremor
16,1238207,-0.6318,-0.3251,0.2639,-84.5625,18.9531,-108.5938,no_tremor
17,1238218,-0.5908,-0.3490,0.2285,-84.5781,14.5625,-100.0781,no_tremor
18,1238229,-0.5565,-0.3759,0.1919,-80.6094,12.8281,-97.7812,no_tremor
19,1238240,-0.5297,-0.4050,0.1571,-75.9062,12.8750,-90.0781,no_tremor
20,1238252,-0.5128,-0.4369,0.1261,-69.5156,12.1094,-81.7656,no_tremor
21,1238263,-0.4978,-0.4647,0.1046,-64.8594,14.1875,-73.9531,no_tremor
22,1238296,-0.4799,-0.5842,0.0312,-46.8906,14.4375,-51.6875,no_tremor
23,1238307,-0.4686,-0.6215,0.0038,-42.2812,7.9219,-43.9062,no_tremor
24,1238319,-0.4523,-0.6562,-0.0199,-40.0469,2.3125,-38.2500,no_tremor
25,1238330,-0.4354,-0.6897,-0.0363,-37.0156,-4.4844,-33.1562,no_tremor
26,1238341,-0.4231,-0.7208,-0.0453,-33.8125,-6.3594,-27.3906,no_tremor
27,1238352,-0.4186,-0.7423,-0.0492,-29.7188,-7.2344,-22.9219,no_tremor
28,1238364,-0.4193,-0.7625,-0.0538,-23.7031,-4.9219,-16.8281,no_tremor
