sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,369846,-0.6027,-0.3330,0.6454,2.5312,-1.2656,-1.1406,no_tremor
1,369880,-0.5936,-0.3373,0.6492,2.8281,0.9844,-1.4219,no_tremor
2,369891,-0.5963,-0.3389,0.6471,2.5312,2.0156,-1.5469,no_tremor
3,369902,-0.5986,-0.3380,0.6431,3.5312,1.9531,-1.5312,no_tremor
4,369913,-0.5986,-0.3378,0.6390,3.5781,1.2031,-1.0156,no_tremor
5,369955,-0.5861,-0.3413,0.6354,4.7656,0.6562,-0.8594,no_tremor
6,369967,-0.5863,-0.3365,0.6370,5.5781,0.6094,-1.0625,no_tremor
7,369978,-0.5886,-0.3334,0.6393,6.1406,1.2031,-0.3594,no_tremor
8,369989,-0.5913,-0.3353,0.6422,5.1094,0.4219,0.3438,no_tremor
9,370000,-0.5924,-0.3406,0.6460,5.0469,-1.6719,0.3281,no_tremor
10,370011,-0.5911,-0.3425,0.6492,5.1406,-1.7812,-0.3438,no_tremor
11,370022,-0.5886,-0.3391,0.6523,5.0000,1.0469,-2.0156,no_tremor
12,370044,-0.5886,-0.3286,0.6567,5.2969,0.5938,-0.1719,no_tremor
13,370076,-0.5856,-0.3442,0.6641,3.5156,-1.0000,0.9219,no_tremor
14,370087,-0.5842,-0.3440,0.6663,2.7188,0.2656,1.9844,no_tremor
15,370098,-0.5837,-0.3398,0.6682,2.1719,0.9531,0.3438,no_tremor
16,370110,-0.5833,-0.3333,0.6694,2.9219,2.0781,1.6094,no_tremor
17,370121,-0.5824,-0.3296,0.6703,2.9062,1.3125,2.0781,no_tremor
18,370132,-0.5812,-0.3311,0.6699,1.5469,1.8125,3.0469,no_tremor
19,370143,-0.5781,-0.3358,0.6686,1.7500,1.8594,3.6562,no_tremor
20,370154,-0.5729,-0.3383,0.6663,1.9531,1.7656,4.9531,no_tremor
21,370165,-0.5674,-0.3367,0.6638,1.4219,2.5156,7.3906,no_tremor
22,370196,-0.5380,-0.3280,0.6714,-0.2344,2.5938,13.7812,no_tremor
23,370207,-0.5284,-0.3274,0.6796,-1.6875,3.3750,17.0938,no_tremor
24,370218,-0.5175,-0.3271,0.6879,-4.2656,4.5781,21.4688,no_tremor
25,370229,-0.5052,-0.3290,0.7010,-7.8281,6.7656,26.3594,no_tremor
26,370240,-0.4895,-0.3335,0.7174,-10.6562,5.8438,33.0938,no_tremor
27,370251,-0.4684,-0.3389,0.7362,-13.8281,6.5625,39.5781,no_tremor
28,370262,-0.4429,-0.3412,0.7565,-17.9219,5.0625,44.8281,no_tremor
29,370274,-0.4163,-0.3368,0.7769,-22.2344,6.9375,50.2188,no_tremor
30,370285,-0.3976,-0.3268,0.7959,-26.7031,5.1406,57.4688,no_tremor
31,370296,-0.3864,-0.3181,0.8073,-30.9688,3.5625,59.9219,no_tremor
32,370328,-0.4558,-0.3268,0.7892,-44.0469,9.0625,73.2188,no_tremor
33,370350,-0.5206,-0.3362,0.7802,-58.4531,24.2656,88.3438,no_tremor
34,370362,-0.5314,-0.3212,0.7909,-64.8125,21.2031,94.9219,no_tremor
35,370373,-0.5188,-0.2910,0.8116,-72.8125,9.4531,99.6562,no_tremor
36,370384,-0.4849,-0.2548,0.8419,-82.6875,-3.2188,104.0312,no_tremor
37,370395,-0.4448,-0.2228,0.8756,-89.3906,-7.1406,109.9844,no_tremor
38,370406,-0.4252,-0.2018,0.8990,-94.6562,-4.7031,111.2500,no_tremor
39,370417,-0.4327,-0.1969,0.9022,-101.1719,3.0469,113.2188,no_tremor
40,370451,-0.5594,-0.2507,0.8406,-124.2031,16.5312,129.8281,no_tremor
41,370462,-0.5620,-0.2396,0.8212,-131.0000,15.2188,131.0625,no_tremor
42,370474,-0.5516,-0.1930,0.7997,-133.1094,4.2031,127.5000,no_tremor
43,370485,-0.5601,-0.1296,0.7655,-130.6875,-12.2812,117.6719,no_tremor
44,370496,-0.6018,-0.0789,0.7083,-123.6719,-22.1719,105.5000,no_tremor
45,370507,-0.7070,-0.0612,0.6438,-116.0000,-22.8906,93.3281,no_tremor
46,370518,-0.8527,-0.0698,0.5488,-110.4375,-7.5938,87.7031,no_tremor
47,370529,-0.9952,-0.0995,0.4562,-107.1562,5.0312,80.3594,no_tremor
48,370540,-1.0958,-0.1255,0.3809,-103.7188,15.4062,73.3594,no_tremor
49,370573,-1.0588,-0.0695,0.2819,-85.5312,0.5156,53.7031,no_tremor
50,370578,-1.0338,-0.0541,0.2711,-80.7344,-3.0938,50.0156,no_tremor
51,370582,-1.0117,-0.0405,0.2588,-73.4219,-4.5938,46.2500,no_tremor
52,370587,-0.9945,-0.0298,0.2446,-68.5625,-4.9531,43.1875,no_tremor
53,370592,-0.9834,-0.0227,0.2289,-64.1406,-4.9375,40.5000,no_tremor
54,370597,-0.9789,-0.0198,0.2120,-60.1562,-4.5625,37.6406,no_tremor
55,370601,-0.9808,-0.0210,0.1862,-56.2031,-3.8281,35.2656,no_tremor
56,370606,-0.9882,-0.0298,0.1694,-51.7500,-2.8281,32.8438,no_tremor
57,370611,-1.0066,-0.0391,0.1542,-47.5469,-1.5781,30.1094,no_tremor
58,370616,-1.0212,-0.0500,0.1410,-44.0938,-0.6094,28.0156,no_tremor
59,370620,-1.0356,-0.0614,0.1305,-40.5625,0.3438,26.5781,no_tremor
60,370625,-1.0481,-0.0724,0.1229,-36.0781,1.5312,24.1250,no_tremor
61,370630,-1.0573,-0.0820,0.1188,-31.6250,2.4688,20.0938,no_tremor
62,370635,-1.0618,-0.0900,0.1179,-26.6094,5.0000,18.9688,no_tremor
63,370640,-1.0609,-0.0961,0.1228,-23.5312,6.5625,19.0000,no_tremor
64,370645,-1.0488,-0.1019,0.1296,-20.2188,6.4531,18.1719,no_tremor
65,370650,-1.0343,-0.1041,0.1389,-17.2188,3.9688,16.0781,no_tremor
66,370655,-1.0157,-0.1053,0.1501,-14.8906,1.3594,14.1562,no_tremor
67,370660,-0.9950,-0.1060,0.1628,-12.7656,0.1562,8.2031,no_tremor
68,370665,-0.9739,-0.1066,0.1763,-9.5938,-1.0156,9.8906,no_tremor
69,370689,-0.9066,-0.1295,0.2513,-0.0156,-4.1406,4.9062,no_tremor
70,370694,-0.9062,-0.1387,0.2629,1.6250,-3.3125,3.4375,no_tremor
71,370699,-0.9089,-0.1488,0.2736,2.6250,0.2812,0.6250,no_tremor
72,370704,-0.9141,-0.1595,0.2831,5.0156,3.5000,-1.0625,no_tremor
73,370709,-0.9209,-0.1707,0.2919,7.3125,6.0000,-2.7344,no_tremor
74,370714,-0.9282,-0.1816,0.3040,9.2812,8.0156,-4.4688,no_tremor
75,370719,-0.9664,-0.1975,0.3118,10.4844,9.4844,-5.8594,no_tremor
76,370724,-0.9423,-0.2072,0.3196,11.3594,9.4375,-6.7344,no_tremor
77,370728,-0.9431,-0.2161,0.3279,12.1094,7.8594,-7.5156,no_tremor
78,370733,-0.9403,-0.2240,0.3367,12.9844,5.2812,-8.3750,no_tremor
79,370738,-0.9332,-0.2308,0.3461,13.5938,3.0156,-8.7656,no_tremor
80,370743,-0.9222,-0.2365,0.3562,13.9375,0.8750,-8.5938,no_tremor
81,370748,-0.9077,-0.2410,0.3667,14.6719,-0.6875,-9.2031,no_tremor
82,370753,-0.8904,-0.2445,0.3773,15.2344,-1.5000,-9.4062,no_tremor
83,370757,-0.8716,-0.2473,0.3879,16.0000,-1.0469,-9.0000,no_tremor
84,370762,-0.8527,-0.2509,0.4034,16.3594,0.1406,-8.9062,no_tremor
85,370767,-0.8264,-0.2533,0.4133,15.5625,0.6875,-8.7500,no_tremor
86,370772,-0.8120,-0.2562,0.4229,14.8281,1.0625,-8.4219,no_tremor
87,370777,-0.8008,-0.2595,0.4319,14.2188,1.3750,-8.0156,no_tremor
88,370782,-0.7930,-0.2632,0.4408,13.4375,1.4219,-7.9219,no_tremor
89,370787,-0.7881,-0.2671,0.4492,12.6875,2.2500,-7.5938,no_tremor
90,370816,-0.7876,-0.2732,0.4910,8.7812,5.5312,-4.6250,no_tremor
91,370821,-0.7865,-0.2708,0.4945,8.4688,6.5625,-3.5625,no_tremor
92,370826,-0.7845,-0.2682,0.4973,7.5938,7.7188,-2.3750,no_tremor
93,370831,-0.7819,-0.2657,0.4995,7.3125,8.6562,-1.6094,no_tremor
94,370835,-0.7782,-0.2638,0.5018,7.1875,8.4844,-1.6875,no_tremor
95,370840,-0.7717,-0.2621,0.5028,6.7500,7.1719,-1.1875,no_tremor
96,370845,-0.7667,-0.2617,0.5034,6.0000,5.8906,-0.5781,no_tremor
97,370850,-0.7614,-0.2620,0.5037,5.6875,3.9688,-0.8594,no_tremor
98,370855,-0.7559,-0.2626,0.5037,5.7500,1.4375,-0.9062,no_tremor
99,370860,-0.7507,-0.2634,0.5034,5.3594,-0.1719,-0.0469,no_tremor
100,370865,-0.7462,-0.2643,0.5028,4.2812,0.5781,0.0469,no_tremor
101,370870,-0.7429,-0.2650,0.5016,4.5625,2.2344,0.5781,no_tremor
102,370875,-0.7415,-0.2657,0.4983,5.4219,3.9531,1.9531,no_tremor
103,370879,-0.7419,-0.2666,0.4950,5.7344,5.6875,2.6875,no_tremor
104,370884,-0.7468,-0.2673,0.4908,5.5156,7.5781,2.4219,no_tremor
105,370889,-0.7524,-0.2683,0.4860,4.9688,8.2969,2.2969,no_tremor
106,370894,-0.7594,-0.2695,0.4805,4.5000,8.2031,2.6406,no_tremor
107,370898,-0.7671,-0.2708,0.4747,4.7500,8.7188,3.0469,no_tremor
108,370904,-0.7748,-0.2721,0.4689,5.2500,8.4219,3.1094,no_tremor
109,370908,-0.7817,-0.2729,0.4633,5.5156,8.0469,2.8906,no_tremor
110,370933,-0.7958,-0.2664,0.4457,4.9688,0.2500,2.6562,no_tremor
111,370938,-0.7946,-0.2634,0.4463,4.7656,-1.5000,2.8125,no_tremor
112,370943,-0.7932,-0.2605,0.4479,5.4375,-1.7812,2.9375,no_tremor
113,370948,-0.7921,-0.2574,0.4502,5.9375,-0.9062,2.9219,no_tremor
