sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,1975911,-0.8436,-0.0679,0.5043,0.4062,10.5156,-2.9688,no_tremor
1,1975922,-0.8336,-0.0695,0.4911,0.5625,8.3281,-2.8594,no_tremor
2,1975933,-0.8163,-0.0684,0.4797,0.1094,-0.5156,-1.8750,no_tremor
3,1975944,-0.8042,-0.0679,0.4768,-0.4062,-3.0938,-0.4688,no_tremor
4,1975956,-0.7993,-0.0709,0.4822,-0.3594,-2.2656,-1.8594,no_tremor
5,1975967,-0.8073,-0.0771,0.4937,-1.2188,1.0000,-2.5781,no_tremor
6,1975978,-0.8201,-0.0808,0.5023,-2.7812,3.3906,-2.6719,no_tremor
7,1975990,-0.8281,-0.0790,0.5032,-2.4531,4.3125,-1.9844,no_tremor
8,1976001,-0.8290,-0.0750,0.4982,-2.2031,4.3750,-1.3750,no_tremor
9,1976032,-0.8071,-0.0729,0.4734,1.1094,-1.8906,0.0625,no_tremor
10,1976055,-0.7983,-0.0682,0.4667,1.9531,3.2500,-0.0938,no_tremor
11,1976066,-0.8071,-0.0674,0.4723,2.1562,2.8281,-0.6562,no_tremor
12,1976077,-0.8202,-0.0690,0.4833,-0.0625,0.8906,-0.2188,no_tremor
13,1976088,-0.8304,-0.0717,0.4945,0.5156,4.6406,-0.9062,no_tremor
14,1976099,-0.8362,-0.0734,0.5027,0.3750,7.9062,-1.7656,no_tremor
15,1976111,-0.8397,-0.0734,0.5072,-0.2656,12.2656,-2.2812,no_tremor
16,1976122,-0.8447,-0.0729,0.5087,-0.5469,13.3594,-3.6250,no_tremor
17,1976154,-0.8470,-0.0690,0.4968,-3.7812,3.6406,-6.6250,no_tremor
18,1976165,-0.8379,-0.0646,0.4897,-2.4688,9.8906,-6.1406,no_tremor
19,1976177,-0.8307,-0.0630,0.4813,1.0000,19.1094,-5.6406,no_tremor
20,1976188,-0.8289,-0.0674,0.4706,3.2188,25.2031,-5.3438,no_tremor
21,1976199,-0.8318,-0.0753,0.4609,5.2500,31.8750,-3.3594,no_tremor
22,1976210,-0.8384,-0.0867,0.4570,7.1875,41.0312,-3.6562,no_tremor
23,1976222,-0.8457,-0.0935,0.4557,8.5156,43.9375,-4.2188,no_tremor
24,1976233,-0.8474,-0.0922,0.4536,8.4844,37.6562,-2.5312,no_tremor
25,1976244,-0.8398,-0.0851,0.4489,6.7188,30.0312,-1.2188,no_tremor
26,1976276,-0.8198,-0.0713,0.4360,3.8906,16.6562,-3.1406,no_tremor
27,1976287,-0.8258,-0.0714,0.4344,2.2812,7.8125,-2.2344,no_tremor
28,1976299,-0.8326,-0.0717,0.4347,0.2188,4.2188,-3.0312,no_tremor
29,1976310,-0.8401,-0.0714,0.4366,0.8438,6.2344,-3.6875,no_tremor
30,1976332,-0.8639,-0.0724,0.4402,2.0781,18.4531,-6.2812,no_tremor
31,1976344,-0.8813,-0.0753,0.4399,2.5156,25.6719,-7.0156,no_tremor
32,1976355,-0.8982,-0.0785,0.4390,3.7031,37.3281,-9.2188,no_tremor
33,1976366,-0.9153,-0.0791,0.4386,3.6250,53.8750,-12.1719,no_tremor
34,1976399,-0.9640,-0.0695,0.4364,8.1719,89.1094,-19.5312,no_tremor
35,1976410,-0.9647,-0.0671,0.4275,6.7500,99.7656,-21.7656,no_tremor
36,1976421,-0.9592,-0.0660,0.4191,7.1562,130.4219,-27.4844,no_tremor
37,1976432,-0.9663,-0.0653,0.4200,5.0156,169.8281,-38.5156,no_tremor
38,1976455,-1.0675,-0.0642,0.4469,12.9844,303.5469,-47.6250,no_tremor
39,1976466,-1.1523,-0.0653,0.4471,16.5000,354.0469,-47.3281,no_tremor
40,1976477,-1.1595,-0.0693,0.4275,17.6406,377.2500,-44.5938,no_tremor
41,1976488,-1.1436,-0.0782,0.3746,18.5156,380.6562,-42.1094,no_tremor
42,1976521,-0.8812,-0.1014,0.1239,21.8750,409.6094,-34.0312,no_tremor
43,1976532,-0.8252,-0.1067,0.0514,25.4531,433.9688,-30.0312,no_tremor
44,1976544,-0.7881,-0.1151,-0.0142,40.4688,460.7656,-24.9062,no_tremor
45,1976555,-0.7875,-0.1298,-0.0648,63.9219,502.5781,-15.8125,no_tremor
46,1976566,-0.8174,-0.1431,-0.1215,74.5938,511.9844,-2.3438,no_tremor
47,1976578,-0.8625,-0.1547,-0.1636,63.3281,511.9844,-2.9062,no_tremor
48,1976611,-0.7783,-0.2371,-0.3190,-1.9844,323.3906,7.0156,no_tremor
49,1976645,-0.1761,-0.4049,-0.6191,-67.1719,-21.4219,-21.9375,no_tremor
50,1976656,-0.0135,-0.4424,-0.7614,-59.2188,-31.2031,-9.4375,no_tremor
51,1976667,-0.0020,-0.4148,-0.8898,-49.2344,13.8281,-7.0312,no_tremor
52,1976678,-0.1593,-0.3135,-0.9762,-45.9375,55.0312,-9.5000,no_tremor
53,1976690,-0.4122,-0.1735,-1.0089,-41.4375,83.6562,-9.5625,no_tremor
54,1976701,-0.6301,-0.0543,-1.0010,-40.1875,78.7344,-14.1094,no_tremor
55,1976712,-0.7097,-0.0028,-0.9812,-37.8906,46.3281,-15.0312,no_tremor
56,1976723,-0.6366,-0.0221,-0.9735,-33.8438,28.3906,-8.7031,no_tremor
57,1976735,-0.4818,-0.0743,-0.9847,-28.2344,38.5469,0.7500,no_tremor
58,1976768,-0.3120,-0.0900,-1.0645,-3.2344,10.5625,-0.6562,no_tremor
