sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,2469367,-0.5712,-0.0372,-0.8654,1.0938,1.7812,-0.2031,no_tremor
1,2469372,-0.5720,-0.0363,-0.8652,0.6719,1.8594,0.0469,no_tremor
2,2469377,-0.5731,-0.0353,-0.8651,1.6719,1.0312,-0.4531,no_tremor
3,2469382,-0.5741,-0.0344,-0.8649,1.8906,0.6875,-0.2500,no_tremor
4,2469386,-0.5750,-0.0338,-0.8643,1.9062,1.6719,0.5469,no_tremor
5,2469391,-0.5756,-0.0333,-0.8627,2.0156,1.7500,0.5938,no_tremor
6,2469396,-0.5758,-0.0333,-0.8618,1.2812,0.5625,-0.0781,no_tremor
7,2469401,-0.5758,-0.0333,-0.8615,1.5938,-0.0156,-0.3906,no_tremor
8,2469406,-0.5763,-0.0336,-0.8621,2.6250,-0.1250,-0.2500,no_tremor
9,2469411,-0.5771,-0.0338,-0.8635,3.1562,0.5938,-0.0938,no_tremor
10,2469416,-0.5784,-0.0342,-0.8656,3.0000,2.3594,0.1562,no_tremor
11,2469420,-0.5801,-0.0349,-0.8679,0.3125,3.5000,0.2031,no_tremor
12,2469425,-0.5819,-0.0358,-0.8701,0.2500,2.4219,-0.8906,no_tremor
13,2469430,-0.5836,-0.0371,-0.8723,1.0469,1.8438,-2.0625,no_tremor
14,2469435,-0.5854,-0.0392,-0.8726,1.0156,2.0625,-1.8750,no_tremor
15,2469440,-0.5857,-0.0405,-0.8718,0.2656,1.5469,-0.8906,no_tremor
16,2469465,-0.5728,-0.0411,-0.8607,1.6094,-0.3438,-0.8125,no_tremor
17,2469470,-0.5708,-0.0398,-0.8601,1.9531,1.5312,-0.6250,no_tremor
18,2469475,-0.5698,-0.0383,-0.8600,1.3906,3.0000,-0.4375,no_tremor
19,2469480,-0.5701,-0.0370,-0.8605,0.0312,3.9844,-0.6562,no_tremor
20,2469485,-0.5714,-0.0360,-0.8613,-0.0938,4.0469,-1.1719,no_tremor
21,2469490,-0.5736,-0.0353,-0.8630,0.2188,4.1562,-1.0156,no_tremor
22,2469495,-0.5779,-0.0349,-0.8643,-0.1250,4.2656,-0.8750,no_tremor
23,2469500,-0.5804,-0.0350,-0.8652,-0.1562,3.2656,-0.7031,no_tremor
24,2469505,-0.5825,-0.0353,-0.8658,0.0469,1.5312,-0.2344,no_tremor
25,2469509,-0.5837,-0.0356,-0.8663,-0.0938,0.1875,-0.0938,no_tremor
26,2469514,-0.5839,-0.0361,-0.8665,0.1562,-0.2500,-0.6562,no_tremor
27,2469519,-0.5830,-0.0365,-0.8665,1.1406,-0.8906,-1.0625,no_tremor
28,2469524,-0.5814,-0.0369,-0.8662,0.9531,-1.6719,-0.1875,no_tremor
29,2469529,-0.5792,-0.0371,-0.8660,0.7812,-1.1875,0.3594,no_tremor
30,2469534,-0.5757,-0.0376,-0.8660,0.9688,0.4375,-0.3750,no_tremor
31,2469539,-0.5737,-0.0378,-0.8661,1.1562,1.6250,-0.5156,no_tremor
32,2469544,-0.5724,-0.0382,-0.8663,1.5312,2.7812,-0.4062,no_tremor
33,2469549,-0.5719,-0.0386,-0.8669,1.7188,4.0469,-0.8594,no_tremor
34,2469553,-0.5723,-0.0389,-0.8676,1.4844,4.2656,-0.1875,no_tremor
35,2469558,-0.5732,-0.0394,-0.8684,1.4062,4.0781,-0.1094,no_tremor
36,2469563,-0.5746,-0.0398,-0.8698,1.0156,3.2812,-0.6094,no_tremor
37,2469588,-0.5774,-0.0417,-0.8712,1.0938,-2.1406,0.1094,no_tremor
38,2469593,-0.5760,-0.0416,-0.8705,0.8906,-2.5000,0.3594,no_tremor
39,2469598,-0.5735,-0.0413,-0.8699,0.4844,-2.2656,-0.0469,no_tremor
40,2469603,-0.5718,-0.0408,-0.8694,0.9375,-1.7344,-0.4375,no_tremor
41,2469608,-0.5703,-0.0399,-0.8689,1.2031,-0.5781,-0.0938,no_tremor
42,2469613,-0.5695,-0.0389,-0.8685,1.0156,0.4062,0.2969,no_tremor
43,2469618,-0.5693,-0.0377,-0.8683,0.9844,1.1094,-0.0469,no_tremor
44,2469622,-0.5699,-0.0365,-0.8683,1.7188,3.1094,-0.5156,no_tremor
45,2469627,-0.5713,-0.0354,-0.8684,1.6562,3.8125,-0.4688,no_tremor
46,2469632,-0.5731,-0.0344,-0.8685,1.0156,4.3125,0.0625,no_tremor
47,2469637,-0.5763,-0.0334,-0.8684,0.8125,4.1094,0.2969,no_tremor
48,2469642,-0.5781,-0.0333,-0.8680,0.3906,2.5938,-0.2656,no_tremor
49,2469647,-0.5796,-0.0336,-0.8677,0.7344,1.5781,-0.7031,no_tremor
50,2469652,-0.5806,-0.0341,-0.8672,1.0625,1.0625,-0.4531,no_tremor
51,2469656,-0.5809,-0.0349,-0.8668,0.7812,0.1719,-0.1719,no_tremor
52,2469661,-0.5808,-0.0359,-0.8665,0.3594,-0.0938,-0.2969,no_tremor
53,2469666,-0.5802,-0.0370,-0.8661,0.8438,0.2656,-0.7031,no_tremor
54,2469671,-0.5795,-0.0382,-0.8660,1.2500,0.0312,-1.0781,no_tremor
55,2469676,-0.5787,-0.0398,-0.8657,1.3125,0.2500,-1.2656,no_tremor
56,2469681,-0.5779,-0.0406,-0.8657,1.1250,0.6875,-1.3438,no_tremor
57,2469686,-0.5776,-0.0414,-0.8657,1.0312,1.7188,-1.5469,no_tremor
