sample,t_ms,ax,ay,az,gx,gy,gz,tremor
0,985786,-0.7261,-0.2991,-0.9406,-7.6562,82.4219,-47.1719,no_tremor
1,985791,-0.7074,-0.2891,-0.9457,-2.2500,74.1875,-44.5625,no_tremor
2,985796,-0.6727,-0.2781,-0.9550,1.9062,56.2812,-40.8750,no_tremor
3,985800,-0.6230,-0.2603,-0.9760,6.6562,35.6562,-36.7344,no_tremor
4,985805,-0.5253,-0.2480,-0.9929,11.7656,17.3750,-32.9844,no_tremor
5,985810,-0.4504,-0.2362,-1.0109,17.7188,-0.6406,-28.8125,no_tremor
6,985815,-0.3733,-0.2250,-1.0287,23.2188,-19.3906,-24.5781,no_tremor
7,985820,-0.2986,-0.2150,-1.0453,27.7188,-40.4844,-18.5469,no_tremor
8,985825,-0.2308,-0.2069,-1.0596,34.9062,-56.3906,-15.1562,no_tremor
9,985830,-0.1737,-0.2010,-1.0707,38.0625,-66.4531,-11.6875,no_tremor
10,985835,-0.1300,-0.1980,-1.0802,40.6094,-75.6562,-8.3906,no_tremor
11,985840,-0.0933,-0.1995,-1.0817,42.9219,-84.1094,-6.2812,no_tremor
12,985845,-0.0891,-0.2046,-1.0795,45.0156,-92.0000,-5.0312,no_tremor
13,985854,-0.1263,-0.2242,-1.0654,46.9531,-104.2500,-4.8750,no_tremor
14,985859,-0.1635,-0.2377,-1.0544,47.8281,-112.8906,-3.8750,no_tremor
15,985864,-0.2085,-0.2524,-1.0411,48.9062,-118.9844,-1.7500,no_tremor
16,985869,-0.2574,-0.2679,-1.0256,49.4844,-124.1875,1.5312,no_tremor
17,985874,-0.3062,-0.2902,-0.9990,50.2812,-130.9688,4.7656,no_tremor
18,985879,-0.3701,-0.3030,-0.9795,52.1562,-140.7344,7.9375,no_tremor
19,985884,-0.4025,-0.3135,-0.9590,53.4688,-151.6250,10.2969,no_tremor
20,985911,-0.3799,-0.3217,-0.8157,57.7031,-220.3281,20.2344,no_tremor
21,985916,-0.3521,-0.3174,-0.7838,57.6250,-232.8906,21.4219,no_tremor
22,985921,-0.3245,-0.3127,-0.7488,57.6719,-245.7031,22.5938,no_tremor
23,985926,-0.2998,-0.3082,-0.7111,57.1875,-267.7656,23.4688,no_tremor
24,985931,-0.2811,-0.3041,-0.6713,56.8594,-283.0781,23.9531,no_tremor
25,985935,-0.2701,-0.3004,-0.6307,56.7344,-301.0625,24.4844,no_tremor
26,985945,-0.2754,-0.2953,-0.5327,52.7344,-343.4844,27.1875,no_tremor
27,985955,-0.3259,-0.2950,-0.4646,48.8125,-395.9062,30.9688,no_tremor
28,985960,-0.3539,-0.2970,-0.4349,46.8906,-426.6406,30.6094,no_tremor
29,985965,-0.3824,-0.2998,-0.4082,45.6094,-458.2344,24.4531,no_tremor
30,985969,-0.4089,-0.3031,-0.3835,45.0781,-505.8906,26.0469,no_tremor
31,985974,-0.4305,-0.3064,-0.3601,45.6719,-512.0000,24.5000,no_tremor
32,985984,-0.4517,-0.3118,-0.3118,49.7656,-512.0000,21.9844,no_tremor
33,985989,-0.4495,-0.3132,-0.2692,51.3125,-512.0000,18.9062,no_tremor
34,985994,-0.4307,-0.3136,-0.2358,55.8281,-512.0000,18.1094,no_tremor
35,985999,-0.4102,-0.3125,-0.1979,60.7812,-512.0000,18.2969,no_tremor
36,986003,-0.3856,-0.3103,-0.1552,62.5000,-512.0000,12.6719,no_tremor
37,986008,-0.3600,-0.3074,-0.1074,57.9062,-512.0000,-8.7031,no_tremor
38,986035,-0.3363,-0.3229,0.2817,17.3125,-512.0000,-33.3281,no_tremor
39,986040,-0.3733,-0.3335,0.3556,14.6875,-512.0000,-43.2344,no_tremor
40,986045,-0.4224,-0.3453,0.4272,13.1406,-512.0000,-52.8438,no_tremor
41,986050,-0.4813,-0.3575,0.4946,11.6250,-512.0000,-67.3594,no_tremor
42,986054,-0.5469,-0.3695,0.5559,9.9375,-512.0000,-75.3594,no_tremor
43,986059,-0.6149,-0.3809,0.6099,7.1719,-512.0000,-81.4844,no_tremor
44,986064,-0.6810,-0.3912,0.6561,4.4688,-512.0000,-84.4375,no_tremor
45,986069,-0.7410,-0.4008,0.6951,2.3281,-471.8281,-83.7500,no_tremor
46,986074,-0.7913,-0.4094,0.7424,1.7812,-427.9688,-81.5625,no_tremor
47,986079,-0.8441,-0.4207,0.7683,2.1094,-381.9375,-80.0938,no_tremor
48,986084,-0.8641,-0.4265,0.7906,3.8438,-334.2031,-80.3438,no_tremor
49,986088,-0.8738,-0.4304,0.8099,8.9219,-286.2656,-80.6406,no_tremor
50,986093,-0.8760,-0.4319,0.8260,16.2812,-238.0156,-77.5000,no_tremor
51,986098,-0.8741,-0.4303,0.8383,22.9375,-165.6250,-76.9844,no_tremor
52,986103,-0.8713,-0.4257,0.8457,20.1406,-120.9219,-78.9375,no_tremor
53,986108,-0.8693,-0.4185,0.8474,25.2656,-81.5469,-74.0469,no_tremor
54,986113,-0.8690,-0.4045,0.8386,36.1562,-47.9219,-61.2656,no_tremor
55,986118,-0.8706,-0.3942,0.8256,42.8594,-21.6719,-49.0625,no_tremor
56,986123,-0.8704,-0.3837,0.8075,46.5938,-3.8750,-43.0781,no_tremor
57,986127,-0.8657,-0.3739,0.7856,47.8750,5.3594,-42.1562,no_tremor
58,986132,-0.8535,-0.3650,0.7616,46.0938,1.9531,-41.6406,no_tremor
59,986158,-0.5750,-0.3293,0.6622,49.5312,-67.7344,-21.0156,no_tremor
60,986163,-0.4652,-0.3203,0.6588,46.1562,-75.8281,-23.3125,no_tremor
61,986168,-0.3855,-0.3163,0.6639,42.3750,-78.7656,-27.0000,no_tremor
62,986173,-0.3245,-0.3156,0.6755,39.7656,-77.7188,-29.1719,no_tremor
63,986178,-0.2794,-0.3195,0.6935,36.6250,-73.5781,-29.5469,no_tremor
64,986183,-0.2534,-0.3290,0.7172,33.1875,-66.9219,-30.0625,no_tremor
65,986188,-0.2473,-0.3445,0.7451,30.7656,-54.3594,-31.2969,no_tremor
66,986192,-0.2603,-0.3656,0.7755,27.5625,-47.1562,-32.0000,no_tremor
67,986197,-0.2893,-0.3909,0.8058,24.8438,-40.7500,-32.1094,no_tremor
68,986202,-0.3302,-0.4326,0.8457,22.7188,-35.6875,-32.2188,no_tremor
69,986207,-0.4030,-0.4597,0.8655,21.3438,-32.6719,-32.9062,no_tremor
70,986212,-0.4517,-0.4835,0.8779,20.5938,-31.2656,-33.0938,no_tremor
71,986217,-0.4950,-0.5024,0.8823,20.6094,-30.9219,-32.4375,no_tremor
72,986222,-0.5298,-0.5153,0.8787,21.1562,-30.9844,-30.8281,no_tremor
73,986227,-0.5541,-0.5216,0.8679,20.9688,-30.9062,-29.3281,no_tremor
74,986232,-0.5673,-0.5220,0.8513,21.5938,-30.1250,-28.7188,no_tremor
75,986237,-0.5704,-0.5132,0.8192,21.7031,-28.2031,-28.7188,no_tremor
